direction,arm,judge,scope,subset,n,value,delta,lo,hi,halfwidth
0,A ridge_late op-lebowski temporal,ADE vs log,s_ego deciles 1-9,all,95724,1.0994808673858643,-0.3117864727973938,-0.3393273895154219,-0.28203611342964147,0.02864563804289022
0,A ridge_late op-lebowski temporal,ADE vs log,all deciles (side column),all,106360,1.3702441453933716,-0.4691101312637329,-0.5019415200084346,-0.4372015176510607,0.032370001178686963
0,A ridge_late op-lebowski temporal,DiD,s_ego deciles 1-9,pre_onset - straight_yaw,1291,,0.07907330989837646,-0.04463394882943788,0.20809673401898676,0.12636534142421232
0,A ridge_late op-lebowski temporal,RFS,rater frames (subset),all,479,7.471683309214765,0.4166532377082954,0.24332387687046572,0.5941879659671908,0.17543204454836253
0,A ridge_late op-lebowski temporal,RFS,decile 10 only,all,90,6.420286226397841,0.5048395861777781,0.09113036423974229,0.9325351607989374,0.42070239827959754
0,A ridge_late op-lebowski temporal,ADE vs rater_best,decile 10 only,all,90,4.27272891998291,-1.3255971670150757,-1.6402218096620507,-1.0039234780437416,0.31814916580915453
0,cls ego K1024,ADE vs log,s_ego deciles 1-9,pre_onset,1291,2.3061699867248535,0.33973121643066406,0.11033467662862523,0.6829205820448996,0.28629295270813715
0,cls ego K1024,ADE vs log,all deciles (side column),pre_onset,1510,2.6509087085723877,0.26824164390563965,-0.1296698195227779,0.9552410237369193,0.5424554216298486
0,cls ego K1024,ADE vs log,s_ego deciles 1-9,straight_yaw,42497,1.722611427307129,0.38746941089630127,0.30183918168565416,0.49668715737965163,0.09742398784699874
0,cls ego K1024,ADE vs log,all deciles (side column),straight_yaw,46580,2.0177316665649414,0.29278263449668884,0.2055862965018401,0.39163933940448076,0.09302652145132033
0,cls ego K1024,ADE vs log,s_ego deciles 1-9,all,95724,1.6683741807937622,0.2571070194244385,0.18633327580738204,0.3344313602689323,0.07404904223077512
0,cls ego K1024,ADE vs log,all deciles (side column),all,106360,1.9858866930007935,0.14653253555297852,0.07379237709713166,0.2280159972954576,0.07711181009916297
0,cls ego K1024,DiD,s_ego deciles 1-9,pre_onset - straight_yaw,1291,,-0.04773819446563721,-0.30159846292241227,0.3458907005594321,0.3237445817409222
0,cls ego K1024,RFS,rater frames (subset),all,479,7.277340321229472,0.22231024972300073,0.03945761873918698,0.40647749645226766,0.18350993885654035
0,cls ego K1024,RFS,decile 10 only,all,90,6.614536184294019,0.6990895440739567,0.19957369381748538,1.237266857234368,0.5188465817084412
0,cls ego K1024,ADE vs rater_best,decile 10 only,all,90,5.372322082519531,-0.22600436210632324,-0.886307954473628,0.4143602591918572,0.6503341068327426
0,cls_late op-cinque temporal,ADE vs log,s_ego deciles 1-9,pre_onset,1291,2.173590898513794,0.20715206861495972,-0.057271143222061734,0.5273344149715337,0.2923027790967977
0,cls_late op-cinque temporal,ADE vs log,all deciles (side column),pre_onset,1510,2.4525671005249023,0.06989990919828415,-0.22130258461120986,0.38783594745300204,0.30456926603210593
0,cls_late op-cinque temporal,ADE vs log,s_ego deciles 1-9,straight_yaw,42497,1.6832609176635742,0.3481189012527466,0.2206016304854205,0.4800121046836795,0.1297052370991295
0,cls_late op-cinque temporal,ADE vs log,all deciles (side column),straight_yaw,46580,1.9048349857330322,0.17988580465316772,0.05924136210221231,0.3124342103820015,0.12659642413989458
