key,bin,v_ego,model,read,y_none,x_none,d_left,d_right,set
251310-0006108,5-10,9.90333122437491,cinque,1,-2.693125,27.583125,0.37875000000000003,-1.344374999999999,carla_p6
251310-0006108,5-10,9.90333122437491,cinque,5,-0.65177734375,22.958125,0.333408203124999,-1.75095703125,carla_p6
251310-0006108,5-10,9.90333122437491,lebowski,0,-7.0959375,16.320625,1.205468749999999,-0.2221875,carla_p6
251310-0006108,5-10,9.90333122437491,lebowski,1,-3.79390625,22.848125,0.47460937500000006,-0.738749999999999,carla_p6
251310-0006108,5-10,9.90333122437491,lebowski,5,-0.64904296875,27.178125,1.751152343749999,-1.61470703125,carla_p6
264311-0008962,5-10,7.570172354654341,cinque,0,-0.07612548828125,8.3334375,0.90450439453125,-1.64531982421875,carla_p6
264311-0008962,5-10,7.570172354654341,cinque,1,0.013657531738281001,4.3271875,0.8804244995117181,-0.282026672363281,carla_p6
264311-0008962,5-10,7.570172354654341,cinque,5,-0.0433935546875,1.2843359375,0.6758544921875,-0.108193359374999,carla_p6
264311-0008962,5-10,7.570172354654341,lebowski,0,-0.061142578125,8.5925,0.626220703125,-0.9304980468749999,carla_p6
264311-0008962,5-10,7.570172354654341,lebowski,1,0.0461572265625,4.388125,0.7975732421875,-0.2918896484375,carla_p6
264311-0008962,5-10,7.570172354654341,lebowski,5,-0.004145812988281,5.0821875,0.6792239379882811,-0.19010223388671801,carla_p6
2586510-0003011,5-10,7.028093604547278,cinque,0,0.046522216796875,5.19734375,1.152384033203125,-0.154837646484374,carla_p6
2586510-0003011,5-10,7.028093604547278,cinque,1,-0.028514404296875004,0.9183007812499999,0.770213623046875,-0.09222778320312501,carla_p6
2586510-0003011,5-10,7.028093604547278,cinque,5,-0.001039924621582,-0.1977880859375,1.362328987121582,-0.549272575378418,carla_p6
2586510-0003011,5-10,7.028093604547278,lebowski,0,0.051523437500000005,3.8892968750000003,0.6526953125,-0.421259765625,carla_p6
2586510-0003011,5-10,7.028093604547278,lebowski,1,0.035748291015625,1.20421875,0.745404052734374,-0.26219360351562504,carla_p6
2586510-0003011,5-10,7.028093604547278,lebowski,5,0.0100439453125,0.1716162109375,1.0953466796875,-0.4665869140625,carla_p6
330711-0010284,5-10,7.716518810109343,cinque,0,-0.20860351562499999,24.491875,1.027138671875,-1.255732421875,carla_p6
330711-0010284,5-10,7.716518810109343,cinque,1,-0.1956689453125,21.746875,0.6577197265625,-0.9649951171875001,carla_p6
330711-0010284,5-10,7.716518810109343,cinque,5,-0.1706591796875,29.928125,1.0645458984375,-0.6267822265625,carla_p6
330711-0010284,5-10,7.716518810109343,lebowski,0,-0.23126953125,22.995,0.97318359375,-1.5050585937499998,carla_p6
330711-0010284,5-10,7.716518810109343,lebowski,1,-0.1384814453125,16.255625,0.7094970703125001,-0.994956054687499,carla_p6
330711-0010284,5-10,7.716518810109343,lebowski,5,-0.019847412109375,28.56125,1.302230224609375,-1.255035400390625,carla_p6
