window,arm,station_m,n,cte_median,cte_q25,cte_q75,course_median_deg
17563-S1,prod-k0,50.0,10,0.16631,0.12473,0.17496,2.3146
17563-S1,prod-k0,51.0,10,0.12539,0.08369,0.14113,2.0591
17563-S1,prod-k0,52.0,10,0.08761,0.05039,0.11956,1.849
17563-S1,prod-k0,53.0,10,0.05559,0.0171,0.09965,1.7858
17563-S1,prod-k0,54.0,10,0.02633,-0.01401,0.07372,1.485
17563-S1,prod-k0,55.0,10,-0.00074,-0.03641,0.04333,1.339
17563-S1,prod-k0,56.0,10,-0.02084,-0.0483,0.01793,0.8443
17563-S1,prod-k0,57.0,10,-0.03416,-0.05521,-0.00756,0.4012
17563-S1,prod-k0,58.0,10,-0.04881,-0.06289,-0.02185,-0.0303
17563-S1,prod-kfix,17.0,10,0.03729,-0.04883,0.0924,-0.0126
17563-S1,prod-kfix,18.0,10,0.00546,-0.03328,0.09833,-0.0218
17563-S1,prod-kfix,19.0,10,-0.01204,-0.02511,0.09107,-0.0029
17563-S1,prod-kfix,20.0,10,0.00154,-0.05038,0.0784,0.2777
17563-S1,prod-kfix,21.0,10,0.01463,-0.06237,0.06207,0.4265
17563-S1,prod-kfix,22.0,10,0.00599,-0.05606,0.06604,0.4972
17563-S1,prod-kfix,23.0,10,-0.01943,-0.05058,0.05793,0.5395
17563-S1,prod-kfix,24.0,10,-0.03837,-0.05264,0.02243,0.2248
17563-S1,prod-kfix,25.0,10,-0.0348,-0.07696,-0.01001,0.5495
17563-S1,prod-kfix,26.0,10,-0.0436,-0.08523,-0.02855,0.7715
17563-S1,prod-kfix,27.0,10,-0.04689,-0.10859,-0.02323,0.7706
17563-S1,prod-kfix,28.0,10,-0.06581,-0.12404,-0.02459,0.7775
17563-S1,prod-kfix,29.0,10,-0.08365,-0.12991,-0.04313,0.4054
17563-S1,prod-kfix,30.0,10,-0.09359,-0.12853,-0.05451,0.167
17563-S1,prod-kfix,31.0,10,-0.08686,-0.12952,-0.05725,-0.1405
17563-S1,prod-kfix,32.0,10,-0.07656,-0.12749,-0.05038,0.378
17563-S1,prod-kfix,33.0,10,-0.04523,-0.09857,-0.00273,4.1622
17563-S1,prod-kfix,34.0,10,0.05738,-0.00179,0.11115,5.2593
17563-S1,prod-kfix,35.0,10,-0.04626,-0.10159,0.01445,3.9963
17563-S1,prod-kfix,36.0,10,-0.24868,-0.28958,-0.2028,2.0966
17563-S1,prod-kfix,37.0,10,-0.36542,-0.39078,-0.33551,2.5194
17563-S1,prod-kfix,38.0,10,-0.41962,-0.43182,-0.37183,0.6723
17563-S1,prod-kfix,39.0,10,-0.44905,-0.46538,-0.38894,-4.2297
17563-S1,prod-kfix,40.0,10,-0.50852,-0.5302,-0.45353,-6.9589
17563-S1,prod-kfix,41.0,10,-0.39426,-0.42649,-0.33262,-9.0479
17563-S1,prod-kfix,42.0,10,-0.10052,-0.1291,-0.05092,-7.7277
17563-S1,prod-kfix,43.0,10,0.14634,0.08177,0.18669,-8.0125
17563-S1,prod-kfix,44.0,10,0.27434,0.19147,0.31932,-5.1588
17563-S1,prod-kfix,45.0,10,0.32769,0.25008,0.36878,-1.2764
17563-S1,prod-kfix,46.0,10,0.32115,0.24961,0.35913,1.4293
17563-S1,prod-kfix,47.0,10,0.28293,0.22362,0.31662,2.8823
17563-S1,prod-kfix,48.0,10,0.22061,0.17842,0.24718,3.6749
17563-S1,prod-kfix,49.0,10,0.16066,0.11789,0.17615,3.6105
17563-S1,prod-kfix,50.0,10,0.10325,0.06267,0.11399,3.1989
17563-S1,prod-kfix,51.0,10,0.0565,0.00853,0.0695,2.5761
17563-S1,prod-kfix,52.0,10,0.01841,-0.03137,0.04283,1.9512
17563-S1,prod-kfix,53.0,10,-0.01643,-0.06143,0.02469,1.5997
17563-S1,prod-kfix,54.0,10,-0.04656,-0.08187,0.00652,1.0269
17563-S1,prod-kfix,55.0,10,-0.06424,-0.09644,-0.01561,0.7734
17563-S1,prod-kfix,56.0,10,-0.07361,-0.10046,-0.03547,0.3086
17563-S1,prod-kfix,57.0,10,-0.07616,-0.09489,-0.04945,-0.1726
17563-S1,prod-kfix,58.0,10,-0.07947,-0.09246,-0.05311,-0.5663
17563-S1,prod-truth,17.0,10,-0.00343,-0.00819,0.00721,-0.0029
17563-S1,prod-truth,18.0,10,-0.00327,-0.00825,0.00698,-0.0021
17563-S1,prod-truth,19.0,10,-0.00327,-0.00828,0.00687,-0.0025
17563-S1,prod-truth,20.0,10,-0.00327,-0.00819,0.00714,-0.0033
17563-S1,prod-truth,21.0,10,-0.00321,-0.0077,0.00697,-0.0001
17563-S1,prod-truth,22.0,10,-0.00337,-0.00778,0.00728,-0.0092
17563-S1,prod-truth,23.0,10,-0.00359,-0.00768,0.00755,0.0083
17563-S1,prod-truth,24.0,10,-0.00364,-0.00757,0.00718,0.0013
17563-S1,prod-truth,25.0,10,-0.00366,-0.00721,0.0071,-0.0028
17563-S1,prod-truth,26.0,10,-0.00372,-0.00739,0.00734,-0.0092
17563-S1,prod-truth,27.0,10,-0.00346,-0.00723,0.00731,-0.0043
17563-S1,prod-truth,28.0,10,-0.00328,-0.00699,0.00721,0.0
17563-S1,prod-truth,29.0,10,-0.00342,-0.00721,0.00755,0.0004
17563-S1,prod-truth,30.0,10,-0.00338,-0.00706,0.00724,0.0119
17563-S1,prod-truth,31.0,10,-0.00394,-0.00756,0.00615,0.0985
17563-S1,prod-truth,32.0,10,-0.00476,-0.00808,0.00607,0.6804
17563-S1,prod-truth,33.0,10,0.0174,0.01434,0.02893,4.3468
17563-S1,prod-truth,34.0,10,0.09708,0.08829,0.10135,5.5925
17563-S1,prod-truth,35.0,10,0.03039,0.02667,0.04174,4.7144
17563-S1,prod-truth,36.0,10,-0.21756,-0.22061,-0.20736,2.3207
17563-S1,prod-truth,37.0,10,-0.31895,-0.32627,-0.3099,2.3312
17563-S1,prod-truth,38.0,10,-0.34895,-0.35623,-0.3408,0.0256
17563-S1,prod-truth,39.0,10,-0.36364,-0.37166,-0.35552,-4.4376
17563-S1,prod-truth,40.0,10,-0.41918,-0.42752,-0.41095,-6.2791
17563-S1,prod-truth,41.0,10,-0.37441,-0.38485,-0.36709,-8.2407
17563-S1,prod-truth,42.0,10,-0.06014,-0.06991,-0.05274,-6.754
17563-S1,prod-truth,43.0,10,0.13682,0.13103,0.14813,-7.0692
17563-S1,prod-truth,44.0,10,0.23211,0.22899,0.24619,-4.3059
17563-S1,prod-truth,45.0,10,0.27555,0.27376,0.28983,-0.8167
17563-S1,prod-truth,46.0,10,0.26846,0.26443,0.2813,1.5878
17563-S1,prod-truth,47.0,10,0.23316,0.22917,0.24599,2.7339
17563-S1,prod-truth,48.0,10,0.17686,0.17339,0.18903,3.2569
17563-S1,prod-truth,49.0,10,0.11751,0.11565,0.12965,3.1469
17563-S1,prod-truth,50.0,10,0.07114,0.06974,0.08371,2.7225
17563-S1,prod-truth,51.0,10,0.02828,0.02615,0.03997,2.079
17563-S1,prod-truth,52.0,10,-0.00283,-0.00584,0.00789,1.3846
17563-S1,prod-truth,53.0,10,-0.01994,-0.02376,-0.00926,0.8536
17563-S1,prod-truth,54.0,10,-0.02998,-0.03424,-0.02023,0.3565
17563-S1,prod-truth,55.0,10,-0.0328,-0.03744,-0.02344,-0.0084
17563-S1,prod-truth,56.0,10,-0.03112,-0.03578,-0.02125,-0.2075
17563-S1,prod-truth,57.0,10,-0.02617,-0.0307,-0.01636,-0.3166
17563-S1,prod-truth,58.0,10,-0.01999,-0.0244,-0.01014,-0.3544
17563-S1,slipack-k0,17.0,10,0.03069,-0.03872,0.09777,0.056
17563-S1,slipack-k0,18.0,10,0.01247,-0.02658,0.0947,-0.0017
17563-S1,slipack-k0,19.0,10,-0.0021,-0.03156,0.08818,0.1836
17563-S1,slipack-k0,20.0,10,0.00933,-0.04775,0.07478,0.4039
17563-S1,slipack-k0,21.0,10,0.01537,-0.05505,0.06021,0.4573
17563-S1,slipack-k0,22.0,10,0.00102,-0.04899,0.07134,0.4977
17563-S1,slipack-k0,23.0,10,-0.02373,-0.04042,0.04765,0.4968
17563-S1,slipack-k0,24.0,10,-0.03121,-0.05745,0.01246,0.1972
17563-S1,slipack-k0,25.0,10,-0.02846,-0.07475,-0.01333,0.585
17563-S1,slipack-k0,26.0,10,-0.03481,-0.0869,-0.02796,0.6852
17563-S1,slipack-k0,27.0,10,-0.05032,-0.10618,-0.00691,0.6902
17563-S1,slipack-k0,28.0,10,-0.06963,-0.11716,-0.02433,0.6475
17563-S1,slipack-k0,29.0,10,-0.08638,-0.12076,-0.04215,0.3741
17563-S1,slipack-k0,30.0,10,-0.08369,-0.12191,-0.05009,-0.0079
17563-S1,slipack-k0,31.0,10,-0.07414,-0.12514,-0.04858,-0.3416
17563-S1,slipack-k0,32.0,10,-0.06287,-0.1216,-0.035,0.3112
17563-S1,slipack-k0,33.0,10,-0.03158,-0.09214,0.01967,3.7165
17563-S1,slipack-k0,34.0,10,0.07748,0.01106,0.14692,3.8898
17563-S1,slipack-k0,35.0,10,0.02149,-0.0226,0.06961,1.042
17563-S1,slipack-k0,36.0,10,-0.13033,-0.16184,-0.09156,-1.5724
17563-S1,slipack-k0,37.0,10,-0.1697,-0.19419,-0.14223,-1.0219
17563-S1,slipack-k0,38.0,10,-0.14431,-0.18879,-0.11621,-1.777
17563-S1,slipack-k0,39.0,10,-0.13615,-0.20179,-0.11081,-4.946
17563-S1,slipack-k0,40.0,10,-0.21065,-0.30092,-0.19275,-4.8433
17563-S1,slipack-k0,41.0,10,-0.18288,-0.23739,-0.15001,-2.3226
17563-S1,slipack-k0,42.0,10,-0.00289,-0.059,0.02608,0.099
17563-S1,slipack-k0,43.0,10,0.0814,0.01093,0.09954,-1.0804
17563-S1,slipack-k0,44.0,10,0.08882,0.04204,0.13452,-0.5786
17563-S1,slipack-k0,45.0,10,0.08601,0.05598,0.13731,0.0893
17563-S1,slipack-k0,46.0,10,0.08147,0.06236,0.13419,0.2975
17563-S1,slipack-k0,47.0,10,0.07733,0.05279,0.12447,0.2266
17563-S1,slipack-k0,48.0,10,0.06933,0.03323,0.1088,0.3596
17563-S1,slipack-k0,49.0,10,0.06701,0.02421,0.08319,0.3015
17563-S1,slipack-k0,50.0,10,0.05761,0.01682,0.06798,0.4309
17563-S1,slipack-k0,51.0,10,0.0467,0.01266,0.07506,0.3405
17563-S1,slipack-k0,52.0,10,0.03691,0.00308,0.0814,0.4758
17563-S1,slipack-k0,53.0,10,0.0298,-0.01379,0.07734,0.7355
17563-S1,slipack-k0,54.0,10,0.01512,-0.02945,0.06524,0.9907
17563-S1,slipack-k0,55.0,10,-0.00463,-0.04042,0.04203,0.8725
17563-S1,slipack-k0,56.0,10,-0.01903,-0.04811,0.01784,0.3887
17563-S1,slipack-k0,57.0,10,-0.0341,-0.04865,-0.00137,0.0096
17563-S1,slipack-k0,58.0,10,-0.03852,-0.05851,-0.01119,-0.0526
17563-S1,slipack-kfix,17.0,10,0.02845,-0.04471,0.09576,0.0251
17563-S1,slipack-kfix,18.0,10,0.00299,-0.02975,0.09222,-0.0521
17563-S1,slipack-kfix,19.0,10,-0.00429,-0.038,0.08539,0.1108
17563-S1,slipack-kfix,20.0,10,0.00841,-0.05586,0.07204,0.4197
17563-S1,slipack-kfix,21.0,10,0.01333,-0.06407,0.06022,0.3816
17563-S1,slipack-kfix,22.0,10,-0.00202,-0.05378,0.07712,0.4436
17563-S1,slipack-kfix,23.0,10,-0.02513,-0.04484,0.04278,0.4686
17563-S1,slipack-kfix,24.0,10,-0.03205,-0.06091,0.00554,0.2026
17563-S1,slipack-kfix,25.0,10,-0.03049,-0.07799,-0.01956,0.5958
17563-S1,slipack-kfix,26.0,10,-0.03552,-0.09317,-0.0297,0.7081
17563-S1,slipack-kfix,27.0,10,-0.0537,-0.11387,-0.00601,0.7484
17563-S1,slipack-kfix,28.0,10,-0.07357,-0.12359,-0.0326,0.6923
17563-S1,slipack-kfix,29.0,10,-0.08928,-0.12536,-0.0497,0.4204
17563-S1,slipack-kfix,30.0,10,-0.09061,-0.12301,-0.05572,-0.0371
17563-S1,slipack-kfix,31.0,10,-0.0784,-0.12948,-0.0568,-0.3979
17563-S1,slipack-kfix,32.0,10,-0.06537,-0.12307,-0.04222,0.2663
17563-S1,slipack-kfix,33.0,10,-0.03447,-0.0901,0.01525,3.7189
17563-S1,slipack-kfix,34.0,10,0.07719,0.01586,0.14536,3.7624
17563-S1,slipack-kfix,35.0,10,0.01829,-0.01651,0.06958,0.6385
17563-S1,slipack-kfix,36.0,10,-0.12401,-0.15055,-0.0862,-2.1852
17563-S1,slipack-kfix,37.0,10,-0.14777,-0.17544,-0.12307,-2.0202
17563-S1,slipack-kfix,38.0,10,-0.1065,-0.15089,-0.07395,-3.1298
17563-S1,slipack-kfix,39.0,10,-0.08072,-0.13915,-0.04456,-6.3721
17563-S1,slipack-kfix,40.0,10,-0.13533,-0.20487,-0.09986,-6.0206
17563-S1,slipack-kfix,41.0,10,-0.09943,-0.14409,-0.05373,-2.7298
17563-S1,slipack-kfix,42.0,10,0.0833,0.03728,0.13397,0.547
17563-S1,slipack-kfix,43.0,10,0.15795,0.11185,0.20004,-0.0358
17563-S1,slipack-kfix,44.0,10,0.15126,0.11942,0.20292,1.199
17563-S1,slipack-kfix,45.0,10,0.1187,0.09096,0.17078,2.2535
17563-S1,slipack-kfix,46.0,10,0.07312,0.06546,0.12936,2.4143
17563-S1,slipack-kfix,47.0,10,0.04297,0.01664,0.08817,1.9032
17563-S1,slipack-kfix,48.0,10,0.01506,-0.02842,0.04533,1.3389
17563-S1,slipack-kfix,49.0,10,-0.00116,-0.04408,0.00718,0.7645
17563-S1,slipack-kfix,50.0,10,-0.01399,-0.05517,-0.00751,0.2753
17563-S1,slipack-kfix,51.0,10,-0.01878,-0.05458,0.00153,0.0189
17563-S1,slipack-kfix,52.0,10,-0.02241,-0.05897,0.01688,-0.0007
17563-S1,slipack-kfix,53.0,10,-0.02021,-0.06399,0.02231,0.2128
17563-S1,slipack-kfix,54.0,10,-0.02599,-0.07095,0.02237,0.4933
17563-S1,slipack-kfix,55.0,10,-0.03701,-0.07465,0.00661,0.4654
17563-S1,slipack-kfix,56.0,10,-0.04625,-0.07542,-0.01225,-0.0149
17563-S1,slipack-kfix,57.0,10,-0.0574,-0.06941,-0.02458,-0.3422
17563-S1,slipack-kfix,58.0,10,-0.05625,-0.07959,-0.03054,-0.3374
17563-S1,slipack-truth,17.0,10,-0.00014,-0.00687,0.00509,-0.003
17563-S1,slipack-truth,18.0,10,0.00013,-0.00684,0.00499,-0.007
17563-S1,slipack-truth,19.0,10,0.00029,-0.007,0.0051,-0.0006
17563-S1,slipack-truth,20.0,10,0.00036,-0.00714,0.00528,0.0045
17563-S1,slipack-truth,21.0,10,0.00029,-0.00678,0.00512,0.002
17563-S1,slipack-truth,22.0,10,0.00027,-0.00695,0.00519,0.0005
17563-S1,slipack-truth,23.0,10,0.00018,-0.00711,0.00542,-0.0049
17563-S1,slipack-truth,24.0,10,-0.0001,-0.0068,0.00516,-0.0002
17563-S1,slipack-truth,25.0,10,-6e-05,-0.00656,0.00504,-0.0017
17563-S1,slipack-truth,26.0,10,-2e-05,-0.00681,0.00534,0.0016
17563-S1,slipack-truth,27.0,10,0.00022,-0.00667,0.00516,-0.0015
17563-S1,slipack-truth,28.0,10,0.00015,-0.00642,0.00486,0.0048
17563-S1,slipack-truth,29.0,10,7e-05,-0.00682,0.00511,0.0013
17563-S1,slipack-truth,30.0,10,6e-05,-0.00657,0.00506,0.0046
17563-S1,slipack-truth,31.0,10,-0.00056,-0.00731,0.00422,0.0967
17563-S1,slipack-truth,32.0,10,-0.00154,-0.00777,0.00303,0.6577
17563-S1,slipack-truth,33.0,10,0.02173,0.01656,0.02443,3.9203
17563-S1,slipack-truth,34.0,10,0.12603,0.12369,0.12953,3.8252
17563-S1,slipack-truth,35.0,10,0.05632,0.05519,0.06063,0.9216
17563-S1,slipack-truth,36.0,10,-0.08409,-0.08499,-0.0821,-2.4165
17563-S1,slipack-truth,37.0,10,-0.10584,-0.1098,-0.10427,-2.1873
17563-S1,slipack-truth,38.0,10,-0.06313,-0.06488,-0.05752,-3.3302
17563-S1,slipack-truth,39.0,10,-0.03007,-0.03169,-0.02408,-6.3288
17563-S1,slipack-truth,40.0,10,-0.09045,-0.09292,-0.08685,-5.282
17563-S1,slipack-truth,41.0,10,-0.0555,-0.06325,-0.0531,-1.2878
17563-S1,slipack-truth,42.0,10,0.1025,0.09901,0.10316,1.8208
17563-S1,slipack-truth,43.0,10,0.1478,0.14548,0.1503,1.1712
17563-S1,slipack-truth,44.0,10,0.12676,0.12298,0.12934,2.049
17563-S1,slipack-truth,45.0,10,0.08617,0.082,0.0892,2.4526
17563-S1,slipack-truth,46.0,10,0.0488,0.04674,0.05177,2.1052
17563-S1,slipack-truth,47.0,10,0.01718,0.01583,0.01762,1.3706
17563-S1,slipack-truth,48.0,10,-0.00201,-0.00497,0.00041,0.7288
17563-S1,slipack-truth,49.0,10,-0.00925,-0.0146,-0.00661,0.313
17563-S1,slipack-truth,50.0,10,-0.01126,-0.01909,-0.00801,0.0279
17563-S1,slipack-truth,51.0,10,-0.01034,-0.01878,-0.00632,-0.1295
17563-S1,slipack-truth,52.0,10,-0.00789,-0.01603,-0.00387,-0.1657
17563-S1,slipack-truth,53.0,10,-0.00503,-0.01283,-0.00037,-0.1716
17563-S1,slipack-truth,54.0,10,-0.00252,-0.01004,0.00249,-0.134
17563-S1,slipack-truth,55.0,10,-0.00099,-0.00805,0.00383,-0.0903
17563-S1,slipack-truth,56.0,10,7e-05,-0.0067,0.00522,-0.043
17563-S1,slipack-truth,57.0,10,0.00064,-0.00619,0.00585,-0.0218
17563-S1,slipack-truth,58.0,10,0.00085,-0.0057,0.00583,-0.0004
17563-S2,prod-k0,63.0,10,-0.045,-0.07083,0.05611,0.118
17563-S2,prod-k0,64.0,10,-0.04551,-0.08831,0.07303,0.2259
17563-S2,prod-k0,65.0,10,-0.04708,-0.11443,0.06988,0.1527
17563-S2,prod-k0,66.0,10,-0.04746,-0.11702,0.07974,0.058
17563-S2,prod-k0,67.0,10,-0.04168,-0.11395,0.08389,-0.0372
17563-S2,prod-k0,68.0,10,-0.03164,-0.11244,0.0821,-0.3878
17563-S2,prod-k0,69.0,10,-0.02006,-0.11039,0.07513,-0.4802
17563-S2,prod-k0,70.0,10,-0.00629,-0.10359,0.06847,-0.6931
17563-S2,prod-k0,71.0,10,0.0075,-0.0862,0.07406,-0.5084
17563-S2,prod-k0,72.0,10,0.0139,-0.05646,0.06076,-0.543
17563-S2,prod-k0,73.0,10,0.00887,-0.02388,0.05928,-0.5629
17563-S2,prod-k0,74.0,10,0.0085,-0.00882,0.04787,-0.1553
17563-S2,prod-k0,75.0,10,0.00568,-0.00245,0.03799,0.2919
17563-S2,prod-k0,76.0,10,0.00701,-0.01662,0.03511,0.3979
17563-S2,prod-k0,77.0,10,0.00051,-0.02978,0.01547,0.8005
17563-S2,prod-k0,78.0,10,-0.01376,-0.03996,-0.00885,1.2442
17563-S2,prod-k0,79.0,10,-0.01461,-0.04558,-0.00545,5.2237
17563-S2,prod-k0,80.0,10,0.02396,0.0109,0.05733,6.9579
17563-S2,prod-k0,81.0,10,-0.05395,-0.07787,-0.04311,5.5514
17563-S2,prod-k0,82.0,10,-0.30498,-0.33326,-0.28166,3.6519
17563-S2,prod-k0,83.0,10,-0.44924,-0.48369,-0.41342,3.8577
17563-S2,prod-k0,84.0,10,-0.51888,-0.54734,-0.45109,1.6062
17563-S2,prod-k0,85.0,10,-0.54701,-0.58807,-0.47264,-3.2077
17563-S2,prod-k0,86.0,10,-0.62334,-0.64938,-0.54584,-6.4669
17563-S2,prod-k0,87.0,10,-0.51127,-0.53572,-0.47384,-9.6563
17563-S2,prod-k0,88.0,10,-0.25027,-0.29829,-0.18093,-9.3051
17563-S2,prod-k0,89.0,10,0.00313,-0.05283,0.06819,-10.12
17563-S2,prod-k0,90.0,10,0.1641,0.12139,0.21243,-7.3228
17563-S2,prod-k0,91.0,10,0.24629,0.21239,0.29322,-4.0207
17563-S2,prod-k0,92.0,10,0.27677,0.25973,0.31581,-0.787
17563-S2,prod-k0,93.0,10,0.27535,0.25565,0.30665,1.1155
17563-S2,prod-k0,94.0,10,0.26253,0.22452,0.28111,2.2621
17563-S2,prod-k0,95.0,10,0.23475,0.17977,0.25346,2.9838
17563-S2,prod-k0,96.0,10,0.19988,0.12865,0.21429,2.8226
17563-S2,prod-k0,97.0,10,0.15222,0.07309,0.18414,2.7194
17563-S2,prod-k0,98.0,10,0.1009,0.02399,0.14482,2.3739
17563-S2,prod-k0,99.0,10,0.05325,-0.0046,0.10928,1.8138
17563-S2,prod-k0,100.0,10,0.01752,-0.02548,0.08421,1.2264
17563-S2,prod-k0,101.0,10,-0.00618,-0.04294,0.06337,0.7124
17563-S2,prod-k0,102.0,10,-0.01311,-0.04749,0.04705,0.4337
17563-S2,prod-k0,103.0,10,-0.00871,-0.04203,0.03398,0.2205
17563-S2,prod-k0,104.0,10,0.00046,-0.03754,0.02381,-0.0319
17563-S2,prod-kfix,63.0,10,-0.04474,-0.06988,0.06411,-0.0018
17563-S2,prod-kfix,64.0,10,-0.04348,-0.08634,0.07871,0.1608
17563-S2,prod-kfix,65.0,10,-0.04516,-0.11315,0.07392,0.1277
17563-S2,prod-kfix,66.0,10,-0.04603,-0.11324,0.08393,0.0848
17563-S2,prod-kfix,67.0,10,-0.0412,-0.10961,0.08748,-0.0027
17563-S2,prod-kfix,68.0,10,-0.03234,-0.1082,0.08447,-0.362
17563-S2,prod-kfix,69.0,10,-0.02119,-0.10602,0.07623,-0.4598
17563-S2,prod-kfix,70.0,10,-0.0074,-0.09964,0.06875,-0.7093
17563-S2,prod-kfix,71.0,10,0.00594,-0.08278,0.07468,-0.5467
17563-S2,prod-kfix,72.0,10,0.01015,-0.05063,0.05591,-0.5576
17563-S2,prod-kfix,73.0,10,0.00407,-0.02079,0.05174,-0.6096
17563-S2,prod-kfix,74.0,10,0.00757,-0.00573,0.03916,-0.1365
17563-S2,prod-kfix,75.0,10,0.01279,-0.00787,0.02994,0.2692
17563-S2,prod-kfix,76.0,10,0.01355,-0.02149,0.02785,0.4715
17563-S2,prod-kfix,77.0,10,0.00365,-0.02705,0.01235,0.7535
17563-S2,prod-kfix,78.0,10,-0.01387,-0.03773,-0.00858,1.1847
17563-S2,prod-kfix,79.0,10,-0.01585,-0.04753,-0.00855,5.2214
17563-S2,prod-kfix,80.0,10,0.02533,0.00031,0.04798,7.0372
17563-S2,prod-kfix,81.0,10,-0.06361,-0.07216,-0.03332,5.4816
17563-S2,prod-kfix,82.0,10,-0.30547,-0.3389,-0.27858,3.2888
17563-S2,prod-kfix,83.0,10,-0.4482,-0.48901,-0.39638,3.3081
17563-S2,prod-kfix,84.0,10,-0.49442,-0.53776,-0.4263,0.9703
17563-S2,prod-kfix,85.0,10,-0.51227,-0.56469,-0.43257,-3.4202
17563-S2,prod-kfix,86.0,10,-0.56617,-0.63188,-0.49289,-6.5449
17563-S2,prod-kfix,87.0,10,-0.49208,-0.53141,-0.42111,-9.9213
17563-S2,prod-kfix,88.0,10,-0.1817,-0.22985,-0.13911,-9.0419
17563-S2,prod-kfix,89.0,10,0.07832,0.03157,0.11992,-9.9256
17563-S2,prod-kfix,90.0,10,0.22675,0.18359,0.30399,-7.1299
17563-S2,prod-kfix,91.0,10,0.29828,0.27617,0.37391,-3.1125
17563-S2,prod-kfix,92.0,10,0.31335,0.29044,0.37452,0.2869
17563-S2,prod-kfix,93.0,10,0.2958,0.25469,0.33231,2.4159
17563-S2,prod-kfix,94.0,10,0.255,0.20661,0.27588,3.2934
17563-S2,prod-kfix,95.0,10,0.20104,0.14126,0.22234,3.8367
17563-S2,prod-kfix,96.0,10,0.14764,0.08038,0.16158,3.3602
17563-S2,prod-kfix,97.0,10,0.07855,0.01484,0.11129,3.2132
17563-S2,prod-kfix,98.0,10,0.01451,-0.03977,0.061,2.572
17563-S2,prod-kfix,99.0,10,-0.02753,-0.07374,0.02509,1.7279
17563-S2,prod-kfix,100.0,10,-0.05849,-0.09787,0.0022,0.8234
17563-S2,prod-kfix,101.0,10,-0.0718,-0.10583,-0.00915,0.1248
17563-S2,prod-kfix,102.0,10,-0.06865,-0.10033,-0.01341,-0.1374
17563-S2,prod-kfix,103.0,10,-0.05224,-0.08739,-0.01412,-0.4296
17563-S2,prod-kfix,104.0,10,-0.03386,-0.07127,-0.01129,-0.6473
17563-S2,prod-truth,63.0,10,-0.00145,-0.00507,0.00959,-0.0673
17563-S2,prod-truth,64.0,10,-0.00044,-0.00401,0.01021,-0.025
17563-S2,prod-truth,65.0,10,-0.00056,-0.00422,0.01077,0.006
17563-S2,prod-truth,66.0,10,-0.00086,-0.00434,0.01034,0.028
17563-S2,prod-truth,67.0,10,-0.00129,-0.00471,0.00962,0.0363
17563-S2,prod-truth,68.0,10,-0.00203,-0.00553,0.0092,0.0336
