frame,timestamp,raw_speed_mps,desired,native_throttle,native_brake,old_reason,new_reason,old_native_throttle,old_native_brake,new_native_throttle,new_native_brake,old_pi_throttle,old_pi_brake,new_pi_throttle,new_pi_brake
3180,3.250000048428774,7.111799875546715,7.782828013102215,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.3870886654683552,0.0,0.3870886654683552,0.0
3181,3.300000049173832,7.188478593125466,7.8947917620340995,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.41356009588784093,0.0,0.41356009588784093,0.0
3182,3.35000004991889,7.325671198462478,8.488131523132324,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.6561644280433453,0.0,0.6561644280433453,0.0
3183,3.400000050663948,7.456393788950062,7.750972270965576,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.2259057377962429,0.0,0.2259057377962429,0.0
3184,3.450000051409006,7.633683664348529,8.210560003916422,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.37426562092448273,0.0,0.37426562092448273,0.0
3185,3.500000052154064,7.79708863595468,8.092565377553305,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.23725928126486823,0.0,0.23725928126486823,0.0
3186,3.5500000528991222,7.997774348820546,6.773547013600667,0.0,1.0,tracking,tracking,0.0,1.0,0.0,1.0,0.0,0.5378955990626626,0.0,0.5378955990626626
3187,3.6000000536441803,8.135588914903437,8.250581423441568,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.1331517291944886,0.0,0.1331517291944886,0.0
3188,3.6500000543892384,8.238939671911218,8.114292780558268,0.0,0.0,tracking,tracking,0.0,0.0,0.0,0.0,0.011773943083818197,0.0,0.011773943083818197,0.0
3189,3.7000000551342964,8.30165489382679,6.724459489186604,0.0,1.0,tracking,tracking,0.0,1.0,0.0,1.0,0.0,0.7342152564115773,0.0,0.7342152564115773
3190,3.7500000558793545,8.301004674167903,7.502488772074381,0.0,1.0,tracking,tracking,0.0,1.0,0.0,1.0,0.0,0.3548569540631493,0.0,0.3548569540631493
3191,3.8000000566244125,8.167168626835137,7.599219004313151,0.09217669566472371,0.0,tracking,tracking,0.09217669566472371,0.0,0.09217669566472371,0.0,0.0,0.2466731846646949,0.0,0.2466731846646949
3192,3.8500000573694706,8.035272664198471,7.733914534250895,0.0890516956647237,0.0,tracking,tracking,0.0890516956647237,0.0,0.0890516956647237,0.0,0.0,0.11714441505796752,0.0,0.11714441505796752
3193,3.9000000581145287,7.885628245944539,7.693683306376139,0.0859266956647237,0.0,tracking,tracking,0.0859266956647237,0.0,0.0859266956647237,0.0,0.0,0.06483713164873686,0.0,0.06483713164873686
3194,3.9500000588595867,7.7706497576818645,6.928555965423584,0.0,1.0,tracking,tracking,0.0,1.0,0.0,1.0,0.0,0.40043773055375764,0.0,0.40043773055375764
3195,4.000000059604645,7.5851371610182685,7.246589660644531,0.07967669566472371,0.0,tracking,tracking,0.07967669566472371,0.0,0.07967669566472371,0.0,0.0,0.15289642842921713,0.0,0.15289642842921713
3196,4.050000060349703,7.438092672123159,5.446008364359538,0.0,1.0,tracking,tracking,0.0,1.0,0.0,1.0,0.0,0.979664832124159,0.0,0.979664832124159
3197,4.100000061094761,7.235077953070873,7.661067644755046,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.2346970388251367,0.0,0.2346970388251367,0.0
3198,4.150000061839819,7.08347285571464,6.867354234059652,0.0,0.0,tracking,tracking,0.0,0.0,0.0,0.0,0.0,0.08905860065538604,0.0,0.08905860065538604
3199,4.200000062584877,6.903173732035254,4.09658670425415,0.0,1.0,tracking,tracking,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
3200,4.250000063329935,6.778243136075654,6.186102867126465,0.0671766956647237,0.0,tracking,tracking,0.0671766956647237,0.0,0.0671766956647237,0.0,0.0,0.28447117777464614,0.0,0.28447117777464614
3201,4.300000064074993,6.723068144215187,5.575899044672648,0.0,1.0,tracking,tracking,0.0,1.0,0.0,1.0,0.0,0.5763252070292796,0.0,0.5763252070292796
3202,4.350000064820051,6.708589235282784,6.7345058123270665,0.21675106684366505,0.0,tracking,tracking,0.21675106684366505,0.0,0.21675106684366505,0.0,0.01054158848201159,0.0,0.01054158848201159,0.0
3203,4.400000065565109,6.128945029942103,7.478071212768555,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.6890104689097214,0.0,0.6890104689097214,0.0
3204,4.450000066310167,5.7380755007578825,6.61840264002482,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.4656150365347748,0.0,0.4656150365347748,0.0
3205,4.500000067055225,5.495761206150222,7.078282515207926,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3206,4.550000067800283,5.34834969670391,6.974515755971272,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3207,4.6000000685453415,5.246552969315057,6.868260860443115,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.75,0.0,0.75,0.0
3208,4.6500000692903996,5.173318150990701,6.0081915855407715,0.75,0.0,tracking,tracking,0.75,0.0,0.75,0.0,0.4533241022637244,0.0,0.4533241022637244,0.0
