level,route,seed,arm,context,lag_s,first_error_mps_n,first_error_mps_mean,first_error_mps_median,first_error_mps_p10,first_error_mps_p90,mean8_error_mps_n,mean8_error_mps_mean,mean8_error_mps_median,mean8_error_mps_p10,mean8_error_mps_p90,target_error_mps_n,target_error_mps_mean,target_error_mps_median,target_error_mps_p10,target_error_mps_p90
1,3255,1,C,cruise,nan,351,0.3367353597987735,0.10434113552328217,-0.0760173893877375,1.1072751336505755,351,0.2459264521819614,-0.09595310367269239,-2.121002458522609,4.007246914432524,351,0.6610751709298766,0.06536052116353996,-0.06553552121722994,1.376458343276852
1,3255,2,C,all,0.1,638,0.39002191580796375,0.2105344286057473,-0.39109295155409785,1.3004573344221322,638,0.14680882363750034,-0.13009254005956428,-2.8696485610658455,3.8719873299373293,638,-0.3137263052201862,-0.004622761007157516,-4.027718457660042,1.5775124832913514
1,3255,2,C,launch,nan,36,0.8857125173043736,0.7941652761601867,0.7306082216043163,1.1312585342570163,36,3.948329415014859,3.975810878921642,3.800583820839705,4.512510435630582,36,1.276444826365239,1.1249339831832081,0.7154812286844968,1.6645402933990345
1,3255,2,C,target_stop,nan,245,0.1535903159239617,0.04045456454623685,-0.7661101201231689,1.437403621668196,245,-0.8340731205340587,-0.7255313455914463,-3.17497017967047,2.6552322128567862,245,-2.4293403154357294,-1.8570424462856092,-6.943539882571792,-0.0032982364539938525
1,3255,2,C,decelerate,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan
1,3255,2,C,turn,nan,27,1.3349598101598175,1.3865518807357409,1.0056428955295957,1.5785815134931993,27,4.275183659437954,4.55183941682402,3.276225899277185,4.998145001162614,27,7.031200329998746,7.135304008085887,6.005357908895978,8.097134981238854
1,3255,2,C,cruise,nan,330,0.43416602844496277,0.18603534924004705,-0.074435596359044,1.2006268750312294,330,0.12255189777639354,-0.10834942629463873,-2.620999428533993,3.4551206875069003,330,0.4825350663398796,0.08970093223695041,-0.08556765388376474,1.5736742923244327
1,3255,0,A,all,0.1,720,0.1548369269381226,0.08024132498430761,-0.5918696179314586,0.8734689328626918,720,0.1679956985757534,0.03366786264337181,-1.7755800919755163,2.394519016001584,720,-0.9400824397438802,0.0,-6.9342773706257095,0.6842407819213492
1,3255,0,A,launch,nan,28,0.7423264387739118,0.7504168322734762,0.678006118088086,0.8564157651642911,28,3.800474368151281,3.8818928293829766,2.9933127723485953,4.482764614669239,28,1.0372001814908045,1.116157797508428,0.49582315135918004,1.4286100581228105
1,3255,0,A,target_stop,nan,367,-0.15507537372120306,0.004243504479403095,-0.7220376192027078,0.2572729545603672,367,-0.39478417841300445,0.01933215477067939,-2.496933773639909,1.7441853760107813,367,-2.249812192244264,0.0,-7.477318261370767,0.0
1,3255,0,A,decelerate,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan
1,3255,0,A,turn,nan,8,0.4100766594227654,0.4231133605413864,0.3463903290285949,0.4687074033727188,8,0.6917272559780063,0.751586743842668,0.476148666817147,0.8697827145124274,8,0.2965545546393432,0.3141768740866566,0.18375824373487407,0.3977569114329846
1,3255,0,A,cruise,nan,317,0.4552980946059247,0.6422754123145928,-0.36595105838079167,1.0163582131318611,317,0.4854750665490698,0.5946166736678817,-1.0268508841917887,2.193117117538082,317,0.3703712189879942,0.4463098681929396,0.00047932040824729923,0.8615438743376492
1,3255,0,B,all,0.0,716,0.44814531716559086,0.5574319684587751,-0.13739294970993488,1.0299462523401806,716,0.7297528913960782,0.5737878068987008,-0.6039183135433868,2.931575136590671,716,0.01310109411804982,0.38446339200251867,-0.3956970201775468,1.1007748635528107
1,3255,0,B,launch,nan,35,0.6854777979133893,0.7123994792395634,0.4924054051346804,0.8003344552261866,35,3.5285931391805443,3.86473185002882,1.6407090031398803,4.479537487537346,35,1.0779803916685224,1.1238092558286141,0.65117924455215,1.396410976155263
1,3255,0,B,target_stop,nan,192,-0.09982693512932217,0.0012074645250663625,-0.4346298511873123,0.010228838536865851,192,0.6371537033492517,0.5742586013217655,-0.5218328404001584,1.7672776827535956,192,-1.2560592252428275,0.0,-6.711105052442682,0.0
1,3255,0,B,decelerate,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan,0,nan,nan,nan,nan
