contrast,executed_arm,speed_bin,intent,curvature,axis,n,mean,median,p10,p90
A-B,B,<0.5,cruise,straight,steer,6483,-0.06889304227274286,-0.068,-0.154,0.0003592457171529565
A-B,B,<0.5,launch,straight,long,1317,-1.0562369492142567,-1.0789999961853027,-1.7421225547790529,-0.16676774024963334
A-B,B,<0.5,launch,straight,steer,1317,-0.023418793295477715,-0.001,-0.13185230758190156,0.020513604629039773
A-B,B,<0.5,launch,turn,long,122,-1.0398871593236685,-1.1218369007110596,-1.7110540390014648,0.004724711179733306
A-B,B,<0.5,launch,turn,steer,122,-0.2186655404276222,-0.11958565187454223,-1.0,0.1093372302144766
A-B,B,<0.5,target_stop,straight,long,20840,-0.30925637602069617,0.0,-1.6450293183326719,0.0
A-B,B,<0.5,target_stop,straight,steer,20840,0.0013670819637812068,0.0,0.0,0.0
A-B,B,<0.5,target_stop,turn,long,142,-1.5466743540071266,-1.4959424324333668,-3.57605185508728,0.0
A-B,B,<0.5,target_stop,turn,steer,142,0.011388031916137834,0.0,-0.053737795686721726,0.11923721482157712
A-B,B,>=8,cruise,straight,long,1974,0.095209829641881,0.2655850946903229,-1.3746797740459442,0.94164021871984
A-B,B,>=8,cruise,straight,steer,1974,0.0027359415133546053,0.0003044216297566891,-0.08850236013531683,0.06837114939987661
A-B,B,>=8,target_stop,straight,long,315,-0.6869050084361954,0.0,-1.7196433424949646,0.0
A-B,B,>=8,target_stop,straight,steer,315,0.054458175988219316,0.005372064232826226,-0.16755956218242643,0.34444837708305576
C-B,C,0.5-3,cruise,straight,long,1645,-1.4482317915218397,-1.9724998474121094,-2.0957958459854127,1.148440763354303
C-B,C,0.5-3,cruise,straight,steer,1645,0.029343962348200105,0.0006237834009839894,-0.013399718307269113,0.13613221911589313
C-B,C,0.5-3,target_stop,straight,long,710,1.0889678180158715,1.1498326510190964,0.4493876755237579,1.75
C-B,C,0.5-3,target_stop,straight,steer,710,0.08415549044083738,0.009280285042607124,-0.26344545316696166,0.6968495190143587
C-B,C,0.5-3,target_stop,turn,long,77,0.2754304978948135,0.9406797774136066,-1.5947181701660156,1.75
C-B,C,0.5-3,target_stop,turn,steer,77,0.4933348691600616,0.4402938267257479,-0.14265600201156403,1.3269813693629373
C-B,C,0.5-3,turn,turn,long,490,-1.5452191626022058,-1.9724998474121094,-2.099865460395813,0.0
C-B,C,0.5-3,turn,turn,steer,490,0.0501548727618819,0.02737838688927392,-0.2609472589956389,0.31454186915689064
C-B,C,3-8,cruise,straight,long,8465,-0.1986847056446999,0.34823013097047806,-1.9888128280639648,1.3205076038837433
C-B,C,3-8,cruise,straight,steer,8465,0.0037006760835985595,9.286817573916375e-05,-0.02008335397640864,0.02098892617722353
C-B,C,3-8,target_stop,straight,long,1474,0.8437748213899137,1.0227409359067678,0.040840069204568896,1.4035332441329957
C-B,C,3-8,target_stop,straight,steer,1474,-0.014558929606504515,2.3214675525196072e-05,-0.09113667830824847,0.044969059512019155
C-B,C,3-8,target_stop,turn,long,119,0.7590058656691128,1.0510153882205486,-0.3594181716442108,1.5094626784324645
C-B,C,3-8,target_stop,turn,steer,119,-0.04061415832034068,0.0006884160637855574,-0.49626071961720786,0.3606903197235532
C-B,C,3-8,turn,turn,long,917,-0.7091329517724011,-1.4752964973449707,-2.0432892084121703,1.5152988910675047
C-B,C,3-8,turn,turn,steer,917,-0.04763840808409787,0.015149907122055689,-0.39844880227910145,0.20869577129681904
C-B,C,<0.5,cruise,straight,long,559,0.2534289867219004,5.960464455334602e-09,0.0,1.23435338139534
C-B,C,<0.5,cruise,straight,steer,559,0.1023470217442394,0.0,-0.23463326438268023,0.800000011920929
C-B,C,<0.5,launch,straight,long,3850,-2.0669453738455648,-1.9724998474121094,-2.42227763235569,-1.695557302236557
C-B,C,<0.5,launch,straight,steer,3850,-0.2696040992446716,-0.001506400309089155,-0.800000011920929,0.05137272154306991
C-B,C,<0.5,target_stop,straight,long,9958,-0.48217375522356803,0.0,-1.9724998474121094,1.0515693668276072
C-B,C,<0.5,target_stop,straight,steer,9958,0.07255550699219948,0.0,-0.5759692252874373,0.800000011920929
C-B,C,0.5-3,decelerate,straight,long,1,-5.266646862030029,-5.266646862030029,-5.266646862030029,-5.266646862030029
C-B,C,0.5-3,decelerate,straight,steer,1,0.10131138205528258,0.10131138205528258,0.10131138205528258,0.10131138205528258
C-B,C,<0.5,launch,turn,long,646,-1.9381117109543768,-1.9724998474121094,-2.2005143016576767,-1.8519744575023651
C-B,C,<0.5,launch,turn,steer,646,-0.4458892849546414,-0.7850867883364359,-0.800000011920929,0.07930491417129007
C-B,C,>=8,cruise,straight,long,2740,0.03493811253699591,0.2833270840346813,-1.7041523039340971,1.2993033796548843
C-B,C,>=8,cruise,straight,steer,2740,0.00032433629239288556,0.00019663776195051876,-0.0397019551075581,0.016467745354606045
C-B,C,<0.5,target_stop,turn,long,1884,-1.4416623764795957,-1.9724998474121094,-1.9724998474121094,0.0
C-B,C,<0.5,target_stop,turn,steer,1884,-0.6617145011543359,-0.7861388309796651,-0.800000011920929,-0.19882085153791634
A-B,A,3-8,target_stop,turn,long,131,-0.2753109393058387,0.0,-1.3139492869377136,0.0
A-B,A,3-8,target_stop,turn,steer,131,-0.11676586076226524,-0.04399999976158142,-0.5145409663269918,0.18012997011343634
C-B,B,0.5-3,target_stop,straight,long,368,-0.004301445421671319,0.3499999940395355,-1.908261427282407,1.4113224576297003
C-B,B,0.5-3,target_stop,straight,steer,368,-0.04123748585505329,-0.0005333626347082889,-0.8,0.5079654291919439
C-B,B,3-8,target_stop,straight,long,795,0.5109469727742302,0.8216297709434779,-0.3750846742458475,1.3115747113552712
C-B,B,3-8,target_stop,straight,steer,795,0.01981309181188951,8.633420576103418e-05,-0.024411088664262746,0.10031182170882263
A-B,B,0.5-3,target_stop,straight,long,368,-1.0392424501802608,-5.960464455334602e-09,-3.3595793724060057,0.0
A-B,B,0.5-3,target_stop,straight,steer,368,0.07869364225301409,0.0014141972297802567,-0.19477021864354607,0.4198924195766449
A-B,B,3-8,target_stop,straight,long,795,-0.6232827051911713,0.0,-1.4996371150016785,0.0
A-B,B,3-8,target_stop,straight,steer,795,0.03900088719277674,0.00013909058179706335,-0.05440885682646185,0.2303205367922786
C-B,B,0.5-3,decelerate,straight,long,2,-1.974759401683762,-1.974759401683762,-4.877751791835776,0.9282329884682519
C-B,B,0.5-3,decelerate,straight,steer,2,0.22246159351967987,0.22246159351967987,0.08759745307187879,0.35732573396748096
C-B,B,3-8,decelerate,straight,long,12,0.6848201752346332,0.8330107362627874,0.605623805130405,0.9855366916855487
C-B,B,3-8,decelerate,straight,steer,12,0.001094669422363884,-0.004911456508858094,-0.034031468411200055,-0.00022296901346410784
A-B,B,0.5-3,decelerate,straight,long,2,-1.8017499446868896,-1.8017499446868896,-3.2431499004364013,-0.36034998893737785
A-B,B,0.5-3,decelerate,straight,steer,2,-0.3327950412556529,-0.3327950412556529,-0.5773362086281181,-0.08825387388318777
A-B,B,3-8,decelerate,straight,long,12,0.8634231189886729,1.0,0.0,2.0
A-B,B,3-8,decelerate,straight,steer,12,-0.08513984247591967,-0.004220844136085361,-0.20854670851081608,0.003478483492974192
C-B,C,>=8,target_stop,straight,long,273,0.6348749717442497,0.9215764850378036,-0.3059676349163055,1.2371648877859116
C-B,C,>=8,target_stop,straight,steer,273,-0.014609092574026709,-0.0019183251261711276,-0.06924651110525398,0.06309421990977394
C-B,C,>=8,turn,turn,long,207,-0.11014550107369281,0.11712431907653809,-1.9612281322479248,1.4132646560668944
C-B,C,>=8,turn,turn,steer,207,0.021582455560633283,0.0011566304624850293,-0.08957664643890327,0.15891162055068545
C-B,B,<0.5,turn,turn,long,12,0.49883520620991934,0.8861197829246521,-1.4674304655454333,1.75
C-B,B,<0.5,turn,turn,steer,12,-0.42134698265874,-0.4228517722285581,-0.939541859141477,-0.22057804762788533
A-B,B,<0.5,turn,turn,long,12,0.808056483666102,1.136119782924652,-0.9303318977355957,2.0
A-B,B,<0.5,turn,turn,steer,12,0.22617396332820258,0.2688885475993157,-0.049861999034881574,0.4813081912249327
C-B,C,3-8,decelerate,straight,long,11,0.5457309023900465,0.7463355958461761,-0.2242944985628128,0.7859979569911957
C-B,C,3-8,decelerate,straight,steer,11,-0.09505777273022256,-0.016371930216749507,-0.019611298764745395,0.00010075057070935145
C-B,B,>=8,turn,turn,long,177,-0.2902979020960763,-0.07634263408141734,-2.0202561028158206,1.3238839602414605
C-B,B,>=8,turn,turn,steer,177,0.0077613257284598475,0.017066794406692037,-0.15175065909144894,0.12149650457625262
A-B,B,>=8,turn,turn,long,177,-0.2638996356844207,0.0,-1.7224998474121094,1.2324205591127313
A-B,B,>=8,turn,turn,steer,177,0.020024881836300516,0.025999823093414306,-0.10465714414119721,0.12459986430481079
C-B,B,>=8,target_stop,turn,long,18,0.8392349976511597,1.2286707525896792,-0.10417868683053899,1.2971731167240304
C-B,B,>=8,target_stop,turn,steer,18,0.0033055327748346968,-0.019165754516326357,-0.04291122081991407,0.06028549381213717
A-B,B,>=8,target_stop,turn,long,18,-0.445577843942576,0.0,-1.411719524860382,0.0
A-B,B,>=8,target_stop,turn,steer,18,0.054078265790129074,0.05334324284549802,0.0004792385973036318,0.13379066394120456
A-B,A,0.5-3,target_stop,turn,long,46,-1.7321131976402326,-1.7351946532726288,-3.4432718753814697,0.0
A-B,A,0.5-3,target_stop,turn,steer,46,-0.02266330801278121,-0.03136040336555905,-0.4128820445140203,0.3124455562296013
C-B,C,>=8,target_stop,turn,long,14,-0.16448006140334265,-0.2669163942337036,-1.0342442214488983,1.3041162684559826
C-B,C,>=8,target_stop,turn,steer,14,-0.13544768020481104,-0.19554698699050477,-0.26629518743356073,0.15941715029006237
A-B,A,<0.5,turn,turn,long,1,-1.3777275085449219,-1.3777275085449219,-1.3777275085449219,-1.3777275085449219
A-B,A,<0.5,turn,turn,steer,1,-0.42100000381469727,-0.42100000381469727,-0.42100000381469727,-0.42100000381469727
