method,board,protocol/split,metric,score,source,is_author_reported,same_checkpoint
UniAD-Base,bench2drive,base-set closed-loop 220 routes,Driving Score,45.81,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
UniAD-Base,bench2drive,base-set closed-loop 220 routes,Success Rate (%),16.36,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
UniAD-Base,bench2drive,base-set closed-loop 220 routes,Efficiency,129.21,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
UniAD-Base,bench2drive,base-set closed-loop 220 routes,Comfortness,43.58,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
VAD,bench2drive,base-set open-loop 2s@2Hz,Avg L2 (m),0.91,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
VAD,bench2drive,base-set closed-loop 220 routes,Driving Score,42.35,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
VAD,bench2drive,base-set closed-loop 220 routes,Success Rate (%),15.00,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
VAD,bench2drive,base-set closed-loop 220 routes,Efficiency,157.94,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
VAD,bench2drive,base-set closed-loop 220 routes,Comfortness,46.01,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
TCP*,bench2drive,base-set open-loop 2s@2Hz,Avg L2 (m),1.70,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
TCP*,bench2drive,base-set closed-loop 220 routes,Driving Score,40.70,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
TCP*,bench2drive,base-set closed-loop 220 routes,Success Rate (%),15.00,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
TCP*,bench2drive,base-set closed-loop 220 routes,Efficiency,54.26,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
TCP*,bench2drive,base-set closed-loop 220 routes,Comfortness,47.80,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
TCP-ctrl*,bench2drive,base-set closed-loop 220 routes,Driving Score,30.47,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
TCP-ctrl*,bench2drive,base-set closed-loop 220 routes,Success Rate (%),7.27,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
TCP-ctrl*,bench2drive,base-set closed-loop 220 routes,Efficiency,55.97,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
TCP-ctrl*,bench2drive,base-set closed-loop 220 routes,Comfortness,51.51,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
TCP-traj*,bench2drive,base-set open-loop 2s@2Hz,Avg L2 (m),1.70,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
TCP-traj*,bench2drive,base-set closed-loop 220 routes,Driving Score,59.90,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
TCP-traj*,bench2drive,base-set closed-loop 220 routes,Success Rate (%),30.00,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
TCP-traj*,bench2drive,base-set closed-loop 220 routes,Efficiency,76.54,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
TCP-traj*,bench2drive,base-set closed-loop 220 routes,Comfortness,18.08,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
TCP-traj w/o distillation,bench2drive,base-set open-loop 2s@2Hz,Avg L2 (m),1.96,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
TCP-traj w/o distillation,bench2drive,base-set closed-loop 220 routes,Driving Score,49.30,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
TCP-traj w/o distillation,bench2drive,base-set closed-loop 220 routes,Success Rate (%),20.45,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
TCP-traj w/o distillation,bench2drive,base-set closed-loop 220 routes,Efficiency,78.78,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
TCP-traj w/o distillation,bench2drive,base-set closed-loop 220 routes,Comfortness,22.96,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
ThinkTwice*,bench2drive,base-set open-loop 2s@2Hz,Avg L2 (m),0.95,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
ThinkTwice*,bench2drive,base-set closed-loop 220 routes,Driving Score,62.44,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
ThinkTwice*,bench2drive,base-set closed-loop 220 routes,Success Rate (%),31.23,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
ThinkTwice*,bench2drive,base-set closed-loop 220 routes,Efficiency,69.33,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
ThinkTwice*,bench2drive,base-set closed-loop 220 routes,Comfortness,16.22,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
DriveAdapter*,bench2drive,base-set open-loop 2s@2Hz,Avg L2 (m),1.01,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
DriveAdapter*,bench2drive,base-set closed-loop 220 routes,Driving Score,64.22,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
DriveAdapter*,bench2drive,base-set closed-loop 220 routes,Success Rate (%),33.08,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
DriveAdapter*,bench2drive,base-set closed-loop 220 routes,Efficiency,70.22,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
DriveAdapter*,bench2drive,base-set closed-loop 220 routes,Comfortness,16.01,"https://arxiv.org/pdf/2406.03877#page=9 (Table 3, PDF p.9)",no (benchmark authors re-evaluated),not explicitly stated; paired rows in Table 3
