set,row,cmd,n,l2_avg,l2_3s,col_vad_avg,col_bevp_avg,col_bevp_3s
fullhist,cv,turn,468,1.4172351599370723,2.4078767914269896,1.0565052231718897,3.2051282051282053,6.196581196581197
fullhist,cvv,straight,3092,0.6061373897517677,0.9998633866978023,0.2641224665804226,0.9379042690815006,2.3609314359637774
fullhist,cvv,turn,468,1.6617720371094453,2.7336254823915787,1.2879867046533713,3.703703703703704,7.051282051282051
fullhist,openpilot small,straight,3092,0.8183093205443498,1.2471151065681438,0.07815868909012504,0.2910737386804657,0.7761966364812419
fullhist,openpilot small,turn,468,1.2336431522707463,1.9202307859129668,0.6232193732193732,0.925925925925926,1.9230769230769231
fullhist,openpilot Cinque,straight,3092,0.9348690049326135,1.489174005365229,0.05929279862009485,0.23717119448037952,0.6468305304010349
fullhist,openpilot Cinque,turn,468,1.0988855496651344,1.7645465136997733,1.1099240265906933,2.136752136752137,4.273504273504273
fullhist,openpilot Lebowski,straight,3092,1.040535824632025,1.6258177077528557,0.04402041109673709,0.18326865028029327,0.517464424320828
fullhist,openpilot Lebowski,turn,468,1.4378288969579165,2.2894075317378393,0.6707027540360871,0.4273504273504274,1.0683760683760684
fullhist,openpilot small + cmd,straight,3092,0.8186237745219807,1.2482697391205406,0.07815868909012504,0.2802932298404485,0.7438551099611902
fullhist,openpilot small + cmd,turn,468,1.1897602755950847,1.8419716886487496,0.30270655270655267,0.7122507122507123,1.7094017094017093
fullhist,openpilot Cinque + cmd,straight,3092,0.9379098937336351,1.4936129794953854,0.05929279862009485,0.23717119448037952,0.6468305304010349
fullhist,openpilot Cinque + cmd,turn,468,1.1575343781300163,1.859502003779633,0.8665716999050332,1.566951566951567,3.2051282051282053
fullhist,openpilot Lebowski + cmd,straight,3092,1.0417835578730672,1.6281652502594488,0.05030904125341382,0.20482966796032773,0.5498059508408797
fullhist,openpilot Lebowski + cmd,turn,468,1.41656322387228,2.247386320083261,0.6232193732193732,0.9971509971509972,2.1367521367521367
quarter,logged future,straight,1009,0.0,0.0,0.0,0.0,0.0
quarter,logged future,turn,150,0.0,0.0,0.0,0.0,0.0
quarter,cv,straight,1009,0.6158316284142945,1.0245064458451651,0.178945050104614,0.7928642220019821,2.180376610505451
quarter,cv,turn,150,1.4302004763982226,2.429642476268277,1.0,2.666666666666667,6.0
quarter,cvv,straight,1009,0.6287239995188258,1.0405447116194313,0.26704107477150096,0.9580442682523952,2.3785926660059467
quarter,cvv,turn,150,1.6827694191783147,2.766682380686724,1.037037037037037,2.666666666666667,6.0
quarter,openpilot small,straight,1009,0.8050621470956965,1.2302811587417157,0.02753000770840215,0.09910802775024777,0.29732408325074333
quarter,openpilot small,turn,150,1.2131575734028244,1.889322188137617,0.44444444444444436,0.6666666666666666,2.0
quarter,openpilot Cinque,straight,1009,0.8812722486261574,1.4265344299283436,0.0688250192710054,0.23125206475057816,0.5946481665014867
quarter,openpilot Cinque,turn,150,1.1938957002033612,1.8903315187654122,0.9444444444444444,2.0,3.3333333333333335
quarter,openpilot Lebowski,straight,1009,1.0371653424514076,1.626425299417459,0.140403039312851,0.4294681202510737,0.9910802775024777
quarter,openpilot Lebowski,turn,150,1.4117724752211085,2.242145171865074,0.42592592592592593,0.888888888888889,2.0
quarter,openpilot small + cmd,straight,1009,0.7998059317646489,1.222084990054161,0.02753000770840215,0.09910802775024777,0.29732408325074333
quarter,openpilot small + cmd,turn,150,1.1883698735584816,1.8390676064596088,0.3333333333333333,0.6666666666666666,2.0
quarter,openpilot Cinque + cmd,straight,1009,0.8833929017308519,1.4287947076142453,0.0688250192710054,0.23125206475057816,0.5946481665014867
quarter,openpilot Cinque + cmd,turn,150,1.2469726914866828,1.9785049233321925,0.8888888888888887,2.0,4.0
quarter,openpilot Lebowski + cmd,straight,1009,1.0378537620127257,1.6275195053323601,0.140403039312851,0.4625041295011562,1.0901883052527255
quarter,openpilot Lebowski + cmd,turn,150,1.3872020593980043,2.193728551981951,0.35185185185185186,0.6666666666666666,1.3333333333333333
quarter,Alpamayo 1.5 nav,straight,1009,0.9370304856162198,1.6041230047350619,0.09360202620856732,0.36339610175090853,0.8919722497522299
quarter,Alpamayo 1.5 nav,turn,150,1.227331069333431,2.1319589662790404,0.18518518518518515,0.6666666666666666,2.0
quarter,Alpamayo 1.5 no-nav,straight,1009,0.9405118612982822,1.611842530939079,0.11837903314612927,0.46250412950115627,1.0901883052527255
quarter,Alpamayo 1.5 no-nav,turn,150,1.1898352013174702,2.054680838016804,0.22222222222222218,0.888888888888889,2.6666666666666665
