segment,variant,horizon_s,n,long_abs_median_m,long_abs_p95_m,lateral_abs_median_m,lateral_abs_p95_m,lateral_signed_median_m
straight,no_origin_shift,1.25,232,0.6195761653247891,3.0697354223412976,0.0027728533359198913,0.2863796221406695,-0.0001888871363935284
straight,no_origin_shift,1.5,227,0.7611135095501913,4.082353933695013,0.003722488277626037,0.5941830285496209,0.00031457449283837056
straight,no_origin_shift,1.75,222,1.0039689514677228,5.388730465276678,0.005159150574721024,0.9612356312995046,0.0016330249777888883
straight,no_origin_shift,2.0,217,1.4485341168108024,6.782212797683076,0.006129854203312281,1.2465099972329663,0.002069228209809175
straight,reverse_shift,0.25,237,0.0881624105099701,0.22757797650117437,0.0012430581136457272,0.006877364636044119,-0.00021987796009474854
straight,reverse_shift,0.5,237,0.2084413171354535,0.6592285565878078,0.0015210699657016522,0.011921281450353425,-0.0002853195579683136
straight,reverse_shift,0.75,237,0.4143764362043024,1.278205831670851,0.0019083895397341596,0.027514355508129293,-0.0006014772602474289
straight,reverse_shift,1.0,237,0.5668091768614196,2.048272729282698,0.0028013887002445895,0.13611400031233611,-0.0002146024043455757
straight,reverse_shift,1.25,232,0.6195754987178776,3.069733270145444,0.0034544062437961154,0.3617288145438383,-0.00021457331262038414
straight,reverse_shift,1.5,227,0.7611134844401282,4.0823734340087485,0.00457577864493742,0.7434959279139557,0.0002264122820931688
straight,reverse_shift,1.75,222,1.003968934871931,5.388730189551725,0.005621495853300374,1.0940084791418758,0.0017061742442828444
straight,reverse_shift,2.0,217,1.4485339938956303,6.782212441632852,0.00611097000349284,1.3293216466751119,0.0024279672776517987
left,correct,0.25,62,0.09142301514396745,0.16069913416437603,0.07774685188043906,0.3007927307983216,-0.0011200058359951744
left,correct,0.5,62,0.17516717761722433,0.5384211099022507,0.17885654453036998,0.5590911957131287,-0.05524566570363701
left,correct,0.75,62,0.2719198785861326,1.4860708401528366,0.2508504461927977,0.7010573316044071,-0.03689430556015917
left,correct,1.0,62,0.49109134412148986,2.662183301466494,0.42568393654937253,1.573876347796081,0.11697363519951623
left,correct,1.25,62,0.8517673964344505,3.6959275793952253,0.4634173556922843,2.244808851593496,0.24802236302780867
left,correct,1.5,62,1.2550831108476614,4.668764280137654,0.5906904583315374,2.7221883131659443,0.11362017628381618
left,correct,1.75,62,1.7980204418327146,5.814222065554839,0.9179345626440867,3.081497253408319,-0.24096127367566222
left,correct,2.0,58,2.2758826523630997,7.160881905878447,1.27984160942421,3.016476827803459,-0.4700379520806976
left,no_y_flip,0.25,62,0.09142301514380924,0.16069913416452042,0.1388247737122012,0.40265949856626887,-0.0035724019944546707
left,no_y_flip,0.5,62,0.17516717761718475,0.5384211099020758,0.31995663540379016,1.7760164406949392,-0.13751485413134895
left,no_y_flip,0.75,62,0.2719198785863382,1.4860708401529226,0.7874475340633003,3.4608948409136024,-0.741684759027373
left,no_y_flip,1.0,62,0.49109134412175237,2.66218330146639,1.6857999956051304,5.415289104340215,-1.6857999956051304
left,no_y_flip,1.25,62,0.8517673964345898,3.6959275793955553,2.4775248910502885,7.792997742677917,-2.4775248910502885
left,no_y_flip,1.5,62,1.2550831108474758,4.668764280137798,2.890561093483158,10.253985638285537,-2.890561093483158
left,no_y_flip,1.75,62,1.7980204418327856,5.814222065554779,3.104926198556643,12.594842607115034,-3.104926198556643
left,no_y_flip,2.0,58,2.275882652362889,7.160881905878396,3.107629445115238,15.145065278215434,-3.107629445115238
left,no_origin_shift,0.25,62,0.076502463076551,0.1622803924490163,0.14077815140732333,0.8614782428804144,0.10454296040524841
left,no_origin_shift,0.5,62,0.17426487850323508,0.5243109672673427,0.25380305064030995,1.1213449788573537,0.21670421109127025
left,no_origin_shift,0.75,62,0.2984946451360642,1.2963720059645134,0.532965984293989,1.3086051119687059,0.36433218940621903
left,no_origin_shift,1.0,62,0.4834634500643691,2.512050986727632,0.7699545661703049,2.034299375228867,0.6056116194933991
left,no_origin_shift,1.25,62,0.8194001919463895,3.638341256673955,0.984167646125811,2.446994246621957,0.6037950489714206
left,no_origin_shift,1.5,62,1.2340851348896984,4.661656589559797,0.9717159901968558,2.7260666397640376,0.39630596878317725
left,no_origin_shift,1.75,62,1.6927357834068897,5.813699240736036,0.86184556334547,2.843887530138892,-0.15343259176541216
left,no_origin_shift,2.0,58,2.187381415070396,7.160825671606696,0.8610801263725167,2.647621605250213,-0.42860464913212304
left,reverse_shift,0.25,62,0.09059737695880782,0.19018018235107442,0.4312016763308708,1.4654379214876667,0.30807942202751265
left,reverse_shift,0.5,62,0.20733164725539496,0.5080880676553259,0.575837799533494,1.7040625863711696,0.575837799533494
left,reverse_shift,0.75,62,0.3434719389754569,1.1066731717762128,0.875189694403077,2.016428937306269,0.8300536019022409
left,reverse_shift,1.0,62,0.498779190628907,2.3619186719882106,1.1470750327473016,2.545938863350355,1.0147699154219425
left,reverse_shift,1.25,62,0.8001114405103362,3.5807549339521114,1.4761036838231052,2.5332353372444283,0.967236213490681
left,reverse_shift,1.5,62,1.2202742161197706,4.654548898981405,1.525978157888361,2.7259225286335074,0.5853856015535829
left,reverse_shift,1.75,62,1.6178437354211899,5.813176415917262,1.2988968838850719,2.6808353273787486,0.11159098520208718
left,reverse_shift,2.0,58,2.038371805614214,7.160769437335325,1.022319381908094,2.392593166472055,0.050577645390522286
right,correct,0.25,51,0.08560640548171461,0.1652796004282836,0.0701387739945409,0.28622731125111933,-0.06119134782136619
right,correct,0.5,51,0.22472884427058643,0.42253649424497375,0.1828142328139714,0.6204554598961581,-0.12403368622441645
right,correct,0.75,51,0.4181211066787571,0.6654341034842901,0.28080888374363566,0.5589468861406304,-0.18198746995883255
right,correct,1.0,51,0.5716859256804558,1.4449061766697637,0.43959114793702436,1.4770776656019742,-0.2515745195581335
right,correct,1.25,46,0.6082594194530391,1.3474370216156888,0.46598534919092616,2.5091524201851305,-0.20770157372908704
right,correct,1.5,41,0.568166134696225,1.466838705400245,0.8515651723965296,3.30200344539797,0.6354034743335456
right,correct,1.75,40,0.6654691462570359,1.6372080435646306,1.5998755481603375,3.710164575011864,1.5998755481603375
right,correct,2.0,40,1.0105907442642392,1.8366524262421888,2.2658234802093724,3.8245960692511103,2.2658234802093724
right,no_y_flip,0.25,51,0.08560640548129728,0.16527960042825152,0.14536620333326844,0.38633675562952036,0.13844956957626334
right,no_y_flip,0.5,51,0.22472884427084594,0.42253649424498313,0.7545612892585106,1.3983066706379823,0.7545612892585106
right,no_y_flip,0.75,51,0.4181211066789169,0.6654341034840945,1.6485149923251985,2.373976637006722,1.6485149923251985
right,no_y_flip,1.0,51,0.571685925680405,1.444906176669567,2.630624876006896,3.5255776432097368,2.630624876006896
right,no_y_flip,1.25,46,0.6082594194530722,1.3474370216157316,3.7874396584493732,5.193526643816934,3.7874396584493732
right,no_y_flip,1.5,41,0.5681661346965865,1.4668387053999807,5.942598088716579,7.0424659142568435,5.942598088716579
right,no_y_flip,1.75,40,0.6654691462573198,1.6372080435644563,7.908505514831086,9.10320826220908,7.908505514831086
right,no_y_flip,2.0,40,1.0105907442641118,1.8366524262420103,9.498988198425138,11.541390632315375,9.498988198425138
right,no_origin_shift,0.25,51,0.06891271912033597,0.16394738834628186,0.3469797121841177,0.8386077374620966,-0.3132711074389828
right,no_origin_shift,0.5,51,0.24005270643109686,0.45790185678302076,0.4028992516015991,0.9150469927735774,-0.4028992516015991
right,no_origin_shift,0.75,51,0.4490263570834824,0.6673912628314138,0.6658570072862001,0.9450924324966341,-0.6221968821432157
right,no_origin_shift,1.0,51,0.6543455404788718,1.337463030830747,0.9232667226739265,1.5965500270409723,-0.6687810191353363
right,no_origin_shift,1.25,46,0.6899447982323342,1.2950428332182577,1.0111111580382315,2.671748428377061,-0.6818633816571227
right,no_origin_shift,1.5,41,0.6226033705676564,1.4461781859993057,1.061780043015437,3.453439594329211,0.3014991451521861
right,no_origin_shift,1.75,40,0.5844586218112172,1.6087589049373232,1.2592478554353437,3.836283624988189,1.2592478554353437
right,no_origin_shift,2.0,40,0.9420026101069174,1.8154351713968626,2.0326684400639246,3.885949733793384,2.0326684400639246
right,reverse_shift,0.25,51,0.08512741845026442,0.1997915763820053,0.6250798974141384,1.3936112405097627,-0.5614070446982925
right,reverse_shift,0.5,51,0.21392160370238875,0.523828680336613,0.7853110266341711,1.2114005482307717,-0.7853110266341711
right,reverse_shift,0.75,51,0.4015541574993085,0.7309668655647428,1.073889931114336,1.4390631265215499,-1.0155119313723984
right,reverse_shift,1.0,51,0.6708244759067579,1.230019884991948,1.324661680334868,1.9655718200996581,-1.0975986361361798
right,reverse_shift,1.25,46,0.7865959272026515,1.275654199810186,1.5237085681013949,2.8189085900458184,-1.0931134121357857
right,reverse_shift,1.5,41,0.716637333641167,1.425517666598362,1.5099297367149036,3.573133345121695,-0.03240518402917345
right,reverse_shift,1.75,40,0.5972218519625767,1.5803097663100159,1.522887811487807,3.9641058905414495,1.1780019754532205
right,reverse_shift,2.0,40,0.8797601529223473,1.794217916551561,1.9131559988514735,3.9609611071827087,1.9131559988514735
