arm,route,status,DS,RC,n_collisions,duration_game,t_col,col_type,pinned_s,expert_status,expert_DS,extra_collision,stuck,stuck_vs_expert,n_track,e_lat_med,e_lat_p95,e_lon_med,abs_e_lon_med,abs_e_lon_p95,e_head_med,stuck_cause
p6x5,24330,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,271,0.004,0.011,-0.512,0.512,4.624,0.141,
p6x5,26458,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,223,0.001,0.053,-0.658,0.658,4.797,0.042,
p6x5,2668,Completed,60.0,100,1,,11.5,vehicle.lincoln.mkz_2020,2.2,Completed,100.0,1,0,0,155,0.004,0.079,-2.673,2.673,3.609,0.056,
p6x5,3564,Failed - Agent got blocked,32.964018,52.97,0,,,,0.0,Failed - Agent got blocked,9.806035,0,1,0,173,0.001,0.29,-2.96,2.96,5.818,0.212,other
p6x5,4183,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,202,0.002,0.05,-2.157,2.157,6.635,0.115,
p6x1,11381,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,220,0.005,0.097,-3.805,3.805,8.387,0.148,
p6x1,1711,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,310,0.001,0.006,-2.831,2.831,9.849,0.014,
p6x1,17563,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,262,0.003,0.353,-3.62,3.62,7.685,0.098,
p6x1,1825,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,296,0.005,0.176,-3.738,3.738,9.293,0.096,
p6x1,1833,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,307,0.007,0.175,-4.895,4.895,11.276,0.138,
p6x1,1852,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,321,0.001,0.198,-3.026,3.026,8.633,0.052,
p6x1,1956,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,315,0.006,0.312,-0.823,0.823,6.999,0.075,
p6x1,2084,Completed,60.0,100,1,,12.5,vehicle.mini.cooper_s_2021,3.2,Completed,100.0,1,0,0,168,0.001,0.024,-3.382,3.382,7.589,0.195,
p6x1,2086,Completed,60.0,100,1,,11.3,vehicle.lincoln.mkz_2017,0.0,Completed,100.0,1,0,0,156,0.003,0.024,-3.631,3.631,9.613,0.107,
p6x1,2091,Completed,80.0,100,0,,,,0.0,Completed,100.0,0,0,0,208,0.004,0.161,-3.176,3.176,8.936,0.091,
p6x1,2115,Completed,80.0,100,0,,,,0.0,Completed,100.0,0,0,0,221,0.004,0.158,-2.019,2.019,8.237,0.209,
p6x1,2286,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,156,0.001,0.006,-7.027,7.027,9.23,0.017,
p6x1,2373,Completed,100.0,100,0,,,,0.0,Completed,100.0,0,0,0,166,0.016,0.132,-1.53,1.53,3.018,0.226,
