t,x,z,yaw,v,steer,acc,steer_rate,drive,controller,off_route
8.25,13.165342559161545,39.73767315958256,0.664112180977353,5.184851727530983,0.04231000694577032,1.7776911218585673e-07,-2.107376183280163e-08,straight,official,
8.5,13.964276692678842,40.75839459263095,0.6844364478613567,5.184851771973261,0.04231000167732986,1.253926235778087e-07,-5.2336307232447865e-09,straight,official,
8.75,14.783789813253932,41.76266858866272,0.7047607142389783,5.1848518033214175,0.04231000036892218,8.536433407633785e-08,-9.971922038110037e-10,straight,official,
9.0,15.62354340960771,42.750080318967015,0.7250849805803583,5.184851824662501,0.04231000011962413,5.729254699943284e-08,3.8936576185477634e-11,straight,official,
9.25,16.48319061075538,43.72022192026732,0.7454092469825655,5.1848518389856375,0.042310000129358274,3.8225332046316635e-08,2.2426352441762276e-10,straight,official,
9.5,17.362376328821608,44.67269266331218,0.7657335134491972,5.18485184854197,0.042310000185424156,2.5440285822745333e-08,2.0510056153444367e-10,straight,official,
9.75,18.260737405537327,45.6070991183264,0.7860577799654201,5.184851854902042,0.0423100002366993,1.6913513332024682e-08,1.5212511805806628e-10,straight,official,
0.0,0.0,0.0,0.0,5.0,0.0,-3.0773414496351066e-15,0.0,straight,PR #57 fix,
0.25,0.0,1.2499999999999998,0.0,4.999999999999999,0.0,-2.7359336576842696e-15,0.0,straight,PR #57 fix,
0.5,0.0,2.499999999999999,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
0.75,0.0,3.7499999999999987,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
1.0,0.0,4.999999999999998,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
1.25,0.0,6.249999999999998,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
1.5,0.0,7.499999999999998,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
1.75,0.0,8.749999999999998,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
2.0,0.0,9.999999999999998,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
2.25,0.0,11.249999999999998,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
2.5,0.0,12.499999999999998,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
2.75,0.0,13.749999999999998,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
3.0,0.0,14.999999999999998,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
3.25,0.0,16.249999999999996,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
3.5,0.0,17.499999999999996,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
3.75,0.0,18.749999999999996,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
4.0,0.0,19.999999999999996,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
4.25,0.0,21.249999999999996,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
4.5,0.0,22.499999999999996,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
4.75,0.0,23.749999999999996,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
5.0,0.0,24.999999999999996,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
5.25,0.0,26.249999999999996,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
5.5,0.0,27.499999999999996,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
5.75,0.0,28.749999999999996,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
6.0,0.0,29.999999999999996,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
6.25,0.0,31.249999999999996,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
6.5,0.0,32.49999999999999,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
6.75,0.0,33.74999999999999,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
7.0,0.0,34.99999999999999,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
7.25,0.0,36.24999999999999,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
7.5,0.0,37.49999999999999,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
7.75,0.0,38.74999999999999,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
8.0,0.0,39.99999999999999,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
8.25,0.0,41.24999999999999,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
8.5,0.0,42.49999999999999,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
8.75,0.0,43.74999999999999,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
9.0,0.0,44.99999999999999,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
9.25,0.0,46.24999999999999,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
9.5,0.0,47.49999999999999,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
9.75,0.0,48.74999999999999,0.0,4.999999999999998,0.0,-1.387348616488625e-15,0.0,straight,PR #57 fix,
0.0,0.0,0.0,0.0,1.0,0.0,2.375087345202167,0.34465097156102437,route,official,4.440892098500626e-16
0.25,0.0,0.39844295907513544,0.012746721899457723,1.5937718363005418,0.08616274289025609,2.4738006363417964,-0.4,route,official,0.22378192833992303
0.5,0.007049453737206128,0.9514535286001269,0.009912181308544883,2.212221995385991,-0.013837257109743914,2.401983926460912,-0.06741981570673948,route,official,0.28986816207332794
0.75,0.01401938224122386,1.6545984789700796,0.0019162876554071704,2.8127179770012187,-0.030692211036428784,2.141988732118007,0.29408424958488094,route,official,0.1037449788006704
1.0,0.015623417104215267,2.491650732081186,0.015202209318442423,3.3482151600307204,0.04282885135979145,2.4436480695869807,-0.20480204499932722,route,official,0.28192628573138795
1.25,0.030669707555055787,3.481318155806938,0.012133205566675374,3.9591271774274657,-0.008371659890040357,2.115872077266064,-0.05838246208418853,route,official,0.19248345312586598
1.5,0.04428311893988402,4.6032593668203505,0.0025871456672620537,4.4880951967439815,-0.02296727541108749,1.799493953415974,0.3505658168109745,route,official,0.04232553654743449
1.75,0.04747692644919892,5.83774740666991,0.03219872734922283,4.937968685097975,0.06467417879165613,1.350733787086174,-0.3105330941788569,route,official,0.1200996085767341
2.0,0.0899369099193057,7.155976801856852,0.02586803259938824,5.275652131869519,-0.012959094753058092,1.1078717568274394,-0.09119824663583262,route,official,0.11738666611118516
2.25,0.1258417445420659,8.543667400012012,0.0074755413193077005,5.552620071076379,-0.03575865641201625,0.7041325998549195,-0.02239424416256204,route,official,0.05137294021917976
2.5,0.13654784078980609,9.975790688153246,-0.0144741186471214,5.728653221040108,-0.04135721745265676,0.5445975349636244,0.3583343122225583,route,official,0.12196529049382275
2.75,0.11532661959672827,11.441837757430513,0.011734914935976115,5.864802604781015,0.04822636060298281,0.5111356671657871,-0.3843200702557399,route,official,0.09810975768706452
3.0,0.13290683936937442,12.939881235448087,-0.014837888464190107,5.992586521572462,-0.04785365696095216,0.08422135751152082,-0.11734520293070769,route,official,0.17454827276966692
3.25,0.11060022110639525,14.443126206092447,-0.05790426763324595,6.013641860950342,-0.07718995769362907,0.21770105938074988,0.3077247071203332,route,official,0.16444917309240029
3.5,0.022807554653801132,15.957600492079063,-0.05804966578040554,6.06806712579553,-0.0002587809135457808,-2.752254573307151e-05,-0.382158223982632,route,official,0.17678646570079615
3.75,-0.06520521282653499,17.472060279904568,-0.11203993632376294,6.068060245159097,-0.09579833690920378,-0.12636372706000273,-0.11134987937762936,route,official,0.07155768991834213
4.0,-0.23393309915613233,18.971715577330123,-0.18149825771648842,6.036469313394096,-0.12363580675361112,-0.049004313622585054,-0.04408389312333702,route,official,0.2519861440812051
4.25,-0.5057811027441678,20.453032220343413,-0.2570668391356581,6.024218234988449,-0.13465678003444537,-0.4093722533170038,0.3289586161250046,route,official,0.41644254855170243
4.5,-0.8821827026924844,21.884852628897136,-0.28583464258311836,5.921875171659199,-0.05241712600319422,-0.13803624748507354,-0.3654557865912782,route,official,0.584452271837115
4.75,-1.2971806784872173,23.29697661849711,-0.3647581269594736,5.887366109787931,-0.14378107265101375,-0.2124641415744327,-0.10859266129724399,route,official,0.7457894322455714
5.0,-1.8174839785517634,24.6595804114621,-0.4580054300856783,5.834250074394323,-0.17092923797532475,-0.3422545071924974,-0.029461229843686654,route,official,0.9701131839045167
5.25,-2.4529437579408047,25.948631655915687,-0.553927664479727,5.7486864475961985,-0.1782945454362464,-0.26507543256271077,-0.014475899157449568,route,official,1.2284121347252321
5.5,-3.200226589016568,27.156805991096245,-0.6507113914019546,5.682417589455521,-0.1819135202256088,-0.27008835402722464,-0.012122946560648495,route,official,1.4597320017860984
5.75,-4.050535947659022,28.27368320570667,-0.7479749747968278,5.614895500948715,-0.18494425686577093,-0.13446057186894086,-0.018258180461231954,route,official,1.6088202583298499
6.0,-4.999570825011088,29.296547299180833,-0.8470998161021965,5.58128035798148,-0.18950880198107892,-0.09864820353515681,-0.017060490958515584,route,official,1.686065870784475
6.25,-6.040552110337712,30.21638880823174,-0.9480636783889987,5.556618307097691,-0.1937739247207078,-0.11004838799957548,-0.012624312645627023,route,official,1.7580445957760527
6.5,-7.163358289846857,31.02261132771067,-1.0502066795548308,5.529106210097797,-0.19693000288211457,-0.0072098219403017106,-0.009610198387065283,route,official,1.7604220183770825
6.75,-8.362128281049248,31.709920161443634,-1.1535955388654326,5.5273037546127215,-0.19933255247888088,0.02904355422918974,-0.001644580952488095,route,official,1.8285917105376939
7.0,-9.62709006964395,32.27057561288821,-1.257339526041576,5.534564643170019,-0.1997436977170029,0.040287044698031814,0.009831390408273244,route,official,1.8934272789546633
7.25,-10.945706288472437,32.69799615634205,-1.3599594021650343,5.544636404344527,-0.1972858501149346,0.015602892256441073,0.023214987102385787,route,official,1.9322436567731098
7.5,-12.302124017200423,32.98829335075136,-1.4595542044060732,5.548537127408638,-0.19148210333933816,0.2451181467508103,0.03234573132619528,route,official,1.9410470514641827
7.75,-13.695909576347438,33.143983758007415,-1.5558975191962974,5.60981666409634,-0.18339567050778932,-0.04512473539116604,0.04492679805595934,route,official,1.9329526265407304
8.0,-15.095388107791287,33.16483586228685,-1.6460367335664925,5.5985354802485485,-0.1721639709937995,0.15389890609009096,0.0496780007520074,route,official,1.8530525139897052
8.25,-16.50065356790149,33.05890314272469,-1.730131158956435,5.6370102067710715,-0.15974447080579762,0.2763524832000003,0.062479244201193995,route,official,1.7445438540439153
