level,route,seed,contrast,ds_arm,ds_B,ds_diff,rc_arm,rc_B,points_rc,points_collisions_pedestrian,points_collisions_vehicle,points_collisions_layout,points_red_light,points_stop_infraction,points_scenario_timeouts,points_yield_emergency_vehicle_infractions,points_outside_route_lanes,points_min_speed_infractions,points_route_dev,points_vehicle_blocked,points_route_timeout,points_rounding,zero_ds_excluded
1,17569,2,C-B,60.0,60.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,25378,0,A-B,70.0,70.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,25378,0,C-B,70.0,70.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,25378,1,A-B,70.0,70.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,25378,1,C-B,70.0,70.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,25378,2,A-B,70.0,70.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,25378,2,C-B,70.0,70.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,25381,0,A-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,25381,0,C-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,25381,1,A-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,25381,1,C-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,25381,2,A-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,25381,2,C-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,25424,0,A-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,25424,0,C-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,25424,1,A-B,96.228568,100.0,-3.7714320000000043,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7699721288743753,0.0,0.0,0.0,0.0,-0.0014598711256290859,False
1,25424,1,C-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,25424,2,A-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,25424,2,C-B,100.0,100.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,26405,0,A-B,100.0,23.447149,76.552851,100.0,72.71,16.820440301473393,0.0,53.92248238741929,0.0,0.0,0.0,0.0,0.0,5.807782063015757,0.0,0.0,0.0,0.0,0.0021462480915589977,False
1,26405,0,C-B,100.0,23.447149,76.552851,100.0,72.71,16.820440301473393,0.0,53.92248238741929,0.0,0.0,0.0,0.0,0.0,5.807782063015757,0.0,0.0,0.0,0.0,0.0021462480915589977,False
1,26405,1,A-B,100.0,6.597245,93.402755,100.0,100.0,0.0,0.0,87.75465112950661,0.0,0.0,0.0,0.0,0.0,5.64855487989534,0.0,0.0,0.0,0.0,-0.0004510094019544019,False
1,26405,1,C-B,100.0,6.597245,93.402755,100.0,100.0,0.0,0.0,87.75465112950661,0.0,0.0,0.0,0.0,0.0,5.64855487989534,0.0,0.0,0.0,0.0,-0.0004510094019544019,False
