level,route,seed,comparison,ds_diff,rc_diff,completed_diff,sr_diff,collisions_layout_per_km_diff,collisions_pedestrian_per_km_diff,collisions_vehicle_per_km_diff,red_light_per_km_diff,stop_infraction_per_km_diff,outside_route_lanes_per_km_diff,min_speed_infractions_per_km_diff,yield_emergency_vehicle_infractions_per_km_diff,scenario_timeouts_per_km_diff,route_dev_per_km_diff,vehicle_blocked_per_km_diff,route_timeout_per_km_diff
2,2050,0,D-C,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2050,1,C-B,-40.0,0,0,-1,0.0,0.0,12.718924487745317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2050,1,A-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2050,1,D-C,40.0,0,0,1,0.0,0.0,-12.718924487745317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2050,2,C-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2050,2,A-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2050,2,D-C,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2084,0,C-B,-9.240000000000002,-49.24,-1,0,0.0,0.0,-12.613521695257315,0.0,0.0,0.0,-151.36226034308777,0.0,0.0,12.613521695257315,0.0,0.0
2,2084,0,A-B,40.0,0,0,1,0.0,0.0,-12.613521695257315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2084,0,D-C,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2084,1,C-B,-29.544,-49.24,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,-151.36226034308777,0.0,0.0,12.613521695257315,0.0,0.0
2,2084,1,A-B,40.0,0,0,1,0.0,0.0,-12.613521695257315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2084,1,D-C,20.304,0.0,0,0,0.0,0.0,-12.613521695257315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2084,2,C-B,-49.24,-49.24,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,-151.36226034308777,0.0,0.0,12.613521695257315,0.0,0.0
2,2084,2,A-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2084,2,D-C,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3072,0,C-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.2965005983130595,0.0,0.0,0.0,0.0,0.0
2,3072,0,A-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3072,0,D-C,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3072,1,C-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.2965005983130595,0.0,0.0,0.0,0.0,0.0
2,3072,1,A-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3072,1,D-C,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-7.2965005983130595,0.0,0.0,0.0,0.0,0.0
2,3072,2,C-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3072,2,A-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3072,2,D-C,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,25318,0,C-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,25318,0,A-B,40.0,0,0,1,0.0,0.0,-7.047166686633639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,25318,0,D-C,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,25318,1,C-B,-40.0,0,0,-1,0.0,0.0,7.047166686633639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,25318,1,A-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,25318,1,D-C,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,25318,2,C-B,40.0,0,0,1,0.0,0.0,-7.047166686633639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,25318,2,A-B,40.0,0,0,1,0.0,0.0,-7.047166686633639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,25318,2,D-C,-40.0,0,0,-1,0.0,0.0,7.047166686633639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,27529,0,C-B,-49.98,-49.98,-1,-1,0.0,0.0,0.0,0.0,0.0,0.0,-157.21697371618046,0.0,0.0,14.292452156016408,0.0,0.0
2,27529,0,A-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,27529,0,D-C,-26.010400000000004,0.0,0,0,0.0,0.0,14.292452156016408,0.0,14.292452156016408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,27529,1,C-B,-59.984,-49.98,-1,-1,0.0,0.0,0.0,0.0,14.292452156016408,0.0,-157.21697371618046,0.0,0.0,14.292452156016408,0.0,0.0
2,27529,1,A-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,27529,1,D-C,-16.0064,0.0,0,0,0.0,0.0,14.292452156016408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,27529,2,C-B,-59.984,-49.98,-1,-1,0.0,0.0,0.0,0.0,14.292452156016408,0.0,-157.21697371618046,0.0,0.0,14.292452156016408,0.0,0.0
2,27529,2,A-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,27529,2,D-C,10.004000000000005,0.0,0,0,0.0,0.0,0.0,0.0,-14.292452156016408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,28154,0,C-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,28154,0,A-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,28154,0,D-C,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,28154,1,C-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,28154,1,A-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,28154,1,D-C,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,28154,2,C-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,28154,2,A-B,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,28154,2,D-C,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
