level,route,seed,arm,old_ds,new_ds,ds_change,old_rc,new_rc,old_status,new_status,old_phantom_ticks,old_linked_event,old_linked_event_step,new_same_event_near_old_step_3s,new_same_event_anytime,new_event_types
1,27494,2,D,60.0,100.0,40.0,100.0,100.0,Completed,Completed,12,COLLISION_VEHICLE,268,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,28198,0,C,100.0,100.0,0.0,100.0,100.0,Completed,Completed,19,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,28198,0,D,100.0,100.0,0.0,100.0,100.0,Completed,Completed,25,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,28198,1,C,100.0,100.0,0.0,100.0,100.0,Completed,Completed,23,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,28198,1,D,100.0,100.0,0.0,100.0,100.0,Completed,Completed,22,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,28198,2,C,100.0,100.0,0.0,100.0,100.0,Completed,Completed,25,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,28198,2,D,100.0,100.0,0.0,100.0,100.0,Completed,Completed,19,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,3255,0,C,82.775642,100.0,17.224357999999995,100.0,100.0,Completed,Completed,49,OUTSIDE_ROUTE_LANES_INFRACTION,457,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,3255,0,D,100.0,100.0,0.0,100.0,100.0,Completed,Completed,0,,,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,3255,1,C,82.775642,100.0,17.224357999999995,100.0,100.0,Completed,Completed,32,OUTSIDE_ROUTE_LANES_INFRACTION,463,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,3255,1,D,58.282456,100.0,41.717544,100.0,100.0,Completed,Completed,656,COLLISION_STATIC,476,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,3255,2,C,20.855895,100.0,79.144105,100.0,100.0,Completed,Completed,84,COLLISION_VEHICLE,202,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,3255,2,D,82.775642,100.0,17.224357999999995,100.0,100.0,Completed,Completed,12,OUTSIDE_ROUTE_LANES_INFRACTION,470,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,3514,0,C,65.0,100.0,35.0,100.0,100.0,Completed,Completed,18,COLLISION_STATIC,29,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,3514,0,D,65.0,100.0,35.0,100.0,100.0,Completed,Completed,19,COLLISION_STATIC,29,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,3514,1,C,65.0,100.0,35.0,100.0,100.0,Completed,Completed,18,COLLISION_STATIC,28,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,3514,1,D,65.0,100.0,35.0,100.0,100.0,Completed,Completed,18,COLLISION_STATIC,29,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,3514,2,C,65.0,100.0,35.0,100.0,100.0,Completed,Completed,18,COLLISION_STATIC,29,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
1,3514,2,D,65.0,100.0,35.0,100.0,100.0,Completed,Completed,19,COLLISION_STATIC,29,False,False,MIN_SPEED_INFRACTION|ROUTE_COMPLETION
2,2050,0,C,100.0,60.0,-40.0,100.0,100.0,Completed,Completed,1,,,False,False,COLLISION_VEHICLE|MIN_SPEED_INFRACTION|ROUTE_COMPLETION
