level,route,seed,arm,speed_band,n,long_delta_median,long_delta_p10,long_delta_p90,steer_delta_median,steer_delta_p10,steer_delta_p90,long_abs_gt_0_05,steer_abs_gt_0_05
1,2091,2,D,3-8,154,-0.8343440443277359,-2.065489375591278,1.419382426142693,0.0006143227783225787,-0.010844270326197145,0.139188585056199,154,57
1,2091,2,D,>=8,70,0.3272899128496647,-0.12299253344535827,0.43856012797914445,0.0005526958937116433,0.0001615185736801424,0.01179023636678338,68,0
1,25378,0,C,<0.5,20,-1.8488727658987045,-2.1465354323387147,-1.5280106663703918,0.00028259007376618683,7.703669254510716e-06,0.00041492674499750144,20,0
1,25378,0,C,0.5-3,17,-1.9724998474121094,-2.0658040642738342,-1.9724998474121094,0.00030105921807262355,1.2728171967157529e-05,0.0005017688834478678,17,0
1,25378,0,C,3-8,91,0.2470821887254715,-2.043712794780731,0.6347189694643021,0.0001130319047418501,-0.00012004949501715602,0.000756933920298858,91,0
1,25378,0,C,>=8,133,-0.7275288701057434,-2.0759501099586486,0.9605680435895919,-5.291109631798467e-05,-0.0002197628424504122,0.0013300774214084312,120,0
1,25378,0,D,<0.5,20,-1.8457684218883514,-2.1449207961559296,-1.528871887922287,0.0002416560018900782,0.00013217509587411765,0.0003866517392452806,20,0
1,25378,0,D,0.5-3,17,-1.9724998474121094,-2.0718822836875916,-1.9724998474121094,0.00040200772746175063,0.00023608025967001192,0.0007756702562376935,17,0
1,25378,0,D,3-8,90,0.0920700766146183,-2.027958279848099,0.6654836295172573,0.00014883069011072312,-0.0008822162455956762,0.001022873864931173,87,0
1,25378,0,D,>=8,133,-0.7372349798679352,-2.0710520267486574,0.9568084940314292,2.3812987589432547e-05,-0.00029636839386835664,0.0016265068872598934,120,0
1,25378,1,C,<0.5,20,-1.8476276695728302,-2.146588772535324,-1.5259666085243224,0.00023506165598519146,8.755475901125465e-05,0.00035481944214552644,20,0
1,25378,1,C,0.5-3,16,-1.9724998474121094,-2.0743951201438904,-1.9724998474121094,0.0003197178106347565,8.03182296254414e-05,0.0005768996862591141,16,0
1,25378,1,C,3-8,96,-0.8598042130470276,-2.046176552772522,0.5194238573312759,8.587945326224955e-05,-0.00010535249778008114,0.00039717784813547046,91,0
1,25378,1,C,>=8,133,-0.4558975100517273,-2.0514211654663086,0.9062934502959251,-7.47547201171983e-05,-0.00024234088673903088,0.0021708540305909185,123,0
1,25378,1,D,<0.5,20,-1.8479451537132263,-2.1490716695785523,-1.527800878882408,0.0002655267838185359,8.052189587033353e-05,0.00035650918143801394,20,0
1,25378,1,D,0.5-3,17,-1.9724998474121094,-2.071441912651062,-1.9724998474121094,0.0003366807702635318,-0.000427487729265623,0.0009124381343269004,17,0
1,25378,1,D,3-8,89,0.233130544424057,-2.0349504470825197,0.5740208983421327,0.0001441738530744866,-0.00011986571047519748,0.0006533085428204188,86,0
1,25378,1,D,>=8,134,-0.6235463470220566,-2.03984477519989,0.9590678196400404,-4.722508259874304e-05,-0.0003339624404583851,0.0013276079678698808,121,0
1,25378,2,C,<0.5,20,-1.8467490077018738,-2.146362781524658,-1.525836393237114,0.0003151746204821393,0.00014668090152554215,0.00045631091218092484,20,0
1,25378,2,C,0.5-3,17,-1.9724998474121094,-2.070433962345123,-1.9724998474121094,0.0002623889780564544,2.522029244573786e-05,0.000513806308057004,17,0
1,25378,2,C,3-8,94,-0.7516096979379654,-2.04365856051445,0.8324162907898434,8.006330747270521e-05,-0.00012127839293195087,0.000377966455201709,88,0
1,25378,2,C,>=8,133,-0.6235767304897308,-2.0601662397384644,0.8924792975187301,-9.999691987508818e-05,-0.00022491042582623776,0.0019564925687284105,124,0
1,25378,2,D,<0.5,20,-1.8477988243103027,-2.1466296911239624,-1.527086144685745,0.0002276434752275236,0.00010083974775625393,0.00033913477091118693,20,0
1,25378,2,D,0.5-3,17,-1.9724998474121094,-2.067928206920624,-1.9724998474121094,0.00018215418757689696,5.1793481902374644e-05,0.0006372775014865006,17,0
1,25378,2,D,3-8,94,-1.0305338650941849,-2.0428780734539034,0.7335197053849707,2.2158412781815673e-05,-0.0008344189766923793,0.0005288336267064249,86,0
1,25378,2,D,>=8,133,-0.7173579633235931,-2.0529728829860687,0.8883162140846252,-5.911035990316629e-05,-0.00037532968379996927,0.002065039488506348,125,0
1,25381,0,C,<0.5,20,-1.8248099982738495,-2.137747210264206,-1.4994249761104583,0.0005018466908950359,0.0003510408656438813,0.0005775899800937623,20,0
1,25381,0,C,0.5-3,23,-1.9724998474121094,-2.0901270389556883,-1.9724998474121094,5.3831409378391165e-05,-8.161656134567844e-05,0.00021572171981420576,23,0
1,25381,0,C,3-8,225,0.4488590955734253,-1.7795185685157775,1.4713389873504639,0.0002363309457844783,-0.0013937622896499143,0.04642607772784928,220,19
1,25381,0,C,>=8,143,0.3494807928800583,-0.6358972549438474,1.356714129447937,-0.007773530135552089,-0.07279047582546871,0.026511286829908665,136,48
1,25381,0,D,<0.5,20,-1.8251680880784988,-2.1440804421901705,-1.4994897276163102,0.0005230491515249014,0.0002947606291854754,0.000671686084022642,20,0
1,25381,0,D,0.5-3,23,-1.9724998474121094,-2.0969292759895324,-1.9724998474121094,-5.706242001097942e-06,-0.0008288840861059725,0.00043123961979937224,23,0
1,25381,0,D,3-8,238,0.473753847181797,-1.6757540583610533,1.4766086876392366,0.00016874336770140666,-0.015043882187455887,0.048581197907527296,232,35
1,25381,0,D,>=8,130,0.3667097152210772,-0.12421768605709074,1.4190709382295608,-0.007070048014478137,-0.06129272939311342,0.009146822840001236,127,33
1,25381,1,C,<0.5,20,-1.8242241591215134,-2.136503267288208,-1.4986455917358399,0.00044664053712040186,0.0002886635717004538,0.0005488436552695931,20,0
1,25381,1,C,0.5-3,29,-1.9724998474121094,-2.089598608016968,1.6967261552810669,0.00011559021507208752,-3.078726328567431e-05,0.03817748725414276,29,1
1,25381,1,C,3-8,222,0.5227301507256925,-1.8162032455205916,1.4966736167669297,0.0002067038882847151,-0.009775313962147482,0.04730274914784566,217,24
1,25381,1,C,>=8,140,0.32736807502806187,-0.48894416093826293,1.3650821417570114,-0.009474304824317286,-0.07091038835690254,0.02688984063598848,132,39
1,25381,1,D,<0.5,20,-1.8268927931785583,-2.1434431791305544,-1.5001386940479278,0.0005018626106902957,0.00032721655734349044,0.0006579437525942921,20,0
1,25381,1,D,0.5-3,28,-1.9724998474121094,-2.091950273513794,1.6662880837917329,0.00018419251646264456,-7.110474033915027e-05,0.03439354225993156,28,1
1,25381,1,D,3-8,237,0.4006154537200928,-1.6467887163162231,1.4552674651145936,0.00020933118951991977,-0.0187971216738224,0.0483001631995042,231,35
1,25381,1,D,>=8,125,0.41453829407691956,-0.3503822207450866,1.4028890371322633,-0.00896365530788902,-0.06354903839404386,0.0053146884834600885,125,32
1,25381,2,C,<0.5,20,-1.8256319910287857,-2.148368501663208,-1.4981263309717179,0.00047012379218358546,0.00034670519072096793,0.0005988827615510672,20,0
1,25381,2,C,0.5-3,30,-1.9724998474121094,-2.0965298473834992,1.6781140089035036,1.3881134903688994e-05,-0.00014447261833508188,0.03710023649036886,30,1
1,25381,2,C,3-8,218,0.45998533070087433,-1.79073925614357,1.5213058710098266,0.00017097625001446837,-0.027438376843929288,0.06909088840252825,210,38
1,25381,2,C,>=8,143,0.34923773258924484,-0.5351121425628662,1.3724545776844024,-0.009820750404614956,-0.0708847663270102,0.015946477995978463,139,38
1,25381,2,D,<0.5,20,-1.8269904553890228,-2.14117688536644,-1.496778231859207,0.0004454432928469032,0.00022721487475791947,0.0006574086437467486,20,0
1,25381,2,D,0.5-3,23,-1.9724998474121094,-2.0987711429595945,-1.9724998474121094,-0.00020682324189692737,-0.0005265787975157663,0.00014973114655974018,23,0
1,25381,2,D,3-8,235,0.41843514144420624,-1.560766017436981,1.4606018006801604,0.00018370492425472346,-0.005378736016288814,0.062055373281240465,225,40
1,25381,2,D,>=8,131,0.42030251026153564,-0.43776655197143555,1.396315574645996,-0.005575007563456894,-0.05932349205637974,0.009175105341257423,129,31
1,25424,0,C,<0.5,274,0.0,-1.7061240255832673,1.2696801126003265,0.0,-0.3000000029802322,0.6000000238418579,130,110
1,25424,0,C,0.5-3,184,0.936112442985177,-1.9724998474121094,1.309140881896019,0.21082186114456913,-0.10010001733899117,0.4577960666020711,183,138
1,25424,0,C,3-8,166,-1.8039938062429428,-1.9957720935344696,1.3002563267946243,0.0009231959173080719,-0.022169648242286497,0.11707377890745796,166,36
1,25424,0,C,>=8,103,0.06558001041412354,-1.4227216124534605,0.9577330946922302,3.5493953538308324e-05,-0.033860934277375535,0.04244295827899543,95,14
1,25424,0,D,<0.5,257,0.0,-1.6918600857257844,1.2457853496074678,0.0,-0.5700136560201644,0.3831174825645156,114,91
1,25424,0,D,0.5-3,197,1.1434272825717926,-1.9724998474121094,1.329495507478714,0.23956342428094807,-0.04771873503923416,0.7891414419809977,196,151
1,25424,0,D,3-8,157,-1.9724998474121094,-2.0122528314590453,1.262100976705551,0.00022145651994732264,-0.03472736971825363,0.0953751911740336,156,39
1,25424,0,D,>=8,110,0.03894732892513275,-1.5491307854652405,1.0671815328299998,0.00013777165385034905,-0.054607581618862845,0.043721356004476554,99,22
1,25424,1,C,<0.5,1436,0.0,-2.071678925305605,0.0,0.0,0.0,0.0,199,138
1,25424,1,C,0.5-3,57,-1.9724998474121094,-2.1135370910167692,0.7031168080866335,0.038160726328690775,0.00011062996273782766,0.37667847665150944,57,32
1,25424,1,C,3-8,137,-1.0043984651565552,-2.03924640417099,1.2750266373157502,0.0005406036440237776,-0.006667230273399681,0.0279172990222772,135,12
1,25424,1,C,>=8,130,0.06793704628944397,-1.9765275478363038,1.0974572256207469,-0.0028758373614012575,-0.1100431307411442,0.040389947999993445,127,46
1,25424,1,D,<0.5,285,0.0,-2.1232405841350555,1.202224239706993,0.0,-0.060719684744253544,0.2967302203178405,138,116
1,25424,1,D,0.5-3,201,0.9165288954973221,-2.0023598670959473,1.2756170630455017,0.03324741072124904,-0.051652029156684875,0.32219148048924073,199,113
1,25424,1,D,3-8,165,-1.9724998474121094,-2.0138684034347536,1.328073239326477,0.0004622228356068565,-0.04384414422512055,0.07392775119716923,163,46
1,25424,1,D,>=8,101,0.2776305228471756,-1.1866318881511688,0.9809169694781303,0.00013655208949785446,-0.053069687481555675,0.04563638852909209,100,21
1,25424,2,C,<0.5,299,0.0,-1.689719021320343,1.2582366347312928,0.0,-0.30467872023582454,0.800000011920929,165,142
1,25424,2,C,0.5-3,185,0.6564879715442657,-1.9724998474121094,1.2898403644561767,0.13037013153235116,-0.06851201206445694,0.38641516725884545,180,135
1,25424,2,C,3-8,169,-1.2045947909355164,-2.0005550146102906,1.318481868505478,0.0010627861367538574,-0.02045351936585374,0.12116899490356453,168,39
1,25424,2,C,>=8,100,0.10314479470252991,-1.2920560926198958,0.9596032213419676,4.937970632252287e-05,-0.028215196169912804,0.04605361810223099,91,12
1,25424,2,D,<0.5,285,0.0,-1.591106194257736,1.278476333618164,0.0,-0.32514443445205676,0.800000011920929,145,123
1,25424,2,D,0.5-3,177,0.9263197109103203,-1.9724998474121094,1.3497920632362366,0.17515427134931086,-0.08884569677710533,0.42049732208251955,176,128
1,25424,2,D,3-8,175,-1.9718959331512451,-2.0147736787796022,1.3210115134716034,0.00036241875444021493,-0.040575072248776746,0.0830566126257181,173,47
1,25424,2,D,>=8,92,0.1805790811777115,-1.1587434709072113,1.0401382993906736,7.208287657704204e-05,-0.05617187234133275,0.03471401191399331,85,18
1,26405,0,C,<0.5,57,-2.206812858581543,-3.1180476665496824,-1.6561948776245117,-0.0003632133302744478,-0.014689844633142152,0.009990356366667482,56,0
1,26405,0,C,0.5-3,40,-1.9724998474121094,-2.1324569404125215,-1.9724998474121094,0.01029368055673937,0.004283478452824056,0.017687170398732025,40,0
1,26405,0,C,3-8,74,-1.9724998474121094,-2.0100094735622407,0.4978716433048252,0.008444259124290615,-0.015100182284911473,0.016364856303566037,71,0
1,26405,0,C,>=8,267,0.3909264951944351,0.03227519392967225,0.4664532900089398,0.014622591725654069,0.007111050778792964,0.01615474303232299,253,0
1,26405,0,D,<0.5,54,-2.118924345821142,-2.2803508967161177,-1.643205490708351,0.0,-0.001301267079543322,0.013244431748572325,52,0
