level,route,seed,contrast,ds_diff,diverged,divergence_step,divergence_time_s,distance_m,speed_delta_mps,speed_mps,target_mps,plan_first_mps,plan_mean8_mps,turn_deg,stop_sign,creep,intent,speed_bin,next_event_side,next_event_cause,next_event_step,next_event_delta_s
1,28198,2,A-B,0.0,True,53,2.7000000402331352,0.4030621016118587,1.564637550349702,5.895,5.969,5.949,2.604,-0.71,False,False,cruise,3-8,,,,nan
1,28198,2,C-B,0.0,True,14,0.7500000111758709,0.10214240692746966,1.1250284720716328,0.0,1.219,0.729,2.976,-1.06,False,False,launch,<0.5,,,,nan
2,2050,0,A-B,0.0,True,32,1.650000024586916,0.14995323087818302,1.0124057780926154,6.051,6.094,6.333,5.6,0.01,False,False,cruise,3-8,,,,nan
2,2050,0,C-B,-40.0,True,14,0.7500000111758709,0.10180693335914148,1.1108627124807988,0.0,1.125,0.61,3.205,-0.01,False,False,launch,<0.5,arm,collisions_vehicle,218,10.200000000000001
2,2050,1,A-B,0.0,True,32,1.650000024586916,0.14215778417591715,1.6012918892658377,6.09,6.094,6.375,5.542,0.01,True,False,cruise,3-8,,,,nan
2,2050,1,C-B,-40.0,True,14,0.7500000111758709,0.10180693335914148,1.1118726565567156,0.0,1.148,0.615,3.283,-0.02,False,False,launch,<0.5,arm,collisions_vehicle,218,10.200000000000001
2,2050,2,A-B,0.0,True,32,1.650000024586916,0.15921637925469112,1.0352182427451568,6.081,6.125,6.365,5.578,0.01,True,False,cruise,3-8,,,,nan
2,2050,2,C-B,0.0,True,14,0.7500000111758709,0.09960967419149307,1.0588629135388885,0.0,1.125,0.599,3.266,-0.02,False,False,launch,<0.5,,,,nan
2,2084,0,A-B,40.0,True,30,1.5500000230967999,0.13708583053625564,1.068205205082763,5.675,5.844,6.198,4.479,-0.03,True,False,cruise,3-8,B,collisions_vehicle,453,21.150000000000002
2,2084,0,C-B,-9.240000000000002,True,14,0.7500000111758709,0.10022091603473483,1.1286420266261135,0.0,1.109,0.661,3.476,-0.04,True,False,launch,<0.5,B,collisions_vehicle,453,21.950000000000003
