level,route,seed,arm,ds,rc,completed,sr,wall_s,infra_retries,length_km,official_status,collisions_layout_per_km,collisions_pedestrian_per_km,collisions_vehicle_per_km,red_light_per_km,stop_infraction_per_km,outside_route_lanes_per_km,min_speed_infractions_per_km,yield_emergency_vehicle_infractions_per_km,scenario_timeouts_per_km,route_dev_per_km,vehicle_blocked_per_km,route_timeout_per_km
1,25378,2,B,70.0,100,True,False,55.284192965998955,0,0.095145,Completed,0.0,0.0,0.0,0.0,0.0,0.0,199.69520206001368,10.510273792632299,0.0,0.0,0.0,0.0
1,25378,2,C,70.0,100,True,False,58.005691890997696,0,0.095145,Completed,0.0,0.0,0.0,0.0,0.0,0.0,199.69520206001368,10.510273792632299,0.0,0.0,0.0,0.0
1,25378,2,D,70.0,100,True,False,58.005573371003265,0,0.095145,Completed,0.0,0.0,0.0,0.0,0.0,0.0,199.69520206001368,10.510273792632299,0.0,0.0,0.0,0.0
1,25381,0,A,100.0,100,True,True,90.92240811199736,0,0.134452,Completed,0.0,0.0,0.0,0.0,0.0,0.0,148.7519709636153,0.0,0.0,0.0,0.0,0.0
1,25381,0,B,100.0,100,True,True,95.12275359900013,0,0.134452,Completed,0.0,0.0,0.0,0.0,0.0,0.0,148.7519709636153,0.0,0.0,0.0,0.0,0.0
1,25381,0,C,100.0,100,True,True,89.00814474900108,0,0.134452,Completed,0.0,0.0,0.0,0.0,0.0,0.0,148.7519709636153,0.0,0.0,0.0,0.0,0.0
1,25381,0,D,100.0,100,True,True,92.00790175500151,0,0.134452,Completed,0.0,0.0,0.0,0.0,0.0,0.0,148.7519709636153,0.0,0.0,0.0,0.0,0.0
1,25381,1,A,100.0,100,True,True,93.52598644699901,0,0.134452,Completed,0.0,0.0,0.0,0.0,0.0,0.0,148.7519709636153,0.0,0.0,0.0,0.0,0.0
1,25381,1,B,100.0,100,True,True,94.52873351000017,0,0.134452,Completed,0.0,0.0,0.0,0.0,0.0,0.0,148.7519709636153,0.0,0.0,0.0,0.0,0.0
1,25381,1,C,100.0,100,True,True,90.00842343500699,0,0.134452,Completed,0.0,0.0,0.0,0.0,0.0,0.0,148.7519709636153,0.0,0.0,0.0,0.0,0.0
1,25381,1,D,100.0,100,True,True,90.00771679999889,0,0.134452,Completed,0.0,0.0,0.0,0.0,0.0,0.0,148.7519709636153,0.0,0.0,0.0,0.0,0.0
1,25381,2,A,100.0,100,True,True,91.7235139559998,0,0.134452,Completed,0.0,0.0,0.0,0.0,0.0,0.0,148.7519709636153,0.0,0.0,0.0,0.0,0.0
1,25381,2,B,100.0,100,True,True,89.72296484500112,0,0.134452,Completed,0.0,0.0,0.0,0.0,0.0,0.0,148.7519709636153,0.0,0.0,0.0,0.0,0.0
1,25381,2,C,100.0,100,True,True,91.00872678498854,0,0.134452,Completed,0.0,0.0,0.0,0.0,0.0,0.0,148.7519709636153,0.0,0.0,0.0,0.0,0.0
1,25381,2,D,100.0,100,True,True,91.00784162600758,0,0.134452,Completed,0.0,0.0,0.0,0.0,0.0,0.0,148.7519709636153,0.0,0.0,0.0,0.0,0.0
1,25424,0,A,100.0,100,True,True,78.51045851900199,0,0.10606399999999999,Completed,0.0,0.0,0.0,0.0,0.0,0.0,179.137124754865,0.0,0.0,0.0,0.0,0.0
1,25424,0,B,100.0,100,True,True,322.9603847819999,0,0.10606399999999999,Completed,0.0,0.0,0.0,0.0,0.0,0.0,179.137124754865,0.0,0.0,0.0,0.0,0.0
1,25424,0,C,100.0,100,True,True,117.01074299099855,0,0.10606399999999999,Completed,0.0,0.0,0.0,0.0,0.0,0.0,179.137124754865,0.0,0.0,0.0,0.0,0.0
1,25424,0,D,100.0,100,True,True,117.01152963499771,0,0.10606399999999999,Completed,0.0,0.0,0.0,0.0,0.0,0.0,179.137124754865,0.0,0.0,0.0,0.0,0.0
1,25424,1,A,96.228568,100,True,False,75.50546061000205,0,0.10606399999999999,Completed,0.0,0.0,0.0,0.0,0.0,9.428269723940263,179.137124754865,0.0,0.0,0.0,0.0,0.0
1,25424,1,B,100.0,100,True,True,328.7732931390019,0,0.10606399999999999,Completed,0.0,0.0,0.0,0.0,0.0,0.0,179.137124754865,0.0,0.0,0.0,0.0,0.0
1,25424,1,C,100.0,100,True,True,253.02351456800534,0,0.10606399999999999,Completed,0.0,0.0,0.0,0.0,0.0,0.0,179.137124754865,0.0,0.0,0.0,0.0,0.0
1,25424,1,D,100.0,100,True,True,127.01178776301094,0,0.10606399999999999,Completed,0.0,0.0,0.0,0.0,0.0,0.0,179.137124754865,0.0,0.0,0.0,0.0,0.0
1,25424,2,A,100.0,100,True,True,78.7096307790016,0,0.10606399999999999,Completed,0.0,0.0,0.0,0.0,0.0,0.0,179.137124754865,0.0,0.0,0.0,0.0,0.0
1,25424,2,B,100.0,100,True,True,327.1676952300004,0,0.10606399999999999,Completed,0.0,0.0,0.0,0.0,0.0,0.0,179.137124754865,0.0,0.0,0.0,0.0,0.0
1,25424,2,C,100.0,100,True,True,120.01118245899852,0,0.10606399999999999,Completed,0.0,0.0,0.0,0.0,0.0,0.0,179.137124754865,0.0,0.0,0.0,0.0,0.0
1,25424,2,D,100.0,100,True,True,117.01129966200097,0,0.10606399999999999,Completed,0.0,0.0,0.0,0.0,0.0,0.0,179.137124754865,0.0,0.0,0.0,0.0,0.0
1,26405,0,A,100.0,100,True,True,75.10415969400128,0,0.133497,Completed,0.0,0.0,0.0,0.0,0.0,0.0,134.83449066271152,0.0,0.0,0.0,0.0,0.0
1,26405,0,B,23.447149,72.71,False,False,246.48007117399902,0,0.133497,Failed - Agent got blocked,0.0,0.0,14.981610073634613,0.0,0.0,7.4908050368173065,89.88966044180768,0.0,0.0,0.0,7.4908050368173065,0.0
1,26405,0,C,100.0,100,True,True,81.00766851499793,0,0.133497,Completed,0.0,0.0,0.0,0.0,0.0,0.0,134.83449066271152,0.0,0.0,0.0,0.0,0.0
1,26405,0,D,100.0,100,True,True,82.00751603999379,0,0.133497,Completed,0.0,0.0,0.0,0.0,0.0,0.0,134.83449066271152,0.0,0.0,0.0,0.0,0.0
1,26405,1,A,100.0,100,True,True,74.1116530069994,0,0.133497,Completed,0.0,0.0,0.0,0.0,0.0,0.0,134.83449066271152,0.0,0.0,0.0,0.0,0.0
1,26405,1,B,6.597245,100,True,False,95.33207826900252,0,0.133497,Completed,0.0,0.0,37.45402518408653,0.0,0.0,7.4908050368173065,134.83449066271152,0.0,0.0,0.0,0.0,0.0
1,26405,1,C,100.0,100,True,True,80.00726852100343,0,0.133497,Completed,0.0,0.0,0.0,0.0,0.0,0.0,134.83449066271152,0.0,0.0,0.0,0.0,0.0
1,26405,1,D,100.0,100,True,True,87.00718359299935,0,0.133497,Completed,0.0,0.0,0.0,0.0,0.0,0.0,134.83449066271152,0.0,0.0,0.0,0.0,0.0
1,26405,2,A,100.0,100,True,True,75.30374986499737,0,0.133497,Completed,0.0,0.0,0.0,0.0,0.0,0.0,134.83449066271152,0.0,0.0,0.0,0.0,0.0
1,26405,2,B,23.447149,72.71,False,False,258.7002425999999,0,0.133497,Failed - Agent got blocked,0.0,0.0,14.981610073634613,0.0,0.0,7.4908050368173065,89.88966044180768,0.0,0.0,0.0,7.4908050368173065,0.0
1,26405,2,C,100.0,100,True,True,91.00845341599779,0,0.133497,Completed,0.0,0.0,0.0,0.0,0.0,0.0,134.83449066271152,0.0,0.0,0.0,0.0,0.0
1,26405,2,D,100.0,100,True,True,83.00700703500479,0,0.133497,Completed,0.0,0.0,0.0,0.0,0.0,0.0,134.83449066271152,0.0,0.0,0.0,0.0,0.0
1,27494,0,A,100.0,100,True,True,89.71988993299965,0,0.086177,Completed,0.0,0.0,0.0,0.0,0.0,0.0,197.26841268551934,0.0,0.0,0.0,0.0,0.0
1,27494,0,B,100.0,100,True,True,228.6799890729999,0,0.086177,Completed,0.0,0.0,0.0,0.0,0.0,0.0,197.26841268551934,0.0,0.0,0.0,0.0,0.0
1,27494,0,C,100.0,100,True,True,96.00905148400489,0,0.086177,Completed,0.0,0.0,0.0,0.0,0.0,0.0,197.26841268551934,0.0,0.0,0.0,0.0,0.0
1,27494,0,D,100.0,100,True,True,95.00850412900036,0,0.086177,Completed,0.0,0.0,0.0,0.0,0.0,0.0,197.26841268551934,0.0,0.0,0.0,0.0,0.0
1,27494,1,A,100.0,100,True,True,91.72351727200294,0,0.086177,Completed,0.0,0.0,0.0,0.0,0.0,0.0,197.26841268551934,0.0,0.0,0.0,0.0,0.0
1,27494,1,B,100.0,100,True,True,231.07204564899803,0,0.086177,Completed,0.0,0.0,0.0,0.0,0.0,0.0,197.26841268551934,0.0,0.0,0.0,0.0,0.0
1,27494,1,C,100.0,100,True,True,95.00929445399379,0,0.086177,Completed,0.0,0.0,0.0,0.0,0.0,0.0,197.26841268551934,0.0,0.0,0.0,0.0,0.0
1,27494,1,D,100.0,100,True,True,97.00886535499012,0,0.086177,Completed,0.0,0.0,0.0,0.0,0.0,0.0,197.26841268551934,0.0,0.0,0.0,0.0,0.0
1,27494,2,A,100.0,100,True,True,93.72175470100046,0,0.086177,Completed,0.0,0.0,0.0,0.0,0.0,0.0,197.26841268551934,0.0,0.0,0.0,0.0,0.0
1,27494,2,B,100.0,100,True,True,232.8719923739991,0,0.086177,Completed,0.0,0.0,0.0,0.0,0.0,0.0,197.26841268551934,0.0,0.0,0.0,0.0,0.0
1,27494,2,C,100.0,100,True,True,103.01031476799108,0,0.086177,Completed,0.0,0.0,0.0,0.0,0.0,0.0,197.26841268551934,0.0,0.0,0.0,0.0,0.0
1,27494,2,D,100.0,100,True,True,95.00898420500744,0,0.086177,Completed,0.0,0.0,0.0,0.0,0.0,0.0,197.26841268551934,0.0,0.0,0.0,0.0,0.0
1,28198,0,A,100.0,100,True,True,64.30035035100082,0,0.08433700000000001,Completed,0.0,0.0,0.0,0.0,0.0,0.0,225.28664761611154,0.0,0.0,0.0,0.0,0.0
1,28198,0,B,100.0,100,True,True,62.69663060599851,0,0.08433700000000001,Completed,0.0,0.0,0.0,0.0,0.0,0.0,225.28664761611154,0.0,0.0,0.0,0.0,0.0
1,28198,0,C,100.0,100,True,True,63.005971049002255,0,0.08433700000000001,Completed,0.0,0.0,0.0,0.0,0.0,0.0,225.28664761611154,0.0,0.0,0.0,0.0,0.0
1,28198,0,D,100.0,100,True,True,62.00581970799976,0,0.08433700000000001,Completed,0.0,0.0,0.0,0.0,0.0,0.0,225.28664761611154,0.0,0.0,0.0,0.0,0.0
1,28198,1,A,100.0,100,True,True,63.291741517001356,0,0.08433700000000001,Completed,0.0,0.0,0.0,0.0,0.0,0.0,225.28664761611154,0.0,0.0,0.0,0.0,0.0
1,28198,1,B,100.0,100,True,True,64.09601763700266,0,0.08433700000000001,Completed,0.0,0.0,0.0,0.0,0.0,0.0,225.28664761611154,0.0,0.0,0.0,0.0,0.0
1,28198,1,C,100.0,100,True,True,63.00652068699128,0,0.08433700000000001,Completed,0.0,0.0,0.0,0.0,0.0,0.0,225.28664761611154,0.0,0.0,0.0,0.0,0.0
