binned_by,bin,n,lo,hi,log_rfs,log_floored,log_ade_best,outside_all,inside_and_low,rfs_given_inside,rfs_given_outside,rater_max,rater_min,speed,abs_a0,path_len,ade_over_path,rater_spread,lat_thr5,lng_thr5
ctrv residual,6,48,2.322377933683162,3.299162812995623,8.18274628118052,0.0625,2.100439319297035,0.22916666666666666,0.0,9.018679644321715,5.370970423341959,9.4375,6.291666666666667,3.9100535,0.4845942,20.946699511564606,0.1764068099762829,2.1991500302485902,1.167632442386821,4.670529769547284
ctrv residual,7,48,3.314138854870427,4.2206053477984415,8.284878572687491,0.08333333333333333,2.1799392404812594,0.1875,0.020833333333333332,8.831343277777453,5.916864850630989,9.583333333333334,6.479166666666667,4.1060033,0.63266206,21.938784407711598,0.6448344331979453,2.1968960010686733,1.1724295495077968,4.689718198031187
ctrv residual,8,48,4.253762105415971,5.708306479155729,8.32786431784274,0.041666666666666664,1.7745998691172253,0.25,0.0,9.314947011765074,5.366616236075745,9.645833333333334,6.104166666666667,3.3556385,0.8118088,20.71204282288912,0.16728063192178091,2.5740244197857165,1.0841628167778254,4.336651267111302
ctrv residual,9,48,5.715966337227447,9.295968766450127,7.589596163752591,0.16666666666666666,3.918797197911035,0.3333333333333333,0.0,8.813543174511006,5.141702142235763,9.770833333333334,6.479166666666667,4.665809,1.0897774,24.889779219714246,0.4271050667063309,3.004548691302284,1.1763211389072241,4.7052845556288965
ctrv residual,10,48,9.299055844008105,19.464524991778934,6.188498154054268,0.4166666666666667,8.210941427837616,0.6041666666666666,0.0,8.605263157894736,4.605100392917409,10.0,6.6875,8.0795355,1.7820129,19.43411464806447,0.688416760188623,2.9466267112074624,1.5097821466624737,6.039128586649895
cv residual,1,48,0.0,0.46404241084353437,8.86851836479648,0.020833333333333332,1.8737863626243092,0.0625,0.0,8.955555555555556,7.562960503410328,9.604166666666666,6.375,3.7679803,0.10257348,18.869218065329115,inf,1.6689718838980028,1.1268578491173684,4.507431396469474
cv residual,2,48,0.464953509305965,0.8660032276332978,8.72402579129225,0.020833333333333332,1.4207226907436796,0.10416666666666667,0.020833333333333332,8.872093023255815,7.4506475964056,9.458333333333334,6.270833333333333,3.4191768,0.3454305,17.23616239018191,0.6308932645593296,1.6620046283382035,1.121156418323517,4.484625673294068
cv residual,3,48,0.8732003955607697,1.3360809721362723,9.35140506085556,0.0,1.6793335804369949,0.0,0.0,9.35140506085556,,9.6875,6.583333333333333,5.821012,0.3818027,29.77724787710085,0.3619781237954976,1.7744503391226871,1.2801360239740462,5.120544095896185
cv residual,4,48,1.340853889872018,1.930132482614047,8.404371614058718,0.041666666666666664,1.454407889937042,0.20833333333333334,0.020833333333333332,8.763859240835995,7.038318632305073,9.4375,6.0,4.318976,0.5613979,22.288316577009926,0.48258120872667365,1.6672402845827314,1.184923351602629,4.739693406410516
cv residual,5,47,1.931497802298157,2.464957492305958,8.264750414364258,0.0425531914893617,2.2345082629699737,0.2127659574468085,0.0,9.060662374911717,5.31987616033866,9.382978723404255,6.1063829787234045,4.738828,0.6184673,24.04619766448654,0.6102209602131546,2.1468658745411626,1.1519147253258426,4.60765890130337
cv residual,6,48,2.471732614092909,3.3222943459071255,8.105179167374276,0.0625,2.1838735543517207,0.20833333333333334,0.0,8.807661758944828,5.435745319406182,9.3125,6.145833333333333,4.742628,0.45780244,25.399254217537486,0.1619102475366931,2.197691166008881,1.19144581486471,4.76578325945884
cv residual,7,48,3.3260124401369517,4.337565094820938,8.236548307990404,0.0625,2.2383235927009513,0.20833333333333334,0.020833333333333332,8.958483890350545,5.493193095021871,9.708333333333334,6.4375,3.6471717,0.61520296,20.32110011499504,0.6557558834558173,2.271625682015406,1.1315289579797536,4.5261158319190145
cv residual,8,48,4.342861182091696,5.80417109791318,8.114509217348285,0.08333333333333333,1.9313553609686283,0.2916666666666667,0.0,9.304061541868903,5.225596429226789,9.666666666666666,6.104166666666667,3.3146803,0.8133076,18.976488911415178,0.17657197341421385,2.5470755977733934,1.1037990022916349,4.415196009166539
cv residual,9,48,5.807465557173252,9.220474744873536,7.63802249032527,0.1875,3.7750507170676286,0.3125,0.0,8.910102472253097,4.8394465300840555,9.791666666666666,6.625,4.7425237,1.0777544,26.818354513657308,0.40694526011318327,2.9646562192732797,1.1675368347205222,4.670147338882089
cv residual,10,48,9.299313320684398,19.443186404495382,6.045985622653028,0.4166666666666667,8.190774537840857,0.6666666666666666,0.0,8.46875,4.834603433979542,9.958333333333334,6.583333333333333,8.258807,1.7724158,19.18622036705318,0.6884282103013518,2.9948871646655753,1.5184626867994666,6.073850747197866
speed,1,48,0.0,0.0015231780707836151,8.485641467767897,0.041666666666666664,1.8449205100013115,0.10416666666666667,0.020833333333333332,8.813731562490482,5.66406665315368,9.6875,6.583333333333333,0.00020070707,0.0051303944,7.7268822599332125,inf,1.9562724053343319,0.9,3.6
speed,2,48,0.0016284958692267537,0.20608949661254883,8.090342314503674,0.041666666666666664,2.2913293902862364,0.22916666666666666,0.020833333333333332,8.795725311706969,5.717690414819863,9.75,6.375,0.04049289,0.1568892,9.934736825826663,27.306868154553968,2.7289536941545385,0.9,3.6
speed,3,48,0.2195901721715927,0.8677250742912292,8.580291659753854,0.020833333333333332,1.563900234114686,0.125,0.020833333333333332,8.80701751468366,6.993210675245211,9.5625,6.104166666666667,0.517055,0.65049464,5.544994492447322,1.5663114558821938,1.78287256911325,0.9,3.6
speed,4,48,0.877173662185669,1.9738422632217407,7.963772546314703,0.14583333333333334,1.4942189327923838,0.2916666666666667,0.0,9.035308908240431,5.361469953066508,9.458333333333334,6.416666666666667,1.4682163,0.8687808,7.7662425878168335,0.7885058207516172,1.728701764031675,0.9184350837487728,3.6737403349950912
speed,5,47,1.9820960760116577,3.1565842628479004,7.903951976244926,0.0851063829787234,1.7635657721689373,0.3404255319148936,0.0,9.196719624513987,5.399214657723624,9.595744680851064,6.0638297872340425,2.62605,0.7807642,11.619548684915998,0.2287638578667574,2.1023475917043526,1.0149421659080269,4.0597686636321075
speed,6,48,3.1642749309539795,4.693628787994385,8.094240805111244,0.10416666666666667,2.465076040211929,0.2708333333333333,0.0,8.945757547378053,5.80169572977753,9.458333333333334,6.25,4.013818,1.0876212,20.42520926190103,0.3300443063877571,2.1538750831309073,1.1450454212725163,4.580181685090065
speed,7,48,4.6937456130981445,6.557827949523926,7.854481439034163,0.14583333333333334,3.243327405350238,0.25,0.0,8.847222222222221,4.87625908946998,9.604166666666666,6.416666666666667,5.61929,1.2803468,22.303491048863794,0.3159975121420877,2.142379961473672,1.2955584285780788,5.182233714312315
speed,8,48,6.572364807128906,8.172295570373535,8.373079392735413,0.0625,3.1065531773841015,0.1875,0.0,9.0,5.656423427922197,9.5,6.145833333333333,7.317615,0.6441922,31.994031014040797,0.20278600775087674,2.2736012411969684,1.454776385985315,5.81910554394126
speed,9,48,8.203990936279297,10.804336547851562,7.77407611563473,0.1875,5.132563088761089,0.2916666666666667,0.0,9.088235294117647,4.582546682176215,9.583333333333334,6.3125,9.36324,0.63534516,35.74009350935513,0.2670508212642173,2.0611539289538308,1.6465538304299117,6.586215321719647
speed,10,48,10.850946426391602,28.844636917114258,8.62592169983044,0.10416666666666667,4.066870696679186,0.1875,0.0,9.343493740779095,5.516442855719597,9.8125,6.5625,15.76179,0.6399719,69.60444249325805,0.10289668587461076,2.9643831369000293,1.7995967540889979,7.1983870163559915
