subset,arm,vs,n,value,delta,lo,hi,halfwidth
Interections + Multi-Lane,cls_late op-cinque temporal +desire,cls_late op-cinque temporal,158,7.54372768935623,-0.07587301156888744,-0.2438143817509289,0.10001323339814286,0.1719138075745359
Interections + Multi-Lane,cls_late op-cinque temporal +desire,cv,158,7.54372768935623,0.5052834077372503,0.1382755227833578,0.8646424857194915,0.3631834814680669
Interections + Multi-Lane,native op-lebowski +desire,native op-lebowski,158,7.465970147521586,0.007332416513420424,-0.1256197343680456,0.13877711325354727,0.13219842381079644
Interections + Multi-Lane,native op-lebowski +desire,cv,158,7.465970147521586,0.4275258659026047,-0.025061010135654916,0.8389075197289086,0.43198426493228176
Interections + Multi-Lane,A ridge_late op-lebowski temporal +desire,A ridge_late op-lebowski temporal,158,7.336538580754278,-0.06220148047839814,-0.17938386892549094,0.04598290363209446,0.1126833862787927
Interections + Multi-Lane,A ridge_late op-lebowski temporal +desire,cv,158,7.336538580754278,0.2980942991352965,-0.12965286370854062,0.6949842900494001,0.41231857687897033
Interections + Multi-Lane,cls_late op-lebowski temporal +desire,cls_late op-lebowski temporal,158,7.618547898071168,-0.029218446371564198,-0.19502242718007837,0.12996162401606193,0.16249202559807013
Interections + Multi-Lane,cls_late op-lebowski temporal +desire,cv,158,7.618547898071168,0.5801036164521884,0.17389081331901746,0.940989571227349,0.3835493789541658
Interections + Multi-Lane,cls ego K1024 +desire,cls ego K1024,158,7.258336347930541,0.005194597839032501,-0.08173258632186649,0.07888692595622626,0.08030975613904637
Interections + Multi-Lane,ridge ego +desire,ridge ego,158,7.002724679432191,1.422700641616323e-06,-1.2676104335712576e-05,1.661434079989409e-05,1.4645222567803332e-05
Interections,native op-cinque +desire,native op-cinque,116,7.628716033108912,-0.11249088487443834,-0.2972930804061006,0.0662137465966867,0.18175341350139365
Interections,native op-cinque +desire,cv,116,7.628716033108912,0.5168614324290073,-0.009273049071814489,1.0524096696946739,0.5308413593832442
Interections,A ridge_late op-cinque temporal +desire,A ridge_late op-cinque temporal,116,7.363938155220185,-0.18770934826135793,-0.38043308437571927,0.007019528137821225,0.19372630625677026
Interections,A ridge_late op-cinque temporal +desire,cv,116,7.363938155220185,0.2520835545402809,-0.231011039153396,0.7368971308654186,0.4839540850094073
Interections,cls_late op-cinque temporal +desire,cls_late op-cinque temporal,116,7.647103426960209,-0.08115995896177972,-0.2983810552359172,0.13578754652792988,0.21708430088192354
