group,preset,seed,route_id,attempt,scenario,harness_status,official_status,official_completion_pct,driving_completed,subset_diagnostic_sr,score_composed,score_penalty,vehicle_collisions,pedestrian_collisions,layout_collisions,vehicle_blocked,route_dev,scenario_timeouts,route_timeout,blocked_deviation_cause,unfinished_cause,collision_responsibility,telemetry_state,telemetry_ticks,pose_degraded_ticks,pose_degraded_fraction,invalid_pose_ticks,controller_invalid_motion_ticks,invalid_control_ticks,stale_ticks,sensor_frame_mismatch,missing_control_frames,low_speed_runs,low_speed_max_s,low_speed_high_target_runs,low_speed_high_target_max_s,full_truth_cte_rms_m,precollision_truth_cte_rms_m,first_collision_frame,attempt_path,tickruntime,physical_low_speed_stall,stall_or_unfinished_cause,collision_association,collision_counterpart_types,collision_frames,collision_event_indices,critical_event_types,critical_event_frames,criterion_event_path,control_path,controller_invalid_motion_precontact,pose_fault_precontact,low_speed_start_frames,low_speed_end_frames,attribution_limitation
carla-seed1,carla,1,3514,1,ParkingExit_1,finished,Completed,100,True,False,60.0,0.6,1,0,0,0,0,0,0,not_applicable,not_applicable,unknown,ok,679,0,0.0,0,2,0,0,0,0,1,14.150000210851431,1,10.750000160187483,1.1815722794643637,3.0939968720043316,15439,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/3514/1,False,True,unknown,contact_before_or_during_low_speed,vehicle.lincoln.mkz_2020,15439,1,COLLISION_VEHICLE,15439,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/3514/1/criterion_events.json,/data/runs/b2d/controller/formal-v4/carla-seed1/attempts/3514/1/control.jsonl,0,0,15447,15730,ego-only telemetry; counterpart motion/contact impulse unavailable; association is not fault assignment
pursuit-seed0,pursuit,0,17569,1,SequentialLaneChange_1,finished,Completed,100,True,False,60.0,0.6,1,0,0,0,0,0,0,not_applicable,not_applicable,unknown,ok,330,0,0.0,0,0,0,0,0,0,0,0,0,0,0.24968258373585314,0.18101405222262074,14703,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/17569/1,False,False,not_applicable,contact_recorded,vehicle.mercedes.coupe_2020,14703,1,COLLISION_VEHICLE,14703,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/17569/1/criterion_events.json,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/17569/1/control.jsonl,0,0,,,ego-only telemetry; counterpart motion/contact impulse unavailable; association is not fault assignment
pursuit-seed0,pursuit,0,2091,1,NonSignalizedJunctionLeftTurn_1,finished,Failed - TickRuntime,79.01,False,False,22.75488,0.288,2,0,0,0,0,0,0,not_applicable,unknown,unknown,ok,4000,0,0.0,0,201,0,0,0,0,2,178.50000265985727,12,20.250000301748514,1.2948604699724644,0.047286637400353375,9844,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/2091/1,True,True,unknown,contact_before_or_during_low_speed,vehicle.audi.tt;vehicle.audi.tt,9844;12694,1;2,COLLISION_VEHICLE;COLLISION_VEHICLE;STOP_INFRACTION,9844;12694;9829,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/2091/1/criterion_events.json,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/2091/1/control.jsonl,0,0,9880;13482,13450;13650,ego-only telemetry; counterpart motion/contact impulse unavailable; association is not fault assignment
pursuit-seed0,pursuit,0,25378,1,YieldToEmergencyVehicle_1,finished,Completed,100,True,False,70.0,0.7,0,0,0,0,0,0,0,not_applicable,not_applicable,not_applicable,ok,286,0,0.0,0,0,0,0,0,0,0,0,0,0,0.08811243891774335,0.08811243891774335,,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/25378/1,False,False,not_applicable,no_contact_recorded,,,,,,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/25378/1/criterion_events.json,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/25378/1/control.jsonl,0,0,,,ego-only telemetry; counterpart motion/contact impulse unavailable; association is not fault assignment
pursuit-seed0,pursuit,0,25381,1,HazardAtSideLane_1,finished,Completed,100,True,True,100.0,1.0,0,0,0,0,0,0,0,not_applicable,not_applicable,not_applicable,ok,390,0,0.0,0,2,0,0,0,0,0,0,0,0,0.07908262192160696,0.07908262192160696,,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/25381/1,False,False,not_applicable,no_contact_recorded,,,,,,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/25381/1/criterion_events.json,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/25381/1/control.jsonl,2,0,,,ego-only telemetry; counterpart motion/contact impulse unavailable; association is not fault assignment
pursuit-seed0,pursuit,0,25424,1,ConstructionObstacleTwoWays_1,finished,Failed - TickRuntime,47.26,False,False,30.719,0.65,0,0,1,0,0,0,0,not_applicable,unknown,unknown,ok,4000,0,0.0,0,684,0,0,0,0,1,190.8500028438866,0,0,0.04202837188577477,0.046871213947630684,5537,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/25424/1,True,True,unknown,contact_before_or_during_low_speed,static.prop.trafficwarning,5537,1,COLLISION_STATIC,5537,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/25424/1/criterion_events.json,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/25424/1/control.jsonl,0,0,5560,9377,ego-only telemetry; counterpart motion/contact impulse unavailable; association is not fault assignment
pursuit-seed0,pursuit,0,26405,1,StaticCutIn_1,finished,Completed,100,True,True,100.0,1.0,0,0,0,0,0,0,0,not_applicable,not_applicable,not_applicable,ok,383,0,0.0,0,0,0,0,0,0,0,0,0,0,0.05622278776307862,0.05622278776307862,,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/26405/1,False,False,not_applicable,no_contact_recorded,,,,,,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/26405/1/criterion_events.json,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/26405/1/control.jsonl,0,0,,,ego-only telemetry; counterpart motion/contact impulse unavailable; association is not fault assignment
pursuit-seed0,pursuit,0,27494,1,BlockedIntersection_1,finished,Completed,100,True,False,60.0,0.6,1,0,0,0,0,0,0,not_applicable,not_applicable,unknown,ok,474,0,0.0,0,17,0,0,0,0,1,8.75000013038516,0,0,0.4496389663158912,0.2699098786323864,13975,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/27494/1,False,True,unknown,contact_before_or_during_low_speed,vehicle.dodge.charger_2020,13975,1,COLLISION_VEHICLE,13975,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/27494/1/criterion_events.json,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/27494/1/control.jsonl,0,0,13982,14157,ego-only telemetry; counterpart motion/contact impulse unavailable; association is not fault assignment
pursuit-seed0,pursuit,0,28198,1,SignalizedJunctionLeftTurnEnterFlow_1,finished,Completed,100,True,False,70.0,0.7,0,0,0,0,0,0,0,not_applicable,not_applicable,not_applicable,ok,255,0,0.0,0,0,0,0,0,0,0,0,0,0,0.20601293872407614,0.20601293872407614,,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/28198/1,False,False,not_applicable,no_contact_recorded,,,,,,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/28198/1/criterion_events.json,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/28198/1/control.jsonl,0,0,,,ego-only telemetry; counterpart motion/contact impulse unavailable; association is not fault assignment
pursuit-seed0,pursuit,0,3255,1,ParkingCrossingPedestrian_1,finished,Completed,100,True,False,18.0,0.18,2,1,0,0,0,0,0,not_applicable,not_applicable,unknown,ok,693,0,0.0,0,33,0,0,0,0,1,15.400000229477882,0,0,0.10180624815991379,0.07150911288852585,3148,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/3255/1,False,True,unknown,contact_before_or_during_low_speed,walker.pedestrian.0013;vehicle.dodge.charger_2020;vehicle.dodge.charger_2020,3148;3259;3599,1;2;3,COLLISION_PEDESTRIAN;COLLISION_VEHICLE;COLLISION_VEHICLE,3148;3259;3599,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/3255/1/criterion_events.json,/data/runs/b2d/controller/formal-v4/pursuit-seed0/attempts/3255/1/control.jsonl,0,0,3294,3602,ego-only telemetry; counterpart motion/contact impulse unavailable; association is not fault assignment
