set,examinee,L_s,window,scope,tau_model,null_ff,null_ff_oos,false_flip_nonreactive,n,unit,routes,flip,lo,hi,sign_agree,abs_over_tau_median
ba,ridge_late op-cinque vision,0.1,(b) per pair,cut-in,1.1442355812,0.47368421052631576,0.45234929078014185,0.09795262946607788,78,pair,26,1.0,1.0,1.0,0.9792899408284024,1.582878589630127
ba,ridge_late op-lebowski temporal,0.1,per frame,pooled,1.1702796221,0.050062972292191435,0.051578602323331654,0.0899876390605686,1081,frame,49,0.4514338575393155,0.33538820242010214,0.5616625317537569,0.849213691026827,0.793968677520752
ba,ridge_late op-lebowski temporal,0.1,per frame,pedestrian,1.1702796221,0.050062972292191435,0.051578602323331654,0.0029940119760479044,406,frame,21,0.027093596059113302,0.0030950284507815684,0.0589570498010525,0.6748768472906403,0.09442196041345596
ba,ridge_late op-lebowski temporal,0.1,per frame,cut-in,1.1702796221,0.050062972292191435,0.051578602323331654,0.14130871136089923,676,frame,26,0.7056213017751479,0.5959294877251523,0.805927031509121,0.9556213017751479,1.5660381317138672
ba,ridge_late op-lebowski temporal,0.1,(a) gated,pooled,1.1702796221,0.04920686306247977,0.051422220944421004,0.09280979092299847,1051,frame,46,0.4643196955280685,0.3499964920486436,0.5809592573491491,0.8563273073263559,0.8638392090797424
ba,ridge_late op-lebowski temporal,0.1,(a) gated,pedestrian,1.1702796221,0.04920686306247977,0.051422220944421004,0.0030745580322828594,385,frame,21,0.02857142857142857,0.003366161616161616,0.061047066394461204,0.6831168831168831,0.1012323796749115
ba,ridge_late op-lebowski temporal,0.1,(a) gated,cut-in,1.1702796221,0.04920686306247977,0.051422220944421004,0.14461791290057519,676,frame,26,0.7056213017751479,0.5959294877251523,0.805927031509121,0.9556213017751479,1.5660381317138672
ba,ridge_late op-lebowski temporal,0.1,(b) per pair,pooled,1.1702796221,0.5578947368421052,0.5795656028368794,0.0899876390605686,147,pair,49,0.5714285714285714,0.4421768707482993,0.7074829931972789,0.849213691026827,0.793968677520752
ba,ridge_late op-lebowski temporal,0.1,(b) per pair,pedestrian,1.1702796221,0.5578947368421052,0.5795656028368794,0.0029940119760479044,63,pair,21,0.1111111111111111,0.015873015873015872,0.2384920634920613,0.6748768472906403,0.09442196041345596
ba,ridge_late op-lebowski temporal,0.1,(b) per pair,cut-in,1.1702796221,0.5578947368421052,0.5795656028368794,0.14130871136089923,78,pair,26,0.9871794871794872,0.9615384615384616,1.0,0.9556213017751479,1.5660381317138672
ba,ridge_late op-lebowski vision,0.1,per frame,pooled,1.3042706251,0.050062972292191435,0.05026263401530233,0.07490729295426453,1081,frame,49,0.46808510638297873,0.3502447869217532,0.5784847790796727,0.8732654949121184,0.8563000559806824
ba,ridge_late op-lebowski vision,0.1,per frame,pedestrian,1.3042706251,0.050062972292191435,0.05026263401530233,0.00124750499001996,406,frame,21,0.04926108374384237,0.02187457308743169,0.07805173887318387,0.7438423645320197,0.12120429426431656
ba,ridge_late op-lebowski vision,0.1,per frame,cut-in,1.3042706251,0.050062972292191435,0.05026263401530233,0.11963067041348856,676,frame,26,0.7189349112426036,0.6058250096043027,0.8196788397736143,0.9452662721893491,1.6604262590408325
ba,ridge_late op-lebowski vision,0.1,(a) gated,pooled,1.3042706251,0.04920686306247977,0.050819728273691495,0.07725650178480367,1051,frame,46,0.4814462416745956,0.3683225327810345,0.596463466158405,0.8753568030447193,0.9085997939109802
ba,ridge_late op-lebowski vision,0.1,(a) gated,pedestrian,1.3042706251,0.04920686306247977,0.050819728273691495,0.0012810658467845247,385,frame,21,0.05194805194805195,0.02338991909826379,0.0814636309875813,0.7454545454545455,0.13161666691303253
ba,ridge_late op-lebowski vision,0.1,(a) gated,cut-in,1.3042706251,0.04920686306247977,0.050819728273691495,0.12243221035332785,676,frame,26,0.7189349112426036,0.6058250096043027,0.8196788397736143,0.9452662721893491,1.6604262590408325
ba,ridge_late op-lebowski vision,0.1,(b) per pair,pooled,1.3042706251,0.49473684210526314,0.5050975177304965,0.07490729295426453,147,pair,49,0.6326530612244898,0.5102040816326531,0.7552721088435365,0.8732654949121184,0.8563000559806824
ba,ridge_late op-lebowski vision,0.1,(b) per pair,pedestrian,1.3042706251,0.49473684210526314,0.5050975177304965,0.00124750499001996,63,pair,21,0.2857142857142857,0.12698412698412698,0.4603174603174603,0.7438423645320197,0.12120429426431656
ba,ridge_late op-lebowski vision,0.1,(b) per pair,cut-in,1.3042706251,0.49473684210526314,0.5050975177304965,0.11963067041348856,78,pair,26,0.9615384615384616,0.8846153846153846,1.0,0.9452662721893491,1.6604262590408325
ba,ridge_late op-lebowski hidden,0.1,per frame,pooled,1.0407010913,0.050062972292191435,0.0566006284028494,0.10951792336217553,1081,frame,49,0.4708603145235893,0.3508790916703086,0.5825714948710646,0.8408880666049954,0.8750907778739929
ba,ridge_late op-lebowski hidden,0.1,per frame,pedestrian,1.0407010913,0.050062972292191435,0.0566006284028494,0.003243512974051896,406,frame,21,0.034482758620689655,0.004739336492890996,0.07246716220344158,0.6724137931034483,0.0903201550245285
ba,ridge_late op-lebowski hidden,0.1,per frame,cut-in,1.0407010913,0.050062972292191435,0.0566006284028494,0.17262143717382578,676,frame,26,0.7322485207100592,0.6255479060040724,0.8262150220913107,0.9378698224852071,1.8138487339019775
ba,ridge_late op-lebowski hidden,0.1,(a) gated,pooled,1.0407010913,0.05050178051149239,0.056829011311641336,0.11295257521672616,1051,frame,46,0.48430066603235017,0.3694179007404443,0.6000044923629829,0.8430066603235015,0.951667308807373
ba,ridge_late op-lebowski hidden,0.1,(a) gated,pedestrian,1.0407010913,0.05050178051149239,0.056829011311641336,0.003330771201639764,385,frame,21,0.03636363636363636,0.00497450864489434,0.07632588415483146,0.6727272727272727,0.1051684319972992
ba,ridge_late op-lebowski hidden,0.1,(a) gated,cut-in,1.0407010913,0.05050178051149239,0.056829011311641336,0.17666392769104355,676,frame,26,0.7322485207100592,0.6255479060040724,0.8262150220913107,0.9378698224852071,1.8138487339019775
ba,ridge_late op-lebowski hidden,0.1,(b) per pair,pooled,1.0407010913,0.5052631578947369,0.5148492907801419,0.10951792336217553,147,pair,49,0.5850340136054422,0.4557823129251701,0.7210884353741497,0.8408880666049954,0.8750907778739929
ba,ridge_late op-lebowski hidden,0.1,(b) per pair,pedestrian,1.0407010913,0.5052631578947369,0.5148492907801419,0.003243512974051896,63,pair,21,0.12698412698412698,0.015873015873015872,0.2543650793650772,0.6724137931034483,0.0903201550245285
ba,ridge_late op-lebowski hidden,0.1,(b) per pair,cut-in,1.0407010913,0.5052631578947369,0.5148492907801419,0.17262143717382578,78,pair,26,1.0,1.0,1.0,0.9378698224852071,1.8138487339019775
ba,prior [cinque],0.1,per frame,pooled,1.1648510098457336,0.050062972292191435,0.0505208708096483,0.06946847960444993,1081,frame,49,0.48196114708603144,0.3549692920535316,0.6022899718701918,0.876040703052729,0.8939400911331177
ba,prior [cinque],0.1,per frame,pedestrian,1.1648510098457336,0.050062972292191435,0.0505208708096483,0.004491017964071856,406,frame,21,0.0024630541871921183,0.0,0.0079155672823219,0.7068965517241379,0.12403978407382965
ba,prior [cinque],0.1,per frame,cut-in,1.1648510098457336,0.050062972292191435,0.0505208708096483,0.1055800883179446,676,frame,26,0.7692307692307693,0.668621274636841,0.854829986613119,0.9659763313609467,1.7809230089187622
ba,prior [cinque],0.1,(a) gated,pooled,1.1648510098457336,0.04920686306247977,0.04972551702327187,0.07164711881693014,1051,frame,46,0.49571836346336823,0.3704398422599103,0.6178121427506337,0.8801141769743102,0.9733197093009949
ba,prior [cinque],0.1,(a) gated,pedestrian,1.1648510098457336,0.04920686306247977,0.04972551702327187,0.004611837048424289,385,frame,21,0.0025974025974025974,0.0,0.008357129518681623,0.7116883116883117,0.12737765908241272
ba,prior [cinque],0.1,(a) gated,cut-in,1.1648510098457336,0.04920686306247977,0.04972551702327187,0.10805258833196385,676,frame,26,0.7692307692307693,0.668621274636841,0.854829986613119,0.9659763313609467,1.7809230089187622
ba,prior [cinque],0.1,(b) per pair,pooled,1.1648510098457336,0.4105263157894737,0.39937943262411346,0.06946847960444993,147,pair,49,0.5306122448979592,0.4013605442176871,0.6666666666666666,0.876040703052729,0.8939400911331177
ba,prior [cinque],0.1,(b) per pair,pedestrian,1.1648510098457336,0.4105263157894737,0.39937943262411346,0.004491017964071856,63,pair,21,0.015873015873015872,0.0,0.047619047619047616,0.7068965517241379,0.12403978407382965
ba,prior [cinque],0.1,(b) per pair,cut-in,1.1648510098457336,0.4105263157894737,0.39937943262411346,0.1055800883179446,78,pair,26,0.9871794871794872,0.9615384615384616,1.0,0.9659763313609467,1.7809230089187622
ba,M-C pair [cinque],0.3,per frame,pooled,1.6276710629463196,0.050062972292191435,0.05095939366320486,0.06674907292954264,1081,frame,49,0.6632747456059205,0.5845551992614532,0.7370402648448833,0.9296947271045328,1.5369198322296143
ba,M-C pair [cinque],0.3,per frame,pedestrian,1.6276710629463196,0.050062972292191435,0.05095939366320486,0.018213572854291416,406,frame,21,0.43349753694581283,0.350400550029417,0.5067287505095801,0.8645320197044335,0.6805734038352966
ba,M-C pair [cinque],0.3,per frame,cut-in,1.6276710629463196,0.050062972292191435,0.05095939366320486,0.07788036932958652,676,frame,26,0.8002958579881657,0.7005668604651163,0.8839285714285714,0.9704142011834319,1.8430671691894531
ba,M-C pair [cinque],0.3,(a) gated,pooled,1.6276710629463196,0.049251247920133114,0.051031018626554264,0.07001842590155304,1030,frame,46,0.6893203883495146,0.6113216850455763,0.7649593576526565,0.9407766990291262,1.6205105781555176
