head,pairs,n_edit,n_placebo,median_edit_m,median_placebo_m,ratio,lo,hi,pass_2x
E2 uniform (a) [cinque],>=4 actors,145,175,0.17682002460398466,0.09779815448107791,1.8080098294512907,1.5059853806597112,2.2302468038741496,False
E2 pair qwen (a) [cinque],all,911,175,0.5392820486086118,0.39704256272182736,1.3582474506302216,1.204022358183464,1.6365045485514365,False
E2 pair qwen (a) [cinque],1-3 actors,766,175,0.528112834582185,0.39704256272182736,1.3301164262134462,1.1943858795233095,1.6302561622306566,False
E2 pair qwen (a) [cinque],>=4 actors,145,175,0.5606298473327247,0.39704256272182736,1.4120144789754152,1.1979349499363157,1.8021692536103648,False
E2 pair op (a) [cinque],all,911,175,0.14244557554500983,0.06241809451814375,2.282119898799596,1.7575023099540668,2.6303741565840144,True
E2 pair op (a) [cinque],1-3 actors,766,175,0.1200389037062004,0.06241809451814375,1.9231427141901518,1.4646970506973624,2.2604588016716063,False
E2 pair op (a) [cinque],>=4 actors,145,175,0.3251826745773262,0.06241809451814375,5.209750106722687,3.694907171281714,7.110195861827516,True
E1 M-C pair [lebowski],all,911,175,0.4050115644931793,0.27319416403770447,1.4825044870376587,1.2724535912275314,1.6375650465488434,False
E1 M-C pair [lebowski],1-3 actors,766,175,0.3791620433330536,0.27319416403770447,1.3878848552703857,1.1870394796133041,1.5396005362272263,False
E1 M-C pair [lebowski],>=4 actors,145,175,0.49933433532714844,0.27319416403770447,1.827763557434082,1.5409185141324997,2.2178416073322293,False
E2 pair (a) [lebowski],all,911,175,0.5325634575725104,0.3486973752699198,1.5272941391092019,1.3063029961985024,1.7426717575564048,False
E2 pair (a) [lebowski],1-3 actors,766,175,0.5242719174269443,0.3486973752699198,1.5035155255215666,1.2902236688229793,1.7226563867861377,False
E2 pair (a) [lebowski],>=4 actors,145,175,0.6240970149279657,0.3486973752699198,1.7897955625414859,1.3286276980817129,2.068611456286684,False
E2 pair (b) [lebowski],all,911,175,0.5530745865084504,0.3412648374003331,1.6206609234095988,1.3535055194012464,1.9262971381014138,False
E2 pair (b) [lebowski],1-3 actors,766,175,0.5685932821627528,0.3412648374003331,1.6661349774390728,1.383069168346708,1.9924926423893587,False
E2 pair (b) [lebowski],>=4 actors,145,175,0.5191351424481467,0.3412648374003331,1.521209001204998,1.1931777173594305,1.8362968243218822,False
E2 hard (a) [lebowski],all,911,175,0.07062211503645291,0.05099600519540901,1.3848558287230461,1.2299046669637421,1.567555791491499,False
E2 hard (a) [lebowski],1-3 actors,766,175,0.06637907337738791,0.05099600519540901,1.3016524161654093,1.1516141095428187,1.4723256222690158,False
E2 hard (a) [lebowski],>=4 actors,145,175,0.10697613524667296,0.05099600519540901,2.097735593930476,1.6903852082570028,2.535373756322089,True
E2 uniform (a) [lebowski],all,911,175,0.0567313106451867,0.04253666871554117,1.333703657532998,1.2181079297573754,1.5963474383925373,False
E2 uniform (a) [lebowski],1-3 actors,766,175,0.05313715714257294,0.04253666871554117,1.2492082419035033,1.1321910072975894,1.4837430591655232,False
E2 uniform (a) [lebowski],>=4 actors,145,175,0.0870508108271427,0.04253666871554117,2.046488675671442,1.5930644433359604,2.507985044308716,True
E2 pair qwen (a) [lebowski],all,911,175,0.5256524981636093,0.38260807853727624,1.3738666997654538,1.2059729155929564,1.6402995836828513,False
E2 pair qwen (a) [lebowski],1-3 actors,766,175,0.5248962190314967,0.38260807853727624,1.371890057936552,1.2132144718513906,1.6588824711390555,False
E2 pair qwen (a) [lebowski],>=4 actors,145,175,0.5268402886434236,0.38260807853727624,1.3769711571631003,1.1288010873395706,1.7483660287712746,False
E2 pair op (a) [lebowski],all,911,175,0.13925835490880906,0.05595020123753939,2.4889696878404552,2.0044990777863463,3.0541293776696454,True
E2 pair op (a) [lebowski],1-3 actors,766,175,0.1186345150655897,0.05595020123753939,2.1203590414611897,1.7137242129757226,2.6668587338174468,True
E2 pair op (a) [lebowski],>=4 actors,145,175,0.34416142350820644,0.05595020123753939,6.151209752527106,4.412392795905427,8.13599739839228,True
