judge,arm,scope,n,value,delta,lo,hi,halfwidth
RFS,A ridge_late uniform,dec10,90,5.873947358723253,-0.04781663069938686,-0.14385739608447787,0.03937253762974447,0.09161496685711117
RFS,A ridge_late uniform,dec1-9 pre_onset,6,6.968832130687786,-0.03760413667813619,-0.32183297848983755,0.29235390178876236,0.30709344013929996
RFS,A ridge_late uniform,rater,479,6.968319823122093,-0.08748400600351439,-0.18250081901942752,0.004293804212092786,0.09339731161576015
RFS,A ridge_late uniform,rater credible,434,7.051334975638645,-0.0984737742513857,-0.1980519449813209,0.0021817356614676118,0.10011684032139426
RFS,A ridge_late uniform,rater pre_onset,6,6.968832130687786,-0.03760413667813619,-0.32183297848983755,0.29235390178876236,0.30709344013929996
RFS,A ridge_late uniform,rater q1,96,8.441179701774672,-0.27608028346720553,-0.5181530318957167,-0.05544647275510391,0.2313532795703064
RFS,A ridge_late uniform,rater q2,96,7.7869600056667645,-0.08252642955096386,-0.3213981877250864,0.17331874666839484,0.2473584671967406
RFS,A ridge_late uniform,rater q3,95,6.790698574890473,-0.012044821668719865,-0.2272450482454789,0.20910876427813954,0.21817690626180922
RFS,A ridge_late uniform,rater q4,96,6.018284766927344,-0.028683769938588677,-0.24774424914122653,0.17546816938729493,0.21160620926426071
RFS,A ridge_late uniform,rater q5,96,5.802625845015473,-0.03729890055527332,-0.13977409589197268,0.04348088818020699,0.09162749203608983
ADE vs rater_best,A ridge_late uniform,all,479,3.1049773226762367,-0.052168716592928065,-0.09271451792438934,-0.010350569880996844,0.041181974021696245
ADE vs rater_best,A ridge_late uniform,pre_onset,6,2.6239718397458396,-0.053280413150787354,-0.36957955136895176,0.15975290586551028,0.264666228617231
ADE vs rater_best,A ridge_late uniform,straight_yaw,162,2.7856671213183875,-0.03332027057070791,-0.10058080268634262,0.037019235724234045,0.06880001920528833
ADE vs rater_best,A ridge_late uniform,dec1-9,389,2.557109473335406,-0.033680009811273885,-0.08038379513620006,0.012091520461674509,0.046237657798937286
ADE vs rater_best,A ridge_late uniform,dec10,90,5.472983915938271,-0.13208101590474447,-0.23648221102025774,-0.02858895843227705,0.10394662629399035
ADE vs rater_best,A ridge_late uniform,dec1-9 pre_onset,6,2.6239718397458396,-0.053280413150787354,-0.36957955136895176,0.15975290586551028,0.264666228617231
ADE vs rater_best,A ridge_late uniform,rater,479,3.1049773226762367,-0.052168716592928065,-0.09271451792438934,-0.010350569880996844,0.041181974021696245
ADE vs rater_best,A ridge_late uniform,rater credible,434,2.975434632516951,-0.04861152968648392,-0.09680630981767645,-0.003416765197115849,0.0466947723102803
ADE vs rater_best,A ridge_late uniform,rater pre_onset,6,2.6239718397458396,-0.053280413150787354,-0.36957955136895176,0.15975290586551028,0.264666228617231
ADE vs log,B ego:a1,all,106360,1.80649733543396,-0.02797968126833439,-0.051310641957502644,-0.005573545349220379,0.02286854830414113
ADE vs log,B ego:a1,pre_onset,1510,2.4018163681030273,0.02581453137099743,-0.04405355430418581,0.09385072844470575,0.06895214137444577
ADE vs log,B ego:a1,straight_yaw,46580,1.6224838495254517,-0.09907031804323196,-0.1368137731306214,-0.06561317243094188,0.03560030034983976
ADE vs log,B ego:a1,dec1-9,95724,1.422850489616394,0.017517946660518646,-0.00461386463475926,0.04040653902708929,0.022510201830924274
ADE vs log,B ego:a1,dec10,10636,5.2593183517456055,-0.4374583065509796,-0.48624530714998876,-0.3862915415011269,0.04997688282443094
ADE vs log,B ego:a1,dec1-9 pre_onset,1291,2.015383243560791,0.05338799208402634,-0.016706061054963712,0.12476690053792809,0.0707364807964459
ADE vs log,B ego:a1,rater,479,2.4189672470092773,-0.01380726508796215,-0.07059302281545297,0.04603024352733341,0.05831163317139319
ADE vs log,B ego:a1,rater credible,434,2.112632989883423,-0.010501011274755001,-0.07363146124450567,0.05336148508648443,0.06349647316549506
ADE vs log,B ego:a1,rater pre_onset,6,1.6413954496383667,0.021222421899437904,-0.09173146883646648,0.14972007671991983,0.12072577277819316
minADE1,B ego:a1,all,106360,1.8603742122650146,-0.021444054320454597,-0.04678837059228295,0.0035760269637222,0.025182198778002575
minADE1,B ego:a1,pre_onset,1510,2.5748138427734375,0.04122844338417053,-0.024662408793728056,0.10603068378375026,0.06534654628873916
minADE1,B ego:a1,straight_yaw,46580,1.6937670707702637,-0.09860183298587799,-0.14135164353282084,-0.06408364183356635,0.038634000849627245
minADE1,B ego:a1,dec1-9,95724,1.5068153142929077,0.022853927686810493,-0.0032514490857716936,0.04855427794472199,0.02590286351524684
minADE1,B ego:a1,dec10,10636,5.04240608215332,-0.42012590169906616,-0.4730432829314959,-0.368584459504622,0.05222941171343695
minADE1,B ego:a1,dec1-9 pre_onset,1291,2.1887919902801514,0.06395033001899719,-0.011674797619288168,0.132104717118313,0.07188975736880059
minADE1,B ego:a1,rater,479,2.4254894256591797,-0.03693170100450516,-0.09862926162879818,0.030729429061575893,0.06467934534518703
minADE1,B ego:a1,rater credible,434,2.1112277507781982,-0.04775897413492203,-0.1213821909995535,0.021503765055317463,0.07144297802743547
minADE1,B ego:a1,rater pre_onset,6,1.7591023445129395,-0.09208206087350845,-0.2088846762975057,-0.011196374893188477,0.09884415070215861
minADE3,B ego:a1,all,106360,1.508915662765503,-0.020400626584887505,-0.043588532360589675,0.003831056739032598,0.023709794549811137
minADE3,B ego:a1,pre_onset,1510,2.233647346496582,0.01712714694440365,-0.04974851101493453,0.07991677210514968,0.0648326415600421
minADE3,B ego:a1,straight_yaw,46580,1.4275580644607544,-0.10830114036798477,-0.14493715853707964,-0.07643764057488427,0.03424975898109769
minADE3,B ego:a1,dec1-9,95724,1.1783126592636108,0.02431609109044075,-0.00010051537961052414,0.04901856738485543,0.02455954138223298
minADE3,B ego:a1,dec10,10636,4.484342575073242,-0.4228511154651642,-0.4744449768552128,-0.3741781014038678,0.0501334377256725
minADE3,B ego:a1,dec1-9 pre_onset,1291,1.8731569051742554,0.047440432012081146,-0.019227902213351383,0.11290099473694035,0.06606444847514586
minADE3,B ego:a1,rater,479,2.0566253662109375,-0.025269128382205963,-0.08526412136619424,0.03436009409713475,0.059812107731664496
minADE3,B ego:a1,rater credible,434,1.7577178478240967,-0.021850496530532837,-0.08643264179010683,0.04088652498144566,0.06365958338577625
minADE3,B ego:a1,rater pre_onset,6,1.5747922658920288,-0.0678602084517479,-0.19585919380187988,0.0,0.09792959690093994
minADE6,B ego:a1,all,106360,1.3181724548339844,-0.02811652049422264,-0.047447742620892054,-0.007825402901130683,0.019811169859880684
minADE6,B ego:a1,pre_onset,1510,2.0171658992767334,0.009317179210484028,-0.05630790272610191,0.07212816639389967,0.06421803456000079
minADE6,B ego:a1,straight_yaw,46580,1.2671507596969604,-0.09738638252019882,-0.12660422644728267,-0.07073339031154458,0.027935418067869047
minADE6,B ego:a1,dec1-9,95724,1.007379174232483,0.01529575977474451,-0.004333866748564952,0.03496024306614859,0.01964705490735677
minADE6,B ego:a1,dec10,10636,4.115314483642578,-0.41882699728012085,-0.470079685779834,-0.3705021405580105,0.04978877261091175
minADE6,B ego:a1,dec1-9 pre_onset,1291,1.673311710357666,0.03854229301214218,-0.026949613375733657,0.09855349312956631,0.06275155325264999
minADE6,B ego:a1,rater,479,1.8374130725860596,-0.07246755808591843,-0.13156629432374825,-0.015838083523803923,0.057864105399972166
minADE6,B ego:a1,rater credible,434,1.5534336566925049,-0.06352555006742477,-0.12227185651968975,-0.010871451883684142,0.0557002023180028
minADE6,B ego:a1,rater pre_onset,6,1.5747922658920288,0.05590735003352165,-0.007721424102783203,0.15301483869552612,0.08036813139915466
RFS,B ego:a1,all,479,6.781365185397653,-0.274438643727956,-0.40219231529618615,-0.15543264819977362,0.12337983354820627
RFS,B ego:a1,pre_onset,6,6.990594052457482,-0.015842214908441548,-0.2783091349504483,0.30924306066014645,0.29377609780529734
RFS,B ego:a1,straight_yaw,162,7.925485527391394,-0.022496055506247004,-0.20581122008437763,0.15779003518865858,0.1818006276365181
RFS,B ego:a1,dec1-9,389,7.020216540271589,-0.29796154482642956,-0.4561966139812015,-0.14666936512485623,0.15476362442817262
RFS,B ego:a1,dec10,90,5.748996551553642,-0.17276743786899773,-0.3223127668705541,-0.04112106991152882,0.14059584847951265
RFS,B ego:a1,dec1-9 pre_onset,6,6.990594052457482,-0.015842214908441548,-0.2783091349504483,0.30924306066014645,0.29377609780529734
RFS,B ego:a1,rater,479,6.781365185397653,-0.274438643727956,-0.40219231529618615,-0.15543264819977362,0.12337983354820627
RFS,B ego:a1,rater credible,434,6.83971324851293,-0.3100955013771024,-0.4464412567328743,-0.16729046247167378,0.13957539713060027
RFS,B ego:a1,rater pre_onset,6,6.990594052457482,-0.015842214908441548,-0.2783091349504483,0.30924306066014645,0.29377609780529734
RFS,B ego:a1,rater q1,96,8.06978052545297,-0.6474794597889065,-1.0063658947798506,-0.31785502318040804,0.3442554357997213
RFS,B ego:a1,rater q2,96,7.596730968822452,-0.27275546639527803,-0.5478437724957358,0.026633311405191425,0.2872385419504636
RFS,B ego:a1,rater q3,95,6.56467511388989,-0.23806828266930283,-0.5377823574669092,0.07396304862151559,0.3058727030442124
RFS,B ego:a1,rater q4,96,5.992974514802511,-0.053994022063422714,-0.35476225634209935,0.2360281711483858,0.2953952137452426
RFS,B ego:a1,rater q5,96,5.680407615775571,-0.15951712979517552,-0.309773974628837,-0.034222755540682374,0.1377756095440773
ADE vs rater_best,B ego:a1,all,479,3.115026926166827,-0.04211911310233751,-0.10127157305212071,0.01666429267336646,0.058967932862743586
ADE vs rater_best,B ego:a1,pre_onset,6,2.6748336851596832,-0.002418567736943563,-0.44203458229700726,0.2869395891825357,0.3644870857397715
ADE vs rater_best,B ego:a1,straight_yaw,162,2.820547100202537,0.0015597083134415708,-0.09113614029858165,0.09750720089914634,0.094321670598864
ADE vs rater_best,B ego:a1,dec1-9,389,2.583393181389279,-0.00739630175740063,-0.07308039925216786,0.05974234089417183,0.06641137007316984
ADE vs rater_best,B ego:a1,dec10,90,5.4128661119275625,-0.1921988199154536,-0.3393066418502066,-0.04141369603574279,0.1489464729072319
ADE vs rater_best,B ego:a1,dec1-9 pre_onset,6,2.6748336851596832,-0.002418567736943563,-0.44203458229700726,0.2869395891825357,0.3644870857397715
ADE vs rater_best,B ego:a1,rater,479,3.115026926166827,-0.04211911310233751,-0.10127157305212071,0.01666429267336646,0.058967932862743586
ADE vs rater_best,B ego:a1,rater credible,434,2.9864905063526423,-0.03755565585079281,-0.10273439885473333,0.025113583284898003,0.06392399106981567
ADE vs rater_best,B ego:a1,rater pre_onset,6,2.6748336851596832,-0.002418567736943563,-0.44203458229700726,0.2869395891825357,0.3644870857397715
ADE vs log,C pre_onset fit,all,106360,1.9868346452713013,0.15235775709152222,0.13549537755448515,0.16934142248239847,0.01692302246395666
ADE vs log,C pre_onset fit,pre_onset,1510,2.3599252700805664,-0.016076447442173958,-0.08878912429967142,0.049646981651557245,0.06921805297561434
ADE vs log,C pre_onset fit,straight_yaw,46580,1.8636693954467773,0.14211532473564148,0.11580393426524101,0.1695151980637507,0.02685563189925485
ADE vs log,C pre_onset fit,dec1-9,95724,1.5782147645950317,0.1728821098804474,0.1550033837649712,0.19040182655198776,0.017699221393508283
ADE vs log,C pre_onset fit,dec10,10636,5.664414882659912,-0.03236161917448044,-0.06217076648062977,-0.0024478143211083343,0.029861476079760717
ADE vs log,C pre_onset fit,dec1-9 pre_onset,1291,1.968364953994751,0.006369356531649828,-0.058852023124484926,0.07048213365119438,0.06466707838783965
ADE vs log,C pre_onset fit,rater,479,2.61885666847229,0.18608227372169495,0.14641707565279635,0.22637147117005424,0.03997719775862894
ADE vs log,C pre_onset fit,rater credible,434,2.3219187259674072,0.19878485798835754,0.15934931260924187,0.2402394758760586,0.04044508163340836
ADE vs log,C pre_onset fit,rater pre_onset,6,1.7676095962524414,0.14743651449680328,-0.08127452929814656,0.48932939767837524,0.2853019634882609
minADE1,C pre_onset fit,all,106360,2.0269737243652344,0.14515537023544312,0.1288768630340165,0.16205580586573518,0.01658947141585934
minADE1,C pre_onset fit,pre_onset,1510,2.5382237434387207,0.004638230428099632,-0.07099706153176999,0.07605445585545206,0.07352575869361103
minADE1,C pre_onset fit,straight_yaw,46580,1.953896403312683,0.1615273803472519,0.13381925990745794,0.18957946148712926,0.02788010078983566
minADE1,C pre_onset fit,dec1-9,95724,1.648287057876587,0.16432569921016693,0.14689466191556064,0.18251019852820818,0.017807768306323773
minADE1,C pre_onset fit,dec10,10636,5.435153961181641,-0.027377570047974586,-0.06068124923356329,0.008521905115875283,0.03460157717471929
minADE1,C pre_onset fit,dec1-9 pre_onset,1291,2.1518843173980713,0.027042469009757042,-0.04075603440598713,0.09610238607818897,0.06842921024208805
minADE1,C pre_onset fit,rater,479,2.6312930583953857,0.16887186467647552,0.11452838551602326,0.22948835056111322,0.05747998252254498
minADE1,C pre_onset fit,rater credible,434,2.330906867980957,0.17192046344280243,0.11282755940817812,0.23203193389205476,0.05960218724193832
minADE1,C pre_onset fit,rater pre_onset,6,2.0220534801483154,0.17086923122406006,-0.07239208618799846,0.4434414654970169,0.25791677584250766
minADE3,C pre_onset fit,all,106360,1.6189353466033936,0.08961912989616394,0.07469940391952655,0.10534730274505831,0.01532394941276588
minADE3,C pre_onset fit,pre_onset,1510,2.1934502124786377,-0.02306992933154106,-0.09963244001050194,0.0545212891484582,0.07707686457948007
minADE3,C pre_onset fit,straight_yaw,46580,1.6235958337783813,0.08773665875196457,0.06067755062442447,0.1129586443406108,0.026140546858093167
minADE3,C pre_onset fit,dec1-9,95724,1.2608352899551392,0.10683878511190414,0.09177225008666307,0.12327638648881599,0.015752068201076462
minADE3,C pre_onset fit,dec10,10636,4.8418354988098145,-0.06535771489143372,-0.1002942306400352,-0.030380718929000225,0.03495675585551749
minADE3,C pre_onset fit,dec1-9 pre_onset,1291,1.8255810737609863,-0.00013511002180166543,-0.06883882999735949,0.0743073483119505,0.07157308915465499
minADE3,C pre_onset fit,rater,479,2.2216591835021973,0.13976477086544037,0.09850000834937402,0.1838031881131815,0.04265158988190374
minADE3,C pre_onset fit,rater credible,434,1.9310364723205566,0.1514681875705719,0.10839753688102768,0.1967238896058589,0.04416317636241561
minADE3,C pre_onset fit,rater pre_onset,6,1.722129464149475,0.07947727292776108,-0.15127323418855665,0.3130176598827044,0.23214544703563053
minADE6,C pre_onset fit,all,106360,1.4003947973251343,0.05410563573241234,0.04091151888742527,0.06756361604097205,0.01332604857677339
minADE6,C pre_onset fit,pre_onset,1510,1.9897546768188477,-0.018094021826982498,-0.08382578141697758,0.048375944232280366,0.06610086282462897
minADE6,C pre_onset fit,straight_yaw,46580,1.4174004793167114,0.052863478660583496,0.028739500220228257,0.0770879730080557,0.024174236393913723
minADE6,C pre_onset fit,dec1-9,95724,1.0617811679840088,0.06969793885946274,0.05556373011807165,0.0835054710466228,0.013970870464275576
minADE6,C pre_onset fit,dec10,10636,4.447916507720947,-0.08622508496046066,-0.12129376640840973,-0.05149705995141669,0.03489835322849652
minADE6,C pre_onset fit,dec1-9 pre_onset,1291,1.6381253004074097,0.0033560781739652157,-0.06049003579922416,0.06743890821079472,0.06396447200500943
minADE6,C pre_onset fit,rater,479,1.9675109386444092,0.057630423456430435,0.017192403802075366,0.09770777716003902,0.04025768667898183
minADE6,C pre_onset fit,rater credible,434,1.6854469776153564,0.0684879869222641,0.030594598041838766,0.11074513675396068,0.040075269356060955
minADE6,C pre_onset fit,rater pre_onset,6,1.5841602087020874,0.06527527421712875,-0.03280178705851237,0.2158211668332418,0.12431147694587708
RFS,C pre_onset fit,all,479,6.248675913620291,-0.8071279155053179,-0.9898804270908963,-0.6327343118497908,0.17857305762055276
RFS,C pre_onset fit,pre_onset,6,7.0,-0.006436267365922029,-0.6297486199327046,0.49018843776764315,0.5599685288501739
RFS,C pre_onset fit,straight_yaw,162,7.226892038685733,-0.7210895442119082,-1.0332775943011572,-0.4147769663923169,0.30925031395442015
RFS,C pre_onset fit,dec1-9,389,6.457860133166629,-0.8603179519313894,-1.0614533010833478,-0.666497327273202,0.1974779869050729
RFS,C pre_onset fit,dec10,90,5.344535231358898,-0.5772287580637425,-0.9103883937941121,-0.2867975442408343,0.3117954247766389
RFS,C pre_onset fit,dec1-9 pre_onset,6,7.0,-0.006436267365922029,-0.6297486199327046,0.49018843776764315,0.5599685288501739
RFS,C pre_onset fit,rater,479,6.248675913620291,-0.8071279155053179,-0.9898804270908963,-0.6327343118497908,0.17857305762055276
RFS,C pre_onset fit,rater credible,434,6.281891186401546,-0.8679175634884854,-1.0390637230510933,-0.6800576967113773,0.179503013169858
RFS,C pre_onset fit,rater pre_onset,6,7.0,-0.006436267365922029,-0.6297486199327046,0.49018843776764315,0.5599685288501739
RFS,C pre_onset fit,rater q1,96,7.097585650908722,-1.6196743343331548,-2.0488626265637375,-1.2157544182993463,0.4165541041321956
