source,repeat,level,route,seed,arm,phantom_ticks,C_throttle_B_raw_brake,C_throttle_B_effective_brake,D_throttle_B_raw_brake,D_throttle_B_effective_brake,C_throttle,D_throttle,B_raw_brake,B_effective_brake,rear_first_speed_median,direct_first_speed_median
formal,0,1,17569,2,D,20,16,16,16,16,20,20,16,16,6.144513654640135,0.30673516403452206
formal,0,1,2091,0,A,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,2091,0,B,154,89,89,89,89,149,149,91,91,7.028308304484506,0.3055834051725127
formal,0,1,2091,0,C,80,56,51,56,51,68,68,68,63,7.393437866227366,0.2520133377529661
formal,0,1,2091,0,D,11,11,11,11,11,11,11,11,11,6.807370057678481,0.44826079440228295
formal,0,1,2091,1,A,1,0,0,0,0,1,1,0,0,1.3259478360790862,0.23261231050338121
formal,0,1,2091,1,B,18,2,2,2,2,18,18,2,2,3.708323452098149,0.37965033496124523
formal,0,1,2091,1,C,41,13,13,13,13,37,37,14,14,3.887335547491177,0.6736675277047602
formal,0,1,2091,1,D,30,18,19,18,19,30,30,18,19,6.332592133409408,0.6104091971563679
formal,0,1,2091,2,A,1,1,1,1,1,1,1,1,1,3.392210273380597,0.7492437495436721
formal,0,1,2091,2,B,1057,1037,1012,1037,1012,1045,1045,1047,1022,7.368169996331118,1.1405781775492474
formal,0,1,2091,2,C,31,22,22,22,22,30,30,23,23,4.4290288456871645,0.6627809257338125
formal,0,1,2091,2,D,74,52,52,52,52,74,74,52,52,6.128997066805326,0.7447805551229958
formal,0,1,25378,0,A,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,25378,0,B,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,25378,0,C,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,25378,0,D,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,25378,1,A,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,25378,1,B,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,25378,1,C,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,25378,1,D,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,25378,2,A,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,25378,2,B,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,25378,2,C,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,25378,2,D,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,25381,0,A,3,0,0,0,0,3,3,0,0,5.9970734905389875,1.01274990037025
formal,0,1,25381,0,B,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,25381,0,C,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,25381,0,D,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,25381,1,A,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,25381,1,B,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,25381,1,C,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,25381,1,D,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,25381,2,A,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,25381,2,B,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,25381,2,C,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,25381,2,D,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,25424,0,A,19,8,8,8,8,19,19,8,8,1.9575490695246842,0.9731661903007699
formal,0,1,25424,0,B,111,96,78,96,78,111,111,96,78,4.5328223437205954,0.22504281166487697
formal,0,1,25424,0,C,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,25424,0,D,854,63,63,63,63,694,694,93,93,4.224594781613458,0.6154858393979091
formal,0,1,25424,1,A,2,0,0,0,0,2,2,0,0,2.2612889772093006,1.0290044077715583
formal,0,1,25424,1,B,819,790,766,790,766,819,819,790,766,3.0963074113765447,0.2215575340292444
formal,0,1,25424,1,C,17,12,12,12,12,17,17,12,12,2.839408952692008,0.973221742098105
formal,0,1,25424,1,D,30,25,25,25,25,30,30,25,25,1.81008538644612,0.7285750466273524
formal,0,1,25424,2,A,13,7,7,7,7,13,13,7,7,1.7557783501007143,1.0119667764217652
formal,0,1,25424,2,B,900,854,832,854,832,900,900,854,832,3.3211784100336628,0.23958654330378126
formal,0,1,25424,2,C,9,9,9,9,9,9,9,9,9,2.7465561671801595,0.8185146369159275
formal,0,1,25424,2,D,16,11,11,11,11,16,16,11,11,3.703023008134169,0.8358296693235856
formal,0,1,26405,0,A,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,26405,0,B,550,103,103,103,103,533,533,105,105,6.801941215054198,0.36599365059563216
formal,0,1,26405,0,C,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,26405,0,D,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,26405,1,A,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,26405,1,B,66,47,47,47,47,62,62,49,49,7.030089621609149,1.0908983679677666
formal,0,1,26405,1,C,1,0,0,0,0,1,1,0,0,1.3173962439984457,0.41266892511739706
formal,0,1,26405,1,D,1,0,0,0,0,1,1,0,0,1.5695395038168098,0.28231731761485457
formal,0,1,26405,2,A,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,26405,2,B,1211,364,331,364,331,1162,1162,367,332,6.932536757757208,0.784587518884551
formal,0,1,26405,2,C,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,26405,2,D,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,27494,0,A,24,22,22,22,22,24,24,22,22,5.769589814234568,0.22149238885199335
formal,0,1,27494,0,B,54,16,16,16,16,53,53,16,16,4.785584592012999,0.6091684236748026
formal,0,1,27494,0,C,5,5,5,5,5,5,5,5,5,3.390261173741296,0.9406856082130577
formal,0,1,27494,0,D,4,4,4,4,4,4,4,4,4,1.8557239715513738,0.30292415295171654
formal,0,1,27494,1,A,124,14,14,14,14,124,124,14,14,6.172671840867897,0.2418011403171213
formal,0,1,27494,1,B,176,131,131,131,131,174,174,131,131,7.330949829734051,0.42066973691278564
formal,0,1,27494,1,C,1,1,1,1,1,1,1,1,1,5.426526308760806,0.5909942020764609
formal,0,1,27494,1,D,2,2,2,2,2,2,2,2,2,1.4681549056108332,0.22489281319527432
formal,0,1,27494,2,A,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,27494,2,B,175,151,151,151,151,174,174,151,151,6.134294302754815,0.31929796153386775
formal,0,1,27494,2,C,2,1,1,1,1,1,1,2,2,3.2038705247231256,0.6287990452750516
formal,0,1,27494,2,D,12,12,12,12,12,12,12,12,12,7.520882213697078,0.4033169999514273
formal,0,1,28198,0,A,1,0,0,0,0,1,1,0,0,3.559283227180254,0.7321125648957424
formal,0,1,28198,0,B,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,28198,0,C,19,19,19,19,19,19,19,19,19,1.650693173271643,0.3161043930378467
formal,0,1,28198,0,D,25,21,21,21,21,22,22,24,24,1.8406492514101644,0.4275106453534708
formal,0,1,28198,1,A,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,28198,1,B,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,28198,1,C,23,21,21,21,21,21,21,23,23,2.095215361606767,0.33878511274817763
formal,0,1,28198,1,D,22,21,21,21,21,22,22,21,21,1.8912041285967256,0.4078753882861259
formal,0,1,28198,2,A,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,28198,2,B,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,28198,2,C,25,25,25,25,25,25,25,25,25,1.7930434596523857,0.34879205962746757
formal,0,1,28198,2,D,19,18,18,18,18,19,19,18,18,1.8140861469569844,0.286794818821199
formal,0,1,3255,0,A,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,3255,0,B,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,3255,0,C,49,36,36,36,36,43,43,40,40,2.9100245874739463,0.4168127659546131
formal,0,1,3255,0,D,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,3255,1,A,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,3255,1,B,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,3255,1,C,32,30,30,30,30,31,31,31,31,3.004035477615086,0.45503973723133867
formal,0,1,3255,1,D,656,254,251,254,251,649,649,260,257,5.565135881526486,0.7775751903365125
formal,0,1,3255,2,A,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,3255,2,B,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1,3255,2,C,84,40,40,40,40,79,79,43,43,6.019741526217057,0.8774326111785218
formal,0,1,3255,2,D,12,11,11,11,11,11,11,12,12,4.7453696119704185,0.8309255940551865
formal,0,1,3514,0,A,60,49,49,49,49,60,60,49,49,7.620254167138198,0.32979655806702074
formal,0,1,3514,0,B,1115,1075,1049,1075,1049,1115,1115,1075,1049,7.10344529617792,0.5422948486086401
formal,0,1,3514,0,C,18,18,18,18,18,18,18,18,18,7.503845103397209,0.3547802725922853
formal,0,1,3514,0,D,19,19,19,19,19,19,19,19,19,7.537499027214644,0.33113611764254197
formal,0,1,3514,1,A,58,47,47,47,47,58,58,47,47,7.626774880868526,0.3182862203750586
formal,0,1,3514,1,B,1035,999,980,999,980,1035,1035,999,980,7.080006004536369,1.019893512066355
formal,0,1,3514,1,C,18,18,18,18,18,18,18,18,18,7.503735790746731,0.3357970302145274
formal,0,1,3514,1,D,18,18,18,18,18,18,18,18,18,7.505875793470512,0.3414002882559707
formal,0,1,3514,2,A,60,48,48,48,48,60,60,48,48,7.6415198477363315,0.32326885480757617
formal,0,1,3514,2,B,370,335,334,335,334,370,370,335,334,6.981482530605576,1.1097928913482988
formal,0,1,3514,2,C,18,18,18,18,18,18,18,18,18,7.516623796447396,0.3423120058327067
formal,0,1,3514,2,D,19,19,19,19,19,19,19,19,19,7.520583947425866,0.33980326230603797
formal,0,1r,17569,0,A,14,1,1,1,1,14,14,1,1,1.994096730374963,0.47935683312808564
formal,0,1r,2091,0,A,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1r,25378,0,A,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1r,25381,0,A,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1r,25424,0,A,10,2,2,2,2,10,10,2,2,2.4839537813805803,1.0390943656132432
formal,0,1r,26405,0,A,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1r,27494,0,A,117,24,24,24,24,117,117,24,24,6.567383094081381,0.22967941183857465
formal,0,1r,28198,0,A,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1r,3255,0,A,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,1r,3514,0,A,62,50,50,50,50,62,62,50,50,7.624283336060591,0.3226038235017164
formal,0,2,2050,0,A,1,0,0,0,0,1,1,0,0,1.36339487559002,0.7604618584363912
formal,0,2,2050,0,B,1,0,0,0,0,1,1,0,0,1.360275553219483,0.7668875711742656
formal,0,2,2050,0,C,1,0,0,0,0,1,1,0,0,1.362747454201563,0.7525734950721278
formal,0,2,2050,0,D,1,0,0,0,0,1,1,0,0,1.3887249406496514,0.7640880862448222
formal,0,2,2050,1,A,9,0,0,0,0,9,9,0,0,2.592621012386781,0.23202495122718728
formal,0,2,2050,1,B,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,2,2050,1,C,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,2,2050,1,D,10,0,2,0,2,8,8,2,4,2.874698951310744,0.7952144725146255
formal,0,2,2050,2,A,31,15,15,15,15,31,31,15,15,6.221536155721961,0.33365986647500623
formal,0,2,2050,2,B,1,0,0,0,0,1,1,0,0,1.3664127824554013,0.7474696132499867
formal,0,2,2050,2,C,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,2,2050,2,D,6,0,1,0,1,6,6,0,1,2.0633142315423383,0.8747308010833336
formal,0,2,2084,0,A,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,2,2084,0,B,11,2,2,2,2,11,11,2,2,5.413615995916097,0.48069137350573954
formal,0,2,2084,0,C,27,21,22,21,22,25,25,23,24,6.4456281701660245,0.7487591662590305
formal,0,2,2084,0,D,3,0,0,0,0,1,1,1,1,1.8223810242183491,0.2962647934937166
formal,0,2,2084,1,A,2,0,0,0,0,2,2,0,0,2.04907011871641,0.5004695792519399
formal,0,2,2084,1,B,15,5,5,5,5,15,15,5,5,4.777124088906878,0.36485658425678635
formal,0,2,2084,1,C,198,131,129,131,129,152,152,176,174,7.254869231335101,0.2661504305192781
formal,0,2,2084,1,D,17,16,16,16,16,16,16,17,17,5.9307712258025385,0.5560467587546726
formal,0,2,2084,2,A,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,2,2084,2,B,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,2,2084,2,C,17,0,1,0,1,17,17,0,1,2.2126528382778896,0.8598408827870346
formal,0,2,2084,2,D,2,0,0,0,0,2,2,0,0,1.7983614609347485,0.29153659301158885
formal,0,2,25318,0,A,5,2,2,2,2,5,5,2,2,2.6887566618578447,0.6009210228855698
formal,0,2,25318,0,B,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,2,25318,0,C,1712,133,0,133,0,1670,1670,136,0,6.88265884075442,0.9036491354103737
formal,0,2,25318,0,D,2383,42,42,42,42,2320,2320,43,43,6.241725127945849,0.6854269595792628
formal,0,2,25318,1,A,7,1,1,1,1,6,6,2,2,1.5760570029526757,0.35396579741358
formal,0,2,25318,1,B,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,2,25318,1,C,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,2,25318,1,D,2437,0,0,0,0,2343,2343,0,0,5.8062410757730865,0.8602084353567102
formal,0,2,25318,2,A,1,0,0,0,0,1,1,0,0,1.430202759570464,0.8496285973489991
formal,0,2,25318,2,B,28,14,14,14,14,23,23,19,19,7.124727708260258,0.815341316624697
formal,0,2,25318,2,C,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,2,25318,2,D,1402,23,0,23,0,1371,1371,23,0,6.584594359016689,0.719468806952928
formal,0,2,27529,0,A,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,2,27529,0,B,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,2,27529,0,C,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,2,27529,0,D,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,2,27529,1,A,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,2,27529,1,B,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,2,27529,1,C,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,2,27529,1,D,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,2,27529,2,A,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,2,27529,2,B,4,0,0,0,0,4,4,0,0,2.0303402587316435,0.9503055037414021
formal,0,2,27529,2,C,10,6,6,6,6,10,10,6,6,2.04819327001879,0.36632064856082214
formal,0,2,27529,2,D,4,4,4,4,4,4,4,4,4,2.099412677120686,1.059187744696987
formal,0,2,28154,0,A,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,2,28154,0,B,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,2,28154,0,C,31,9,9,9,9,30,30,10,10,3.192230312192988,0.48384260241175175
formal,0,2,28154,0,D,67,12,12,12,12,67,67,12,12,3.9790529573088125,0.6964883184829471
formal,0,2,28154,1,A,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,2,28154,1,B,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,2,28154,1,C,72,7,7,7,7,70,70,8,8,5.636884561263667,0.6929162592284361
formal,0,2,28154,1,D,60,8,8,8,8,60,60,8,8,6.234004470181946,0.9921824010682593
formal,0,2,28154,2,A,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,2,28154,2,B,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,2,28154,2,C,65,7,7,7,7,64,64,7,7,4.973758385392757,0.48326075903323445
formal,0,2,28154,2,D,50,4,4,4,4,48,48,4,4,2.5559397549017375,0.4786441175066778
formal,0,2,3072,0,A,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,2,3072,0,B,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,2,3072,0,C,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,2,3072,0,D,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,2,3072,1,A,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,2,3072,1,B,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,2,3072,1,C,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,2,3072,1,D,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,2,3072,2,A,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,2,3072,2,B,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,2,3072,2,C,0,0,0,0,0,0,0,0,0,nan,nan
formal,0,2,3072,2,D,0,0,0,0,0,0,0,0,0,nan,nan
