source,repeat,level,route,seed,arm,frames,valid_ticks,phantom_ticks,phantom_pct,phantom_episodes,standstill_phantom_ticks,ds,rc,official_status
formal,0,2,3072,0,A,389,388,0,0.0,0,0,100.0,100.0,Completed
formal,0,2,3072,0,B,405,404,0,0.0,0,0,100.0,100.0,Completed
formal,0,2,3072,0,C,414,413,0,0.0,0,0,100.0,100.0,Completed
formal,0,2,3072,0,D,414,413,0,0.0,0,0,100.0,100.0,Completed
formal,0,2,3072,1,A,391,390,0,0.0,0,0,100.0,100.0,Completed
formal,0,2,3072,1,B,402,401,0,0.0,0,0,100.0,100.0,Completed
formal,0,2,3072,1,C,414,413,0,0.0,0,0,100.0,100.0,Completed
formal,0,2,3072,1,D,413,412,0,0.0,0,0,100.0,100.0,Completed
formal,0,2,3072,2,A,390,389,0,0.0,0,0,100.0,100.0,Completed
formal,0,2,3072,2,B,407,406,0,0.0,0,0,100.0,100.0,Completed
formal,0,2,3072,2,C,413,412,0,0.0,0,0,100.0,100.0,Completed
formal,0,2,3072,2,D,413,412,0,0.0,0,0,100.0,100.0,Completed
