source,repeat,level,route,seed,arm,ds,rc,phantom_ticks,phantom_episodes,scored_events,event_within_3s,first_linked_episode_start,first_linked_episode_end,first_linked_event_step,first_linked_event_type,linked_event_types,official_status
formal,0,1,28198,0,C,100.0,100.0,19,5,0,False,,,,,,Completed
formal,0,1,28198,0,D,100.0,100.0,25,6,0,False,,,,,,Completed
formal,0,1,28198,1,A,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,28198,1,B,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,28198,1,C,100.0,100.0,23,5,0,False,,,,,,Completed
formal,0,1,28198,1,D,100.0,100.0,22,7,0,False,,,,,,Completed
formal,0,1,28198,2,A,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,28198,2,B,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,28198,2,C,100.0,100.0,25,8,0,False,,,,,,Completed
formal,0,1,28198,2,D,100.0,100.0,19,7,0,False,,,,,,Completed
formal,0,1,3255,0,A,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,3255,0,B,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,3255,0,C,82.775642,100.0,49,16,1,True,432,437,457,OUTSIDE_ROUTE_LANES_INFRACTION,OUTSIDE_ROUTE_LANES_INFRACTION,Completed
formal,0,1,3255,0,D,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,3255,1,A,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,3255,1,B,50.0,100.0,0,0,1,False,,,,,,Completed
formal,0,1,3255,1,C,82.775642,100.0,32,9,1,True,435,443,463,OUTSIDE_ROUTE_LANES_INFRACTION,OUTSIDE_ROUTE_LANES_INFRACTION,Completed
formal,0,1,3255,1,D,58.282456,100.0,656,20,2,True,446,451,476,COLLISION_STATIC,COLLISION_STATIC|OUTSIDE_ROUTE_LANES_INFRACTION,Completed
formal,0,1,3255,2,A,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1,3255,2,B,50.0,100.0,0,0,1,False,,,,,,Completed
formal,0,1,3255,2,C,20.855895,100.0,84,7,5,True,179,179,202,COLLISION_VEHICLE,COLLISION_VEHICLE,Completed
formal,0,1,3255,2,D,82.775642,100.0,12,4,1,True,447,451,470,OUTSIDE_ROUTE_LANES_INFRACTION,OUTSIDE_ROUTE_LANES_INFRACTION,Completed
formal,0,1,3514,0,A,100.0,100.0,60,6,0,False,,,,,,Completed
formal,0,1,3514,0,B,89.404472,100.0,1115,55,1,True,73,91,136,OUTSIDE_ROUTE_LANES_INFRACTION,OUTSIDE_ROUTE_LANES_INFRACTION,Completed
formal,0,1,3514,0,C,65.0,100.0,18,1,1,True,6,23,29,COLLISION_STATIC,COLLISION_STATIC,Completed
formal,0,1,3514,0,D,65.0,100.0,19,2,1,True,4,4,29,COLLISION_STATIC,COLLISION_STATIC,Completed
formal,0,1,3514,1,A,100.0,100.0,58,6,0,False,,,,,,Completed
formal,0,1,3514,1,B,91.675022,100.0,1035,59,1,True,73,90,135,OUTSIDE_ROUTE_LANES_INFRACTION,OUTSIDE_ROUTE_LANES_INFRACTION,Completed
formal,0,1,3514,1,C,65.0,100.0,18,1,1,True,4,21,28,COLLISION_STATIC,COLLISION_STATIC,Completed
formal,0,1,3514,1,D,65.0,100.0,18,2,1,True,4,4,29,COLLISION_STATIC,COLLISION_STATIC,Completed
formal,0,1,3514,2,A,100.0,100.0,60,7,0,False,,,,,,Completed
formal,0,1,3514,2,B,90.918173,100.0,370,51,1,True,74,90,135,OUTSIDE_ROUTE_LANES_INFRACTION,OUTSIDE_ROUTE_LANES_INFRACTION,Completed
formal,0,1,3514,2,C,65.0,100.0,18,1,1,True,6,23,29,COLLISION_STATIC,COLLISION_STATIC,Completed
formal,0,1,3514,2,D,65.0,100.0,19,2,1,True,4,4,29,COLLISION_STATIC,COLLISION_STATIC,Completed
formal,0,1r,17569,0,A,100.0,100.0,14,4,0,False,,,,,,Completed
formal,0,1r,2091,0,A,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1r,25378,0,A,70.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1r,25381,0,A,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1r,25424,0,A,96.228568,100.0,10,1,1,False,,,,,,Completed
formal,0,1r,26405,0,A,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1r,27494,0,A,100.0,100.0,117,20,0,False,,,,,,Completed
formal,0,1r,28198,0,A,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1r,3255,0,A,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,1r,3514,0,A,100.0,100.0,62,9,0,False,,,,,,Completed
formal,0,2,2050,0,A,100.0,100.0,1,1,0,False,,,,,,Completed
formal,0,2,2050,0,B,100.0,100.0,1,1,0,False,,,,,,Completed
formal,0,2,2050,0,C,100.0,100.0,1,1,0,False,,,,,,Completed
formal,0,2,2050,0,D,60.0,100.0,1,1,1,False,,,,,,Completed
formal,0,2,2050,1,A,100.0,100.0,9,4,0,False,,,,,,Completed
formal,0,2,2050,1,B,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,2,2050,1,C,60.0,100.0,0,0,1,False,,,,,,Completed
formal,0,2,2050,1,D,100.0,100.0,10,3,0,False,,,,,,Completed
formal,0,2,2050,2,A,100.0,100.0,31,7,0,False,,,,,,Completed
formal,0,2,2050,2,B,100.0,100.0,1,1,0,False,,,,,,Completed
formal,0,2,2050,2,C,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,2,2050,2,D,60.0,100.0,6,1,1,True,194,199,254,COLLISION_VEHICLE,COLLISION_VEHICLE,Completed
formal,0,2,2084,0,A,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,2,2084,0,B,60.0,100.0,11,1,1,True,413,423,453,COLLISION_VEHICLE,COLLISION_VEHICLE,Completed
formal,0,2,2084,0,C,60.0,100.0,27,3,1,True,171,176,227,COLLISION_VEHICLE,COLLISION_VEHICLE,Completed
formal,0,2,2084,0,D,100.0,100.0,3,2,0,False,,,,,,Completed
formal,0,2,2084,1,A,100.0,100.0,2,1,0,False,,,,,,Completed
formal,0,2,2084,1,B,60.0,100.0,15,5,1,True,460,460,491,COLLISION_VEHICLE,COLLISION_VEHICLE,Completed
formal,0,2,2084,1,C,29.478,49.13,198,94,1,False,,,,,,Failed - TickRuntime
formal,0,2,2084,1,D,40.608,50.76,17,3,2,True,126,128,180,STOP_INFRACTION,STOP_INFRACTION,Failed - Agent deviated from the route
formal,0,2,2084,2,A,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,2,2084,2,B,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,2,2084,2,C,50.76,50.76,17,2,1,False,,,,,,Failed - Agent deviated from the route
formal,0,2,2084,2,D,98.738592,100.0,2,2,1,False,,,,,,Completed
formal,0,2,25318,0,A,100.0,100.0,5,2,0,False,,,,,,Completed
formal,0,2,25318,0,B,60.0,100.0,0,0,1,False,,,,,,Completed
formal,0,2,25318,0,C,20.952,34.92,1712,424,1,False,,,,,,Failed - TickRuntime
formal,0,2,25318,0,D,20.952,34.92,2383,172,1,False,,,,,,Failed - TickRuntime
formal,0,2,25318,1,A,100.0,100.0,7,6,0,False,,,,,,Completed
formal,0,2,25318,1,B,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,2,25318,1,C,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,2,25318,1,D,20.952,34.92,2437,334,1,False,,,,,,Failed - TickRuntime
formal,0,2,25318,2,A,100.0,100.0,1,1,0,False,,,,,,Completed
formal,0,2,25318,2,B,60.0,100.0,28,1,1,False,,,,,,Completed
formal,0,2,25318,2,C,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,2,25318,2,D,20.952,34.92,1402,135,1,False,,,,,,Failed - TickRuntime
formal,0,2,27529,0,A,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,2,27529,0,B,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,2,27529,0,C,24.0096,50.02,0,0,3,False,,,,,,Failed - Agent deviated from the route
formal,0,2,27529,0,D,40.016,50.02,0,0,2,False,,,,,,Failed - Agent deviated from the route
formal,0,2,27529,1,A,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,2,27529,1,B,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,2,27529,1,C,32.514352,51.16,0,0,3,False,,,,,,Failed - Agent got blocked
formal,0,2,27529,1,D,40.016,50.02,0,0,2,False,,,,,,Failed - Agent deviated from the route
formal,0,2,27529,2,A,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,2,27529,2,B,100.0,100.0,4,1,0,False,,,,,,Completed
formal,0,2,27529,2,C,50.02,50.02,10,1,1,False,,,,,,Failed - Agent deviated from the route
formal,0,2,27529,2,D,40.016,50.02,4,2,2,True,331,333,360,STOP_INFRACTION,STOP_INFRACTION,Failed - Agent deviated from the route
formal,0,2,28154,0,A,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,2,28154,0,B,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,2,28154,0,C,36.0,100.0,31,7,3,True,208,210,235,COLLISION_VEHICLE,COLLISION_VEHICLE,Completed
formal,0,2,28154,0,D,36.0,100.0,67,4,3,True,210,213,235,COLLISION_VEHICLE,COLLISION_VEHICLE,Completed
formal,0,2,28154,1,A,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,2,28154,1,B,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,2,28154,1,C,36.0,100.0,72,6,3,True,209,212,225,COLLISION_VEHICLE,COLLISION_VEHICLE,Completed
formal,0,2,28154,1,D,36.0,100.0,60,5,3,True,210,211,225,COLLISION_VEHICLE,COLLISION_VEHICLE,Completed
formal,0,2,28154,2,A,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,2,28154,2,B,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,2,28154,2,C,60.0,100.0,65,8,1,True,209,213,225,COLLISION_VEHICLE,COLLISION_VEHICLE,Completed
formal,0,2,28154,2,D,36.0,100.0,50,2,3,True,209,212,226,COLLISION_VEHICLE,COLLISION_VEHICLE,Completed
formal,0,2,3072,0,A,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,2,3072,0,B,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,2,3072,0,C,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,2,3072,0,D,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,2,3072,1,A,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,2,3072,1,B,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,2,3072,1,C,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,2,3072,1,D,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,2,3072,2,A,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,2,3072,2,B,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,2,3072,2,C,100.0,100.0,0,0,0,False,,,,,,Completed
formal,0,2,3072,2,D,100.0,100.0,0,0,0,False,,,,,,Completed
