source,selection,metric,n,p10,median,p90,p99,min,max
formal,phantom,abs_theta2_deg,20913,0.4696000395853216,8.712599604640006,88.26280633708805,94.71439577319654,0.0,95.43986922848536
formal,phantom,r0_x_m,20913,0.2855671337485583,1.1772983278946796,1.3728118336539166,1.4797296696673916,0.0836132346385714,1.5065185043975844
formal,phantom,r0_y_m,20913,-1.246723282862803,-0.9452743018193883,1.1927438046652363,1.2997992386978283,-1.3385660473904413,1.3366770804379213
formal,phantom,r0_norm_m,20913,0.7124890534129175,1.6695980660502405,1.8392910170707926,1.9189342247922838,0.300587278943128,1.998711799130766
formal,phantom,rear_first_mps,20913,2.84995621365167,6.678392264200962,7.35716406828317,7.675736899169135,1.202349115772512,7.994847196523064
formal,phantom,direct_first_mps,20913,0.24384938522150787,0.7140512647506337,1.1299213682626759,1.1902252832168538,0.2000143582435285,1.1997709214583636
formal,phantom,first_speed_excess_mps,20913,2.4721651498708095,5.815115449328798,6.735183853094262,7.3727573511465545,0.42567224744318355,7.769875553984654
formal,phantom,p0_norm_m,20913,0.06096234630537697,0.17851281618765844,0.28248034206566897,0.29755632080421346,0.050003589560882127,0.2999427303645909
d2,all,theta0_deg,11398,-80.00764888998383,0.005246718717502851,87.87561352182045,92.31231958304616,-92.57399746340587,95.7400228891107
d2,all,theta1_deg,11398,-7.424977382926818,0.02811482514475447,87.8280576462268,91.05444247401167,-89.39208797005247,95.7400228891107
d2,all,theta2_deg,11398,-4.691595281923942,0.045512241341429005,87.52396021815706,90.73450725250743,-89.39208797005247,95.7400228891107
d2,all,abs_theta0_deg,11398,0.004629270033792973,0.5235020074088608,88.07832545174095,92.57537651563771,0.0,95.7400228891107
d2,all,abs_theta1_deg,11398,0.007690682153878794,1.1921492849271904,88.00260265638859,91.05444247401167,0.0,95.7400228891107
d2,all,abs_theta2_deg,11398,0.009458538983313192,1.2016162170601632,87.58018081695306,90.73450725250743,0.0,95.7400228891107
d2,all,r0_x_m,11398,0.20228024439652478,1.357425145465248,1.9740022722545134,2.1042261037041188,-0.0023600261192768812,2.3067293428985804
d2,all,r0_y_m,11398,-1.0369697973387637,-1.487944956056122e-05,1.064046107915018,1.1594579441400936,-1.3377265114379335,1.2759831896934453
d2,all,r0_norm_m,11398,0.21596262239156358,1.6640627747965,1.9740077517760548,2.1042470380379825,2.543131586207892e-06,2.309346035340214
d2,all,rear_first_mps,11398,0.8638504895662543,6.656251099186,7.896031007104219,8.41698815215193,1.0172526344831567e-05,9.237384141360856
d2,all,direct_first_mps,11398,0.5942069117967897,3.885353334287154,7.906426683753301,8.417549885275424,1.0172526344831567e-05,9.25314700031104
d2,all,first_speed_excess_mps,11398,-0.00011867232370876835,3.8294511117697994e-08,5.83458801959793,7.1184988887030505,-0.2649720264690343,7.656911929774407
d2,all,p0_norm_m,11398,0.14855172794919744,0.9713383335717884,1.9766066709383252,2.104387471318856,2.543131586207892e-06,2.31328675007776
d2,phantom,theta0_deg,1821,-87.96192537601681,-82.73941255659687,88.57836553330215,91.11650303443824,-89.8769724424904,92.13052242368724
d2,phantom,theta1_deg,1821,-87.84656045584543,1.116539428090013,88.57836553330215,91.11650303443824,-89.39208797005247,92.13052242368724
d2,phantom,theta2_deg,1821,-4.396211706557535,1.2503031790030252,88.49914396268642,91.11650303443824,-89.39208797005247,92.13052242368724
d2,phantom,abs_theta0_deg,1821,75.88077386052991,87.55752286205606,88.71797626124078,91.11650303443824,12.621004172999298,92.13052242368724
d2,phantom,abs_theta1_deg,1821,0.6565982182141749,87.32975959277287,88.70119495931671,91.11650303443824,0.0,92.13052242368724
d2,phantom,abs_theta2_deg,1821,0.376393867727236,2.4307101700951463,88.53886426738684,91.11650303443824,0.0008541661623879438,92.13052242368724
d2,phantom,r0_x_m,1821,1.1138178407368264,1.3407409703738262,1.363619770791507,1.4147752567156557,0.10378668926880508,1.4387658059362654
d2,phantom,r0_y_m,1821,-1.1629586668051572,1.0979863228684958,1.1523754993570396,1.1830636108759476,-1.3377265114379335,1.2759831896934453
d2,phantom,r0_norm_m,1821,1.5595574437986757,1.7483347052189209,1.7895968849236714,1.938919716184348,0.33274435540639463,1.9645761028108162
d2,phantom,rear_first_mps,1821,6.238229775194703,6.9933388208756835,7.158387539694686,7.755678864737392,1.3309774216255785,7.858304411243265
d2,phantom,direct_first_mps,1821,0.45060911125083225,1.0375774481557052,1.1615717133854337,1.1936207277680815,0.2007144197620123,1.1998978748792453
d2,phantom,first_speed_excess_mps,1821,5.182732307724733,5.907967749468355,6.342742522820119,7.513413379266036,0.5406431453398183,7.656911929774407
d2,phantom,p0_norm_m,1821,0.11265227781270806,0.2593943620389263,0.29039292834635844,0.29840518194202037,0.05017860494050307,0.2999744687198113
