source,repeat,level,route,seed,arm,speed_band,valid_ticks,phantom_ticks
formal,0,1,17569,0,B,3-8,247,0
formal,0,1,17569,0,B,>=8,61,0
formal,0,1,17569,0,C,<0.5,21,0
formal,0,1,17569,0,C,0.5-3,86,12
formal,0,1,17569,0,C,3-8,252,0
formal,0,1,17569,0,C,>=8,75,0
formal,0,1,17569,0,D,<0.5,21,0
formal,0,1,17569,0,D,0.5-3,47,4
formal,0,1,17569,0,D,3-8,215,0
formal,0,1,17569,0,D,>=8,98,0
formal,0,1,17569,1,A,<0.5,1922,1337
formal,0,1,17569,1,A,0.5-3,113,11
formal,0,1,17569,1,A,3-8,187,0
formal,0,1,17569,1,A,>=8,118,0
formal,0,1,17569,1,B,<0.5,193,51
formal,0,1,17569,1,B,0.5-3,126,9
formal,0,1,17569,1,B,3-8,271,0
formal,0,1,17569,1,B,>=8,54,0
formal,0,1,17569,1,C,<0.5,32,6
formal,0,1,17569,1,C,0.5-3,67,3
formal,0,1,17569,1,C,3-8,233,0
formal,0,1,17569,1,C,>=8,78,0
formal,0,1,17569,1,D,<0.5,21,0
formal,0,1,17569,1,D,0.5-3,41,0
formal,0,1,17569,1,D,3-8,245,0
formal,0,1,17569,1,D,>=8,82,0
formal,0,1,17569,2,A,<0.5,158,61
formal,0,1,17569,2,A,0.5-3,93,2
formal,0,1,17569,2,A,3-8,199,0
formal,0,1,17569,2,A,>=8,107,0
formal,0,1,17569,2,B,<0.5,103,1
formal,0,1,17569,2,B,0.5-3,99,1
formal,0,1,17569,2,B,3-8,220,0
formal,0,1,17569,2,B,>=8,86,0
formal,0,1,17569,2,C,<0.5,22,0
formal,0,1,17569,2,C,0.5-3,83,0
formal,0,1,17569,2,C,3-8,228,0
formal,0,1,17569,2,C,>=8,91,0
formal,0,1,17569,2,D,<0.5,27,1
formal,0,1,17569,2,D,0.5-3,79,19
formal,0,1,17569,2,D,3-8,213,0
formal,0,1,17569,2,D,>=8,99,0
formal,0,1,2091,0,A,<0.5,120,0
formal,0,1,2091,0,A,0.5-3,66,0
formal,0,1,2091,0,A,3-8,129,0
formal,0,1,2091,0,A,>=8,67,0
formal,0,1,2091,0,B,<0.5,397,143
formal,0,1,2091,0,B,0.5-3,149,11
formal,0,1,2091,0,B,3-8,130,0
formal,0,1,2091,0,B,>=8,70,0
formal,0,1,2091,0,C,<0.5,3766,66
formal,0,1,2091,0,C,0.5-3,105,14
formal,0,1,2091,0,C,3-8,128,0
formal,0,1,2091,0,C,>=8,0,0
formal,0,1,2091,0,D,<0.5,33,2
formal,0,1,2091,0,D,0.5-3,64,9
formal,0,1,2091,0,D,3-8,169,0
formal,0,1,2091,0,D,>=8,72,0
formal,0,1,2091,1,A,<0.5,3626,1
formal,0,1,2091,1,A,0.5-3,82,0
formal,0,1,2091,1,A,3-8,144,0
formal,0,1,2091,1,A,>=8,61,0
formal,0,1,2091,1,B,<0.5,187,18
formal,0,1,2091,1,B,0.5-3,109,0
formal,0,1,2091,1,B,3-8,139,0
formal,0,1,2091,1,B,>=8,71,0
formal,0,1,2091,1,C,<0.5,295,16
formal,0,1,2091,1,C,0.5-3,123,25
formal,0,1,2091,1,C,3-8,175,0
formal,0,1,2091,1,C,>=8,49,0
formal,0,1,2091,1,D,<0.5,57,21
formal,0,1,2091,1,D,0.5-3,79,9
formal,0,1,2091,1,D,3-8,159,0
formal,0,1,2091,1,D,>=8,70,0
formal,0,1,2091,2,A,<0.5,133,0
formal,0,1,2091,2,A,0.5-3,51,1
formal,0,1,2091,2,A,3-8,146,0
formal,0,1,2091,2,A,>=8,62,0
formal,0,1,2091,2,B,<0.5,3726,1038
formal,0,1,2091,2,B,0.5-3,199,19
formal,0,1,2091,2,B,3-8,74,0
formal,0,1,2091,2,B,>=8,0,0
formal,0,1,2091,2,C,<0.5,697,12
formal,0,1,2091,2,C,0.5-3,112,19
formal,0,1,2091,2,C,3-8,155,0
formal,0,1,2091,2,C,>=8,52,0
formal,0,1,2091,2,D,<0.5,1707,31
formal,0,1,2091,2,D,0.5-3,188,43
formal,0,1,2091,2,D,3-8,152,0
formal,0,1,2091,2,D,>=8,55,0
formal,0,1,25378,0,A,<0.5,12,0
formal,0,1,25378,0,A,0.5-3,8,0
formal,0,1,25378,0,A,3-8,116,0
formal,0,1,25378,0,A,>=8,107,0
formal,0,1,25378,0,B,<0.5,12,0
formal,0,1,25378,0,B,0.5-3,11,0
formal,0,1,25378,0,B,3-8,140,0
formal,0,1,25378,0,B,>=8,98,0
formal,0,1,25378,0,C,<0.5,20,0
formal,0,1,25378,0,C,0.5-3,16,0
formal,0,1,25378,0,C,3-8,93,0
formal,0,1,25378,0,C,>=8,134,0
formal,0,1,25378,0,D,<0.5,20,0
formal,0,1,25378,0,D,0.5-3,17,0
formal,0,1,25378,0,D,3-8,91,0
formal,0,1,25378,0,D,>=8,133,0
formal,0,1,25378,1,A,<0.5,12,0
formal,0,1,25378,1,A,0.5-3,11,0
formal,0,1,25378,1,A,3-8,120,0
formal,0,1,25378,1,A,>=8,107,0
formal,0,1,25378,1,B,<0.5,12,0
formal,0,1,25378,1,B,0.5-3,10,0
formal,0,1,25378,1,B,3-8,131,0
formal,0,1,25378,1,B,>=8,99,0
formal,0,1,25378,1,C,<0.5,20,0
formal,0,1,25378,1,C,0.5-3,16,0
formal,0,1,25378,1,C,3-8,95,0
formal,0,1,25378,1,C,>=8,133,0
formal,0,1,25378,1,D,<0.5,20,0
formal,0,1,25378,1,D,0.5-3,16,0
formal,0,1,25378,1,D,3-8,95,0
formal,0,1,25378,1,D,>=8,134,0
formal,0,1,25378,2,A,<0.5,12,0
formal,0,1,25378,2,A,0.5-3,10,0
formal,0,1,25378,2,A,3-8,105,0
formal,0,1,25378,2,A,>=8,113,0
formal,0,1,25378,2,B,<0.5,12,0
formal,0,1,25378,2,B,0.5-3,8,0
formal,0,1,25378,2,B,3-8,132,0
formal,0,1,25378,2,B,>=8,96,0
formal,0,1,25378,2,C,<0.5,20,0
formal,0,1,25378,2,C,0.5-3,16,0
formal,0,1,25378,2,C,3-8,95,0
formal,0,1,25378,2,C,>=8,133,0
formal,0,1,25378,2,D,<0.5,20,0
formal,0,1,25378,2,D,0.5-3,16,0
formal,0,1,25378,2,D,3-8,96,0
formal,0,1,25378,2,D,>=8,132,0
formal,0,1,25381,0,A,<0.5,18,3
formal,0,1,25381,0,A,0.5-3,31,0
formal,0,1,25381,0,A,3-8,287,0
formal,0,1,25381,0,A,>=8,91,0
formal,0,1,25381,0,B,<0.5,14,0
formal,0,1,25381,0,B,0.5-3,36,0
formal,0,1,25381,0,B,3-8,308,0
formal,0,1,25381,0,B,>=8,81,0
formal,0,1,25381,0,C,<0.5,20,0
formal,0,1,25381,0,C,0.5-3,31,0
formal,0,1,25381,0,C,3-8,219,0
formal,0,1,25381,0,C,>=8,141,0
formal,0,1,25381,0,D,<0.5,20,0
formal,0,1,25381,0,D,0.5-3,23,0
formal,0,1,25381,0,D,3-8,245,0
formal,0,1,25381,0,D,>=8,122,0
formal,0,1,25381,1,A,<0.5,13,0
formal,0,1,25381,1,A,0.5-3,21,0
formal,0,1,25381,1,A,3-8,296,0
formal,0,1,25381,1,A,>=8,85,0
formal,0,1,25381,1,B,<0.5,14,0
formal,0,1,25381,1,B,0.5-3,30,0
formal,0,1,25381,1,B,3-8,313,0
formal,0,1,25381,1,B,>=8,82,0
formal,0,1,25381,1,C,<0.5,20,0
formal,0,1,25381,1,C,0.5-3,31,0
formal,0,1,25381,1,C,3-8,222,0
formal,0,1,25381,1,C,>=8,138,0
formal,0,1,25381,1,D,<0.5,20,0
formal,0,1,25381,1,D,0.5-3,31,0
formal,0,1,25381,1,D,3-8,229,0
formal,0,1,25381,1,D,>=8,130,0
formal,0,1,25381,2,A,<0.5,12,0
formal,0,1,25381,2,A,0.5-3,15,0
formal,0,1,25381,2,A,3-8,288,0
formal,0,1,25381,2,A,>=8,99,0
formal,0,1,25381,2,B,<0.5,15,0
formal,0,1,25381,2,B,0.5-3,26,0
formal,0,1,25381,2,B,3-8,309,0
formal,0,1,25381,2,B,>=8,89,0
formal,0,1,25381,2,C,<0.5,20,0
formal,0,1,25381,2,C,0.5-3,28,0
formal,0,1,25381,2,C,3-8,207,0
formal,0,1,25381,2,C,>=8,156,0
formal,0,1,25381,2,D,<0.5,20,0
formal,0,1,25381,2,D,0.5-3,30,0
formal,0,1,25381,2,D,3-8,227,0
formal,0,1,25381,2,D,>=8,133,0
formal,0,1,25424,0,A,<0.5,69,7
formal,0,1,25424,0,A,0.5-3,72,12
formal,0,1,25424,0,A,3-8,131,0
formal,0,1,25424,0,A,>=8,132,0
formal,0,1,25424,0,B,<0.5,1836,104
formal,0,1,25424,0,B,0.5-3,142,7
formal,0,1,25424,0,B,3-8,179,0
formal,0,1,25424,0,B,>=8,97,0
formal,0,1,25424,0,C,<0.5,22,0
formal,0,1,25424,0,C,0.5-3,60,0
formal,0,1,25424,0,C,3-8,180,0
formal,0,1,25424,0,C,>=8,113,0
formal,0,1,25424,0,D,<0.5,1779,822
formal,0,1,25424,0,D,0.5-3,175,32
formal,0,1,25424,0,D,3-8,224,0
formal,0,1,25424,0,D,>=8,67,0
formal,0,1,25424,1,A,<0.5,39,2
formal,0,1,25424,1,A,0.5-3,70,0
formal,0,1,25424,1,A,3-8,166,0
formal,0,1,25424,1,A,>=8,114,0
formal,0,1,25424,1,B,<0.5,1847,806
formal,0,1,25424,1,B,0.5-3,187,13
formal,0,1,25424,1,B,3-8,161,0
formal,0,1,25424,1,B,>=8,95,0
formal,0,1,25424,1,C,<0.5,32,1
formal,0,1,25424,1,C,0.5-3,99,16
formal,0,1,25424,1,C,3-8,178,0
formal,0,1,25424,1,C,>=8,105,0
formal,0,1,25424,1,D,<0.5,1844,5
formal,0,1,25424,1,D,0.5-3,170,25
formal,0,1,25424,1,D,3-8,183,0
formal,0,1,25424,1,D,>=8,103,0
formal,0,1,25424,2,A,<0.5,67,2
formal,0,1,25424,2,A,0.5-3,75,11
formal,0,1,25424,2,A,3-8,122,0
formal,0,1,25424,2,A,>=8,141,0
formal,0,1,25424,2,B,<0.5,1841,880
formal,0,1,25424,2,B,0.5-3,175,20
formal,0,1,25424,2,B,3-8,171,0
formal,0,1,25424,2,B,>=8,91,0
formal,0,1,25424,2,C,<0.5,22,0
formal,0,1,25424,2,C,0.5-3,60,9
formal,0,1,25424,2,C,3-8,176,0
formal,0,1,25424,2,C,>=8,118,0
formal,0,1,25424,2,D,<0.5,34,4
formal,0,1,25424,2,D,0.5-3,112,12
formal,0,1,25424,2,D,3-8,196,0
formal,0,1,25424,2,D,>=8,87,0
formal,0,1,26405,0,A,<0.5,18,0
formal,0,1,26405,0,A,0.5-3,28,0
formal,0,1,26405,0,A,3-8,104,0
formal,0,1,26405,0,A,>=8,232,0
formal,0,1,26405,0,B,<0.5,1290,550
formal,0,1,26405,0,B,0.5-3,35,0
formal,0,1,26405,0,B,3-8,153,0
formal,0,1,26405,0,B,>=8,109,0
formal,0,1,26405,0,C,<0.5,34,0
formal,0,1,26405,0,C,0.5-3,42,0
formal,0,1,26405,0,C,3-8,85,0
formal,0,1,26405,0,C,>=8,256,0
formal,0,1,26405,0,D,<0.5,61,0
formal,0,1,26405,0,D,0.5-3,40,0
formal,0,1,26405,0,D,3-8,72,0
formal,0,1,26405,0,D,>=8,269,0
formal,0,1,26405,1,A,<0.5,22,0
formal,0,1,26405,1,A,0.5-3,28,0
formal,0,1,26405,1,A,3-8,132,0
formal,0,1,26405,1,A,>=8,207,0
formal,0,1,26405,1,B,<0.5,109,63
formal,0,1,26405,1,B,0.5-3,71,3
formal,0,1,26405,1,B,3-8,247,0
formal,0,1,26405,1,B,>=8,112,0
formal,0,1,26405,1,C,<0.5,25,1
formal,0,1,26405,1,C,0.5-3,44,0
formal,0,1,26405,1,C,3-8,86,0
formal,0,1,26405,1,C,>=8,255,0
formal,0,1,26405,1,D,<0.5,50,1
formal,0,1,26405,1,D,0.5-3,40,0
formal,0,1,26405,1,D,3-8,82,0
formal,0,1,26405,1,D,>=8,259,0
formal,0,1,26405,2,A,<0.5,23,0
formal,0,1,26405,2,A,0.5-3,30,0
formal,0,1,26405,2,A,3-8,157,0
formal,0,1,26405,2,A,>=8,181,0
formal,0,1,26405,2,B,<0.5,1305,1211
formal,0,1,26405,2,B,0.5-3,51,0
formal,0,1,26405,2,B,3-8,154,0
formal,0,1,26405,2,B,>=8,102,0
formal,0,1,26405,2,C,<0.5,60,0
formal,0,1,26405,2,C,0.5-3,41,0
formal,0,1,26405,2,C,3-8,73,0
formal,0,1,26405,2,C,>=8,268,0
formal,0,1,26405,2,D,<0.5,54,0
formal,0,1,26405,2,D,0.5-3,41,0
formal,0,1,26405,2,D,3-8,80,0
formal,0,1,26405,2,D,>=8,261,0
formal,0,1,27494,0,A,<0.5,201,23
formal,0,1,27494,0,A,0.5-3,23,1
formal,0,1,27494,0,A,3-8,238,0
formal,0,1,27494,0,A,>=8,25,0
formal,0,1,27494,0,B,<0.5,1142,40
formal,0,1,27494,0,B,0.5-3,94,14
formal,0,1,27494,0,B,3-8,268,0
formal,0,1,27494,0,B,>=8,13,0
formal,0,1,27494,0,C,<0.5,188,0
formal,0,1,27494,0,C,0.5-3,48,5
formal,0,1,27494,0,C,3-8,269,0
formal,0,1,27494,0,C,>=8,0,0
formal,0,1,27494,0,D,<0.5,207,0
formal,0,1,27494,0,D,0.5-3,57,4
formal,0,1,27494,0,D,3-8,258,0
formal,0,1,27494,0,D,>=8,9,0
formal,0,1,27494,1,A,<0.5,195,123
formal,0,1,27494,1,A,0.5-3,36,1
formal,0,1,27494,1,A,3-8,236,0
formal,0,1,27494,1,A,>=8,25,0
formal,0,1,27494,1,B,<0.5,1151,171
formal,0,1,27494,1,B,0.5-3,93,5
formal,0,1,27494,1,B,3-8,258,0
formal,0,1,27494,1,B,>=8,15,0
formal,0,1,27494,1,C,<0.5,379,0
formal,0,1,27494,1,C,0.5-3,50,1
formal,0,1,27494,1,C,3-8,258,0
formal,0,1,27494,1,C,>=8,10,0
formal,0,1,27494,1,D,<0.5,208,2
formal,0,1,27494,1,D,0.5-3,56,0
formal,0,1,27494,1,D,3-8,259,0
formal,0,1,27494,1,D,>=8,10,0
formal,0,1,27494,2,A,<0.5,193,0
formal,0,1,27494,2,A,0.5-3,40,0
formal,0,1,27494,2,A,3-8,233,0
formal,0,1,27494,2,A,>=8,22,0
formal,0,1,27494,2,B,<0.5,1146,174
formal,0,1,27494,2,B,0.5-3,98,1
formal,0,1,27494,2,B,3-8,256,0
formal,0,1,27494,2,B,>=8,15,0
formal,0,1,27494,2,C,<0.5,218,0
formal,0,1,27494,2,C,0.5-3,44,2
formal,0,1,27494,2,C,3-8,263,0
formal,0,1,27494,2,C,>=8,9,0
formal,0,1,27494,2,D,<0.5,161,7
formal,0,1,27494,2,D,0.5-3,80,5
formal,0,1,27494,2,D,3-8,262,0
formal,0,1,27494,2,D,>=8,0,0
formal,0,1,28198,0,A,<0.5,55,1
formal,0,1,28198,0,A,0.5-3,53,0
formal,0,1,28198,0,A,3-8,109,0
formal,0,1,28198,0,A,>=8,96,0
formal,0,1,28198,0,B,<0.5,39,0
formal,0,1,28198,0,B,0.5-3,72,0
formal,0,1,28198,0,B,3-8,103,0
formal,0,1,28198,0,B,>=8,102,0
formal,0,1,28198,0,C,<0.5,22,4
formal,0,1,28198,0,C,0.5-3,65,15
formal,0,1,28198,0,C,3-8,117,0
formal,0,1,28198,0,C,>=8,100,0
formal,0,1,28198,0,D,<0.5,20,2
formal,0,1,28198,0,D,0.5-3,69,23
formal,0,1,28198,0,D,3-8,114,0
formal,0,1,28198,0,D,>=8,105,0
formal,0,1,28198,1,A,<0.5,55,0
formal,0,1,28198,1,A,0.5-3,51,0
formal,0,1,28198,1,A,3-8,105,0
formal,0,1,28198,1,A,>=8,99,0
formal,0,1,28198,1,B,<0.5,40,0
formal,0,1,28198,1,B,0.5-3,66,0
formal,0,1,28198,1,B,3-8,106,0
formal,0,1,28198,1,B,>=8,103,0
formal,0,1,28198,1,C,<0.5,24,4
formal,0,1,28198,1,C,0.5-3,62,19
formal,0,1,28198,1,C,3-8,118,0
formal,0,1,28198,1,C,>=8,100,0
formal,0,1,28198,1,D,<0.5,22,4
formal,0,1,28198,1,D,0.5-3,70,18
formal,0,1,28198,1,D,3-8,109,0
formal,0,1,28198,1,D,>=8,106,0
formal,0,1,28198,2,A,<0.5,55,0
formal,0,1,28198,2,A,0.5-3,43,0
formal,0,1,28198,2,A,3-8,109,0
formal,0,1,28198,2,A,>=8,95,0
formal,0,1,28198,2,B,<0.5,42,0
formal,0,1,28198,2,B,0.5-3,64,0
formal,0,1,28198,2,B,3-8,105,0
formal,0,1,28198,2,B,>=8,102,0
formal,0,1,28198,2,C,<0.5,22,3
formal,0,1,28198,2,C,0.5-3,65,22
formal,0,1,28198,2,C,3-8,117,0
formal,0,1,28198,2,C,>=8,99,0
formal,0,1,28198,2,D,<0.5,22,2
formal,0,1,28198,2,D,0.5-3,66,17
formal,0,1,28198,2,D,3-8,112,0
formal,0,1,28198,2,D,>=8,105,0
formal,0,1,3255,0,A,<0.5,275,0
formal,0,1,3255,0,A,0.5-3,60,0
formal,0,1,3255,0,A,3-8,382,0
formal,0,1,3255,0,A,>=8,3,0
formal,0,1,3255,0,B,<0.5,183,0
formal,0,1,3255,0,B,0.5-3,126,0
formal,0,1,3255,0,B,3-8,407,0
formal,0,1,3255,0,B,>=8,0,0
formal,0,1,3255,0,C,<0.5,119,18
formal,0,1,3255,0,C,0.5-3,141,31
formal,0,1,3255,0,C,3-8,354,0
formal,0,1,3255,0,C,>=8,0,0
formal,0,1,3255,0,D,<0.5,272,0
formal,0,1,3255,0,D,0.5-3,70,0
formal,0,1,3255,0,D,3-8,382,0
formal,0,1,3255,0,D,>=8,0,0
formal,0,1,3255,1,A,<0.5,281,0
formal,0,1,3255,1,A,0.5-3,55,0
formal,0,1,3255,1,A,3-8,387,0
formal,0,1,3255,1,A,>=8,0,0
formal,0,1,3255,1,B,<0.5,775,0
formal,0,1,3255,1,B,0.5-3,76,0
formal,0,1,3255,1,B,3-8,381,0
formal,0,1,3255,1,B,>=8,0,0
formal,0,1,3255,1,C,<0.5,143,6
formal,0,1,3255,1,C,0.5-3,135,26
formal,0,1,3255,1,C,3-8,355,0
formal,0,1,3255,1,C,>=8,0,0
formal,0,1,3255,1,D,<0.5,1946,632
formal,0,1,3255,1,D,0.5-3,111,24
formal,0,1,3255,1,D,3-8,365,0
formal,0,1,3255,1,D,>=8,0,0
formal,0,1,3255,2,A,<0.5,294,0
formal,0,1,3255,2,A,0.5-3,50,0
formal,0,1,3255,2,A,3-8,378,0
formal,0,1,3255,2,A,>=8,2,0
formal,0,1,3255,2,B,<0.5,2581,0
formal,0,1,3255,2,B,0.5-3,147,0
formal,0,1,3255,2,B,3-8,402,0
formal,0,1,3255,2,B,>=8,0,0
formal,0,1,3255,2,C,<0.5,128,57
formal,0,1,3255,2,C,0.5-3,131,27
formal,0,1,3255,2,C,3-8,379,0
formal,0,1,3255,2,C,>=8,0,0
formal,0,1,3255,2,D,<0.5,106,0
formal,0,1,3255,2,D,0.5-3,81,12
formal,0,1,3255,2,D,3-8,373,0
formal,0,1,3255,2,D,>=8,0,0
formal,0,1,3514,0,A,<0.5,91,60
formal,0,1,3514,0,A,0.5-3,12,0
formal,0,1,3514,0,A,3-8,401,0
formal,0,1,3514,0,A,>=8,14,0
formal,0,1,3514,0,B,<0.5,1871,1096
formal,0,1,3514,0,B,0.5-3,43,19
formal,0,1,3514,0,B,3-8,440,0
formal,0,1,3514,0,B,>=8,0,0
formal,0,1,3514,0,C,<0.5,84,13
formal,0,1,3514,0,C,0.5-3,28,5
formal,0,1,3514,0,C,3-8,402,0
formal,0,1,3514,0,C,>=8,0,0
formal,0,1,3514,0,D,<0.5,89,14
formal,0,1,3514,0,D,0.5-3,29,5
formal,0,1,3514,0,D,3-8,401,0
formal,0,1,3514,0,D,>=8,0,0
formal,0,1,3514,1,A,<0.5,91,58
formal,0,1,3514,1,A,0.5-3,12,0
formal,0,1,3514,1,A,3-8,401,0
formal,0,1,3514,1,A,>=8,15,0
formal,0,1,3514,1,B,<0.5,1857,1024
formal,0,1,3514,1,B,0.5-3,59,11
formal,0,1,3514,1,B,3-8,433,0
formal,0,1,3514,1,B,>=8,0,0
formal,0,1,3514,1,C,<0.5,88,14
formal,0,1,3514,1,C,0.5-3,27,4
formal,0,1,3514,1,C,3-8,401,0
formal,0,1,3514,1,C,>=8,0,0
formal,0,1,3514,1,D,<0.5,89,14
formal,0,1,3514,1,D,0.5-3,29,4
formal,0,1,3514,1,D,3-8,401,0
formal,0,1,3514,1,D,>=8,0,0
formal,0,1,3514,2,A,<0.5,91,60
formal,0,1,3514,2,A,0.5-3,12,0
formal,0,1,3514,2,A,3-8,400,0
formal,0,1,3514,2,A,>=8,14,0
formal,0,1,3514,2,B,<0.5,1856,360
formal,0,1,3514,2,B,0.5-3,67,10
formal,0,1,3514,2,B,3-8,431,0
formal,0,1,3514,2,B,>=8,0,0
formal,0,1,3514,2,C,<0.5,88,13
formal,0,1,3514,2,C,0.5-3,27,5
formal,0,1,3514,2,C,3-8,401,0
formal,0,1,3514,2,C,>=8,0,0
formal,0,1,3514,2,D,<0.5,88,14
formal,0,1,3514,2,D,0.5-3,29,5
formal,0,1,3514,2,D,3-8,401,0
formal,0,1,3514,2,D,>=8,0,0
formal,0,1r,17569,0,A,<0.5,81,13
formal,0,1r,17569,0,A,0.5-3,60,1
formal,0,1r,17569,0,A,3-8,192,0
formal,0,1r,17569,0,A,>=8,110,0
formal,0,1r,2091,0,A,<0.5,134,0
formal,0,1r,2091,0,A,0.5-3,51,0
formal,0,1r,2091,0,A,3-8,128,0
formal,0,1r,2091,0,A,>=8,71,0
formal,0,1r,25378,0,A,<0.5,12,0
formal,0,1r,25378,0,A,0.5-3,8,0
formal,0,1r,25378,0,A,3-8,118,0
formal,0,1r,25378,0,A,>=8,107,0
formal,0,1r,25381,0,A,<0.5,15,0
formal,0,1r,25381,0,A,0.5-3,26,0
formal,0,1r,25381,0,A,3-8,285,0
formal,0,1r,25381,0,A,>=8,93,0
formal,0,1r,25424,0,A,<0.5,41,5
formal,0,1r,25424,0,A,0.5-3,69,5
formal,0,1r,25424,0,A,3-8,153,0
formal,0,1r,25424,0,A,>=8,124,0
formal,0,1r,26405,0,A,<0.5,24,0
formal,0,1r,26405,0,A,0.5-3,30,0
formal,0,1r,26405,0,A,3-8,127,0
formal,0,1r,26405,0,A,>=8,210,0
formal,0,1r,27494,0,A,<0.5,199,117
formal,0,1r,27494,0,A,0.5-3,29,0
formal,0,1r,27494,0,A,3-8,236,0
formal,0,1r,27494,0,A,>=8,27,0
formal,0,1r,28198,0,A,<0.5,57,0
formal,0,1r,28198,0,A,0.5-3,41,0
formal,0,1r,28198,0,A,3-8,104,0
formal,0,1r,28198,0,A,>=8,99,0
formal,0,1r,3255,0,A,<0.5,278,0
formal,0,1r,3255,0,A,0.5-3,50,0
formal,0,1r,3255,0,A,3-8,392,0
formal,0,1r,3255,0,A,>=8,0,0
formal,0,1r,3514,0,A,<0.5,91,62
formal,0,1r,3514,0,A,0.5-3,12,0
formal,0,1r,3514,0,A,3-8,402,0
formal,0,1r,3514,0,A,>=8,12,0
formal,0,2,2050,0,A,<0.5,30,1
formal,0,2,2050,0,A,0.5-3,38,0
formal,0,2,2050,0,A,3-8,97,0
formal,0,2,2050,0,A,>=8,90,0
formal,0,2,2050,0,B,<0.5,19,1
formal,0,2,2050,0,B,0.5-3,50,0
formal,0,2,2050,0,B,3-8,102,0
formal,0,2,2050,0,B,>=8,84,0
formal,0,2,2050,0,C,<0.5,46,1
formal,0,2,2050,0,C,0.5-3,42,0
formal,0,2,2050,0,C,3-8,122,0
formal,0,2,2050,0,C,>=8,88,0
formal,0,2,2050,0,D,<0.5,40,1
formal,0,2,2050,0,D,0.5-3,43,0
formal,0,2,2050,0,D,3-8,151,0
formal,0,2,2050,0,D,>=8,78,0
formal,0,2,2050,1,A,<0.5,80,8
formal,0,2,2050,1,A,0.5-3,52,1
formal,0,2,2050,1,A,3-8,113,0
formal,0,2,2050,1,A,>=8,83,0
formal,0,2,2050,1,B,<0.5,20,0
formal,0,2,2050,1,B,0.5-3,50,0
formal,0,2,2050,1,B,3-8,103,0
formal,0,2,2050,1,B,>=8,84,0
formal,0,2,2050,1,C,<0.5,38,0
