group,axis,vlm,best_baseline,baseline_acc,vlm_acc,delta,d_lo,d_hi
rater,lat3,VLM Qwen3-VL-32B-FP8 text,route command (CTRA long; lateral = intent),0.6694560669456067,0.6589958158995816,-0.010460251046025104,-0.020876826722338204,-0.0020964360587002098
rater,lat3,VLM Qwen3-VL-32B-FP8 main,route command (CTRA long; lateral = intent),0.0,0.0,0.0,0.0,0.0
rater,lat,VLM Qwen3-VL-4B main,route command (CTRA long; lateral = intent),0.6652719665271967,0.6485355648535565,-0.016736401673640166,-0.02939760220125786,-0.004192652824925661
rater,lat,VLM Qwen3-VL-4B text,route command (CTRA long; lateral = intent),0.6652719665271967,0.6443514644351465,-0.02092050209205021,-0.03563941299790356,-0.006289308176100629
rater,lat,VLM Qwen3-VL-32B-FP8 text,route command (CTRA long; lateral = intent),0.6652719665271967,0.6548117154811716,-0.010460251046025104,-0.020876826722338204,-0.0020964360587002098
rater,lat,VLM Qwen3-VL-32B-FP8 main,route command (CTRA long; lateral = intent),0.0,0.0,0.0,0.0,0.0
rater,joint,VLM Qwen3-VL-4B main,"ego kinematic (CTRA extrapolation, same judge)",0.3723849372384937,0.2928870292887029,-0.0794979079497908,-0.1320754716981132,-0.03144325836057825
rater,joint,VLM Qwen3-VL-4B text,"ego kinematic (CTRA extrapolation, same judge)",0.3723849372384937,0.20502092050209206,-0.16736401673640167,-0.21805878336681503,-0.11899791231732777
rater,joint,VLM Qwen3-VL-32B-FP8 text,"ego kinematic (CTRA extrapolation, same judge)",0.3723849372384937,0.33263598326359833,-0.0397489539748954,-0.09375980648535565,0.012552959132654404
rater,joint,VLM Qwen3-VL-32B-FP8 main,"ego kinematic (CTRA extrapolation, same judge)",0.5,0.0,-0.5,-0.8333333333333334,-0.16666666666666666
pre_onset | route straight,long,VLM Qwen3-VL-4B main,"ego kinematic (CTRA extrapolation, same judge)",0.6785714285714286,0.564625850340136,-0.11394557823129252,-0.2381275770070337,0.004691626064640874
pre_onset | route straight,long,VLM Qwen3-VL-4B text,"ego kinematic (CTRA extrapolation, same judge)",0.6785714285714286,0.5748299319727891,-0.10374149659863946,-0.21322910044500953,0.005330273969101804
pre_onset | route straight,long,VLM Qwen3-VL-32B-FP8 text,"ego kinematic (CTRA extrapolation, same judge)",0.6785714285714286,0.6394557823129252,-0.0391156462585034,-0.08366554191397674,0.0
pre_onset | route straight,long,VLM Qwen3-VL-32B-FP8 main,"ego kinematic (CTRA extrapolation, same judge)",0.6785714285714286,0.6020408163265306,-0.07653061224489796,-0.15548621120816908,0.0018024605958792425
pre_onset | route straight,lat3,VLM Qwen3-VL-4B main,majority (right),0.5714285714285714,0.04081632653061224,-0.5306122448979592,-0.6427731610428747,-0.41804311365430147
pre_onset | route straight,lat3,VLM Qwen3-VL-4B text,majority (right),0.5714285714285714,0.0391156462585034,-0.532312925170068,-0.6452872566280033,-0.4196372226074896
pre_onset | route straight,lat3,VLM Qwen3-VL-32B-FP8 text,majority (right),0.5714285714285714,0.0391156462585034,-0.532312925170068,-0.6452872566280033,-0.4196372226074896
pre_onset | route straight,lat3,VLM Qwen3-VL-32B-FP8 main,majority (right),0.5714285714285714,0.04591836734693878,-0.5255102040816326,-0.6398098147709788,-0.4126906200546684
pre_onset | route straight,lat,VLM Qwen3-VL-4B main,majority (lane_change_right),0.41156462585034015,0.04081632653061224,-0.3707482993197279,-0.48851722839389944,-0.2590627547934036
