group,variant,model,n,lat@2s,lon@2s,lat@4s,lon@4s,curv_mae,curv_r,d_lat@2s,d_lat@2s_segmin,d_lat@2s_segmax,d_lon@2s,d_lon@2s_segmin,d_lon@2s_segmax,d_lat@4s,d_lat@4s_segmin,d_lat@4s_segmax
mount,height1.81,cinque,8800,0.3434,4.376,1.3275,8.6643,0.0022,0.9681,0.1798,0.026,0.3709,3.5187,1.2878,5.66,0.6136,0.1242,1.6989
mount,height1.81,lebowski,4400,0.5344,5.6236,2.1475,10.8283,0.0027,0.9903,0.3216,0.1472,0.5564,4.5448,3.4335,7.0032,1.0681,0.2554,2.2729
mount,height2.20,small,4400,0.7638,7.4199,3.0418,14.3526,0.0017,0.988,0.3856,0.1621,0.6993,5.6452,3.6474,10.1211,1.3454,0.5322,2.635
mount,height2.20,cinque,8800,0.445,7.1217,1.7116,13.7202,0.0029,0.9545,0.2814,0.0514,0.4885,6.2644,3.5866,10.2615,0.9977,0.2076,2.3275
mount,height2.20,lebowski,4400,0.6852,8.0985,2.6945,15.2612,0.0036,0.9858,0.4723,0.2534,0.7418,7.0197,5.0076,11.9046,1.6151,0.4954,3.1343
image,res0.5,small,4400,0.369,1.7864,1.6762,5.0891,0.0015,0.9924,-0.0093,-0.0229,0.0099,0.0117,-0.0303,0.0447,-0.0202,-0.0599,0.0466
image,res0.5,cinque,8800,0.1627,0.8317,0.7123,2.5155,0.0011,0.9783,-0.0009,-0.0081,0.0048,-0.0256,-0.2182,0.048,-0.0017,-0.041,0.0411
image,res0.5,lebowski,4400,0.2119,1.0723,1.0715,3.4679,0.0014,0.9936,-0.0009,-0.0047,0.0039,-0.0065,-0.0161,0.0053,-0.0079,-0.0379,0.015
image,res0.25,small,4400,0.3635,1.8027,1.6956,5.1039,0.0014,0.993,-0.0147,-0.0449,0.0309,0.028,-0.0271,0.108,-0.0008,-0.0512,0.1284
image,res0.25,cinque,8800,0.1715,0.8376,0.7359,2.5329,0.0012,0.9783,0.0079,-0.014,0.0405,-0.0197,-0.3006,0.2728,0.0219,-0.0642,0.2144
image,res0.25,lebowski,4400,0.222,1.0798,1.1018,3.4034,0.0014,0.9935,0.0092,-0.0164,0.0273,0.001,-0.046,0.0427,0.0224,-0.0508,0.1125
image,blur1.5,small,4400,0.3648,1.7702,1.6633,5.0444,0.0014,0.9927,-0.0134,-0.0307,0.0093,-0.0044,-0.0507,0.0351,-0.0331,-0.0794,0.031
image,blur1.5,cinque,8800,0.164,0.8216,0.7117,2.5036,0.0011,0.9784,0.0004,-0.0068,0.005,-0.0357,-0.2581,0.0511,-0.0023,-0.0471,0.0359
image,blur1.5,lebowski,4400,0.2144,1.0729,1.0733,3.4603,0.0014,0.9939,0.0016,-0.0037,0.0052,-0.0059,-0.034,0.0132,-0.0061,-0.0454,0.0164
image,blur3,small,4400,0.3551,1.7682,1.6794,5.0017,0.0014,0.9932,-0.0231,-0.0378,0.0005,-0.0064,-0.0828,0.0896,-0.017,-0.0694,0.025
image,blur3,cinque,8800,0.1698,0.8366,0.7223,2.5409,0.0012,0.978,0.0062,-0.0176,0.037,-0.0207,-0.261,0.2557,0.0083,-0.0782,0.125
image,blur3,lebowski,4400,0.222,1.1034,1.0799,3.4135,0.0014,0.9941,0.0092,-0.0148,0.0379,0.0246,-0.1207,0.1443,0.0005,-0.0442,0.0416
image,noise6,small,4400,0.4363,2.2418,1.8893,5.8316,0.0018,0.9871,0.0581,0.0046,0.1004,0.4671,-0.0705,1.1572,0.1929,-0.1847,0.479
image,noise6,cinque,8800,0.1808,1.1202,0.7983,3.0371,0.0014,0.9699,0.0172,-0.0164,0.0595,0.2629,-0.1476,0.836,0.0843,-0.0122,0.2286
image,noise6,lebowski,4400,0.2504,1.817,1.2146,4.6525,0.0016,0.9902,0.0376,-0.0036,0.0845,0.7382,0.1979,1.7838,0.1352,0.0018,0.2528
image,dark0.5,small,4400,0.3981,1.8225,1.7992,5.3016,0.0015,0.9916,0.0199,-0.0069,0.0366,0.0478,-0.152,0.268,0.1027,-0.0196,0.212
image,dark0.5,cinque,8800,0.1671,0.8858,0.7331,2.6352,0.0012,0.9769,0.0035,-0.0164,0.0143,0.0285,-0.2455,0.1775,0.0191,-0.0447,0.1216
image,dark0.5,lebowski,4400,0.2226,1.0104,1.0953,3.4084,0.0014,0.9932,0.0097,-0.0057,0.0269,-0.0684,-0.272,0.0144,0.0159,-0.0489,0.0842
