method,run,route_id,ds,rc,success,source
TF++,tfpp,3248,100.0,100.0,True,official
TF++,tfpp,3189,100.0,100.0,True,official
TF++,tfpp,3184,100.0,100.0,True,official
TF++,tfpp,3178,100.0,100.0,True,official
TF++,tfpp,3144,70.0,100.0,False,official
TF++,tfpp,3100,100.0,100.0,True,official
TF++,tfpp,3099,100.0,100.0,True,official
TF++,tfpp,3093,100.0,100.0,True,official
TF++,tfpp,3090,100.0,100.0,True,official
TF++,tfpp,3086,100.0,100.0,True,official
TF++,tfpp,3080,100.0,100.0,True,official
TF++,tfpp,3074,100.0,100.0,True,official
TF++,tfpp,3072,100.0,100.0,True,official
TF++,tfpp,3048,100.0,100.0,True,official
TF++,tfpp,2989,100.0,100.0,True,official
TF++,tfpp,2943,100.0,100.0,True,official
TF++,tfpp,2913,100.0,100.0,True,official
TF++,tfpp,2903,100.0,100.0,True,official
TF++,tfpp,2881,60.0,100.0,False,official
TF++,tfpp,2847,100.0,100.0,True,official
TF++,tfpp,2844,100.0,100.0,True,official
TF++,tfpp,28330,60.0,100.0,False,official
TF++,tfpp,28243,60.0,100.0,False,official
TF++,tfpp,28241,60.0,100.0,False,official
TF++,tfpp,28229,100.0,100.0,True,official
TF++,tfpp,28219,60.0,100.0,False,official
TF++,tfpp,28210,60.0,100.0,False,official
TF++,tfpp,28198,26.664,44.44,False,official
TF++,tfpp,28154,100.0,100.0,True,official
TF++,tfpp,28111,100.0,100.0,True,official
TF++,tfpp,28099,100.0,100.0,True,official
TF++,tfpp,28093,60.0,100.0,False,official
TF++,tfpp,28087,100.0,100.0,True,official
TF++,tfpp,28048,100.0,100.0,True,official
TF++,tfpp,28035,100.0,100.0,True,official
TF++,tfpp,2802,60.0,100.0,False,official
TF++,tfpp,2790,100.0,100.0,True,official
TF++,tfpp,27582,100.0,100.0,True,official
TF++,tfpp,27532,100.0,100.0,True,official
TF++,tfpp,27529,100.0,100.0,True,official
TF++,tfpp,27515,100.0,100.0,True,official
TF++,tfpp,27506,60.0,100.0,False,official
TF++,tfpp,27494,100.0,100.0,True,official
TF++,tfpp,2715,100.0,100.0,True,official
TF++,tfpp,2709,100.0,100.0,True,official
TF++,tfpp,27018,42.0,100.0,False,official
TF++,tfpp,26990,60.0,100.0,False,official
TF++,tfpp,26966,100.0,100.0,True,official
TF++,tfpp,26956,100.0,100.0,True,official
TF++,tfpp,26950,60.0,100.0,False,official
TF++,tfpp,26944,100.0,100.0,True,official
TF++,tfpp,2668,100.0,100.0,True,official
TF++,tfpp,2664,100.0,100.0,True,official
TF++,tfpp,26458,100.0,100.0,True,official
TF++,tfpp,26456,60.0,100.0,False,official
TF++,tfpp,2643,100.0,100.0,True,official
TF++,tfpp,26435,0.0,0.0,False,official
TF++,tfpp,26418,100.0,100.0,True,official
TF++,tfpp,26408,100.0,100.0,True,official
TF++,tfpp,26406,100.0,100.0,True,official
TF++,tfpp,26405,100.0,100.0,True,official
TF++,tfpp,26401,100.0,100.0,True,official
TF++,tfpp,26396,21.534,35.89,False,official
TF++,tfpp,26394,100.0,100.0,True,official
TF++,tfpp,26393,0.0,0.0,False,official
TF++,tfpp,2606,100.0,100.0,True,official
TF++,tfpp,25975,100.0,100.0,True,official
TF++,tfpp,25968,24.411652,70.27,False,official
TF++,tfpp,25955,100.0,100.0,True,official
TF++,tfpp,25951,100.0,100.0,True,official
TF++,tfpp,25928,100.0,100.0,True,official
TF++,tfpp,25896,60.0,100.0,False,official
TF++,tfpp,25865,100.0,100.0,True,official
TF++,tfpp,25863,100.0,100.0,True,official
TF++,tfpp,25857,29.268,48.78,False,official
TF++,tfpp,25854,100.0,100.0,True,official
TF++,tfpp,25845,18.522034,62.86,False,official
TF++,tfpp,2554,60.0,100.0,False,official
TF++,tfpp,25439,100.0,100.0,True,official
TF++,tfpp,25424,53.968303,100.0,False,official
TF++,tfpp,2539,100.0,100.0,True,official
TF++,tfpp,25383,100.0,100.0,True,official
TF++,tfpp,25381,60.0,100.0,False,official
TF++,tfpp,25378,70.0,100.0,False,official
TF++,tfpp,25358,100.0,100.0,True,official
TF++,tfpp,2534,60.0,100.0,False,official
TF++,tfpp,25318,60.0,100.0,False,official
TF++,tfpp,25300,60.0,100.0,False,official
TF++,tfpp,2513,100.0,100.0,True,official
TF++,tfpp,2509,100.0,100.0,True,official
TF++,tfpp,24841,100.0,100.0,True,official
TF++,tfpp,24816,100.0,100.0,True,official
TF++,tfpp,24795,60.0,100.0,False,official
TF++,tfpp,24785,60.0,100.0,False,official
TF++,tfpp,24784,100.0,100.0,True,official
TF++,tfpp,24781,100.0,100.0,True,official
TF++,tfpp,24759,100.0,100.0,True,official
TF++,tfpp,24757,100.0,100.0,True,official
TF++,tfpp,24367,60.0,100.0,False,official
TF++,tfpp,24340,100.0,100.0,True,official
TF++,tfpp,24333,50.0,100.0,False,official
TF++,tfpp,24330,100.0,100.0,True,official
TF++,tfpp,24294,100.0,100.0,True,official
TF++,tfpp,24258,100.0,100.0,True,official
TF++,tfpp,24252,100.0,100.0,True,official
TF++,tfpp,24240,100.0,100.0,True,official
TF++,tfpp,24224,50.0,100.0,False,official
TF++,tfpp,24211,50.0,100.0,False,official
TF++,tfpp,24206,50.0,100.0,False,official
TF++,tfpp,2416,100.0,100.0,True,official
TF++,tfpp,24098,100.0,100.0,True,official
TF++,tfpp,24092,60.0,100.0,False,official
TF++,tfpp,24078,100.0,100.0,True,official
TF++,tfpp,24071,100.0,100.0,True,official
TF++,tfpp,24041,60.0,100.0,False,official
TF++,tfpp,2403,100.0,100.0,True,official
TF++,tfpp,2397,100.0,100.0,True,official
TF++,tfpp,23930,100.0,100.0,True,official
TF++,tfpp,23918,60.0,100.0,False,official
TF++,tfpp,23910,100.0,100.0,True,official
TF++,tfpp,2390,100.0,100.0,True,official
TF++,tfpp,23901,100.0,100.0,True,official
TF++,tfpp,23771,60.0,100.0,False,official
TF++,tfpp,2373,100.0,100.0,True,official
TF++,tfpp,23708,100.0,100.0,True,official
TF++,tfpp,23700,60.0,100.0,False,official
TF++,tfpp,23695,100.0,100.0,True,official
TF++,tfpp,23687,11.420456,83.28,False,official
TF++,tfpp,23670,100.0,100.0,True,official
TF++,tfpp,23659,100.0,100.0,True,official
TF++,tfpp,23658,16.48998,70.47,False,official
TF++,tfpp,2286,100.0,100.0,True,official
TF++,tfpp,2283,100.0,100.0,True,official
TF++,tfpp,2273,100.0,100.0,True,official
TF++,tfpp,2215,100.0,100.0,True,official
TF++,tfpp,2204,100.0,100.0,True,official
TF++,tfpp,2201,36.0,100.0,False,official
TF++,tfpp,2164,100.0,100.0,True,official
TF++,tfpp,2144,100.0,100.0,True,official
TF++,tfpp,2143,100.0,100.0,True,official
TF++,tfpp,2129,100.0,100.0,True,official
TF++,tfpp,2127,100.0,100.0,True,official
TF++,tfpp,2115,100.0,100.0,True,official
TF++,tfpp,20920,65.0,100.0,False,official
TF++,tfpp,2091,100.0,100.0,True,official
TF++,tfpp,2086,100.0,100.0,True,official
TF++,tfpp,2084,30.456,50.76,False,official
TF++,tfpp,2082,100.0,100.0,True,official
TF++,tfpp,2050,60.0,100.0,False,official
TF++,tfpp,1956,100.0,100.0,True,official
TF++,tfpp,1852,100.0,100.0,True,official
TF++,tfpp,18356,100.0,100.0,True,official
TF++,tfpp,1833,65.0,100.0,False,official
TF++,tfpp,18311,100.0,100.0,True,official
TF++,tfpp,18305,100.0,100.0,True,official
TF++,tfpp,1825,53.639399,100.0,False,official
TF++,tfpp,18252,100.0,100.0,True,official
TF++,tfpp,1792,60.0,100.0,False,official
TF++,tfpp,1790,100.0,100.0,True,official
TF++,tfpp,17752,100.0,100.0,True,official
TF++,tfpp,1773,100.0,100.0,True,official
TF++,tfpp,17655,100.0,100.0,True,official
TF++,tfpp,17635,36.0,100.0,False,official
TF++,tfpp,17598,100.0,100.0,True,official
TF++,tfpp,17569,36.0,100.0,False,official
TF++,tfpp,17563,100.0,100.0,True,official
TF++,tfpp,1711,100.0,100.0,True,official
TF++,tfpp,14909,100.0,100.0,True,official
TF++,tfpp,14862,100.0,100.0,True,official
TF++,tfpp,14842,100.0,100.0,True,official
TF++,tfpp,14194,100.0,100.0,True,official
TF++,tfpp,11755,60.0,100.0,False,official
TF++,tfpp,11715,60.0,100.0,False,official
TF++,tfpp,11381,100.0,100.0,True,official
TF++,tfpp,10857,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,4937,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,4683,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,4669,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,4468,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,4183,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3936,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3905,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3904,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3890,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3876,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3869,70.0,100.0,False,official
PDM-Lite (privileged),pdm_lite,3865,70.0,100.0,False,official
PDM-Lite (privileged),pdm_lite,3813,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3800,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3785,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3749,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3737,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3731,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3717,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3712,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3708,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3697,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3676,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3670,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3666,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3575,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3572,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3564,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3561,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3540,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3520,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3514,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3482,33.5,33.5,False,official
PDM-Lite (privileged),pdm_lite,3476,45.14,45.14,False,official
PDM-Lite (privileged),pdm_lite,3472,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3464,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3457,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3436,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3410,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3380,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3378,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3373,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3364,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3307,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3255,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3248,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3189,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3184,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3178,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3144,70.0,100.0,False,official
PDM-Lite (privileged),pdm_lite,3100,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3099,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3093,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3090,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3086,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3080,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3074,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3072,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,3048,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2989,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2943,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2913,65.0,100.0,False,official
PDM-Lite (privileged),pdm_lite,2903,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2881,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2847,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2844,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,28330,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,28243,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,28241,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,28229,60.0,100.0,False,official
PDM-Lite (privileged),pdm_lite,28219,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,28210,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,28198,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,28154,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,28111,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,28099,60.0,100.0,False,official
PDM-Lite (privileged),pdm_lite,28093,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,28087,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,28048,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,28035,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2802,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2790,95.722528,100.0,False,official
PDM-Lite (privileged),pdm_lite,27582,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,27532,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,27529,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,27515,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,27506,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,27494,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2715,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2709,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,27018,30.222,50.37,False,official
PDM-Lite (privileged),pdm_lite,26990,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,26966,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,26956,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,26950,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,26944,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2668,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2664,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,26458,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,26456,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2643,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,26435,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,26418,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,26408,96.626445,100.0,False,official
PDM-Lite (privileged),pdm_lite,26406,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,26405,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,26401,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,26396,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,26394,97.26424,100.0,False,official
PDM-Lite (privileged),pdm_lite,26393,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2606,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,25975,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,25968,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,25955,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,25951,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,25928,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,25896,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,25865,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,25863,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,25857,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,25854,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,25845,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2554,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,25439,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,25424,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2539,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,25383,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,25381,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,25378,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,25358,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2534,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,25318,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,25300,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2513,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2509,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,24841,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,24816,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,24795,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,24785,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,24784,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,24781,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,24759,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,24757,60.0,100.0,False,official
PDM-Lite (privileged),pdm_lite,24367,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,24340,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,24333,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,24330,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,24294,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,24258,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,24252,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,24240,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,24224,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,24211,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,24206,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2416,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,24098,65.0,100.0,False,official
PDM-Lite (privileged),pdm_lite,24092,60.0,100.0,False,official
PDM-Lite (privileged),pdm_lite,24078,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,24071,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,24041,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2403,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2397,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,23930,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,23918,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,23910,65.0,100.0,False,official
PDM-Lite (privileged),pdm_lite,2390,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,23901,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,23771,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2373,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,23708,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,23700,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,23695,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,23687,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,23670,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,23659,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,23658,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2286,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2283,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2273,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2215,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2204,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2201,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2164,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2144,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2143,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2129,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2127,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2115,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,20920,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2091,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2086,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2084,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2082,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,2050,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,1956,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,1852,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,18356,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,1833,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,18311,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,18305,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,1825,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,18252,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,1792,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,1790,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,17752,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,1773,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,17655,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,17635,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,17598,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,17569,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,17563,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,1711,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,14909,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,14862,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,14842,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,14194,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,11755,0.0,0.0,False,official
PDM-Lite (privileged),pdm_lite,11715,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,11381,100.0,100.0,True,official
PDM-Lite (privileged),pdm_lite,10857,100.0,100.0,True,official
UniAD-Base,uniad_base,4937,12.35,12.35,False,official
UniAD-Base,uniad_base,4683,15.76,15.76,False,official
UniAD-Base,uniad_base,4669,30.09,50.15,False,official
UniAD-Base,uniad_base,4468,20.7,20.7,False,official
UniAD-Base,uniad_base,4183,15.846867,77.57,False,official
UniAD-Base,uniad_base,3936,60.0,100.0,False,official
UniAD-Base,uniad_base,3905,80.0,100.0,False,official
UniAD-Base,uniad_base,3904,80.0,100.0,False,official
UniAD-Base,uniad_base,3890,3.3,3.3,False,official
UniAD-Base,uniad_base,3876,0.0,0.0,False,official
UniAD-Base,uniad_base,3869,0.0,0.0,False,official
UniAD-Base,uniad_base,3865,21.220748,56.71,False,official
UniAD-Base,uniad_base,3813,100.0,100.0,True,official
UniAD-Base,uniad_base,3785,86.573218,100.0,False,official
UniAD-Base,uniad_base,3749,70.0,100.0,False,official
UniAD-Base,uniad_base,3737,24.63,24.63,False,official
UniAD-Base,uniad_base,3731,25.0,100.0,False,official
UniAD-Base,uniad_base,3717,27.594011,58.17,False,official
UniAD-Base,uniad_base,3712,48.0,100.0,False,official
UniAD-Base,uniad_base,3708,17.961666,100.0,False,official
UniAD-Base,uniad_base,3697,48.0,100.0,False,official
UniAD-Base,uniad_base,3676,80.0,100.0,False,official
UniAD-Base,uniad_base,3670,17.91816,57.43,False,official
UniAD-Base,uniad_base,3666,27.5568,57.41,False,official
UniAD-Base,uniad_base,3575,100.0,100.0,True,official
UniAD-Base,uniad_base,3572,69.35,69.35,False,official
UniAD-Base,uniad_base,3564,92.16,92.16,False,official
UniAD-Base,uniad_base,3561,100.0,100.0,True,official
UniAD-Base,uniad_base,3540,100.0,100.0,True,official
UniAD-Base,uniad_base,3520,0.0,0.0,False,official
UniAD-Base,uniad_base,3514,1.86,3.1,False,official
UniAD-Base,uniad_base,3482,60.0,100.0,False,official
UniAD-Base,uniad_base,3476,60.0,100.0,False,official
UniAD-Base,uniad_base,3472,39.13,39.13,False,official
UniAD-Base,uniad_base,3464,60.0,100.0,False,official
UniAD-Base,uniad_base,3457,20.928,34.88,False,official
UniAD-Base,uniad_base,3436,100.0,100.0,True,official
UniAD-Base,uniad_base,3410,39.9,39.9,False,official
UniAD-Base,uniad_base,3380,70.0,100.0,False,official
UniAD-Base,uniad_base,3378,70.0,100.0,False,official
