seed,prior,arm,ped_reactive,ped_flip,ped_lo,ped_hi,null_ff_oos,e_layer,cutin_flip,cutin_delta_vs_prior,cutin_lo,cutin_hi
0,cinque,pair-Δ dual vjepa2 last_mean [cinque],406,0.4803,0.3923,0.5751,0.0508,True,0.8166,0.0473,0.0249,0.0714
0,cinque,pair-Δ dinov2 patch_mean [cinque],406,0.1034,0.0483,0.1659,0.0483,False,0.7899,0.0207,0.0000,0.0467
0,cinque,pair-Δ dual dinov2 patch_mean [cinque],406,0.2241,0.1424,0.3041,0.0488,False,0.8240,0.0547,0.0355,0.0764
0,cinque,pair-Δ dinov2 cls [cinque],406,0.1305,0.0813,0.1810,0.0491,False,0.7751,0.0059,-0.0478,0.0577
0,cinque,pair-Δ dual dinov2 cls [cinque],406,0.2537,0.1755,0.3319,0.0507,True,0.8180,0.0488,0.0160,0.0922
0,cinque,pair-Δ siglip2 patch_mean [cinque],406,0.3695,0.2832,0.4581,0.0522,True,0.7470,-0.0222,-0.0683,0.0152
0,cinque,pair-Δ dual siglip2 patch_mean [cinque],406,0.4433,0.3628,0.5208,0.0489,True,0.7988,0.0296,0.0057,0.0544
0,cinque,pair-Δ siglip2 pooled [cinque],406,0.3522,0.2713,0.4344,0.0509,True,0.7589,-0.0104,-0.0329,0.0122
0,cinque,pair-Δ dual siglip2 pooled [cinque],406,0.4754,0.3982,0.5446,0.0492,True,0.8003,0.0311,0.0120,0.0542
0,cinque,pair-Δ opsmall temporal [cinque],406,0.0320,0.0123,0.0522,0.0499,False,0.8328,0.0636,0.0246,0.1214
0,cinque,pair-Δ dual opsmall temporal [cinque],406,0.0837,0.0397,0.1321,0.0506,False,0.8565,0.0873,0.0459,0.1446
0,lebowski,ridge_late qwen L18_last,406,0.0000,0.0000,0.0000,0.0511,False,0.0000,-0.7056,-0.8059,-0.5959
0,lebowski,ridge_late vjepa2 mean,406,0.0000,0.0000,0.0000,0.0480,False,0.0000,-0.7056,-0.8059,-0.5959
0,lebowski,ridge_late vjepa2 last_mean,406,0.0000,0.0000,0.0000,0.0529,False,0.0000,-0.7056,-0.8059,-0.5959
0,lebowski,ridge_late dinov2 patch_mean,406,0.0000,0.0000,0.0000,0.0677,False,0.0044,-0.7012,-0.8038,-0.5855
0,lebowski,ridge_late dinov2 cls,406,0.0000,0.0000,0.0000,0.0679,False,0.0592,-0.6464,-0.7643,-0.5155
0,lebowski,ridge_late siglip2 patch_mean,406,0.0000,0.0000,0.0000,0.0552,False,0.0947,-0.6109,-0.7206,-0.4920
0,lebowski,ridge_late siglip2 pooled,406,0.0123,0.0000,0.0297,0.0497,False,0.1524,-0.5533,-0.6707,-0.4296
0,lebowski,ridge_late opsmall temporal,406,0.0025,0.0000,0.0078,0.0539,False,0.4172,-0.2885,-0.3805,-0.2096
0,lebowski,prior [lebowski],406,0.0271,0.0031,0.0590,0.0516,False,0.7056,0.0000,0.0000,0.0000
0,lebowski,pair-Δ qwen L18_last [lebowski],406,0.3916,0.3027,0.4758,0.0473,True,0.6435,-0.0621,-0.1246,-0.0148
0,lebowski,pair-Δ dual qwen L18_last [lebowski],406,0.4163,0.3244,0.5000,0.0496,True,0.7722,0.0666,0.0162,0.1214
0,lebowski,pair-Δ vjepa2 mean [lebowski],406,0.4655,0.3936,0.5347,0.0502,True,0.7456,0.0399,0.0030,0.0808
0,lebowski,pair-Δ dual vjepa2 mean [lebowski],406,0.4606,0.3881,0.5284,0.0508,True,0.7988,0.0932,0.0433,0.1534
0,lebowski,pair-Δ dinov2 patch_mean [lebowski],406,0.1305,0.0774,0.1862,0.0505,False,0.7278,0.0222,-0.0060,0.0558
0,lebowski,pair-Δ dual dinov2 patch_mean [lebowski],406,0.2635,0.1754,0.3482,0.0511,True,0.8018,0.0962,0.0475,0.1545
0,lebowski,pair-Δ siglip2 patch_mean [lebowski],406,0.2882,0.1952,0.3843,0.0530,True,0.7041,-0.0015,-0.0431,0.0383
0,lebowski,pair-Δ dual siglip2 patch_mean [lebowski],406,0.4089,0.3266,0.4892,0.0488,True,0.7737,0.0680,0.0193,0.1224
0,lebowski,pair-Δ opsmall temporal [lebowski],406,0.0788,0.0432,0.1141,0.0515,False,0.7973,0.0917,0.0393,0.1533
0,lebowski,pair-Δ dual opsmall temporal [lebowski],406,0.1749,0.1025,0.2429,0.0495,False,0.8195,0.1139,0.0497,0.1877
1,cinque,ridge_late qwen L18_last,406,0.0000,0.0000,0.0000,0.0517,False,0.0000,-0.7737,-0.8574,-0.6768
1,cinque,ridge_late vjepa2 mean,406,0.0000,0.0000,0.0000,0.0509,False,0.0000,-0.7737,-0.8574,-0.6768
1,cinque,ridge_late vjepa2 last_mean,406,0.0000,0.0000,0.0000,0.0512,False,0.0059,-0.7678,-0.8530,-0.6710
1,cinque,ridge_late dinov2 patch_mean,406,0.0000,0.0000,0.0000,0.0558,False,0.0030,-0.7707,-0.8571,-0.6691
1,cinque,ridge_late dinov2 cls,406,0.0000,0.0000,0.0000,0.0649,False,0.1287,-0.6450,-0.7530,-0.5178
1,cinque,ridge_late siglip2 patch_mean,406,0.0000,0.0000,0.0000,0.0557,False,0.1391,-0.6346,-0.7397,-0.5122
1,cinque,ridge_late siglip2 pooled,406,0.0025,0.0000,0.0079,0.0522,False,0.2027,-0.5710,-0.6871,-0.4392
1,cinque,ridge_late opsmall temporal,406,0.0025,0.0000,0.0078,0.0513,False,0.4305,-0.3432,-0.4370,-0.2474
1,cinque,prior [cinque],406,0.0000,0.0000,0.0000,0.0449,False,0.7737,0.0000,0.0000,0.0000
1,cinque,pair-Δ qwen L18_last [cinque],406,0.4187,0.3361,0.4881,0.0534,True,0.7308,-0.0429,-0.1077,0.0030
1,cinque,pair-Δ dual qwen L18_last [cinque],406,0.4360,0.3644,0.4974,0.0494,True,0.8195,0.0459,0.0191,0.0746
1,cinque,pair-Δ vjepa2 mean [cinque],406,0.4754,0.3940,0.5610,0.0465,True,0.7796,0.0059,-0.0224,0.0340
1,cinque,pair-Δ dual vjepa2 mean [cinque],406,0.4754,0.3937,0.5598,0.0488,True,0.8195,0.0459,0.0176,0.0788
1,cinque,pair-Δ vjepa2 last_mean [cinque],406,0.4778,0.3933,0.5626,0.0504,True,0.7929,0.0192,-0.0030,0.0462
1,cinque,pair-Δ dual vjepa2 last_mean [cinque],406,0.4852,0.3976,0.5711,0.0517,True,0.8284,0.0547,0.0257,0.0875
1,cinque,pair-Δ dinov2 patch_mean [cinque],406,0.0419,0.0211,0.0630,0.0496,False,0.8092,0.0355,0.0119,0.0655
1,cinque,pair-Δ dual dinov2 patch_mean [cinque],406,0.1502,0.0962,0.2150,0.0512,False,0.8358,0.0621,0.0355,0.0928
1,cinque,pair-Δ dinov2 cls [cinque],406,0.1010,0.0665,0.1390,0.0466,False,0.7944,0.0207,-0.0209,0.0690
1,cinque,pair-Δ dual dinov2 cls [cinque],406,0.2241,0.1557,0.2952,0.0491,True,0.8269,0.0533,0.0219,0.0882
1,cinque,pair-Δ siglip2 patch_mean [cinque],406,0.3054,0.2050,0.3933,0.0517,True,0.7382,-0.0355,-0.0717,-0.0059
1,cinque,pair-Δ dual siglip2 patch_mean [cinque],406,0.3621,0.2513,0.4546,0.0569,True,0.8077,0.0340,0.0103,0.0616
1,cinque,pair-Δ siglip2 pooled [cinque],406,0.3325,0.2532,0.4092,0.0485,True,0.7678,-0.0059,-0.0280,0.0138
1,cinque,pair-Δ dual siglip2 pooled [cinque],406,0.4581,0.3800,0.5311,0.0535,True,0.8195,0.0459,0.0219,0.0734
1,cinque,pair-Δ opsmall temporal [cinque],406,0.0197,0.0027,0.0402,0.0461,False,0.8166,0.0429,0.0074,0.0877
1,cinque,pair-Δ dual opsmall temporal [cinque],406,0.0714,0.0319,0.1186,0.0458,False,0.8462,0.0725,0.0324,0.1236
1,lebowski,ridge_late qwen L18_last,406,0.0000,0.0000,0.0000,0.0517,False,0.0000,-0.7027,-0.8041,-0.5927
1,lebowski,ridge_late vjepa2 mean,406,0.0000,0.0000,0.0000,0.0509,False,0.0000,-0.7027,-0.8041,-0.5927
1,lebowski,ridge_late vjepa2 last_mean,406,0.0000,0.0000,0.0000,0.0512,False,0.0059,-0.6967,-0.7979,-0.5879
1,lebowski,ridge_late dinov2 patch_mean,406,0.0000,0.0000,0.0000,0.0558,False,0.0030,-0.6997,-0.8033,-0.5869
1,lebowski,ridge_late dinov2 cls,406,0.0000,0.0000,0.0000,0.0649,False,0.1287,-0.5740,-0.6936,-0.4387
1,lebowski,ridge_late siglip2 patch_mean,406,0.0000,0.0000,0.0000,0.0557,False,0.1391,-0.5636,-0.6750,-0.4479
1,lebowski,ridge_late siglip2 pooled,406,0.0025,0.0000,0.0079,0.0522,False,0.2027,-0.5000,-0.6212,-0.3646
1,lebowski,ridge_late opsmall temporal,406,0.0025,0.0000,0.0078,0.0513,False,0.4305,-0.2722,-0.3510,-0.1985
1,lebowski,prior [lebowski],406,0.0222,0.0000,0.0507,0.0524,False,0.7027,0.0000,0.0000,0.0000
1,lebowski,pair-Δ qwen L18_last [lebowski],406,0.3670,0.2696,0.4528,0.0500,True,0.6672,-0.0355,-0.0988,0.0165
1,lebowski,pair-Δ dual qwen L18_last [lebowski],406,0.3916,0.2909,0.4752,0.0491,True,0.7855,0.0828,0.0211,0.1542
1,lebowski,pair-Δ vjepa2 mean [lebowski],406,0.4532,0.3747,0.5232,0.0521,True,0.7678,0.0651,0.0225,0.1181
1,lebowski,pair-Δ dual vjepa2 mean [lebowski],406,0.4557,0.3750,0.5287,0.0543,True,0.8166,0.1139,0.0545,0.1843
1,lebowski,pair-Δ dinov2 patch_mean [lebowski],406,0.0788,0.0417,0.1151,0.0584,False,0.7500,0.0473,0.0163,0.0850
1,lebowski,pair-Δ dual dinov2 patch_mean [lebowski],406,0.2241,0.1553,0.2929,0.0503,True,0.7840,0.0814,0.0253,0.1501
1,lebowski,pair-Δ siglip2 patch_mean [lebowski],406,0.2931,0.1942,0.3844,0.0495,True,0.7086,0.0059,-0.0355,0.0441
1,lebowski,pair-Δ dual siglip2 patch_mean [lebowski],406,0.3645,0.2630,0.4528,0.0558,True,0.7825,0.0799,0.0254,0.1504
1,lebowski,pair-Δ opsmall temporal [lebowski],406,0.0690,0.0328,0.1059,0.0552,False,0.7973,0.0947,0.0402,0.1574
1,lebowski,pair-Δ dual opsmall temporal [lebowski],406,0.1872,0.1149,0.2602,0.0520,False,0.8195,0.1169,0.0457,0.2003
2,cinque,ridge_late qwen L18_last,406,0.0000,0.0000,0.0000,0.0532,False,0.0000,-0.7855,-0.8677,-0.6865
2,cinque,ridge_late vjepa2 mean,406,0.0000,0.0000,0.0000,0.0586,False,0.0000,-0.7855,-0.8677,-0.6865
2,cinque,ridge_late vjepa2 last_mean,406,0.0000,0.0000,0.0000,0.0573,False,0.0000,-0.7855,-0.8677,-0.6865
2,cinque,ridge_late dinov2 patch_mean,406,0.0000,0.0000,0.0000,0.0763,False,0.0000,-0.7855,-0.8677,-0.6865
2,cinque,ridge_late dinov2 cls,406,0.0000,0.0000,0.0000,0.0515,False,0.0843,-0.7012,-0.7906,-0.6032
2,cinque,ridge_late siglip2 patch_mean,406,0.0000,0.0000,0.0000,0.0514,False,0.1287,-0.6568,-0.7659,-0.5305
2,cinque,ridge_late siglip2 pooled,406,0.0222,0.0027,0.0444,0.0519,False,0.1982,-0.5873,-0.7071,-0.4528
2,cinque,ridge_late opsmall temporal,406,0.0025,0.0000,0.0078,0.0489,False,0.4320,-0.3536,-0.4576,-0.2533
2,cinque,prior [cinque],406,0.0025,0.0000,0.0080,0.0444,False,0.7855,0.0000,0.0000,0.0000
2,cinque,pair-Δ qwen L18_last [cinque],406,0.4039,0.3237,0.4754,0.0523,True,0.7441,-0.0414,-0.0850,-0.0119
2,cinque,pair-Δ dual qwen L18_last [cinque],406,0.4236,0.3527,0.4862,0.0488,True,0.8136,0.0281,0.0059,0.0533
2,cinque,pair-Δ vjepa2 mean [cinque],406,0.4778,0.4005,0.5576,0.0457,True,0.7751,-0.0104,-0.0225,0.0029
2,cinque,pair-Δ dual vjepa2 mean [cinque],406,0.4778,0.3932,0.5625,0.0519,True,0.8136,0.0281,0.0103,0.0480
2,cinque,pair-Δ vjepa2 last_mean [cinque],406,0.4581,0.3641,0.5478,0.0517,True,0.7707,-0.0148,-0.0296,0.0015
2,cinque,pair-Δ dual vjepa2 last_mean [cinque],406,0.4877,0.4006,0.5711,0.0509,True,0.8092,0.0237,0.0030,0.0442
2,cinque,pair-Δ dinov2 patch_mean [cinque],406,0.0690,0.0397,0.0995,0.0503,False,0.8077,0.0222,0.0015,0.0437
2,cinque,pair-Δ dual dinov2 patch_mean [cinque],406,0.1650,0.1025,0.2367,0.0494,False,0.8180,0.0325,0.0149,0.0535
2,cinque,pair-Δ dinov2 cls [cinque],406,0.1010,0.0613,0.1432,0.0511,False,0.7574,-0.0281,-0.0772,0.0237
2,cinque,pair-Δ dual dinov2 cls [cinque],406,0.2069,0.1327,0.2762,0.0481,False,0.8121,0.0266,0.0029,0.0550
2,cinque,pair-Δ siglip2 patch_mean [cinque],406,0.3399,0.2184,0.4465,0.0474,True,0.7352,-0.0503,-0.0870,-0.0166
2,cinque,pair-Δ dual siglip2 patch_mean [cinque],406,0.4113,0.3288,0.4886,0.0551,True,0.7855,0.0000,-0.0207,0.0224
2,cinque,pair-Δ siglip2 pooled [cinque],406,0.3768,0.2807,0.4634,0.0605,True,0.7515,-0.0340,-0.0672,-0.0044
2,cinque,pair-Δ dual siglip2 pooled [cinque],406,0.4384,0.3676,0.5057,0.0595,True,0.8166,0.0311,0.0115,0.0539
2,cinque,pair-Δ opsmall temporal [cinque],406,0.0369,0.0154,0.0587,0.0485,False,0.8373,0.0518,0.0141,0.1110
2,cinque,pair-Δ dual opsmall temporal [cinque],406,0.0739,0.0315,0.1225,0.0511,False,0.8536,0.0680,0.0286,0.1241
2,lebowski,ridge_late qwen L18_last,406,0.0000,0.0000,0.0000,0.0532,False,0.0000,-0.7071,-0.8062,-0.5994
2,lebowski,ridge_late vjepa2 mean,406,0.0000,0.0000,0.0000,0.0586,False,0.0000,-0.7071,-0.8062,-0.5994
2,lebowski,ridge_late vjepa2 last_mean,406,0.0000,0.0000,0.0000,0.0573,False,0.0000,-0.7071,-0.8062,-0.5994
2,lebowski,ridge_late dinov2 patch_mean,406,0.0000,0.0000,0.0000,0.0763,False,0.0000,-0.7071,-0.8062,-0.5994
2,lebowski,ridge_late dinov2 cls,406,0.0000,0.0000,0.0000,0.0515,False,0.0843,-0.6228,-0.7211,-0.5110
2,lebowski,ridge_late siglip2 patch_mean,406,0.0000,0.0000,0.0000,0.0514,False,0.1287,-0.5784,-0.6906,-0.4615
2,lebowski,ridge_late siglip2 pooled,406,0.0222,0.0027,0.0444,0.0519,False,0.1982,-0.5089,-0.6245,-0.3837
2,lebowski,ridge_late opsmall temporal,406,0.0025,0.0000,0.0078,0.0489,False,0.4320,-0.2751,-0.3627,-0.1959
2,lebowski,prior [lebowski],406,0.0345,0.0099,0.0649,0.0525,False,0.7071,0.0000,0.0000,0.0000
2,lebowski,pair-Δ qwen L18_last [lebowski],406,0.3695,0.2783,0.4563,0.0491,True,0.6464,-0.0607,-0.1429,-0.0015
2,lebowski,pair-Δ dual qwen L18_last [lebowski],406,0.4187,0.3280,0.5025,0.0519,True,0.7574,0.0503,-0.0276,0.1203
2,lebowski,pair-Δ vjepa2 mean [lebowski],406,0.4532,0.3776,0.5229,0.0506,True,0.7367,0.0296,-0.0090,0.0697
2,lebowski,pair-Δ dual vjepa2 mean [lebowski],406,0.4409,0.3634,0.5124,0.0530,True,0.7840,0.0769,0.0163,0.1368
2,lebowski,pair-Δ dinov2 patch_mean [lebowski],406,0.1010,0.0546,0.1518,0.0512,False,0.7278,0.0207,-0.0270,0.0645
2,lebowski,pair-Δ dual dinov2 patch_mean [lebowski],406,0.2488,0.1804,0.3188,0.0493,True,0.7885,0.0814,0.0074,0.1549
2,lebowski,pair-Δ siglip2 patch_mean [lebowski],406,0.3818,0.2857,0.4675,0.0572,True,0.6879,-0.0192,-0.0600,0.0221
2,lebowski,pair-Δ dual siglip2 patch_mean [lebowski],406,0.4064,0.3240,0.4825,0.0548,True,0.7515,0.0444,-0.0179,0.1079
2,lebowski,pair-Δ opsmall temporal [lebowski],406,0.0813,0.0495,0.1140,0.0536,False,0.7944,0.0873,0.0290,0.1532
2,lebowski,pair-Δ dual opsmall temporal [lebowski],406,0.1921,0.1212,0.2601,0.0521,False,0.8210,0.1139,0.0363,0.1948
