route,variant,segment,kind,band,subset,count,pose_position_error_m_rms,pose_position_error_m_p90_abs,pose_position_error_m_p95_abs,pose_position_error_m_max_abs,pose_left_error_m_mean,pose_forward_error_m_mean,pose_heading_error_deg_p95_abs,cte_m_rms,heading_deg_p95_abs,lateral_jerk_mps3_p95_abs
17563,candidate-fixed-k,2,S,window,all,72,0.09247652876961444,0.13327534853476164,0.15392480739673037,0.17044886386984734,0.03197855621306943,0.042166185805324795,0.6703506806125819,0.2620142738948782,5.839462856724267,46.27467587525984
17563,candidate-fixed-k,2,S,entry,all,16,0.1644868548830441,0.1936008826431403,0.19981720624723773,0.2100547906899206,0.09742398096956201,0.12780400185337862,0.11275812150161152,0.013724518107645245,1.2740731393657507,13.376643765012618
17563,candidate-fixed-k,2,S,core,all,38,0.10288807160845755,0.1533087601248319,0.16191325867752493,0.17044886386984734,0.03062190486798042,0.04187804178763968,0.733352683624926,0.3149940705837119,6.691393122440654,50.53664659969325
17563,candidate-fixed-k,2,S,exit,all,17,0.08077208674326765,0.1072978169999085,0.11464420365808876,0.11685268763089296,0.03092730336310858,0.05095492461232076,0.24954244383152124,0.2488226994209347,4.6236955397856,24.99536346381222
17563,candidate-fixed-k,2,S,post10m,all,33,0.09965372821034474,0.13690932229686806,0.15348404324713025,0.16132078998386462,-0.028185258637638756,-0.07001298579841919,0.2263237307047606,0.05189508867213974,3.339712468651849,15.525227369047803
24240,baseline-zero,1,left,window,all,117,0.09470339867876273,0.1448290403635332,0.1541440750246139,0.1766585484078065,0.008835881476242414,-0.005915409492120281,0.07398573694040976,0.10780673813751082,1.7011047879041499,11.891843395910433
24240,baseline-zero,1,left,entry,all,13,0.121332983133771,0.16109313127718203,0.1641341112456195,0.16442859133786586,-0.07924964528251774,-0.08024039308801004,0.034284423630307884,0.11810730326997483,0.26846145118006726,8.306075390636227
24240,baseline-zero,1,left,core,all,92,0.09741683036151465,0.14743722483547714,0.1605364412520624,0.1766585484078065,0.005690316244078977,-0.0009679391832233909,0.07524212950852831,0.1150126868376574,1.756198974532296,13.70291841558884
24240,baseline-zero,1,left,exit,all,12,0.0779771643475872,0.10630487362086648,0.1100036395732072,0.11156680124323538,0.062207376940055896,0.008417395309946084,0.04987789020139938,0.020531978043090458,0.5719773263210166,6.391820727560395
24240,baseline-zero,1,left,post10m,all,25,0.06312135306681094,0.09486770500065998,0.09617289479974271,0.1157038956471546,0.016611727414824626,-0.024777406923143976,0.03358187064151204,0.11050382454534083,1.4481280672658805,14.913735817117566
24240,baseline-zero,1,left,full_route,all,434,0.128299881863485,0.1670413125971177,0.20651329281139177,0.5075688839609119,-0.008043058334984051,0.013988052103709016,0.09629942140299665,0.08123516976277474,9.59713626121304,14.82344218022467
24240,baseline-zero,1,left,endpoint_last5m,all,151,0.09242892160980919,0.13638564238966172,0.1475132049716575,0.16714265273061596,-0.020005975401966764,0.014407486005456448,0.18182990348833117,0.030742022178551213,9.59713626121304,25.52454903308129
24240,baseline-zero,1,left,terminal_hold,all,101,0.09466258770202561,0.13904123437481147,0.14953233986683775,0.16714265273061596,-0.029226000052930468,0.03074542916721287,0.09794848562217426,0.0020676122718958894,9.59713626121304,0.33079629714296055
24240,baseline-zero,1,left,straight_guard_1,all,71,0.23608786984450228,0.36034548273177475,0.4598568852935635,0.5075688839609119,-0.03967606795826145,0.13105826867771816,0.045953234888568256,0.06380946962453769,1.2570956015096688,7.750799478787356
24240,candidate-fixed-k,1,left,window,all,117,0.13592602400002274,0.24226419386665404,0.25887973589817603,0.2914515317349941,-0.07930158466614479,-0.019258649763141667,0.07705336531701067,0.0784337393759992,1.9253380072184805,11.374426101106527
24240,candidate-fixed-k,1,left,entry,all,13,0.11866244608206895,0.15637580838911075,0.1596518882334813,0.1598853436602067,-0.07562185524988915,-0.0801262579955463,0.03516804870308631,0.11574649402146024,0.3294303413916104,7.863328060251256
24240,candidate-fixed-k,1,left,core,all,92,0.14815891095526923,0.24561161753748584,0.26371923944675274,0.2914515317349941,-0.09345394736881044,-0.015667002042806456,0.07988563366889201,0.07213188580153944,1.9413164181489135,12.652068017406124
24240,candidate-fixed-k,1,left,exit,all,12,0.06106618829207458,0.09471011505648103,0.10220427530235994,0.10899977156915715,-0.03628506184311413,-0.00900416719975334,0.05328525948939346,0.09946058517017863,0.6639291071887382,6.5794710430588195
24240,candidate-fixed-k,1,left,post10m,all,25,0.10943683033968603,0.15906555398875394,0.1725138741917957,0.17556412312255396,-0.08304890725888744,-0.04092988840764731,0.034963066134738194,0.032056757629520996,1.479422146776781,14.413357749215733
24240,candidate-fixed-k,1,left,full_route,all,434,0.141471481332627,0.19741162709275945,0.26548510208555715,0.5075688839609119,-0.052087256654972686,0.007519848659281033,0.08414975470694645,0.05571521033673034,7.276289703595857,16.395071696966294
24240,candidate-fixed-k,1,left,endpoint_last5m,all,152,0.09306585446982216,0.1389141415656025,0.1486202948650107,0.1671485707790581,-0.02821917353967494,0.013501518522806025,0.14849536927514131,0.01477881013963992,7.276289703595857,27.82545110022746
24240,candidate-fixed-k,1,left,terminal_hold,all,101,0.09497505101731603,0.13925269864107695,0.14957380040902665,0.1671485707790581,-0.02935129691591161,0.031831007834568055,0.10204636885940185,0.011850914181738732,7.276289703595857,0.6698140930192652
24240,candidate-fixed-k,1,left,straight_guard_1,all,71,0.2363321936106961,0.36034548273177475,0.4598568852935635,0.5075688839609119,-0.03973357614515151,0.13118812986888467,0.047817706649917815,0.06587040900189395,1.289947655337583,7.900531529333529
