examinee,scope,n_reactive,flip_rate,flip_lo,flip_hi,tau_model
Q9b pair grid s0 [lebowski],ParkingCrossingPedestrian,62,0,0,0,2.358
Q9b pair grid s0 [lebowski],ParkingCutIn,186,0.5645,0.3947,0.711,2.358
Q9b pair grid s0 [lebowski],PedestrianCrossing,38,0.2895,0,0.5,2.358
Q9b pair grid s0 [lebowski],StaticCutIn,177,0.3842,0.1083,0.6419,2.358
Q9b pair grid s0 [lebowski],VehicleTurningRoutePedestrian,67,0,0,0,2.358
Q9b pair grid s1 [lebowski],DynamicObjectCrossing,142,0.03521,0,0.1138,2.498
Q9b pair grid s1 [lebowski],HardBreakRoute,0,,,,2.498
Q9b pair grid s1 [lebowski],HighwayCutIn,111,0.2072,0.09351,0.3736,2.498
Q9b pair grid s1 [lebowski],Light,0,,,,2.498
Q9b pair grid s1 [lebowski],OppositeVehicleRunningRedLight,0,,,,2.498
Q9b pair grid s1 [lebowski],ParkingCrossingPedestrian,62,0.01613,0,0.04,2.498
Q9b pair grid s1 [lebowski],ParkingCutIn,186,0.4677,0.2796,0.625,2.498
Q9b pair grid s1 [lebowski],PedestrianCrossing,38,0,0,0,2.498
Q9b pair grid s1 [lebowski],StaticCutIn,177,0.2147,0.0197,0.4078,2.498
Q9b pair grid s1 [lebowski],VehicleTurningRoutePedestrian,67,0,0,0,2.498
Q9b pair grid s2 [lebowski],DynamicObjectCrossing,142,0.007042,0,0.02098,2.517
Q9b pair grid s2 [lebowski],HardBreakRoute,0,,,,2.517
Q9b pair grid s2 [lebowski],HighwayCutIn,111,0.2973,0.0891,0.5667,2.517
Q9b pair grid s2 [lebowski],Light,0,,,,2.517
Q9b pair grid s2 [lebowski],OppositeVehicleRunningRedLight,0,,,,2.517
Q9b pair grid s2 [lebowski],ParkingCrossingPedestrian,62,0,0,0,2.517
Q9b pair grid s2 [lebowski],ParkingCutIn,186,0.4785,0.3297,0.6127,2.517
Q9b pair grid s2 [lebowski],PedestrianCrossing,38,0.2632,0,0.4167,2.517
Q9b pair grid s2 [lebowski],StaticCutIn,177,0.2994,0.03546,0.5101,2.517
Q9b pair grid s2 [lebowski],VehicleTurningRoutePedestrian,67,0,0,0,2.517
Q9b hard grid [lebowski],DynamicObjectCrossing,142,0,0,0,3.208
Q9b hard grid [lebowski],HardBreakRoute,0,,,,3.208
Q9b hard grid [lebowski],HighwayCutIn,111,0,0,0,3.208
Q9b hard grid [lebowski],Light,0,,,,3.208
Q9b hard grid [lebowski],OppositeVehicleRunningRedLight,0,,,,3.208
Q9b hard grid [lebowski],ParkingCrossingPedestrian,62,0,0,0,3.208
Q9b hard grid [lebowski],ParkingCutIn,186,0.005376,0,0.01613,3.208
Q9b hard grid [lebowski],PedestrianCrossing,38,0,0,0,3.208
Q9b hard grid [lebowski],StaticCutIn,177,0,0,0,3.208
Q9b hard grid [lebowski],VehicleTurningRoutePedestrian,67,0,0,0,3.208
Q9b pair pooled-linear [lebowski],DynamicObjectCrossing,142,0,0,0,1.383
Q9b pair pooled-linear [lebowski],HardBreakRoute,0,,,,1.383
Q9b pair pooled-linear [lebowski],HighwayCutIn,111,0.1441,0.009901,0.312,1.383
Q9b pair pooled-linear [lebowski],Light,0,,,,1.383
Q9b pair pooled-linear [lebowski],OppositeVehicleRunningRedLight,0,,,,1.383
Q9b pair pooled-linear [lebowski],ParkingCrossingPedestrian,62,0.01613,0,0.04,1.383
Q9b pair pooled-linear [lebowski],ParkingCutIn,186,0.02688,0,0.08065,1.383
Q9b pair pooled-linear [lebowski],PedestrianCrossing,38,0,0,0,1.383
Q9b pair pooled-linear [lebowski],StaticCutIn,177,0.00565,0,0.01734,1.383
Q9b pair pooled-linear [lebowski],VehicleTurningRoutePedestrian,67,0,0,0,1.383
