run,route,scenario,status,RC,DS,length_m,T_s,T_ref_s,dist_m,t_col,v_col,col_type,moving_s,stall_pre_stop_s,stall_pre_go_s,stall_pre_none_s,pinned_s,post_moving_s,v_moving,ep_start_n,ep_start_s,ep_start_stop_s,ep_brake_over_n,ep_brake_over_s,ep_brake_over_stop_s,ep_brake_stop_n,ep_brake_stop_s,ep_brake_stop_stop_s,ep_other_n,ep_other_s,ep_other_stop_s,pinned_throttle_s,pinned_bursts,pinned_burst_v05,pinned_burst_disp1,pinned_go_plan_share,n_moving_windows,efficiency,desired_moving_med,n_brake_over,brake_over_share,brake_over_v1_over_des,brake_over_to_stall,lat_big,lat_big_target,dist_pre_m,pace_pre,T_proj_s,pinned_abs_steer
f1,2084,NonSignalizedJunctionLeftTurn,Failed - TickRuntime,42.61,25.566,79.28,200.0,16.8,43.3,20.5,6.1,vehicle.mercedes.coupe_2020,14.4,3.9,4.6,0.1,177.0,2.6,2.6,1,0.75,0.0,4,6.0,3.0,2,1.85,0.9,0,0.0,0.0,38.6,58,0.0,0.083,0.228,26,0.815,3.32,8,0.308,0.128,4,1,0,33.4,1.64,48.5,0.171
f1,2086,NonSignalizedJunctionLeftTurn,Failed - TickRuntime,61.76,21.048755,79.058,200.0,15.6,52.1,27.8,5.2,vehicle.lincoln.mkz_2020,15.0,9.0,6.2,0.0,169.9,2.4,3.37,1,1.9,1.0,5,6.7,4.0,3,6.5,3.95,0,0.0,0.0,41.6,62,0.023,0.007,0.245,25,0.853,3.09,7,0.28,0.058,5,3,2,34.9,1.26,62.9,0.03
f1,2091,NonSignalizedJunctionLeftTurn,Failed - TickRuntime,53.2,20.748,76.251,200.0,14.0,43.2,32.1,2.2,vehicle.lincoln.mkz_2017,17.0,15.2,4.6,0.1,163.0,5.0,2.43,1,4.75,4.0,4,5.55,3.0,3,9.7,8.25,0,0.0,0.0,35.6,53,0.069,0.018,0.225,26,0.763,3.26,6,0.231,0.0,4,5,2,31.1,0.97,78.6,0.22
f1,2115,NonSignalizedJunctionRightTurn,Failed - TickRuntime,57.04,20.5344,72.172,200.0,13.95,42.9,24.8,0.0,vehicle.mercedes.coupe_2020,13.0,9.6,4.2,0.0,173.2,2.1,3.16,1,2.2,1.5,3,3.3,1.7,3,8.3,6.4,0,0.0,0.0,33.1,49,0.028,0.014,0.195,23,0.783,3.17,5,0.217,0.0,3,2,1,33.5,1.35,53.4,0.089
f1,2127,OppositeVehicleTakingPriority,Failed - Agent got blocked,60.83,37.420475,76.602,102.7,15.85,49.1,42.6,3.3,static.vegetation,15.0,22.0,5.5,0.1,60.2,0.0,3.23,1,11.1,10.0,5,8.05,4.5,2,8.4,7.45,0,0.0,0.0,19.6,26,0.024,0.008,0.338,33,0.773,3.6,7,0.212,0.0,5,10,3,48.6,1.14,67.1,0.081
f1,2143,OppositeVehicleTakingPriority,Failed - Agent got blocked,61.71,11.021231,78.353,98.8,15.75,60.0,21.6,2.7,vehicle.carlamotors.firetruck,19.6,5.4,3.6,0.0,70.2,7.1,2.97,1,2.5,1.5,2,2.75,1.5,3,3.75,2.35,0,0.0,0.0,24.1,26,0.047,0.018,0.34,27,0.897,2.81,6,0.222,0.85,2,1,0,36.9,1.72,45.8,0.997
f1,2144,VehicleTurningRoute,Completed,100,58.883482,74.492,38.2,24.25,82.4,,,,18.8,13.6,5.7,0.0,0.0,0.0,4.35,1,0.7,0.0,6,13.6,9.5,2,5.05,4.15,0,0.0,0.0,0.0,0,,,,40,0.841,4.74,11,0.275,0.0,6,15,4,82.4,2.16,,
s2f1,11381,VehicleTurningRoutePedestrian,Failed - Agent got blocked,63.33,8.054738,76.349,122.4,55.25,51.9,33.7,2.1,vehicle.ford.mustang,17.2,15.0,9.5,0.0,80.6,8.2,2.92,1,1.95,1.0,11,22.55,14.0,0,0.0,0.0,0,0.0,0.0,25.0,28,0.022,0.018,0.323,24,0.623,1.66,13,0.542,0.0,12,0,0,17.9,0.53,143.5,0.06
s2f1,1711,ParkingCutIn,Completed,100,62.048404,133.138,77.0,18.65,133.1,41.9,5.3,static.prop.mesh,32.3,10.4,6.4,0.0,27.9,7.2,4.07,1,2.45,1.5,10,14.35,8.9,0,0.0,0.0,0,0.0,0.0,13.5,14,0.03,0.022,0.452,51,0.848,5.5,11,0.216,0.046,10,1,0,99.2,2.37,56.2,0.086
s2f1,1833,ConstructionObstacleTwoWays,Failed - TickRuntime,38.4,24.96,133.121,200.0,31.45,52.9,21.2,6.8,static.prop.trafficwarning,11.6,7.9,2.3,0.1,178.1,0.8,4.44,1,0.8,0.0,1,5.6,5.0,2,3.9,2.9,0,0.0,0.0,77.1,71,0.03,0.009,0.436,23,0.866,5.29,5,0.217,1.024,1,6,3,48.9,2.32,57.5,0.013
s2f1,1852,AccidentTwoWays,Failed - TickRuntime,39.15,23.49,133.12,200.0,40.9,53.4,33.0,1.7,vehicle.dodge.charger_police_2020,13.6,14.4,5.0,0.0,167.0,0.0,3.84,1,1.65,1.0,4,11.5,9.0,4,6.3,4.45,0,0.0,0.0,36.1,60,0.019,0.01,0.218,30,0.788,4.04,7,0.233,0.112,4,1,0,52.4,1.59,83.9,0.009
s2f1,1956,ParkingExit,Failed - TickRuntime,3.09,1.854,133.124,200.0,22.9,4.9,3.8,4.4,vehicle.mercedes.coupe_2020,2.2,0.4,1.2,0.1,196.2,0.1,1.98,1,0.8,0.0,0,0.0,0.0,1,0.9,0.45,0,0.0,0.0,43.7,64,0.027,0.006,0.224,5,0.536,2.25,0,0.0,,0,3,2,4.0,1.07,126.3,0.008
s2f1,2373,VanillaSignalizedTurnEncounterRedLight,Failed - Agent got blocked,60.19,25.2798,65.312,99.7,58.0,48.1,33.8,2.7,vehicle.ford.mustang,14.0,13.9,5.9,0.1,65.8,0.1,3.36,1,4.85,4.0,7,12.65,8.0,1,2.4,1.9,0,0.0,0.0,14.5,19,0.042,0.017,0.227,30,0.754,3.44,8,0.267,0.0,7,13,4,47.1,1.4,46.9,0.104
s2f1,2390,VanillaNonSignalizedTurn,Failed - TickRuntime,56.8,14.311719,64.834,200.0,7.35,47.3,12.0,10.2,vehicle.dodge.charger_2020,14.0,4.0,1.6,0.0,180.5,7.6,3.08,1,3.95,3.0,1,1.65,1.0,0,0.0,0.0,0,0.0,0.0,34.6,54,0.04,0.05,0.204,13,0.859,5.58,1,0.077,0.0,1,3,1,31.4,2.64,24.7,0.068
s2f1,24211,DynamicObjectCrossing,Completed,100,87.884437,132.062,59.2,17.55,132.7,,,,31.4,20.8,6.9,0.0,0.0,0.0,4.21,1,1.65,1.0,6,19.45,15.5,5,6.65,4.35,0,0.0,0.0,0.0,0,,,,65,0.837,5.62,13,0.2,0.211,6,4,0,132.7,2.24,,
s2f1,2668,ParkedObstacleTwoWays,Completed,100,28.285985,112.631,62.8,31.05,112.0,18.9,2.1,vehicle.mercedes.coupe_2020,32.3,4.9,2.7,0.1,22.8,21.2,3.44,1,0.8,0.0,1,1.1,0.5,3,5.75,4.35,0,0.0,0.0,21.0,13,0.481,0.677,0.67,24,0.868,5.58,4,0.167,0.537,1,2,1,52.9,2.82,40.1,0.037
s2f1,3564,InvadingTurn,Completed,100,100.0,102.063,39.4,45.6,102.4,,,,24.0,9.2,6.2,0.0,0.0,0.0,4.25,1,1.7,1.0,8,12.2,7.3,1,1.5,0.95,0,0.0,0.0,0.0,0,,,,49,0.833,5.23,11,0.224,0.009,8,0,0,102.4,2.6,,
s2f1,4183,SignalizedJunctionLeftTurn,Failed - Agent got blocked,71.97,35.804188,71.35,151.0,13.95,55.0,20.4,6.1,traffic.speed_limit.40,11.0,6.9,2.4,0.1,130.5,0.1,4.89,1,0.75,0.0,1,1.35,0.5,2,7.3,6.4,0,0.0,0.0,50.3,61,0.023,0.006,0.391,24,0.865,4.67,5,0.208,1.036,1,7,1,53.8,2.64,27.1,0.038
s2f1f2b,11381,VehicleTurningRoutePedestrian,Completed,100,12.620508,76.349,132.8,55.25,79.3,50.6,2.5,vehicle.dodge.charger_2020,26.0,26.0,9.0,0.1,71.6,10.6,2.93,1,0.8,0.0,17,10.0,5.5,8,24.3,20.45,0,0.0,0.0,27.7,33,0.041,0.021,0.358,39,0.775,1.43,2,0.051,1.142,0,5,0,53.7,1.06,71.8,0.08
s2f1f2b,1711,ParkingCutIn,Completed,100,100.0,133.138,50.4,18.65,132.3,,,,32.0,13.1,5.3,0.0,0.0,0.0,4.11,1,2.45,1.5,10,2.05,0.0,5,13.9,11.6,0,0.0,0.0,0.0,0,,,,69,0.843,5.09,1,0.014,1.179,0,0,0,132.3,2.62,,
s2f1f2b,1833,ConstructionObstacleTwoWays,Failed - TickRuntime,37.65,24.4725,133.121,200.0,31.45,51.5,25.4,4.5,static.prop.trafficwarning,15.4,6.4,4.2,0.1,173.9,0.8,3.29,1,0.75,0.0,7,4.4,2.5,3,5.65,3.95,0,0.0,0.0,36.0,57,0.03,0.007,0.206,32,0.813,3.94,3,0.094,0.867,1,5,0,49.2,1.94,68.7,0.006
s2f1f2b,1852,AccidentTwoWays,Failed - TickRuntime,39.15,23.49,133.12,200.0,40.9,54.6,24.5,0.2,vehicle.dodge.charger_police_2020,14.3,5.2,4.9,0.0,175.6,0.0,3.63,1,1.7,1.0,7,4.35,1.5,3,4.05,2.75,0,0.0,0.0,43.5,68,0.023,0.017,0.245,32,0.82,4.25,1,0.031,2.009,0,2,0,52.6,2.16,61.9,0.034
s2f1f2b,1956,ParkingExit,Failed - TickRuntime,3.09,1.854,133.124,200.0,22.9,4.9,6.6,1.2,vehicle.mercedes.coupe_2020,2.3,3.0,1.3,0.0,193.4,0.1,1.79,1,1.7,1.0,1,2.55,2.0,0,0.0,0.0,1,0.05,0.0,46.6,70,0.029,0.006,0.243,4,0.802,2.42,0,0.0,,0,2,0,4.1,0.63,213.0,0.018
s2f1f2b,2373,VanillaSignalizedTurnEncounterRedLight,Completed,100,21.341534,65.312,121.3,58.0,69.5,22.1,3.1,vehicle.mini.cooper_s_2021,17.3,6.9,3.9,0.1,93.1,6.2,3.95,1,4.6,3.5,3,2.55,1.5,3,3.75,1.9,0,0.0,0.0,29.4,38,0.031,0.012,0.296,25,0.844,3.89,2,0.08,0.939,1,9,0,44.3,2.01,32.5,0.067
s2f1f2b,2390,VanillaNonSignalizedTurn,Completed,100,100.0,64.834,44.7,7.35,65.5,,,,17.2,24.2,3.2,0.1,0.0,0.0,3.78,1,6.3,6.0,7,16.1,14.05,2,5.1,4.1,0,0.0,0.0,0.0,0,,,,35,0.86,4.26,1,0.029,1.018,0,11,0,65.5,1.47,,
s2f1f2b,24211,DynamicObjectCrossing,Completed,100,50.0,132.062,43.1,17.55,132.3,13.7,1.5,walker.pedestrian.0020,27.5,2.0,1.5,0.0,12.1,17.3,4.8,1,2.45,1.5,1,0.1,0.0,1,0.9,0.45,0,0.0,0.0,14.5,5,0.542,0.756,0.635,22,0.859,6.94,1,0.045,1.08,0,1,0,57.6,4.22,31.4,0.023
s2f1f2b,2668,ParkedObstacleTwoWays,Completed,100,60.0,112.631,118.1,31.05,116.2,22.6,2.6,vehicle.mercedes.coupe_2020,30.6,4.6,2.9,0.1,79.9,15.7,3.68,1,0.8,0.0,4,3.65,2.5,2,3.1,2.05,0,0.0,0.0,36.8,41,0.035,0.043,0.411,31,0.888,5.83,2,0.065,1.144,0,9,0,72.4,3.22,35.1,0.036
s2f1f2b,3564,InvadingTurn,Completed,100,60.0,102.063,50.5,45.6,102.7,22.8,0.0,vehicle.nissan.patrol_2021,20.6,5.7,1.8,0.0,22.4,5.3,4.97,1,1.65,1.0,2,0.5,0.3,2,5.35,4.4,0,0.0,0.0,10.0,8,0.058,0.045,0.387,30,0.904,5.92,1,0.033,0.967,0,0,0,83.9,3.69,27.7,0.046
s2f1f2b,4183,SignalizedJunctionLeftTurn,Completed,100,5.487114,71.35,156.2,13.95,74.6,22.0,7.5,vehicle.ford.mustang,18.5,9.4,2.7,0.0,125.6,8.7,3.78,1,1.45,0.5,2,0.4,0.0,3,10.25,8.9,0,0.0,0.0,43.2,39,0.02,0.018,0.322,21,0.854,4.51,0,0.0,,0,7,0,33.2,1.51,47.2,0.101
zoo,10857,VehicleTurningRoutePedestrian,Completed,100,60.78037,76.358,28.8,16.05,82.5,,,,20.0,3.4,5.2,0.1,0.0,0.0,4.09,1,0.75,0.0,7,6.05,2.0,1,1.95,1.45,0,0.0,0.0,0.0,0,,,,42,0.833,5.11,9,0.214,0.0,5,19,7,82.5,2.86,,
zoo,11381,VehicleTurningRoutePedestrian,Failed - TickRuntime,86.9,1.198714,76.349,200.0,55.25,74.0,22.8,0.9,vehicle.ford.mustang,27.1,5.6,8.8,0.0,158.5,18.8,2.51,1,0.75,0.0,8,7.25,1.0,4,6.45,4.65,0,0.0,0.0,91.6,93,0.031,0.024,0.573,24,0.628,1.23,9,0.375,0.0,8,0,0,18.0,0.79,96.9,0.229
zoo,11715,EnterActorFlow,Completed,100,70.0,85.685,24.6,36.25,86.3,,,,17.4,2.5,4.6,0.0,0.0,0.0,4.95,1,1.45,0.5,6,5.7,2.0,0,0.0,0.0,0,0.0,0.0,0.0,0,,,,36,0.857,5.0,9,0.25,0.0,6,6,5,86.3,3.52,,
zoo,11755,EnterActorFlow,Completed,100,70.0,81.137,22.2,,81.7,,,,17.8,0.0,4.4,0.1,0.0,0.0,4.59,1,0.8,0.0,7,3.65,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,,,,36,0.851,4.72,11,0.306,0.354,5,3,3,81.7,3.68,,
zoo,14194,PedestrianCrossing,Completed,100,100.0,75.254,36.8,15.25,75.5,,,,20.4,8.5,8.0,0.0,0.0,0.0,3.68,1,1.15,0.5,9,13.8,7.0,1,1.45,0.95,0,0.0,0.0,0.0,0,,,,46,0.8,4.35,15,0.326,0.0,9,2,2,75.5,2.05,,
zoo,14842,VanillaSignalizedTurnEncounterGreenLight,Failed - Agent got blocked,42.06,27.339,57.801,153.7,21.55,28.9,6.8,9.5,traffic.traffic_light,6.8,0.5,1.0,0.0,145.4,1.6,3.6,1,1.15,0.5,1,0.4,0.0,0,0.0,0.0,0,0.0,0.0,61.3,67,0.026,0.027,0.427,10,0.923,5.46,1,0.1,0.069,1,7,3,22.4,3.32,17.6,0.543
zoo,14862,VanillaSignalizedTurnEncounterGreenLight,Completed,100,100.0,61.818,13.4,21.85,66.4,,,,11.3,0.0,2.0,0.1,0.0,0.0,5.87,1,0.8,0.0,2,1.25,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,,,,23,0.893,5.78,6,0.261,0.891,2,8,2,66.4,4.97,,
zoo,14909,VanillaSignalizedTurnEncounterGreenLight,Completed,100,100.0,59.305,11.8,36.75,63.1,,,,9.9,0.0,1.8,0.1,0.0,0.0,6.39,1,0.75,0.0,2,1.15,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,,,,20,0.857,7.13,5,0.25,0.958,2,7,3,63.1,5.37,,
zoo,1711,ParkingCutIn,Completed,100,100.0,133.138,35.3,18.65,132.4,,,,29.0,1.5,4.9,0.0,0.0,0.0,4.56,1,1.95,1.0,8,3.4,0.0,1,0.95,0.45,0,0.0,0.0,0.0,0,,,,59,0.846,6.61,14,0.237,0.14,7,0,0,132.4,3.75,,
zoo,17563,SequentialLaneChange,Failed - TickRuntime,86.99,33.9261,115.325,200.0,19.2,104.8,8.2,9.0,vehicle.nissan.patrol_2021,12.6,0.0,1.2,0.1,186.1,5.8,8.09,1,0.8,0.0,1,0.5,0.0,0,0.0,0.0,0,0.0,0.0,113.6,87,0.015,0.016,0.604,13,0.877,6.95,2,0.154,0.557,1,0,0,36.7,4.54,25.6,0.986
zoo,17569,SequentialLaneChange,Completed,100,12.075606,115.358,22.3,22.5,116.9,9.8,5.3,vehicle.nissan.patrol_2021,19.0,0.5,1.5,0.1,1.2,11.4,6.14,1,1.5,0.5,1,0.6,0.0,0,0.0,0.0,0,0.0,0.0,8.7,1,0.5,0.722,1.0,16,0.861,7.27,2,0.125,0.424,1,0,0,46.6,4.78,24.2,0.173
zoo,17598,SequentialLaneChange,Completed,100,4.630796,120.431,32.9,26.3,120.5,14.4,7.5,vehicle.mercedes.coupe_2020,27.6,1.4,2.1,0.1,1.6,16.8,4.35,1,1.8,1.0,2,0.85,0.0,1,0.9,0.4,0,0.0,0.0,13.5,2,0.543,0.75,0.97,22,0.867,5.97,4,0.182,0.349,2,1,1,44.9,3.13,38.7,0.087
zoo,17635,SequentialLaneChange,Completed,100,4.325005,115.539,102.4,17.65,131.7,15.1,5.2,vehicle.mercedes.coupe_2020,27.2,2.0,2.3,0.0,70.9,16.5,4.63,1,2.2,1.5,4,2.1,0.5,0,0.0,0.0,0,0.0,0.0,51.3,35,0.039,0.041,0.642,21,0.848,5.37,5,0.238,0.0,3,2,1,42.0,2.8,41.4,0.653
zoo,1773,ParkedObstacle,Completed,100,4.478624,132.062,180.2,22.0,142.6,8.4,3.2,vehicle.audi.tt,33.4,0.5,1.7,0.0,144.6,27.2,4.1,1,1.15,0.5,2,1.05,0.0,0,0.0,0.0,0,0.0,0.0,89.0,78,0.036,0.018,0.579,12,0.898,5.85,2,0.167,-0.001,2,0,0,23.9,2.86,46.4,0.079
zoo,1790,HazardAtSideLane,Completed,100,60.0,119.119,29.1,16.25,118.3,28.2,8.6,vehicle.diamondback.century,24.8,1.0,3.4,0.0,0.0,1.0,4.76,1,1.2,0.5,5,2.2,0.0,1,0.9,0.45,0,0.0,0.0,0.0,0,,,,48,0.846,6.17,8,0.167,0.276,4,3,1,111.8,3.98,30.0,
zoo,1792,HazardAtSideLane,Completed,100,100.0,133.1,19.9,12.9,133.2,,,,17.7,0.5,1.6,0.0,0.0,0.0,7.54,1,1.2,0.5,2,0.95,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,,,,35,0.879,7.96,6,0.171,0.927,2,3,1,133.2,6.71,,
zoo,1825,ConstructionObstacleTwoWays,Failed - TickRuntime,33.37,21.6905,132.064,200.0,31.45,45.1,20.9,1.4,static.prop.trafficwarning,12.6,3.9,4.5,0.0,179.0,0.1,3.49,1,1.2,0.5,5,5.85,2.5,1,1.35,0.9,0,0.0,0.0,76.6,90,0.023,0.007,0.431,27,0.775,4.45,7,0.259,0.0,5,8,6,44.0,2.11,62.7,0.019
zoo,1833,ConstructionObstacleTwoWays,Failed - TickRuntime,36.9,23.985,133.121,200.0,31.45,50.7,24.2,1.8,static.prop.trafficwarning,13.1,6.4,4.8,0.1,175.6,0.2,3.76,1,0.8,0.0,6,9.55,6.0,1,0.95,0.45,0,0.0,0.0,83.1,89,0.027,0.008,0.477,27,0.825,4.48,8,0.296,0.199,4,3,3,49.3,2.04,65.3,0.01
zoo,1852,AccidentTwoWays,Failed - TickRuntime,39.15,23.49,133.12,200.0,40.9,55.0,24.6,0.7,vehicle.dodge.charger_police_2020,15.2,4.4,5.0,0.0,175.4,0.0,3.43,1,1.15,0.5,7,6.4,2.5,1,1.85,1.4,0,0.0,0.0,85.2,81,0.021,0.017,0.492,32,0.795,4.27,10,0.312,0.0,6,3,3,52.5,2.14,62.4,0.07
zoo,1956,ParkingExit,Failed - TickRuntime,3.09,1.854,133.124,200.0,22.9,5.2,3.6,2.4,vehicle.mercedes.coupe_2020,2.1,0.5,1.0,0.0,196.5,0.0,1.98,1,1.2,0.5,1,0.3,0.0,0,0.0,0.0,0,0.0,0.0,87.6,105,0.026,0.006,0.45,3,0.762,3.11,1,0.333,0.391,0,3,2,4.0,1.14,118.6,0.02
zoo,2050,SignalizedJunctionRightTurn,Completed,100,60.0,78.623,25.7,11.9,81.4,14.1,11.0,vehicle.mercedes.coupe_2020,17.9,1.5,3.2,0.1,3.0,8.7,4.52,1,2.55,1.5,4,2.3,0.0,0,0.0,0.0,0,0.0,0.0,5.6,2,0.779,1.011,0.793,19,0.864,3.92,5,0.263,0.006,4,0,0,37.0,2.63,30.0,0.079
zoo,2082,OppositeVehicleRunningRedLight,Completed,100,60.0,83.186,23.1,10.0,87.8,20.8,8.1,vehicle.mercedes.coupe_2020,17.4,2.0,3.2,0.0,0.4,1.9,5.03,1,1.95,1.0,4,3.25,1.0,0,0.0,0.0,0,0.0,0.0,0.4,0,,,1.0,32,0.86,5.98,7,0.219,0.136,4,13,4,80.2,3.87,21.5,0.181
zoo,2084,NonSignalizedJunctionLeftTurn,Completed,100,35.326418,79.28,45.4,16.8,85.9,17.2,8.8,vehicle.mercedes.coupe_2020,24.5,1.0,3.6,0.1,16.2,12.0,3.43,1,0.75,0.0,6,3.9,1.0,0,0.0,0.0,0,0.0,0.0,14.5,14,0.53,0.121,0.693,24,0.837,3.8,6,0.25,0.0,5,3,2,39.2,2.29,34.7,0.22
zoo,2086,NonSignalizedJunctionLeftTurn,Completed,100,82.140334,79.058,26.0,15.6,80.8,,,,19.0,1.5,5.4,0.1,0.0,0.0,4.24,1,1.3,0.5,9,5.7,1.0,0,0.0,0.0,0,0.0,0.0,0.0,0,,,,39,0.812,4.65,11,0.282,0.0,7,9,3,80.8,3.11,,
zoo,2091,NonSignalizedJunctionLeftTurn,Failed - TickRuntime,51.73,33.6245,76.251,200.0,14.0,45.0,16.9,10.5,static.fence,11.0,2.5,3.4,0.1,182.9,0.2,3.9,1,0.75,0.0,4,3.85,1.5,1,1.45,1.0,0,0.0,0.0,89.2,89,0.014,0.011,0.495,23,0.764,3.33,6,0.261,0.0,5,2,1,42.6,2.53,30.3,0.886
zoo,2115,NonSignalizedJunctionRightTurn,Failed - TickRuntime,58.43,34.226452,72.172,200.0,13.95,44.5,25.1,7.4,vehicle.mercedes.coupe_2020,15.4,3.2,6.6,0.1,174.8,0.2,2.75,1,2.6,1.5,7,5.75,1.0,2,1.5,0.65,0,0.0,0.0,95.5,86,0.013,0.009,0.551,34,0.771,3.31,9,0.265,0.0,6,6,4,42.1,1.68,43.1,0.463
zoo,2127,OppositeVehicleTakingPriority,Failed - Agent got blocked,64.75,23.471876,76.602,146.8,15.85,63.8,25.6,2.2,vehicle.carlamotors.firetruck,16.0,6.8,4.9,0.1,119.0,2.2,3.39,1,5.1,4.0,6,5.45,2.0,1,1.2,0.75,0,0.0,0.0,62.2,62,0.042,0.021,0.526,29,0.851,3.54,9,0.31,0.022,6,2,1,46.7,1.83,41.9,0.984
zoo,2129,OppositeVehicleTakingPriority,Completed,100,57.051626,80.459,36.2,16.55,85.6,,,,22.5,6.4,7.2,0.1,0.0,0.0,3.78,1,2.55,1.5,7,5.35,1.0,4,5.8,3.85,0,0.0,0.0,0.0,0,,,,49,0.814,3.75,14,0.286,0.765,5,7,2,85.6,2.36,,
zoo,2143,OppositeVehicleTakingPriority,Failed - Agent got blocked,82.13,25.746291,78.353,107.2,15.75,68.4,38.2,5.3,traffic.speed_limit.30,25.6,7.0,10.3,0.1,64.2,4.9,2.56,1,0.75,0.0,11,9.4,2.5,6,7.25,4.5,0,0.0,0.0,31.8,28,0.024,0.024,0.506,49,0.77,2.55,12,0.245,0.0,9,7,4,53.8,1.41,55.7,0.299
