scope,judge,n,delta,lo,hi,model,stats
Intersections,ADE dec1-9,4299,2.0401651859283447,1.878577258540097,2.2023464163051187,lebowski,carla
Intersections,ADE pre_onset dec1-9,301,1.1073310375213623,0.6593722134191358,1.5658963939662733,lebowski,carla
all,RFS (rater),478,-0.47867526189822773,-0.6316361127503657,-0.33342099720269147,lebowski,wod-train
all,ADE dec1-9,17389,0.6446399688720703,0.6114462025544392,0.6786952906366092,lebowski,wod-train
all,ADE pre_onset dec1-9,1245,0.5794343948364258,0.42412376236894683,0.7454150296236219,lebowski,wod-train
Pedestrians,RFS (rater),52,-0.625193005255157,-1.1358269731413198,-0.11557977175036889,lebowski,wod-train
Pedestrians,ADE dec1-9,1637,0.5524387359619141,0.4360036843970054,0.6859600732643301,lebowski,wod-train
Pedestrians,ADE pre_onset dec1-9,83,0.17417199909687042,-0.14651949661619523,0.5689386106089309,lebowski,wod-train
Cyclists,RFS (rater),71,-0.3868732896562228,-0.7600543420573168,-0.014884519168910612,lebowski,wod-train
Cyclists,ADE dec1-9,2326,0.6768501400947571,0.5905312486762082,0.7686501121485324,lebowski,wod-train
Cyclists,ADE pre_onset dec1-9,206,0.7309030890464783,0.27220314772491644,1.3020996402287055,lebowski,wod-train
Cut_ins,RFS (rater),20,-0.269220839676475,-1.1475471905009484,0.5694063050831303,lebowski,wod-train
Cut_ins,ADE dec1-9,724,0.747414767742157,0.60495167918084,0.8922035852973937,lebowski,wod-train
Cut_ins,ADE pre_onset dec1-9,16,1.139176607131958,0.6497175012316022,1.72290118301616,lebowski,wod-train
FOD,RFS (rater),78,-0.28966377819002836,-0.7151612183176174,0.12014507996329284,lebowski,wod-train
FOD,ADE dec1-9,3175,0.6720753908157349,0.5826008933158201,0.7673366951475367,lebowski,wod-train
FOD,ADE pre_onset dec1-9,252,0.6625427603721619,0.37195592177186254,0.9336780499557125,lebowski,wod-train
Intersections,RFS (rater),116,-0.4551499755315427,-0.7384659081148167,-0.1797591455760007,lebowski,wod-train
Intersections,ADE dec1-9,4299,0.631492018699646,0.5759040412074279,0.6871060440403586,lebowski,wod-train
Intersections,ADE pre_onset dec1-9,301,0.38731011748313904,0.2204539667725569,0.5577452359147526,lebowski,wod-train
