seed,cls,kind,h,src,probe,n_pairs,n_routes,auc,auc_sym,paired_win
0,other,null,5,persist,b,484,21,0.5479,0.5479,0.6074
0,other,null,5,persist,c,484,21,0.5395,0.5395,0.5331
0,other,null,5,persist,d_front,484,21,0.5218,0.5218,0.5599
0,other,null,5,persist,occ,484,21,0.4675,0.5325,0.4463
0,other,null,5,persist,ped,484,21,0.4581,0.5419,0.3802
0,other,null,5,pred,a,484,21,0.5013,0.5013,0.4442
0,other,null,5,pred,b,484,21,0.5719,0.5719,0.6384
0,other,null,5,pred,c,484,21,0.5388,0.5388,0.5310
0,other,null,5,pred,d_front,484,21,0.5372,0.5372,0.5434
0,other,null,5,pred,occ,484,21,0.4556,0.5444,0.4401
0,other,null,5,pred,ped,484,21,0.4705,0.5295,0.3967
0,other,null,10,oracle,a,484,21,0.4804,0.5196,0.3946
0,other,null,10,oracle,b,484,21,0.5403,0.5403,0.5826
0,other,null,10,oracle,c,484,21,0.5243,0.5243,0.5000
0,other,null,10,oracle,d_front,484,21,0.5033,0.5033,0.5248
0,other,null,10,oracle,occ,484,21,0.4811,0.5189,0.5186
0,other,null,10,oracle,ped,484,21,0.5056,0.5056,0.4463
0,other,null,10,persist,a,484,21,0.4958,0.5042,0.4607
0,other,null,10,persist,b,484,21,0.5479,0.5479,0.6074
0,other,null,10,persist,c,484,21,0.5395,0.5395,0.5331
0,other,null,10,persist,d_front,484,21,0.5218,0.5218,0.5599
0,other,null,10,persist,occ,484,21,0.4675,0.5325,0.4463
0,other,null,10,persist,ped,484,21,0.4581,0.5419,0.3802
0,other,null,10,pred,a,484,21,0.5037,0.5037,0.4607
0,other,null,10,pred,b,484,21,0.5821,0.5821,0.6219
0,other,null,10,pred,c,484,21,0.5187,0.5187,0.5289
0,other,null,10,pred,d_front,484,21,0.5449,0.5449,0.5434
0,other,null,10,pred,occ,484,21,0.4540,0.5460,0.4380
0,other,null,10,pred,ped,484,21,0.4781,0.5219,0.3988
0,other,pair,5,oracle,a,277,2,0.4972,0.5028,0.4729
0,other,pair,5,oracle,b,277,2,0.4874,0.5126,0.4404
0,other,pair,5,oracle,c,277,2,0.4988,0.5012,0.5379
0,other,pair,5,oracle,d_front,277,2,0.4920,0.5080,0.4332
0,other,pair,5,oracle,occ,277,2,0.5091,0.5091,0.5487
0,other,pair,5,oracle,ped,277,2,0.4953,0.5047,0.4585
0,other,pair,5,persist,a,277,2,0.4991,0.5009,0.4874
0,other,pair,5,persist,b,277,2,0.4878,0.5122,0.4296
0,other,pair,5,persist,c,277,2,0.4987,0.5013,0.5235
0,other,pair,5,persist,d_front,277,2,0.4918,0.5082,0.4260
0,other,pair,5,persist,occ,277,2,0.5102,0.5102,0.5740
0,other,pair,5,persist,ped,277,2,0.4870,0.5130,0.4224
0,other,pair,5,pred,a,277,2,0.5020,0.5020,0.5162
0,other,pair,5,pred,b,277,2,0.4884,0.5116,0.4477
0,other,pair,5,pred,c,277,2,0.5020,0.5020,0.5415
0,other,pair,5,pred,d_front,277,2,0.4847,0.5153,0.3863
0,other,pair,5,pred,occ,277,2,0.5107,0.5107,0.6029
0,other,pair,5,pred,ped,277,2,0.4902,0.5098,0.4440
0,other,pair,10,oracle,a,277,2,0.4979,0.5021,0.4838
0,other,pair,10,oracle,b,277,2,0.4795,0.5205,0.4152
0,other,pair,10,oracle,c,277,2,0.4988,0.5012,0.5451
0,other,pair,10,oracle,d_front,277,2,0.4884,0.5116,0.4188
0,other,pair,10,oracle,occ,277,2,0.5119,0.5119,0.5632
0,other,pair,10,oracle,ped,277,2,0.5017,0.5017,0.4693
0,other,pair,10,persist,a,277,2,0.4991,0.5009,0.4874
0,other,pair,10,persist,b,277,2,0.4878,0.5122,0.4296
0,other,pair,10,persist,c,277,2,0.4987,0.5013,0.5235
0,other,pair,10,persist,d_front,277,2,0.4918,0.5082,0.4260
0,other,pair,10,persist,occ,277,2,0.5102,0.5102,0.5740
0,other,pair,10,persist,ped,277,2,0.4870,0.5130,0.4224
0,other,pair,10,pred,a,277,2,0.5034,0.5034,0.5199
0,other,pair,10,pred,b,277,2,0.4886,0.5114,0.4477
0,other,pair,10,pred,c,277,2,0.5010,0.5010,0.5199
0,other,pair,10,pred,d_front,277,2,0.4799,0.5201,0.4007
0,other,pair,10,pred,occ,277,2,0.5100,0.5100,0.6101
0,other,pair,10,pred,ped,277,2,0.4935,0.5065,0.4368
0,ped,null,5,oracle,a,2489,33,0.5658,0.5658,0.6489
0,ped,null,5,oracle,b,2489,33,0.4405,0.5595,0.4705
0,ped,null,5,oracle,c,2489,33,0.4657,0.5343,0.4158
0,ped,null,5,oracle,d_front,2489,33,0.4410,0.5590,0.4295
0,ped,null,5,oracle,occ,2489,33,0.5691,0.5691,0.5633
0,ped,null,5,oracle,ped,2489,33,0.4206,0.5794,0.2624
0,ped,null,5,persist,a,2489,33,0.5646,0.5646,0.6468
0,ped,null,5,persist,b,2489,33,0.4384,0.5616,0.4661
0,ped,null,5,persist,c,2489,33,0.4628,0.5372,0.4162
0,ped,null,5,persist,d_front,2489,33,0.4409,0.5591,0.4275
0,ped,null,5,persist,occ,2489,33,0.5698,0.5698,0.5629
0,ped,null,5,persist,ped,2489,33,0.4255,0.5745,0.2652
0,ped,null,5,pred,a,2489,33,0.5632,0.5632,0.6292
0,ped,null,5,pred,b,2489,33,0.4416,0.5584,0.4564
0,ped,null,5,pred,c,2489,33,0.4636,0.5364,0.4275
0,ped,null,5,pred,d_front,2489,33,0.4419,0.5581,0.4303
0,ped,null,5,pred,occ,2489,33,0.5663,0.5663,0.5745
0,ped,null,5,pred,ped,2489,33,0.4453,0.5547,0.3194
0,ped,null,10,oracle,a,2489,33,0.5665,0.5665,0.6537
0,ped,null,10,oracle,b,2489,33,0.4341,0.5659,0.4673
0,ped,null,10,oracle,c,2489,33,0.4709,0.5291,0.4267
0,ped,null,10,oracle,d_front,2489,33,0.4402,0.5598,0.4311
0,ped,null,10,oracle,occ,2489,33,0.5713,0.5713,0.5629
0,ped,null,10,oracle,ped,2489,33,0.4172,0.5828,0.2591
0,ped,null,10,persist,a,2489,33,0.5646,0.5646,0.6468
0,ped,null,10,persist,b,2489,33,0.4384,0.5616,0.4661
0,ped,null,10,persist,c,2489,33,0.4628,0.5372,0.4162
0,ped,null,10,persist,d_front,2489,33,0.4409,0.5591,0.4275
0,ped,null,10,persist,occ,2489,33,0.5698,0.5698,0.5629
0,ped,null,10,persist,ped,2489,33,0.4255,0.5745,0.2652
0,ped,null,10,pred,a,2489,33,0.5694,0.5694,0.6348
0,ped,null,10,pred,b,2489,33,0.4417,0.5583,0.4596
0,ped,null,10,pred,c,2489,33,0.4508,0.5492,0.3994
0,ped,null,10,pred,d_front,2489,33,0.4492,0.5508,0.4512
0,ped,null,10,pred,occ,2489,33,0.5619,0.5619,0.5544
0,ped,null,10,pred,ped,2489,33,0.4432,0.5568,0.3294
0,ped,pair,5,oracle,a,7270,27,0.5019,0.5019,0.4948
0,ped,pair,5,oracle,b,7270,27,0.5063,0.5063,0.5070
0,ped,pair,5,oracle,c,7270,27,0.5036,0.5036,0.5010
0,ped,pair,5,oracle,d_front,7270,27,0.4611,0.5389,0.4263
0,ped,pair,5,oracle,occ,7270,27,0.5115,0.5115,0.5644
0,ped,pair,5,oracle,ped,7270,27,0.5362,0.5362,0.6737
0,ped,pair,5,persist,a,7270,27,0.5018,0.5018,0.4960
0,ped,pair,5,persist,b,7270,27,0.5058,0.5058,0.5063
0,ped,pair,5,persist,c,7270,27,0.5032,0.5032,0.5025
0,ped,pair,5,persist,d_front,7270,27,0.4592,0.5408,0.4272
0,ped,pair,5,persist,occ,7270,27,0.5123,0.5123,0.5653
0,ped,pair,5,persist,ped,7270,27,0.5378,0.5378,0.6769
0,ped,pair,5,pred,a,7270,27,0.5015,0.5015,0.4975
0,ped,pair,5,pred,b,7270,27,0.5076,0.5076,0.5081
0,ped,pair,5,pred,c,7270,27,0.5014,0.5014,0.4975
0,ped,pair,5,pred,d_front,7270,27,0.4590,0.5410,0.4381
0,ped,pair,5,pred,occ,7270,27,0.5116,0.5116,0.5652
0,ped,pair,5,pred,ped,7270,27,0.5362,0.5362,0.6596
0,ped,pair,10,oracle,a,7270,27,0.5018,0.5018,0.4934
0,ped,pair,10,oracle,b,7270,27,0.5057,0.5057,0.5034
0,ped,pair,10,oracle,c,7270,27,0.5045,0.5045,0.5029
0,ped,pair,10,oracle,d_front,7270,27,0.4621,0.5379,0.4281
0,ped,pair,10,oracle,occ,7270,27,0.5112,0.5112,0.5651
0,ped,pair,10,oracle,ped,7270,27,0.5361,0.5361,0.6725
0,ped,pair,10,persist,a,7270,27,0.5018,0.5018,0.4960
0,ped,pair,10,persist,b,7270,27,0.5058,0.5058,0.5063
0,ped,pair,10,persist,c,7270,27,0.5032,0.5032,0.5025
0,ped,pair,10,persist,d_front,7270,27,0.4592,0.5408,0.4272
0,ped,pair,10,persist,occ,7270,27,0.5123,0.5123,0.5653
0,ped,pair,10,persist,ped,7270,27,0.5378,0.5378,0.6769
0,ped,pair,10,pred,a,7270,27,0.5027,0.5027,0.4979
0,ped,pair,10,pred,b,7270,27,0.5076,0.5076,0.5080
0,ped,pair,10,pred,c,7270,27,0.5004,0.5004,0.4982
0,ped,pair,10,pred,d_front,7270,27,0.4581,0.5419,0.4331
0,ped,pair,10,pred,occ,7270,27,0.5121,0.5121,0.5645
0,ped,pair,10,pred,ped,7270,27,0.5342,0.5342,0.6568
1,cutin,null,5,oracle,a,636,26,0.5218,0.5218,0.5409
1,cutin,null,5,oracle,b,636,26,0.5477,0.5477,0.6321
1,cutin,null,5,oracle,c,636,26,0.5096,0.5096,0.5031
1,cutin,null,5,oracle,d_front,636,26,0.5384,0.5384,0.5943
1,cutin,null,5,oracle,occ,636,26,0.4426,0.5574,0.3569
1,cutin,null,5,oracle,ped,636,26,0.4039,0.5961,0.3176
1,cutin,null,5,persist,a,636,26,0.5246,0.5246,0.5283
1,cutin,null,5,persist,b,636,26,0.5422,0.5422,0.6211
1,cutin,null,5,persist,c,636,26,0.5116,0.5116,0.4827
1,cutin,null,5,persist,d_front,636,26,0.5397,0.5397,0.5802
1,cutin,null,5,persist,occ,636,26,0.4396,0.5604,0.3412
1,cutin,null,5,persist,ped,636,26,0.3959,0.6041,0.3082
1,cutin,null,5,pred,a,636,26,0.5061,0.5061,0.4969
1,cutin,null,5,pred,b,636,26,0.5499,0.5499,0.6352
1,cutin,null,5,pred,c,636,26,0.5120,0.5120,0.5000
1,cutin,null,5,pred,d_front,636,26,0.5602,0.5602,0.6509
1,cutin,null,5,pred,occ,636,26,0.4254,0.5746,0.3365
1,cutin,null,5,pred,ped,636,26,0.4011,0.5989,0.3019
1,cutin,null,10,oracle,a,636,26,0.5217,0.5217,0.5220
1,cutin,null,10,oracle,b,636,26,0.5470,0.5470,0.6226
1,cutin,null,10,oracle,c,636,26,0.5071,0.5071,0.5016
1,cutin,null,10,oracle,d_front,636,26,0.5319,0.5319,0.6053
1,cutin,null,10,oracle,occ,636,26,0.4494,0.5506,0.3664
1,cutin,null,10,oracle,ped,636,26,0.3919,0.6081,0.3113
1,cutin,null,10,persist,a,636,26,0.5246,0.5246,0.5283
1,cutin,null,10,persist,b,636,26,0.5422,0.5422,0.6211
1,cutin,null,10,persist,c,636,26,0.5116,0.5116,0.4827
1,cutin,null,10,persist,d_front,636,26,0.5397,0.5397,0.5802
1,cutin,null,10,persist,occ,636,26,0.4396,0.5604,0.3412
1,cutin,null,10,persist,ped,636,26,0.3959,0.6041,0.3082
1,cutin,null,10,pred,a,636,26,0.5035,0.5035,0.4906
1,cutin,null,10,pred,b,636,26,0.5609,0.5609,0.6368
1,cutin,null,10,pred,c,636,26,0.5124,0.5124,0.5157
1,cutin,null,10,pred,d_front,636,26,0.5689,0.5689,0.6887
1,cutin,null,10,pred,occ,636,26,0.4116,0.5884,0.2940
1,cutin,null,10,pred,ped,636,26,0.3946,0.6054,0.3255
1,cutin,pair,5,oracle,a,1907,26,0.5772,0.5772,0.7174
1,cutin,pair,5,oracle,b,1907,26,0.5790,0.5790,0.7483
1,cutin,pair,5,oracle,c,1907,26,0.5514,0.5514,0.7840
1,cutin,pair,5,oracle,d_front,1907,26,0.2707,0.7293,0.2622
1,cutin,pair,5,oracle,occ,1907,26,0.7120,0.7120,0.7347
1,cutin,pair,5,oracle,ped,1907,26,0.5119,0.5119,0.5889
1,cutin,pair,5,persist,a,1907,26,0.5474,0.5474,0.6523
1,cutin,pair,5,persist,b,1907,26,0.5675,0.5675,0.7221
1,cutin,pair,5,persist,c,1907,26,0.5510,0.5510,0.7572
1,cutin,pair,5,persist,d_front,1907,26,0.3351,0.6649,0.3173
1,cutin,pair,5,persist,occ,1907,26,0.6614,0.6614,0.7174
1,cutin,pair,5,persist,ped,1907,26,0.5171,0.5171,0.5915
1,cutin,pair,5,pred,a,1907,26,0.5600,0.5600,0.6880
1,cutin,pair,5,pred,b,1907,26,0.5688,0.5688,0.7231
1,cutin,pair,5,pred,c,1907,26,0.5531,0.5531,0.7556
1,cutin,pair,5,pred,d_front,1907,26,0.2950,0.7050,0.2601
1,cutin,pair,5,pred,occ,1907,26,0.6898,0.6898,0.7546
1,cutin,pair,5,pred,ped,1907,26,0.5134,0.5134,0.5732
1,cutin,pair,10,oracle,a,1907,26,0.6144,0.6144,0.7913
1,cutin,pair,10,oracle,b,1907,26,0.5926,0.5926,0.7840
1,cutin,pair,10,oracle,c,1907,26,0.5559,0.5559,0.7992
1,cutin,pair,10,oracle,d_front,1907,26,0.2073,0.7927,0.1867
1,cutin,pair,10,oracle,occ,1907,26,0.7694,0.7694,0.7971
1,cutin,pair,10,oracle,ped,1907,26,0.4778,0.5222,0.5018
1,cutin,pair,10,persist,a,1907,26,0.5474,0.5474,0.6523
1,cutin,pair,10,persist,b,1907,26,0.5675,0.5675,0.7221
1,cutin,pair,10,persist,c,1907,26,0.5510,0.5510,0.7572
1,cutin,pair,10,persist,d_front,1907,26,0.3351,0.6649,0.3173
1,cutin,pair,10,persist,occ,1907,26,0.6614,0.6614,0.7174
1,cutin,pair,10,persist,ped,1907,26,0.5171,0.5171,0.5915
1,cutin,pair,10,pred,a,1907,26,0.5644,0.5644,0.6980
1,cutin,pair,10,pred,b,1907,26,0.5669,0.5669,0.7305
1,cutin,pair,10,pred,c,1907,26,0.5533,0.5533,0.7562
1,cutin,pair,10,pred,d_front,1907,26,0.2819,0.7181,0.1951
1,cutin,pair,10,pred,occ,1907,26,0.6973,0.6973,0.7997
1,cutin,pair,10,pred,ped,1907,26,0.5084,0.5084,0.5370
1,obstacle,null,5,oracle,a,1217,40,0.4507,0.5493,0.4388
1,obstacle,null,5,oracle,b,1217,40,0.5292,0.5292,0.5859
1,obstacle,null,5,oracle,c,1217,40,0.5477,0.5477,0.5809
1,obstacle,null,5,oracle,d_front,1217,40,0.4819,0.5181,0.4470
1,obstacle,null,5,oracle,occ,1217,40,0.4760,0.5240,0.4519
1,obstacle,null,5,oracle,ped,1217,40,0.4312,0.5688,0.3969
1,obstacle,null,5,persist,a,1217,40,0.4497,0.5503,0.4035
