cls,kind,h,src,probe,auc,auc_sym,auc_min,auc_max,paired_win,n_pairs,n_routes,seeds
obstacle,pair,5,persist,a,0.7144,0.7144,0.7029,0.7235,0.8265,2303,39,3
obstacle,pair,5,persist,b,0.5106,0.5106,0.5083,0.5125,0.5493,2303,39,3
obstacle,pair,5,persist,c,0.4596,0.5404,0.4549,0.4654,0.4296,2303,39,3
obstacle,pair,5,persist,d_front,0.3369,0.6631,0.3307,0.3432,0.2287,2303,39,3
obstacle,pair,5,persist,occ,0.6377,0.6377,0.6341,0.6415,0.7542,2303,39,3
obstacle,pair,5,persist,ped,0.4297,0.5703,0.4165,0.4422,0.3889,2303,39,3
obstacle,pair,5,pred,a,0.7108,0.7108,0.6980,0.7239,0.8453,2303,39,3
obstacle,pair,5,pred,b,0.5293,0.5293,0.5243,0.5327,0.5901,2303,39,3
obstacle,pair,5,pred,c,0.4799,0.5201,0.4745,0.4836,0.4526,2303,39,3
obstacle,pair,5,pred,d_front,0.3113,0.6887,0.3063,0.3166,0.1709,2303,39,3
obstacle,pair,5,pred,occ,0.6575,0.6575,0.6499,0.6630,0.8017,2303,39,3
obstacle,pair,5,pred,ped,0.4486,0.5514,0.4362,0.4551,0.3851,2303,39,3
obstacle,pair,10,oracle,a,0.7866,0.7866,0.7788,0.7933,0.8593,2303,39,3
obstacle,pair,10,oracle,b,0.5245,0.5245,0.5185,0.5291,0.5546,2303,39,3
obstacle,pair,10,oracle,c,0.4503,0.5497,0.4465,0.4571,0.4182,2303,39,3
obstacle,pair,10,oracle,d_front,0.3418,0.6582,0.3391,0.3454,0.2820,2303,39,3
obstacle,pair,10,oracle,occ,0.6165,0.6165,0.6069,0.6279,0.6833,2303,39,3
obstacle,pair,10,oracle,ped,0.3901,0.6099,0.3823,0.4029,0.3472,2303,39,3
obstacle,pair,10,persist,a,0.7144,0.7144,0.7029,0.7235,0.8265,2303,39,3
obstacle,pair,10,persist,b,0.5106,0.5106,0.5083,0.5125,0.5493,2303,39,3
obstacle,pair,10,persist,c,0.4596,0.5404,0.4549,0.4654,0.4296,2303,39,3
obstacle,pair,10,persist,d_front,0.3369,0.6631,0.3307,0.3432,0.2287,2303,39,3
obstacle,pair,10,persist,occ,0.6377,0.6377,0.6341,0.6415,0.7542,2303,39,3
obstacle,pair,10,persist,ped,0.4297,0.5703,0.4165,0.4422,0.3889,2303,39,3
obstacle,pair,10,pred,a,0.7119,0.7119,0.6967,0.7264,0.8363,2303,39,3
obstacle,pair,10,pred,b,0.5264,0.5264,0.5228,0.5304,0.5739,2303,39,3
obstacle,pair,10,pred,c,0.4759,0.5241,0.4666,0.4839,0.4420,2303,39,3
obstacle,pair,10,pred,d_front,0.3403,0.6597,0.3366,0.3466,0.1741,2303,39,3
obstacle,pair,10,pred,occ,0.6306,0.6306,0.6225,0.6396,0.7861,2303,39,3
obstacle,pair,10,pred,ped,0.4452,0.5548,0.4340,0.4532,0.3756,2303,39,3
other,null,5,oracle,a,0.5050,0.5078,0.4959,0.5169,0.4497,484,21,3
other,null,5,oracle,b,0.5251,0.5409,0.4763,0.5624,0.5489,484,21,3
other,null,5,oracle,c,0.5209,0.5209,0.5150,0.5276,0.5517,484,21,3
other,null,5,oracle,d_front,0.5183,0.5196,0.4981,0.5418,0.5702,484,21,3
other,null,5,oracle,occ,0.4995,0.5164,0.4746,0.5161,0.5475,484,21,3
other,null,5,oracle,ped,0.4552,0.5448,0.4385,0.4822,0.3974,484,21,3
other,null,5,persist,a,0.5102,0.5130,0.4958,0.5197,0.4752,484,21,3
other,null,5,persist,b,0.5392,0.5450,0.4914,0.5784,0.5675,484,21,3
other,null,5,persist,c,0.5352,0.5352,0.5300,0.5395,0.5716,484,21,3
other,null,5,persist,d_front,0.5207,0.5207,0.5013,0.5389,0.5640,484,21,3
other,null,5,persist,occ,0.4925,0.5142,0.4675,0.5054,0.5213,484,21,3
other,null,5,persist,ped,0.4414,0.5586,0.4267,0.4581,0.3767,484,21,3
other,null,5,pred,a,0.5008,0.5031,0.4966,0.5045,0.4428,484,21,3
other,null,5,pred,b,0.5611,0.5611,0.5107,0.6008,0.6185,484,21,3
other,null,5,pred,c,0.5364,0.5364,0.5299,0.5403,0.5785,484,21,3
other,null,5,pred,d_front,0.5221,0.5221,0.5045,0.5372,0.5386,484,21,3
other,null,5,pred,occ,0.4903,0.5199,0.4556,0.5109,0.5124,484,21,3
other,null,5,pred,ped,0.4475,0.5525,0.4279,0.4705,0.3753,484,21,3
other,null,10,oracle,a,0.4863,0.5137,0.4804,0.4936,0.4118,484,21,3
other,null,10,oracle,b,0.5306,0.5406,0.4850,0.5666,0.5448,484,21,3
other,null,10,oracle,c,0.5158,0.5158,0.5097,0.5243,0.5455,484,21,3
other,null,10,oracle,d_front,0.5101,0.5151,0.4925,0.5345,0.5434,484,21,3
other,null,10,oracle,occ,0.5040,0.5165,0.4811,0.5201,0.5544,484,21,3
other,null,10,oracle,ped,0.4801,0.5236,0.4642,0.5056,0.4456,484,21,3
other,null,10,persist,a,0.5102,0.5130,0.4958,0.5197,0.4752,484,21,3
other,null,10,persist,b,0.5392,0.5450,0.4914,0.5784,0.5675,484,21,3
other,null,10,persist,c,0.5352,0.5352,0.5300,0.5395,0.5716,484,21,3
other,null,10,persist,d_front,0.5207,0.5207,0.5013,0.5389,0.5640,484,21,3
other,null,10,persist,occ,0.4925,0.5142,0.4675,0.5054,0.5213,484,21,3
other,null,10,persist,ped,0.4414,0.5586,0.4267,0.4581,0.3767,484,21,3
other,null,10,pred,a,0.4981,0.5046,0.4903,0.5037,0.4463,484,21,3
other,null,10,pred,b,0.5708,0.5708,0.5183,0.6119,0.6095,484,21,3
other,null,10,pred,c,0.5265,0.5265,0.5187,0.5416,0.5702,484,21,3
other,null,10,pred,d_front,0.5226,0.5226,0.5031,0.5449,0.5365,484,21,3
other,null,10,pred,occ,0.4918,0.5224,0.4540,0.5165,0.5138,484,21,3
other,null,10,pred,ped,0.4547,0.5453,0.4303,0.4781,0.3898,484,21,3
other,pair,5,oracle,a,0.4976,0.5024,0.4969,0.4987,0.4874,277,2,3
other,pair,5,oracle,b,0.4903,0.5097,0.4874,0.4925,0.4645,277,2,3
other,pair,5,oracle,c,0.5005,0.5019,0.4988,0.5037,0.5343,277,2,3
other,pair,5,oracle,d_front,0.4947,0.5053,0.4920,0.4972,0.4621,277,2,3
other,pair,5,oracle,occ,0.5078,0.5078,0.5057,0.5091,0.5439,277,2,3
other,pair,5,oracle,ped,0.5006,0.5058,0.4953,0.5096,0.4946,277,2,3
other,pair,5,persist,a,0.4990,0.5013,0.4976,0.5004,0.5018,277,2,3
other,pair,5,persist,b,0.4901,0.5099,0.4878,0.4933,0.4561,277,2,3
other,pair,5,persist,c,0.4995,0.5018,0.4978,0.5019,0.5211,277,2,3
other,pair,5,persist,d_front,0.4932,0.5068,0.4918,0.4958,0.4452,277,2,3
other,pair,5,persist,occ,0.5112,0.5112,0.5095,0.5138,0.5728,277,2,3
other,pair,5,persist,ped,0.4966,0.5096,0.4870,0.5093,0.4609,277,2,3
other,pair,5,pred,a,0.4994,0.5020,0.4961,0.5020,0.5018,277,2,3
other,pair,5,pred,b,0.4913,0.5087,0.4884,0.4948,0.4862,277,2,3
