arm,metric,group,n,prior_score,arm_score,delta,lo,hi
mc g2 cinque,PDMS,ped_cyc_corridor,897,74.24033637843783,74.33985799882774,0.0995216203899127,-2.196694960940275,2.4259815591598914
mc g2 cinque,PDMS,no ped_cyc,11249,73.46634922636076,71.72278504121728,-1.743564185143488,-2.293825226717987,-1.188540777845774
mc g2 cinque,PDMS,straight,4365,77.24221729361146,77.77113906124764,0.5289217676361753,-0.2960795684453505,1.3924602386702896
mc g2 cinque,EPDMS,all,12146,73.851093705465,68.78913909858657,-5.06195460687841,-5.587772149449073,-4.543746975405108
mc g2 cinque,EPDMS,ped_cyc_corridor,897,74.9299642748395,71.06449051108984,-3.8654737637496384,-6.125104687112136,-1.5365150670777636
mc g2 cinque,EPDMS,no ped_cyc,11249,73.76506411165853,68.60770161818695,-5.157362493471575,-5.685146990982172,-4.626789597690141
mc g2 cinque,EPDMS,straight,4365,80.64803982191032,74.53679505400429,-6.111244767906039,-6.95493129097422,-5.2805964280715365
mc g3 cinque,PDMS,all,12146,73.52350931819456,73.98511865715895,0.4616093389643931,0.3436840572456214,0.5880885292252421
mc g3 cinque,PDMS,ped_cyc_corridor,897,74.24033637843782,75.76736099978632,1.5270246213484933,0.8175482370040935,2.317949590554961
mc g3 cinque,PDMS,no ped_cyc,11249,73.46634922636076,73.84300190177298,0.3766526754122074,0.2649740007462947,0.4979338142413423
mc g3 cinque,PDMS,straight,4365,77.24221729361146,77.91935584144693,0.6771385478354675,0.4395368545750299,0.931684269004572
mc g3 cinque,EPDMS,all,12146,73.851093705465,74.1281511534228,0.2770574479578107,0.16059450146895,0.4018920130506738
mc g3 cinque,EPDMS,ped_cyc_corridor,897,74.9299642748395,76.2226662201551,1.2927019453156108,0.5812791386429541,2.113761668536944
mc g3 cinque,EPDMS,no ped_cyc,11249,73.76506411165853,73.96113363943411,0.196069527775577,0.0828021454656801,0.3182657542866045
mc g3 cinque,EPDMS,straight,4365,80.64803982191032,80.96730938703644,0.3192695651261125,0.0871719701327668,0.568670705276934
mc none lebowski,PDMS,all,12146,72.4149628176169,61.23709016380394,-11.177872653812951,-11.948668097057844,-10.4254829957889
mc none lebowski,PDMS,ped_cyc_corridor,897,74.43533021702756,62.09946590718878,-12.335864309838794,-15.14753342778252,-9.515509114887555
mc none lebowski,PDMS,no ped_cyc,11249,72.25385786986408,61.16832395864649,-11.08553391121759,-11.850740388213312,-10.312624678485362
mc none lebowski,PDMS,straight,4365,76.44028268882495,68.41474282783552,-8.02553986098942,-9.057906668109554,-7.002655937078714
mc none lebowski,EPDMS,all,12146,72.87266915773264,57.0351585494671,-15.83751060826554,-16.573779547410126,-15.120505560955763
mc none lebowski,EPDMS,ped_cyc_corridor,897,76.17873702715265,57.95614816495753,-18.22258886219511,-20.897487049163097,-15.507072886722336
mc none lebowski,EPDMS,no ped_cyc,11249,72.60904191274466,56.96171844944977,-15.64732346329489,-16.398846538063243,-14.88843302735368
mc none lebowski,EPDMS,straight,4365,79.86521422847083,63.3810106399031,-16.484203588567738,-17.496242023705356,-15.455860523630951
mc g1 lebowski,PDMS,all,12146,72.4149628176169,68.00798486924874,-4.406977948368141,-5.086018178948973,-3.728765713833977
mc g1 lebowski,PDMS,ped_cyc_corridor,897,74.43533021702756,71.47996426127531,-2.9553659557522662,-5.546192264354534,-0.3629582039247911
mc g1 lebowski,PDMS,no ped_cyc,11249,72.25385786986408,67.73112776953786,-4.52273010032622,-5.224881417332903,-3.818233586888842
mc g1 lebowski,PDMS,straight,4365,76.44028268882495,76.81246487850372,0.3721821896787655,-0.4802413563678265,1.248272499219361
mc g1 lebowski,EPDMS,all,12146,72.87266915773264,64.65577285330218,-8.216896304430458,-8.855413496612234,-7.566274377070592
mc g1 lebowski,EPDMS,ped_cyc_corridor,897,76.17873702715265,68.65472430298621,-7.524012724166424,-10.14906360399456,-4.944256334542481
mc g1 lebowski,EPDMS,no ped_cyc,11249,72.60904191274466,64.33689477966304,-8.272147133081612,-8.939803296141843,-7.613421361151015
mc g1 lebowski,EPDMS,straight,4365,79.86521422847083,73.72991168102594,-6.135302547444906,-6.978391040939607,-5.258330228803239
mc g2 lebowski,PDMS,all,12146,72.4149628176169,68.04962313149775,-4.365339686119121,-4.990593934928923,-3.753145457458455
mc g2 lebowski,PDMS,ped_cyc_corridor,897,74.43533021702758,70.22321090731147,-4.212119309716116,-6.702880902773216,-1.7320765317512077
mc g2 lebowski,PDMS,no ped_cyc,11249,72.25385786986408,67.876300326368,-4.3775575434960885,-5.006740125178756,-3.746039222161188
mc g2 lebowski,PDMS,straight,4365,76.44028268882495,74.32031676357967,-2.1199659252452787,-2.989778155905501,-1.2494084692155432
mc g2 lebowski,EPDMS,all,12146,72.87266915773264,64.99173057034994,-7.8809385873827,-8.48377849924547,-7.2912955053785184
mc g2 lebowski,EPDMS,ped_cyc_corridor,897,76.17873702715265,67.10455604134516,-9.074180985807477,-11.599604763469577,-6.551603362052004
mc g2 lebowski,EPDMS,no ped_cyc,11249,72.60904191274466,64.82325297700984,-7.785788935734818,-8.388123340617849,-7.185864227340747
mc g2 lebowski,EPDMS,straight,4365,79.86521422847083,70.92290096809094,-8.942313260379883,-9.792357610586691,-8.08303575594127
mc g3 lebowski,PDMS,all,12146,72.4149628176169,72.77643110735804,0.361468289741139,0.2188794768299869,0.5159549149930492
mc g3 lebowski,PDMS,ped_cyc_corridor,897,74.43533021702756,75.98083364080654,1.5455034237789596,0.7382944753838555,2.414296684540303
mc g3 lebowski,PDMS,no ped_cyc,11249,72.25385786986406,72.52091069909922,0.267052829235145,0.1289501119526854,0.4161976059864931
mc g3 lebowski,PDMS,straight,4365,76.44028268882495,77.12943655958819,0.6891538707632382,0.3413241667177207,1.0652000550802023
mc g3 lebowski,EPDMS,all,12146,72.87266915773264,72.78393467251986,-0.0887344852127817,-0.2294159441901638,0.0592559483437732
mc g3 lebowski,EPDMS,ped_cyc_corridor,897,76.17873702715265,76.6851925611857,0.5064555340330592,-0.2579490365083074,1.3488749088573726
mc g3 lebowski,EPDMS,no ped_cyc,11249,72.60904191274466,72.47284672460152,-0.1361951881431328,-0.2738590493789701,0.0060259268747516
mc g3 lebowski,EPDMS,straight,4365,79.86521422847083,79.54304360614256,-0.3221706223282741,-0.6689290840529585,0.0506580933704869
stAs0 none cinque,PDMS,all,12146,73.52350931819456,72.22840868975203,-1.2951006284425202,-1.5549862707562272,-1.037404771381492
stAs0 none cinque,PDMS,ped_cyc_corridor,897,74.24033637843782,72.94314099715939,-1.2971953812784254,-2.1605961353990373,-0.4520572568691716
stAs0 none cinque,PDMS,no ped_cyc,11249,73.46634922636076,72.17141563439206,-1.2949335919687175,-1.5642663072278165,-1.0320374982927407
stAs0 none cinque,PDMS,straight,4365,77.24221729361146,74.99936259019996,-2.242854703411513,-2.703968331693154,-1.786064056691314
stAs0 none cinque,EPDMS,all,12146,73.851093705465,72.5151561695162,-1.335937535948792,-1.606595423508685,-1.068654897713801
stAs0 none cinque,EPDMS,ped_cyc_corridor,897,74.9299642748395,73.34097181875927,-1.5889924560802182,-2.550790987681048,-0.7103730856116349
stAs0 none cinque,EPDMS,no ped_cyc,11249,73.76506411165853,72.44930528167096,-1.3157588299875604,-1.6049804915492314,-1.0331775434193116
stAs0 none cinque,EPDMS,straight,4365,80.64803982191032,78.54041220980203,-2.107627612108304,-2.613732034431422,-1.6208698100012668
stAs0 g1 cinque,PDMS,all,12146,73.52350931819456,73.32849228270194,-0.195017035492608,-0.3376117540544388,-0.0557913127130711
stAs0 g1 cinque,PDMS,ped_cyc_corridor,897,74.24033637843782,74.0571488062936,-0.1831875721442259,-0.4744903414339501,0.0515683630257544
stAs0 g1 cinque,PDMS,no ped_cyc,11249,73.46634922636076,73.27038890447616,-0.1959603218845983,-0.3497269060007471,-0.0457480736406182
stAs0 g1 cinque,PDMS,straight,4365,77.24221729361147,77.01562672892337,-0.2265905646880981,-0.430041870981694,-0.0331901779418644
stAs0 g1 cinque,EPDMS,all,12146,73.851093705465,73.6482214943031,-0.2028722111618859,-0.3592325042953592,-0.0525471228476409
stAs0 g1 cinque,EPDMS,ped_cyc_corridor,897,74.9299642748395,74.6590685966514,-0.2708956781880768,-0.6340446590516966,-0.0134585896770692
stAs0 g1 cinque,EPDMS,no ped_cyc,11249,73.76506411165853,73.56761612042042,-0.1974479912381155,-0.3583699623498133,-0.0375734550424727
stAs0 g1 cinque,EPDMS,straight,4365,80.64803982191032,80.49456334303613,-0.1534764788741766,-0.3570477343351384,0.0380449407240468
stAs0 g2 cinque,PDMS,all,12146,73.52350931819456,72.98564618486228,-0.5378631333322759,-0.7006427345336085,-0.3794017504849045
stAs0 g2 cinque,PDMS,ped_cyc_corridor,897,74.24033637843782,73.65992286210181,-0.5804135163360112,-1.0965477824620418,-0.0963438844837233
stAs0 g2 cinque,PDMS,no ped_cyc,11249,73.46634922636076,72.93187907849872,-0.5344701478620697,-0.7035481972749259,-0.367686125929488
stAs0 g2 cinque,PDMS,straight,4365,77.24221729361147,76.26827345449205,-0.9739438391194164,-1.2616902711314728,-0.7011036171162418
stAs0 g2 cinque,EPDMS,all,12146,73.851093705465,73.41305514841088,-0.4380385570541253,-0.6113462288041194,-0.2653120342403032
stAs0 g2 cinque,EPDMS,ped_cyc_corridor,897,74.92996427483949,74.09853103113468,-0.8314332437048216,-1.4888052625547563,-0.2471277173326339
stAs0 g2 cinque,EPDMS,no ped_cyc,11249,73.76506411165853,73.35839501268295,-0.4066690989755695,-0.587947684514987,-0.2303820314869078
stAs0 g2 cinque,EPDMS,straight,4365,80.64803982191032,79.89457605101212,-0.7534637708982019,-1.0660027108179926,-0.4639186659918049
stAs0 g3 cinque,PDMS,all,12146,73.52350931819456,73.44993970482082,-0.0735696133737355,-0.1139836181150627,-0.0384407121564865
stAs0 g3 cinque,PDMS,ped_cyc_corridor,897,74.24033637843782,74.24367904267359,0.0033426642357728,0.0009928254270998,0.0063609899918736
stAs0 g3 cinque,PDMS,no ped_cyc,11249,73.46634922636076,73.38664659556187,-0.0797026307989048,-0.1236466454588302,-0.0409823113736614
stAs0 g3 cinque,PDMS,straight,4365,77.24221729361146,77.1025267921371,-0.1396905014743666,-0.2376936100892178,-0.0574148623672114
stAs0 g3 cinque,EPDMS,all,12146,73.851093705465,73.77263837571998,-0.0784553297450269,-0.1313558477578354,-0.0343856965035972
stAs0 g3 cinque,EPDMS,ped_cyc_corridor,897,74.92996427483949,74.9324671794956,0.0025029046561187,0.000751822464054,0.0046013986059734
stAs0 g3 cinque,EPDMS,no ped_cyc,11249,73.76506411165853,73.68015313818891,-0.0849109734696093,-0.1408467840435364,-0.036101211042569
stAs0 g3 cinque,EPDMS,straight,4365,80.64803982191032,80.4899496023203,-0.1580902195900238,-0.278847573786751,-0.0540573983159142
stAs0 none lebowski,PDMS,all,12146,72.4149628176169,70.41618183613748,-1.9987809814794195,-2.266656505200479,-1.7376495882270446
stAs0 none lebowski,PDMS,ped_cyc_corridor,897,74.43533021702758,72.73985866362679,-1.6954715534007836,-2.6628187445160023,-0.7632168997349136
stAs0 none lebowski,PDMS,no ped_cyc,11249,72.25385786986408,70.23089086678394,-2.0229670030801428,-2.301049211312856,-1.757956024238407
stAs0 none lebowski,PDMS,straight,4365,76.44028268882495,72.19955032139389,-4.2407323674310815,-4.793606484540563,-3.67868865044448
stAs0 none lebowski,EPDMS,all,12146,72.87266915773264,70.80528648719645,-2.06738267053618,-2.365177928993395,-1.781924422484054
stAs0 none lebowski,EPDMS,ped_cyc_corridor,897,76.17873702715265,74.10311233987893,-2.075624687273717,-3.211235619040085,-1.006663038976854
stAs0 none lebowski,EPDMS,no ped_cyc,11249,72.60904191274466,70.54231646409607,-2.066725448648584,-2.372410400466933,-1.7711632083260316
stAs0 none lebowski,EPDMS,straight,4365,79.86521422847083,75.76411707289,-4.101097155580833,-4.720633198773728,-3.490638140875661
stAs0 g1 lebowski,PDMS,all,12146,72.4149628176169,71.70172170202409,-0.7132411155928065,-0.8899870024887987,-0.5338391325174784
stAs0 g1 lebowski,PDMS,ped_cyc_corridor,897,74.43533021702756,74.09532780779058,-0.3400024092369904,-1.0750471984878085,0.3792664396028475
stAs0 g1 lebowski,PDMS,no ped_cyc,11249,72.25385786986408,71.51085454255457,-0.7430033273095072,-0.925434192611314,-0.5638199470014509
stAs0 g1 lebowski,PDMS,straight,4365,76.44028268882495,75.106828089838,-1.333454598986949,-1.6668808934546042,-1.0140661297261129
stAs0 g1 lebowski,EPDMS,all,12146,72.87266915773264,72.04554950176248,-0.827119655970163,-1.0269514227532226,-0.6277940936128562
stAs0 g1 lebowski,EPDMS,ped_cyc_corridor,897,76.17873702715265,75.5702430001024,-0.6084940270502478,-1.401835768782755,0.1450260754061381
stAs0 g1 lebowski,EPDMS,no ped_cyc,11249,72.60904191274466,71.76448895700197,-0.8445529557426907,-1.0526703995776705,-0.6446218586609145
stAs0 g1 lebowski,EPDMS,straight,4365,79.86521422847083,78.49401589710179,-1.3711983313690466,-1.7606426000464237,-0.9916511685610906
stAs0 g2 lebowski,PDMS,all,12146,72.4149628176169,71.38801154314767,-1.026951274469223,-1.2077913835145715,-0.8490247043756475
stAs0 g2 lebowski,PDMS,ped_cyc_corridor,897,74.43533021702756,73.38498722040231,-1.050342996625253,-1.759000991800841,-0.3882065751625119
stAs0 g2 lebowski,PDMS,no ped_cyc,11249,72.25385786986408,71.22877186117617,-1.025086008687913,-1.210621153987992,-0.8421030991883562
stAs0 g2 lebowski,PDMS,straight,4365,76.44028268882495,74.12962799827532,-2.310654690549629,-2.724786761838299,-1.9130229168591413
stAs0 g2 lebowski,EPDMS,all,12146,72.87266915773264,71.87796758569618,-0.9947015720364664,-1.197713590769507,-0.7957174295545065
stAs0 g2 lebowski,EPDMS,ped_cyc_corridor,897,76.17873702715265,75.1210430921365,-1.0576939350161356,-1.844219202549044,-0.3594501752568393
stAs0 g2 lebowski,EPDMS,no ped_cyc,11249,72.60904191274466,71.61936337827532,-0.9896785344693256,-1.2038210678838173,-0.785461692497506
stAs0 g2 lebowski,EPDMS,straight,4365,79.86521422847083,77.72302738379835,-2.1421868446724703,-2.6138906580813224,-1.6819691472635931
stAs0 g3 lebowski,PDMS,all,12146,72.4149628176169,72.21573360206045,-0.1992292155564333,-0.2656836213212981,-0.1385961778587891
stAs0 g3 lebowski,PDMS,ped_cyc_corridor,897,74.43533021702756,74.05401957015,-0.3813106468775682,-0.7575001292113691,-0.0944999467063257
stAs0 g3 lebowski,PDMS,no ped_cyc,11249,72.25385786986408,72.069147904365,-0.1847099654990898,-0.2503564138452414,-0.1235279768816112
stAs0 g3 lebowski,PDMS,straight,4365,76.44028268882495,75.98637022627494,-0.4539124625499952,-0.6152608821488355,-0.3076726227923602
stAs0 g3 lebowski,EPDMS,all,12146,72.87266915773264,72.6676598720004,-0.2050092857322457,-0.2932117335916004,-0.1291010224699736
stAs0 g3 lebowski,EPDMS,ped_cyc_corridor,897,76.17873702715265,75.74635936028173,-0.4323776668709083,-0.8478628380817819,-0.0961040102031558
stAs0 g3 lebowski,EPDMS,no ped_cyc,11249,72.60904191274466,72.4221630775308,-0.1868788352138548,-0.271902289456942,-0.1092515759108371
stAs0 g3 lebowski,EPDMS,straight,4365,79.86521422847083,79.41576048964465,-0.4494537388261799,-0.6613487518708615,-0.2586539870400717
stAs1 none cinque,PDMS,all,12146,73.52350931819456,72.35446639794438,-1.1690429202501798,-1.4108640009995446,-0.9172108370264448
stAs1 none cinque,PDMS,ped_cyc_corridor,897,74.24033637843783,72.73100497174147,-1.5093314066963543,-2.4014409665287046,-0.6606578814914398
stAs1 none cinque,PDMS,no ped_cyc,11249,73.46634922636076,72.32444105340744,-1.141908172953334,-1.4007057751554657,-0.8724405128177437
stAs1 none cinque,PDMS,straight,4365,77.24221729361146,74.80007918498508,-2.442138108626379,-2.905319516018675,-1.9946806619878488
stAs1 none cinque,EPDMS,all,12146,73.851093705465,72.60538592906396,-1.2457077764010456,-1.5123889259680092,-0.974601381346468
stAs1 none cinque,EPDMS,ped_cyc_corridor,897,74.9299642748395,73.3920463520954,-1.537917922744079,-2.5185530301743,-0.6266032629835581
stAs1 none cinque,EPDMS,no ped_cyc,11249,73.76506411165853,72.5426572954557,-1.2224068162028323,-1.5056096225457858,-0.942362698764346
stAs1 none cinque,EPDMS,straight,4365,80.64803982191032,78.40561936468232,-2.2424204572279955,-2.749449242946065,-1.7491736922319978
stAs1 g1 cinque,PDMS,all,12146,73.52350931819456,73.33873050504694,-0.1847788131476185,-0.3286010697723616,-0.040549832007994
stAs1 g1 cinque,PDMS,ped_cyc_corridor,897,74.24033637843782,73.82145077649923,-0.4188856019385982,-0.7835748611008864,-0.1052469416923704
stAs1 g1 cinque,PDMS,no ped_cyc,11249,73.46634922636076,73.30023818719712,-0.1661110391636636,-0.3141249732645667,-0.0156167930358499
stAs1 g1 cinque,PDMS,straight,4365,77.24221729361147,76.92446616000885,-0.3177511336026221,-0.5293026137714941,-0.1146605339010193
stAs1 g1 cinque,EPDMS,all,12146,73.851093705465,73.66174954600243,-0.1893441594625778,-0.3413215682023277,-0.0371185043956123
stAs1 g1 cinque,EPDMS,ped_cyc_corridor,897,74.9299642748395,74.55881544370315,-0.3711488311363432,-0.8164766401112146,-0.0267374866820601
stAs1 g1 cinque,EPDMS,no ped_cyc,11249,73.76506411165853,73.5902171333224,-0.174846978336134,-0.3382590055457811,-0.0184331677170815
stAs1 g1 cinque,EPDMS,straight,4365,80.64803982191032,80.39696735331681,-0.251072468593525,-0.4704549112405427,-0.0449234005492131
stAs1 g2 cinque,PDMS,all,12146,73.52350931819456,72.98109320445366,-0.5424161137408905,-0.6990638028041922,-0.3910060021744727
stAs1 g2 cinque,PDMS,ped_cyc_corridor,897,74.24033637843783,73.39817604393369,-0.8421603345041365,-1.405255090290468,-0.3543885671272315
stAs1 g2 cinque,PDMS,no ped_cyc,11249,73.46634922636076,72.94783484308701,-0.5185143832737708,-0.6814796311723131,-0.3598411238557054
stAs1 g2 cinque,PDMS,straight,4365,77.24221729361147,76.22010058312625,-1.0221167104852125,-1.3176742066752445,-0.7356184200245139
stAs1 g2 cinque,EPDMS,all,12146,73.851093705465,73.3881932803609,-0.4629004251041004,-0.6358722143078485,-0.2992233184665164
stAs1 g2 cinque,EPDMS,ped_cyc_corridor,897,74.9299642748395,73.90959203186891,-1.0203722429705884,-1.7309292842937714,-0.4040908083191304
stAs1 g2 cinque,EPDMS,no ped_cyc,11249,73.76506411165853,73.34661672421345,-0.4184473874450873,-0.59568959101829,-0.2447746127671557
stAs1 g2 cinque,EPDMS,straight,4365,80.64803982191032,79.82413397130402,-0.8239058506062917,-1.140099225320063,-0.5232039157334584
stAs1 g3 cinque,PDMS,all,12146,73.52350931819456,73.44579520162061,-0.077714116573943,-0.1197317381696262,-0.04033015754866
stAs1 g3 cinque,PDMS,ped_cyc_corridor,897,74.24033637843782,74.24304161389334,0.0027052354555093,0.0007546491507984,0.0053798377407759
stAs1 g3 cinque,PDMS,no ped_cyc,11249,73.46634922636076,73.38222243676965,-0.0841267895911373,-0.1293147718458348,-0.0453965521176655
stAs1 g3 cinque,PDMS,straight,4365,77.24221729361146,77.0908644360297,-0.1513528575817547,-0.2505516963288228,-0.0644637819704874
stAs1 g3 cinque,EPDMS,all,12146,73.851093705465,73.76757851944637,-0.0835151860186328,-0.1376974758798734,-0.0373958775560482
stAs1 g3 cinque,EPDMS,ped_cyc_corridor,897,74.9299642748395,74.93198887922206,0.0020246043825719,0.0005808523788916,0.004050794599042
stAs1 g3 cinque,EPDMS,no ped_cyc,11249,73.76506411165853,73.67472794670934,-0.0903361649491937,-0.1488028462575244,-0.0385940551149365
stAs1 g3 cinque,EPDMS,straight,4365,80.64803982191032,80.4786376569034,-0.1694021650069301,-0.3003981385184721,-0.0639256181099115
stAs1 none lebowski,PDMS,all,12146,72.4149628176169,70.24079485587853,-2.1741679617383665,-2.44498143280932,-1.9049706659145595
stAs1 none lebowski,PDMS,ped_cyc_corridor,897,74.43533021702756,72.69900049143429,-1.736329725593283,-2.7331230649135065,-0.7686960679666438
stAs1 none lebowski,PDMS,no ped_cyc,11249,72.25385786986408,70.04477650268328,-2.209081367180818,-2.4883808687411046,-1.928934284019843
stAs1 none lebowski,PDMS,straight,4365,76.44028268882495,71.63234636930736,-4.807936319517595,-5.406621958957582,-4.229856674175938
stAs1 none lebowski,EPDMS,all,12146,72.87266915773264,70.59165605019949,-2.2810131075331546,-2.5849254516251823,-1.9875950775294025
stAs1 none lebowski,EPDMS,ped_cyc_corridor,897,76.17873702715265,73.90450166680424,-2.2742353603484,-3.356424815234208,-1.250788488835273
stAs1 none lebowski,EPDMS,no ped_cyc,11249,72.60904191274466,70.32748834479506,-2.2815535679496115,-2.595020792474603,-1.9810558435464607
stAs1 none lebowski,EPDMS,straight,4365,79.86521422847083,75.12221067878482,-4.743003549686016,-5.399866655596977,-4.100160015877462
stAs1 g1 lebowski,PDMS,all,12146,72.4149628176169,71.62474681467111,-0.7902160029457749,-0.974346017820284,-0.6166353334886331
stAs1 g1 lebowski,PDMS,ped_cyc_corridor,897,74.43533021702756,74.09079042197246,-0.3445397950551104,-1.046128997984145,0.3468916267717592
stAs1 g1 lebowski,PDMS,no ped_cyc,11249,72.25385786986408,71.42810345830617,-0.8257544115579116,-1.012729183875039,-0.6396641648840472
stAs1 g1 lebowski,PDMS,straight,4365,76.44028268882495,74.88923077638208,-1.5510519124428823,-1.893749630686545,-1.220811427076523
stAs1 g1 lebowski,EPDMS,all,12146,72.87266915773264,71.99013573878338,-0.8825334189492547,-1.0936310259059645,-0.686786184874881
stAs1 g1 lebowski,EPDMS,ped_cyc_corridor,897,76.17873702715265,75.3889572395707,-0.7897797875819467,-1.5905772258715325,-0.0458479958199935
stAs1 g1 lebowski,EPDMS,no ped_cyc,11249,72.60904191274466,71.71911228014652,-0.8899296325981546,-1.1030550881740395,-0.6820943804363591
stAs1 g1 lebowski,EPDMS,straight,4365,79.86521422847083,78.27773462979398,-1.587479598676854,-1.98856465315546,-1.2024123980733226
stAs1 g2 lebowski,PDMS,all,12146,72.4149628176169,71.25151685819884,-1.1634459594180484,-1.3563718562802805,-0.973728538815236
stAs1 g2 lebowski,PDMS,ped_cyc_corridor,897,74.43533021702756,73.40655363283255,-1.0287765841950145,-1.821085715291092,-0.2589461690067796
stAs1 g2 lebowski,PDMS,no ped_cyc,11249,72.25385786986408,71.07967331772001,-1.174184552144074,-1.3749182749865945,-0.9836309023984046
stAs1 g2 lebowski,PDMS,straight,4365,76.44028268882495,73.62648864351172,-2.8137940453132395,-3.259527078673653,-2.387318113189198
stAs1 g2 lebowski,EPDMS,all,12146,72.87266915773264,71.65932712996363,-1.2133420277690186,-1.4311473539111177,-0.9929867848649256
stAs1 g2 lebowski,EPDMS,ped_cyc_corridor,897,76.17873702715265,74.94414586517146,-1.2345911619811742,-2.119331854851051,-0.4089005827547995
stAs1 g2 lebowski,EPDMS,no ped_cyc,11249,72.60904191274466,71.39739429989149,-1.2116476128531768,-1.4372203695265506,-0.9955403595437592
stAs1 g2 lebowski,EPDMS,straight,4365,79.86521422847083,77.03615753834089,-2.8290566901299408,-3.3475884789525305,-2.3255209967655444
stAs1 g3 lebowski,PDMS,all,12146,72.4149628176169,72.16736177374388,-0.2476010438730185,-0.3234196941300232,-0.1775146562865819
stAs1 g3 lebowski,PDMS,ped_cyc_corridor,897,74.43533021702756,73.86118372865218,-0.5741464883753926,-1.037079465579183,-0.1884117145937631
stAs1 g3 lebowski,PDMS,no ped_cyc,11249,72.25385786986408,72.03229569733239,-0.2215621725316877,-0.2939937870024684,-0.1546482369370981
stAs1 g3 lebowski,PDMS,straight,4365,76.44028268882495,75.8517316688335,-0.5885510199914533,-0.7804085291470814,-0.4101310621200746
stAs1 g3 lebowski,EPDMS,all,12146,72.87266915773264,72.6047590162409,-0.2679101414917234,-0.3623356914829211,-0.1800651853040339
stAs1 g3 lebowski,EPDMS,ped_cyc_corridor,897,76.17873702715265,75.44843011779578,-0.7303069093568588,-1.3014935455804273,-0.2498606151379269
stAs1 g3 lebowski,EPDMS,no ped_cyc,11249,72.60904191274466,72.37800348436298,-0.2310384283816668,-0.3250369100252295,-0.1459096418120728
stAs1 g3 lebowski,EPDMS,straight,4365,79.86521422847083,79.25074457156748,-0.6144696569033525,-0.8562670628338367,-0.3869439834756421
stAs2 none cinque,PDMS,all,12146,73.52350931819456,72.42651819845813,-1.0969911197364346,-1.3357534705611278,-0.8611889301959974
stAs2 none cinque,PDMS,ped_cyc_corridor,897,74.24033637843782,72.88376188380205,-1.3565744946357716,-2.2204713580793447,-0.5211186366306859
stAs2 none cinque,PDMS,no ped_cyc,11249,73.46634922636076,72.39005739431967,-1.07629183204111,-1.3273844169337894,-0.8280973436585758
stAs2 none cinque,PDMS,straight,4365,77.24221729361146,75.4526616466898,-1.7895556469216571,-2.2107667512712967,-1.3836581349381063
stAs2 none cinque,EPDMS,all,12146,73.851093705465,72.70511810134505,-1.1459756041199527,-1.4082399018189935,-0.8927738465052513
stAs2 none cinque,EPDMS,ped_cyc_corridor,897,74.92996427483949,73.66517231700614,-1.264791957833355,-2.2564519076494807,-0.3299650073860218
stAs2 none cinque,EPDMS,no ped_cyc,11249,73.76506411165853,72.62856297364941,-1.1365011380091057,-1.4035488966131215,-0.8697511228870402
stAs2 none cinque,EPDMS,straight,4365,80.64803982191032,79.04672864714641,-1.6013111747639266,-2.049762682666282,-1.168884940665721
