scope,judge,n,delta,lo,hi,model,gate,source
Cyclists,ADE dec1-9,2326,0.0431313514709472,0.0183108834521657,0.068543921340136,cinque,c2,mc
Cyclists,ADE pre_onset dec1-9,206,-0.0028891749680042,-0.0775459007272942,0.0844293049233623,cinque,c2,mc
Cut_ins,RFS (rater),20,-0.4298684650251528,-0.8378916481576143,-0.0305385236521374,cinque,c2,mc
Cut_ins,ADE dec1-9,724,0.0663622617721557,0.0220141078940812,0.1174163430029291,cinque,c2,mc
Cut_ins,ADE pre_onset dec1-9,16,-0.0487517528235912,-0.2183644631329704,0.0818140336445399,cinque,c2,mc
FOD,RFS (rater),78,0.0332093179079231,-0.1020377389610971,0.187504263389559,cinque,c2,mc
FOD,ADE dec1-9,3175,0.0904087722301483,0.064264589143814,0.1172535913688263,cinque,c2,mc
FOD,ADE pre_onset dec1-9,252,0.1112260669469833,0.0543369545583541,0.163076951657657,cinque,c2,mc
Intersections,RFS (rater),116,-0.0146602100660928,-0.1902152065212537,0.1479895108738674,cinque,c2,mc
Intersections,ADE dec1-9,4299,0.0590020269155502,0.0387229326692478,0.0797092171651744,cinque,c2,mc
Intersections,ADE pre_onset dec1-9,301,0.0267785917967557,-0.028079466318681,0.0816682599688053,cinque,c2,mc
all,RFS (rater),478,-1.518374488613926,-1.7375877763293417,-1.301222360330716,lebowski,none,mc
all,ADE dec1-9,17389,2.07061767578125,1.985561645093675,2.154561488792947,lebowski,none,mc
all,ADE pre_onset dec1-9,1245,1.33268404006958,1.1293354777892437,1.5385441692351542,lebowski,none,mc
Pedestrians,RFS (rater),52,-1.347685134599688,-2.1005657236406154,-0.5755878927585323,lebowski,none,mc
Pedestrians,ADE dec1-9,1637,2.124295234680176,1.8637471748926036,2.401344526812037,lebowski,none,mc
Pedestrians,ADE pre_onset dec1-9,83,1.091429352760315,0.4819878496167039,1.6622082684491788,lebowski,none,mc
Cyclists,RFS (rater),71,-1.4447918031546223,-2.023923938814312,-0.8746568340702071,lebowski,none,mc
Cyclists,ADE dec1-9,2326,1.9253053665161133,1.712384945331861,2.129203554262101,lebowski,none,mc
Cyclists,ADE pre_onset dec1-9,206,1.4095865488052368,0.9126693721354708,1.9503899925854051,lebowski,none,mc
Cut_ins,RFS (rater),20,-1.92322440964564,-2.913299103058259,-0.9659091084125776,lebowski,none,mc
Cut_ins,ADE dec1-9,724,1.7580989599227903,1.406559891796919,2.138255245970146,lebowski,none,mc
Cut_ins,ADE pre_onset dec1-9,16,0.4967419803142547,-0.4168747266133626,1.2074010133743287,lebowski,none,mc
FOD,RFS (rater),78,-1.2533123040102931,-1.766357560327335,-0.739059185463017,lebowski,none,mc
FOD,ADE dec1-9,3175,2.285780429840088,2.0728138744504694,2.507652926191665,lebowski,none,mc
FOD,ADE pre_onset dec1-9,252,1.5935429334640503,1.1845912260994018,1.981733140933124,lebowski,none,mc
Intersections,RFS (rater),116,-1.4824495497913706,-1.896156824017652,-1.0773978249626308,lebowski,none,mc
Intersections,ADE dec1-9,4299,2.0401651859283447,1.878577258540097,2.2023464163051187,lebowski,none,mc
Intersections,ADE pre_onset dec1-9,301,1.1073310375213623,0.6593722134191358,1.5658963939662731,lebowski,none,mc
all,RFS (rater),478,-0.6746712041241584,-0.8581505271824114,-0.4959065376531827,lebowski,g1,mc
all,ADE dec1-9,17389,1.0317617654800415,0.9831408159387738,1.081294371767478,lebowski,g1,mc
all,ADE pre_onset dec1-9,1245,0.909393548965454,0.7304845756377369,1.0854765928248296,lebowski,g1,mc
Pedestrians,RFS (rater),52,-0.6325331792964194,-1.219785842917001,-0.0419698763598799,lebowski,g1,mc
Pedestrians,ADE dec1-9,1637,1.1076215505599976,0.9409528112312712,1.2772354793721914,lebowski,g1,mc
Pedestrians,ADE pre_onset dec1-9,83,0.7152957916259766,0.1667014421069924,1.2468339022381598,lebowski,g1,mc
Cyclists,RFS (rater),71,-0.8898243623560574,-1.4022110497270048,-0.4020771923180865,lebowski,g1,mc
Cyclists,ADE dec1-9,2326,1.0040439367294312,0.8719136885794213,1.1310993892408592,lebowski,g1,mc
Cyclists,ADE pre_onset dec1-9,206,0.9885358214378356,0.5854570898064138,1.4201324510885778,lebowski,g1,mc
Cut_ins,RFS (rater),20,-1.056026845964218,-1.8313575612353,-0.3604236848588281,lebowski,g1,mc
Cut_ins,ADE dec1-9,724,0.8840492367744446,0.6482863248780321,1.1393645349571404,lebowski,g1,mc
Cut_ins,ADE pre_onset dec1-9,16,0.2594575881958008,-0.4934292137622833,0.793585454716402,lebowski,g1,mc
FOD,RFS (rater),78,-0.6289994690154198,-1.0842154331450464,-0.1861565303791134,lebowski,g1,mc
FOD,ADE dec1-9,3175,1.089085578918457,0.974686572889703,1.2041229493272152,lebowski,g1,mc
