model,source,gate,scope,n,gate_mean,gate_open
lebowski,stAs2,none,all,12146,1.0,1.0
lebowski,stAs2,none,straight,4365,1.0,1.0
lebowski,stAs2,none,ped_cyc_corridor,897,1.0,1.0
lebowski,stAs2,none,no ped_cyc,11249,1.0,1.0
lebowski,stAs2,g1,all,12146,0.5163595080375671,0.5232998518030627
lebowski,stAs2,g1,straight,4365,0.4308755695819855,0.2907216494845361
lebowski,stAs2,g1,ped_cyc_corridor,897,0.5110350251197815,0.5016722408026756
lebowski,stAs2,g1,no ped_cyc,11249,0.516784131526947,0.5250244466174772
lebowski,stAs2,g3,all,12146,0.0195024795830249,0.0046929030133377
lebowski,stAs2,g3,straight,4365,0.0445050932466983,0.0103092783505154
lebowski,stAs2,g3,ped_cyc_corridor,897,0.0253387857228517,0.0033444816053511
lebowski,stAs2,g3,no ped_cyc,11249,0.019037090241909,0.0048004267045959
lebowski,stAs2,g2,all,12146,0.4287610352039337,0.5292277292935946
lebowski,stAs2,g2,straight,4365,0.4959021210670471,0.706987399770905
lebowski,stAs2,g2,ped_cyc_corridor,897,0.4933446645736694,0.6443701226309922
lebowski,stAs2,g2,no ped_cyc,11249,0.4236111044883728,0.5200462263312294
