examinee,tau,flip,vs prior (pp),null ff (oos),non-reactive ff
student A s1 [lebowski] x g3,0.73,"70.4 [66.0, 74.5]","-0.1 [-0.7, +0.4]",4.9%,18.5%
student A s1 [lebowski] x g2,0.75,"70.0 [65.5, 74.4]","-0.4 [-0.9, +0.0]",4.9%,18.0%
student A s1 [lebowski] x c2,0.76,"70.0 [65.5, 74.4]","-0.4 [-0.9, +0.1]",5.4%,17.5%
student A s2 [lebowski] x g1,0.84,"68.4 [64.2, 72.5]","-2.1 [-3.2, -0.9]",5.3%,14.5%
student A s2 [lebowski] x g3,0.73,"70.3 [65.9, 74.4]","-0.2 [-0.7, +0.2]",4.9%,18.4%
student A s2 [lebowski] x g2,0.74,"70.4 [66.0, 74.7]","-0.1 [-0.5, +0.4]",4.9%,18.4%
student A s2 [lebowski] x c2,0.74,"70.3 [65.7, 74.6]","-0.2 [-0.7, +0.2]",5.6%,18.3%
student B s0 [lebowski] x g1,0.85,"69.2 [64.7, 73.5]","-1.3 [-2.2, -0.5]",6.1%,14.1%
student B s0 [lebowski] x g3,0.73,"70.9 [66.3, 75.1]","+0.4 [+0.0, +0.8]",4.9%,19.1%
student B s0 [lebowski] x g2,0.76,"70.3 [65.7, 74.6]","-0.2 [-0.7, +0.3]",4.9%,17.8%
student B s0 [lebowski] x c2,0.76,"70.2 [65.6, 74.6]","-0.3 [-0.7, +0.2]",5.1%,17.4%
student B s1 [lebowski] x g1,0.83,"69.4 [65.0, 73.6]","-1.1 [-2.0, -0.2]",4.7%,14.9%
student B s1 [lebowski] x g3,0.73,"70.9 [66.3, 75.1]","+0.4 [-0.1, +0.9]",4.9%,19.0%
student B s1 [lebowski] x g2,0.74,"70.5 [66.0, 74.7]","+0.0 [-0.5, +0.5]",5.4%,18.5%
student B s1 [lebowski] x c2,0.75,"70.2 [65.6, 74.6]","-0.3 [-0.8, +0.2]",5.3%,17.5%
student B s2 [lebowski] x g1,0.84,"69.2 [64.7, 73.6]","-1.3 [-2.3, -0.4]",5.6%,14.6%
student B s2 [lebowski] x g3,0.73,"70.9 [66.3, 75.1]","+0.4 [+0.0, +0.8]",4.9%,19.0%
student B s2 [lebowski] x g2,0.76,"70.2 [65.7, 74.5]","-0.3 [-0.8, +0.2]",4.9%,17.8%
student B s2 [lebowski] x c2,0.76,"69.9 [65.4, 74.4]","-0.5 [-1.0, -0.1]",5.2%,17.3%
