examinee,vs,scope,n,delta,lo,hi
student B s0 [cinque] x g3,ridge_late op-cinque temporal,pooled,1832,-0.0158296943231441,-0.0301421355916386,-0.0031962511429011
student B s0 [cinque] x g3,ridge_late op-cinque temporal,cutin,216,-0.0046296296296296,-0.0142857142857142,0.0
student B s0 [cinque] x g3,ridge_late op-cinque temporal,oncoming,657,0.0015220700152207,-0.0031695721077654,0.0063494587023998
student B s0 [cinque] x g3,ridge_late op-cinque temporal,static,959,-0.0302398331595411,-0.0570882936034393,-0.0063403452768586
student B s0 [cinque] x g2,ridge_late op-cinque temporal,pooled,1832,-0.0010917030567685,-0.0142370625849144,0.0112119594233849
student B s0 [cinque] x g2,ridge_late op-cinque temporal,cutin,216,-0.0185185185185185,-0.0502622559803626,0.0094786729857819
student B s0 [cinque] x g2,ridge_late op-cinque temporal,oncoming,657,0.0136986301369863,0.0015384024577572,0.0253757486453084
student B s0 [cinque] x g2,ridge_late op-cinque temporal,static,959,-0.0072992700729927,-0.0280104846265776,0.0116408288306485
student B s0 [cinque] x c2,ridge_late op-cinque temporal,pooled,1832,0.0032751091703056,-0.0094603431480083,0.0153263296885173
student B s0 [cinque] x c2,ridge_late op-cinque temporal,cutin,216,0.0046296296296296,-0.0150018844221105,0.0259740259740259
student B s0 [cinque] x c2,ridge_late op-cinque temporal,oncoming,657,0.0136986301369863,0.0032250334947954,0.0239529935630986
student B s0 [cinque] x c2,ridge_late op-cinque temporal,static,959,-0.0041710114702815,-0.0259652921701273,0.0160310913705583
student B s1 [cinque] x g1,ridge_late op-cinque temporal,pooled,1832,-0.0616812227074235,-0.0981166597798938,-0.0286922495651301
student B s1 [cinque] x g1,ridge_late op-cinque temporal,cutin,216,-0.0138888888888888,-0.0440577365404857,0.0138347129097778
student B s1 [cinque] x g1,ridge_late op-cinque temporal,oncoming,657,-0.0197869101978691,-0.0506134969325153,0.0075531557513791
student B s1 [cinque] x g1,ridge_late op-cinque temporal,static,959,-0.1011470281543274,-0.1549774495525103,-0.0511713454634631
student B s1 [cinque] x g3,ridge_late op-cinque temporal,pooled,1832,-0.0136462882096069,-0.0264070022057994,-0.0027467656457018
student B s1 [cinque] x g3,ridge_late op-cinque temporal,cutin,216,-0.0046296296296296,-0.0142857142857142,0.0
student B s1 [cinque] x g3,ridge_late op-cinque temporal,oncoming,657,0.0030441400304414,-0.0030122756888581,0.0091185410334346
student B s1 [cinque] x g3,ridge_late op-cinque temporal,static,959,-0.02711157455683,-0.0521431028176165,-0.0052297164933835
student B s1 [cinque] x g2,ridge_late op-cinque temporal,pooled,1832,0.0032751091703056,-0.0092640201346427,0.0153370254044473
student B s1 [cinque] x g2,ridge_late op-cinque temporal,cutin,216,-0.0092592592592592,-0.0357182895579756,0.0144230769230769
student B s1 [cinque] x g2,ridge_late op-cinque temporal,oncoming,657,0.015220700152207,0.0046578450948956,0.0261569343065693
student B s1 [cinque] x g2,ridge_late op-cinque temporal,static,959,-0.0020855057351407,-0.0221794187692376,0.0167189132706374
student B s1 [cinque] x c2,ridge_late op-cinque temporal,pooled,1832,0.0070960698689956,-0.0050085566244744,0.0189832614744721
student B s1 [cinque] x c2,ridge_late op-cinque temporal,cutin,216,0.0092592592592592,-0.0087719298245614,0.0281756892063279
student B s1 [cinque] x c2,ridge_late op-cinque temporal,oncoming,657,0.0182648401826484,0.0062583251446664,0.0302650769663315
student B s1 [cinque] x c2,ridge_late op-cinque temporal,static,959,-0.0010427528675703,-0.0211455621834649,0.0168785291835041
student B s2 [cinque] x g1,ridge_late op-cinque temporal,pooled,1832,-0.0660480349344978,-0.1022629246978238,-0.0332252045946768
student B s2 [cinque] x g1,ridge_late op-cinque temporal,cutin,216,-0.0231481481481481,-0.0577134146341463,0.0093907786340685
student B s2 [cinque] x g1,ridge_late op-cinque temporal,oncoming,657,-0.015220700152207,-0.0448921043362192,0.0119581464872944
student B s2 [cinque] x g1,ridge_late op-cinque temporal,static,959,-0.1105318039624609,-0.1668589700105453,-0.0605097236438075
student B s2 [cinque] x g3,ridge_late op-cinque temporal,pooled,1832,-0.0169213973799126,-0.0327970095530969,-0.0036551619982666
student B s2 [cinque] x g3,ridge_late op-cinque temporal,cutin,216,-0.0046296296296296,-0.0142857142857142,0.0
student B s2 [cinque] x g3,ridge_late op-cinque temporal,oncoming,657,0.0015220700152207,-0.0046876833920187,0.0077763525723947
student B s2 [cinque] x g3,ridge_late op-cinque temporal,static,959,-0.0323253388946819,-0.0625667511717587,-0.0063356301712269
student B s2 [cinque] x g2,ridge_late op-cinque temporal,pooled,1832,0.0032751091703056,-0.0101783999872952,0.0165766707602221
student B s2 [cinque] x g2,ridge_late op-cinque temporal,cutin,216,-0.0046296296296296,-0.0304381051832162,0.0178571428571428
student B s2 [cinque] x g2,ridge_late op-cinque temporal,oncoming,657,0.0182648401826484,0.006220598321146,0.0301659125188536
student B s2 [cinque] x g2,ridge_late op-cinque temporal,static,959,-0.0052137643378519,-0.0279243058307319,0.0145863970588235
student B s2 [cinque] x c2,ridge_late op-cinque temporal,pooled,1832,0.0070960698689956,-0.0056766690980389,0.0196185296029604
