scope,n,activation,lo,hi,delta_mag_median_m,model,gate,source,tau
pre_onset,1458,0.0,0.0,0.0,0.0330040976405143,cinque,c2,stAs1,1.563609778881073
all,19663,5.085693942938514e-05,0.0,0.0001554972153447,0.0316240228712558,cinque,c2,stAs1,1.563609778881073
Pedestrians,1831,0.0,0.0,0.0,0.0260161012411117,cinque,c2,stAs1,1.563609778881073
Cyclists,2830,0.0,0.0,0.0,0.0248966179788112,cinque,c2,stAs1,1.563609778881073
Cut_ins,885,0.0,0.0,0.0,0.0269317738711833,cinque,c2,stAs1,1.563609778881073
FOD,3561,0.0,0.0,0.0,0.0357018448412418,cinque,c2,stAs1,1.563609778881073
Intersections,4772,0.0002095557418273,0.0,0.0006574621959237,0.0410119816660881,cinque,c2,stAs1,1.563609778881073
straight_yaw,11597,0.0283694058808312,0.0219501181035662,0.0355017291268405,0.3486880958080292,lebowski,none,stAs1,1.428723305463791
pre_onset,1458,0.0089163237311385,0.0019217528110873,0.0183367523169898,0.1870810091495514,lebowski,none,stAs1,1.428723305463791
all,19663,0.0194782078014545,0.0152923347181538,0.0239915744374986,0.2782843112945556,lebowski,none,stAs1,1.428723305463791
Pedestrians,1831,0.0125614418350628,0.0050940779203276,0.0215337760710099,0.2310967892408371,lebowski,none,stAs1,1.428723305463791
Cyclists,2830,0.0169611307420494,0.0072663951373588,0.0311609146720123,0.2146462202072143,lebowski,none,stAs1,1.428723305463791
Cut_ins,885,0.0112994350282485,0.0022050716648291,0.0243650527077304,0.248526856303215,lebowski,none,stAs1,1.428723305463791
FOD,3561,0.0258354394832912,0.0140316364411668,0.0404153802975021,0.2834973931312561,lebowski,none,stAs1,1.428723305463791
Intersections,4772,0.0230511316010058,0.01495529045552,0.032434767780562,0.3063152432441711,lebowski,none,stAs1,1.428723305463791
straight_yaw,11597,0.0118134000172458,0.0081621369138881,0.015877114886366,0.1858476102352142,lebowski,g1,stAs1,1.428723305463791
pre_onset,1458,0.0048010973936899,0.0007812043306703,0.00976290097629,0.1478053033351898,lebowski,g1,stAs1,1.428723305463791
all,19663,0.0083913950058485,0.0060519089425381,0.0110167842460277,0.1681807190179824,lebowski,g1,stAs1,1.428723305463791
Pedestrians,1831,0.0087383943200436,0.00234174948151,0.0167174071997455,0.1528510898351669,lebowski,g1,stAs1,1.428723305463791
Cyclists,2830,0.0053003533568904,0.0018089561476278,0.0096819647755015,0.1396684944629669,lebowski,g1,stAs1,1.428723305463791
Cut_ins,885,0.0022598870056497,0.0,0.005688282138794,0.1496387422084808,lebowski,g1,stAs1,1.428723305463791
FOD,3561,0.0092670598146588,0.0040905372238887,0.0155019844091125,0.1639821231365203,lebowski,g1,stAs1,1.428723305463791
Intersections,4772,0.0127829002514668,0.0071440539091066,0.0196161767168919,0.1780172139406204,lebowski,g1,stAs1,1.428723305463791
straight_yaw,11597,8.622919720617402e-05,0.0,0.0002664304317351,0.0,lebowski,g3,stAs1,1.428723305463791
pre_onset,1458,0.0,0.0,0.0,0.0,lebowski,g3,stAs1,1.428723305463791
all,19663,5.085693942938514e-05,0.0,0.0001557478755031,0.0,lebowski,g3,stAs1,1.428723305463791
Pedestrians,1831,0.0,0.0,0.0,0.0,lebowski,g3,stAs1,1.428723305463791
Cyclists,2830,0.0003533568904593,0.0,0.0011236482070957,0.0,lebowski,g3,stAs1,1.428723305463791
Cut_ins,885,0.0,0.0,0.0,0.0,lebowski,g3,stAs1,1.428723305463791
FOD,3561,0.0,0.0,0.0,0.0,lebowski,g3,stAs1,1.428723305463791
Intersections,4772,0.0,0.0,0.0,0.0,lebowski,g3,stAs1,1.428723305463791
straight_yaw,11597,0.0006036043804432,9.008116341296063e-05,0.0012205967118975,0.0401396006345748,lebowski,g2,stAs1,1.428723305463791
pre_onset,1458,0.0,0.0,0.0,0.0225145760923624,lebowski,g2,stAs1,1.428723305463791
all,19663,0.0006102832731526,0.0001038364990758,0.0012866720081156,0.0311147961765527,lebowski,g2,stAs1,1.428723305463791
Pedestrians,1831,0.0016384489350081,0.0,0.0043478260869565,0.0330149978399276,lebowski,g2,stAs1,1.428723305463791
Cyclists,2830,0.0003533568904593,0.0,0.0011078286558345,0.0322485081851482,lebowski,g2,stAs1,1.428723305463791
Cut_ins,885,0.0,0.0,0.0,0.0443795099854469,lebowski,g2,stAs1,1.428723305463791
FOD,3561,0.0005616399887672,0.0,0.0017436918351209,0.0274417251348495,lebowski,g2,stAs1,1.428723305463791
Intersections,4772,0.0012573344509639,0.0,0.0036332743857215,0.0288492366671562,lebowski,g2,stAs1,1.428723305463791
straight_yaw,11597,0.0,0.0,0.0,0.0559265539050102,lebowski,c2,stAs1,1.428723305463791
pre_onset,1458,0.0,0.0,0.0,0.0300061777234077,lebowski,c2,stAs1,1.428723305463791
all,19663,0.0,0.0,0.0,0.0446343980729579,lebowski,c2,stAs1,1.428723305463791
Pedestrians,1831,0.0,0.0,0.0,0.037065926939249,lebowski,c2,stAs1,1.428723305463791
Cyclists,2830,0.0,0.0,0.0,0.0344273969531059,lebowski,c2,stAs1,1.428723305463791
Cut_ins,885,0.0,0.0,0.0,0.0398615598678588,lebowski,c2,stAs1,1.428723305463791
FOD,3561,0.0,0.0,0.0,0.0454705283045768,lebowski,c2,stAs1,1.428723305463791
Intersections,4772,0.0,0.0,0.0,0.0491303205490112,lebowski,c2,stAs1,1.428723305463791
straight_yaw,11597,0.037164783995861,0.0304521580269467,0.0448744973159036,0.2653253078460693,cinque,none,stAs2,1.6529502868652344
pre_onset,1458,0.037037037037037,0.0155191758465932,0.0625842636792315,0.2393815815448761,cinque,none,stAs2,1.6529502868652344
all,19663,0.0290393124141789,0.0241128653378212,0.0342628918037764,0.2024379074573516,cinque,none,stAs2,1.6529502868652344
