head,pairs,n_edit,n_placebo,median_edit_m,median_placebo_m,ratio,lo,hi,pass_2x
E2 pair (b) [lebowski],>=4 actors,145,175,0.5191349801768481,0.34126498661269283,1.5212078605826118,1.1931759502392978,1.8363020706267306,False
E2 pair (c) [lebowski],all,911,175,2.1523431229730403,1.1877000326238794,1.8121942105348448,1.5405277012162568,2.1302520260109468,False
E2 pair (c) [lebowski],1-3 actors,766,175,1.9980804833335206,1.1877000326238794,1.6823107084701685,1.4324130196797709,1.9675858356968974,False
E2 pair (c) [lebowski],>=4 actors,145,175,3.924106510940542,1.1877000326238794,3.303954199842333,2.505699535140381,4.056792516450582,True
E2 hard (a) [lebowski],all,911,175,0.07062204068280109,0.05099617830698229,1.3848496696689068,1.2299175212038385,1.5675489461749856,False
E2 hard (a) [lebowski],1-3 actors,766,175,0.06637907570561855,0.05099617830698229,1.301648043232488,1.1516086971194897,1.4723216218158217,False
E2 hard (a) [lebowski],>=4 actors,145,175,0.10697614839737798,0.05099617830698229,2.097728730835719,1.6903869361867319,2.5354012090718285,True
E2 uniform (a) [lebowski],all,911,175,0.13651990880080894,0.08863394060785457,1.54026671797001,1.3165719397153235,1.6441853754275868,False
E2 uniform (a) [lebowski],1-3 actors,766,175,0.12768759311866845,0.08863394060785457,1.4406173554169273,1.2549232156052936,1.5721462113047842,False
E2 uniform (a) [lebowski],>=4 actors,145,175,0.17925666707912638,0.08863394060785457,2.022438197487081,1.660167201459273,2.231589811234298,True
E2 pair qwen (a) [lebowski],all,911,175,0.5256540701787736,0.3826080015849356,1.3738710847689448,1.2059691248696194,1.6403009786294078,False
E2 pair qwen (a) [lebowski],1-3 actors,766,175,0.524897329939128,0.3826080015849356,1.3718932373728872,1.2132140418835593,1.6588861328626872,False
E2 pair qwen (a) [lebowski],>=4 actors,145,175,0.5268396444754985,0.3826080015849356,1.3769697504837592,1.1287972408965572,1.7483687315495873,False
E2 pair op (a) [lebowski],all,911,175,0.13925829029823736,0.055951683990596676,2.488902573900033,2.0045178200195135,3.0540786616403945,True
E2 pair op (a) [lebowski],1-3 actors,766,175,0.11863431876717775,0.055951683990596676,2.120299342323917,1.7137368560428623,2.6668437712645843,True
E2 pair op (a) [lebowski],>=4 actors,145,175,0.34416253969196825,0.055951683990596676,6.151066690857933,4.412347575523588,8.136326750280189,True
