set,examinee,scope,L_s,pairs,null_cases,area_L_10,area_lo,area_hi,null_area_L_10,null_lo,null_hi,area_minus_null,diff_lo,diff_hi,area_L_3_descriptive,A3,A3_lo,A3_hi,A3_null,A3_null_lo,A3_null_hi,A3_minus_null,A3_diff_lo,A3_diff_hi,area_reactive_only_L_10,end_all,end_reactive_only,null_end
pdm,TFv6 target speed,pedestrian,0.1,63,42,0.17777777777777776,0.06580387481371089,0.30833992673992644,0.20190476190476186,0.09949999999999994,0.3190476190476192,-0.024126984126984108,-0.15306121299871317,0.10147932900432885,0.14814814814814817,0.14814814814814817,0.05110199004975124,0.263289118152788,0.1285714285714286,0.04603174603174602,0.2317460317460317,0.01957671957671958,-0.08226391764435245,0.11794169840568416,0.17777777777777776,0.19047619047619047,0.19047619047619047,0.23809523809523808
pdm,TFv6 waypoint speed 2 s,pedestrian,0.1,63,42,0.1492063492063492,0.03713736263736265,0.28054342046965003,0.37285714285714283,0.23808333333333354,0.5114285714285713,-0.22365079365079363,-0.39778190476190467,-0.04933613445378141,0.10264550264550264,0.10264550264550264,0.020829741379310342,0.20849130650769993,0.2984126984126984,0.18095238095238095,0.42380952380952386,-0.19576719576719576,-0.3318205853478359,-0.06023433583959915,0.14063492063492064,0.19047619047619047,0.15873015873015872,0.40476190476190477
pdm,TFv6 target speed (decoded scalar),pedestrian,0.1,63,42,0.17777777777777776,0.06580387481371089,0.30833992673992644,0.20190476190476186,0.09949999999999994,0.3190476190476192,-0.024126984126984108,-0.15306121299871317,0.10147932900432885,0.14814814814814817,0.14814814814814817,0.05110199004975124,0.263289118152788,0.1285714285714286,0.04603174603174602,0.2317460317460317,0.01957671957671958,-0.08226391764435245,0.11794169840568416,0.17777777777777776,0.19047619047619047,0.19047619047619047,0.23809523809523808
pdm,ridge ego,pedestrian,0.0,63,42,0.46903205726735137,0.33786939775910363,0.596892156862745,0.042016806722689065,0.0,0.10224089635854333,0.4270152505446623,0.25960895721925126,0.5769878398009324,0.34523809523809523,0.34523809523809523,0.23767165492957748,0.45719290735400137,0.02976190476190476,0.0,0.08333333333333331,0.31547619047619047,0.18749656593406588,0.43462542001832793,0.4646747587924059,0.5396825396825397,0.5396825396825397,0.047619047619047616
pdm,ridge_late L18_last,pedestrian,0.3,63,42,0.0,0.0,0.0,0.1778425655976676,0.0714285714285715,0.29690233236151614,-0.1778425655976676,-0.29690233236151625,-0.0714285714285715,0.0,0.0,0.0,0.0,0.1598639455782313,0.06628401360544216,0.27551020408163257,-0.1598639455782313,-0.27551020408163257,-0.06628401360544238,0.0,0.0,0.0,0.19047619047619047
pdm,ridge_late L18_mean,pedestrian,0.3,63,42,0.0,0.0,0.0,0.20068027210884348,0.09426627793974733,0.31925413022351806,-0.20068027210884348,-0.3192541302235182,-0.09426627793974733,0.0,0.0,0.0,0.0,0.18367346938775508,0.08843537414965986,0.3010204081632652,-0.18367346938775508,-0.3010204081632652,-0.08843537414965986,0.0,0.0,0.0,0.21428571428571427
pdm,ridge_late op-cinque temporal,pedestrian,0.1,63,42,0.0292063492063492,0.0,0.09857142857142855,0.2904761904761905,0.15854761904761916,0.4243928571428566,-0.2612698412698413,-0.3900838363514421,-0.13703056628056645,0.02328042328042328,0.02328042328042328,0.0,0.07857142857142856,0.246031746031746,0.13011904761904758,0.36507936507936506,-0.2227513227513227,-0.3349481074481075,-0.1142857142857143,0.0292063492063492,0.031746031746031744,0.031746031746031744,0.30952380952380953
pdm,ridge_late op-cinque vision,pedestrian,0.1,63,42,0.0,0.0,0.0,0.19523809523809518,0.0852380952380953,0.32049999999999995,-0.19523809523809518,-0.3205000000000001,-0.0852380952380953,0.0,0.0,0.0,0.0,0.15079365079365079,0.06027777777777778,0.25083333333333313,-0.15079365079365079,-0.25083333333333335,-0.060277777777777986,0.0,0.0,0.0,0.21428571428571427
pdm,ridge_late op-lebowski temporal,pedestrian,0.1,63,42,0.015555555555555553,0.0,0.04899999999999999,0.32619047619047625,0.19999999999999993,0.46810714285714283,-0.3106349206349207,-0.4581859838274937,-0.18094330104923328,0.014814814814814814,0.014814814814814814,0.0,0.04666666666666667,0.25555555555555554,0.146031746031746,0.3777777777777777,-0.24074074074074073,-0.36825396825396833,-0.12866468056149016,0.015555555555555553,0.015873015873015872,0.015873015873015872,0.35714285714285715
pdm,ridge_late op-lebowski vision,pedestrian,0.1,63,42,0.0,0.0,0.0,0.37047619047619046,0.23333333333333353,0.5100238095238093,-0.37047619047619046,-0.5100238095238094,-0.23333333333333353,0.0,0.0,0.0,0.0,0.29523809523809524,0.17619047619047618,0.42380952380952386,-0.29523809523809524,-0.42380952380952386,-0.17619047619047618,0.0,0.0,0.0,0.40476190476190477
pdm,ridge_late op-lebowski hidden,pedestrian,0.1,63,42,0.0,0.0,0.0,0.3719047619047619,0.2380952380952383,0.5162023809523808,-0.3719047619047619,-0.5162023809523808,-0.2380952380952383,0.0,0.0,0.0,0.0,0.29523809523809524,0.18253968253968253,0.4190873015873014,-0.29523809523809524,-0.4190873015873016,-0.18253968253968253,0.0,0.0,0.0,0.40476190476190477
pdm,prior [cinque],pedestrian,0.1,63,42,0.0292063492063492,0.0,0.09857142857142855,0.2904761904761905,0.15854761904761916,0.4243928571428566,-0.2612698412698413,-0.3900838363514421,-0.13703056628056645,0.02328042328042328,0.02328042328042328,0.0,0.07857142857142856,0.246031746031746,0.13011904761904758,0.36507936507936506,-0.2227513227513227,-0.3349481074481075,-0.1142857142857143,0.0292063492063492,0.031746031746031744,0.031746031746031744,0.30952380952380953
pdm,M-C pair [cinque],pedestrian,0.3,63,42,0.04567541302235179,0.0,0.11926143053375195,0.35471331389698735,0.21234207968901833,0.49370748299319767,-0.30903790087463556,-0.46337585034013656,-0.14627488552428267,0.04081632653061224,0.04081632653061224,0.0,0.10372264721579788,0.3027210884353742,0.16836734693877548,0.43367346938775514,-0.261904761904762,-0.40306122448979587,-0.1041751700680273,0.04567541302235179,0.047619047619047616,0.047619047619047616,0.38095238095238093
