direction,arm,n_hi,n_lo,dade_pre_onset,dade_straight,did,did_lo,did_hi,halfwidth
0,alp L36_mean,752,5855,-0.08581091,-0.2482461,0.16243520379066467,0.05647640498799298,0.265858899209094,0.10469124711055051
0,alp L36_last,752,5855,-0.1719629,-0.3930983,0.22113539278507233,0.07711809194488349,0.3645296805257346,0.14370579429042554
0,fusion op-cinque temporal + A,752,5855,-0.24329114,-0.4348702,0.19157907366752625,-0.003146495569532852,0.38673465192511114,0.194940573747322
0,fusion alp L18_mean + A,752,5855,-0.053535827,-0.201108,0.14757215976715088,0.007400807576679052,0.2871656776104308,0.1398824350168759
1,A ridge_late pooled (qwen4b L18),706,5742,-0.044210684,-0.07348614,0.029275458306074142,-0.03915882571654048,0.09721871468991172,0.0681887702032261
1,d vjepa2 mean,706,5742,-0.1148493,-0.05833788,-0.056511420756578445,-0.14214682711504864,0.035259522854644246,0.08870317498484645
1,d2 qwenvid L18_last,706,5742,-0.05203474,-0.030228637,-0.021806102246046066,-0.05808914776700585,0.01289509083819109,0.03549211930259847
1,d2 qwenvid L18_mean,706,5742,-0.08804868,-0.063080326,-0.024968355894088745,-0.1059963143607915,0.04909669564207061,0.07754650500143105
1,op-small temporal,706,5742,-0.23741452,-0.37174812,0.13433359563350677,-0.03916889823832169,0.31002419061570874,0.17459654442701522
1,op-small vision,706,5742,-0.1840234,-0.3287977,0.14477430284023285,0.023635876681811187,0.27231110704122674,0.12433761517970777
1,op-small hidden,706,5742,-0.2648915,-0.3763159,0.11142438650131226,-0.06597665945795879,0.2890077411725203,0.17749220031523955
1,op-small plan,706,5742,-0.18115029,-0.38482937,0.20367908477783203,0.007126875002076642,0.39981782452012876,0.19634547475902606
1,op-cinque temporal,706,5742,-0.34637657,-0.5225994,0.17622283101081848,-0.013902185671243322,0.35667831367712294,0.18529024967418312
1,op-cinque vision,706,5742,-0.22302,-0.39012533,0.16710533201694489,0.016384130039324495,0.32532824057182563,0.15447205526625057
1,op-cinque hidden,706,5742,-0.2743497,-0.4092548,0.13490509986877441,-0.012795099234287604,0.30096753056689757,0.1568813149005926
1,op-cinque plan,706,5742,-0.29758888,-0.5160598,0.21847093105316162,0.01842189307166922,0.4160973782479796,0.19883774258815518
1,op-lebowski temporal,706,5742,-0.31382638,-0.52041036,0.20658397674560547,-0.009449666336603886,0.4437247261541386,0.22658719624537124
1,op-lebowski vision,706,5742,-0.24388364,-0.4132583,0.16937467455863953,0.02322131312793137,0.32475609467994154,0.1507673907760051
1,op-lebowski hidden,706,5742,-0.26809463,-0.41723895,0.14914432168006897,-0.004232718920457894,0.31049213336427234,0.15736242614236512
1,op-lebowski plan,706,5742,-0.27384016,-0.49248734,0.21864718198776245,-0.0249947242673468,0.4747963768260237,0.24989555054668525
1,alp vit_mean,706,5742,0.007273882,-0.10271556,0.10998944193124771,0.031219630955342345,0.18680682492148815,0.0777935969830729
1,alp vis_mean,706,5742,0.0033166995,-0.10919603,0.1125127300620079,0.0331636550693863,0.19282097200027737,0.07982865846544554
1,alp L09_mean,706,5742,-0.038513307,-0.12181782,0.0833045095205307,-0.02672551354313933,0.2036961681035036,0.11521084082332148
1,alp L09_last,706,5742,-0.07879972,-0.14365236,0.06485264748334885,-0.043638434472161064,0.18949798606668636,0.11656821026942371
1,alp L18_mean,706,5742,-0.06356396,-0.2210808,0.15751683712005615,0.018486639342838285,0.30917258995490027,0.145342975306031
1,alp L18_last,706,5742,-0.07616526,-0.25450236,0.17833709716796875,0.055179405825795245,0.31364191452317164,0.1292312543486882
1,alp L27_mean,706,5742,-0.076576635,-0.2864202,0.20984356105327606,0.07138719124717459,0.3578963004433684,0.1432545545980969
1,alp L27_last,706,5742,-0.26777428,-0.4761876,0.20841330289840698,0.046183756287521145,0.3790939123518329,0.16645507803215587
1,alp L36_mean,706,5742,-0.06494062,-0.25333038,0.18838976323604584,0.03445866937301171,0.3611541882191716,0.16334775942307994
1,alp L36_last,706,5742,-0.19329719,-0.38557148,0.1922742873430252,0.06577618157801073,0.3243486043891673,0.12928621140557828
1,fusion op-cinque temporal + A,706,5742,-0.28713655,-0.38691732,0.09978076815605164,-0.070988408927094,0.26930067633071986,0.17014454262890694
1,fusion alp L18_mean + A,706,5742,-0.073298246,-0.2144186,0.14112035930156708,-0.005836912987686432,0.29698619858464276,0.1514115557861646
