arm,vs,readout,n,value,delta,lo,hi,halfwidth,cluster_mean,cluster_mean_vs
op-lebowski temporal,ridge ego,"side: straight, deciles 1-9",10645,1.062526822090149,-0.38124558329582214,-0.4267886212847693,-0.33519475873514837,0.045796931274810465,,
op-lebowski temporal,ridge ego,"(iii) RFS, rater frames",478,7.36445981839861,0.2600922048012924,0.09167133628379107,0.41501036990864365,0.1616695168124263,7.3776982963711735,7.10118790904095
op-lebowski vision,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.795393943786621,-0.08251620829105377,-0.18034374819190943,0.008414415159754038,0.09437908167583173,,
op-lebowski vision,ridge ego,"(ii) all frames, deciles 1-9",17695,1.3430848121643066,-0.2315090298652649,-0.2659564888747216,-0.20043968055472225,0.032758404159999685,,
op-lebowski vision,ridge ego,"side: straight, deciles 1-9",10645,1.1285064220428467,-0.3152660131454468,-0.35835750300408675,-0.2683599486561677,0.04499877717395953,,
op-lebowski vision,ridge ego,"(iii) RFS, rater frames",478,7.005080484636129,-0.09928712896118949,-0.26024897524599927,0.05101704974008491,0.1556330124930421,7.013926503291235,7.10118790904095
op-lebowski hidden,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.7991576194763184,-0.07875224202871323,-0.17369458231410345,0.013051972211026365,0.0933732772625649,,
op-lebowski hidden,ridge ego,"(ii) all frames, deciles 1-9",17695,1.3465862274169922,-0.22800758481025696,-0.26219502811276,-0.19615135675274034,0.03302183568000984,,
op-lebowski hidden,ridge ego,"side: straight, deciles 1-9",10645,1.1303797960281372,-0.3133925497531891,-0.3581750665469063,-0.265749674468358,0.04621269603927414,,
op-lebowski hidden,ridge ego,"(iii) RFS, rater frames",478,7.073241298998338,-0.031126314598978112,-0.2002866083799487,0.13170532971913892,0.1659959690495438,7.100489078601711,7.10118790904095
op-lebowski plan,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.8070111274719238,-0.0708986148238182,-0.21357197038030745,0.06035177995348773,0.1369618751668976,,
op-lebowski plan,ridge ego,"(ii) all frames, deciles 1-9",17695,1.2870421409606934,-0.287551611661911,-0.32430107721510887,-0.2518837501346375,0.03620866354023569,,
op-lebowski plan,ridge ego,"side: straight, deciles 1-9",10645,1.0892002582550049,-0.35457226634025574,-0.4033101336504518,-0.30726736336875315,0.04802138514084933,,
op-lebowski plan,ridge ego,"(iii) RFS, rater frames",478,7.284228038138353,0.17986042454103507,0.0017264968847683945,0.3573211798548714,0.1777973414850515,7.361897156380598,7.10118790904095
alp vit_mean,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.884334683418274,0.006424731109291315,-0.037071364065875585,0.047732644436974475,0.04240200425142503,,
alp vit_mean,ridge ego,"(ii) all frames, deciles 1-9",17695,1.5198830366134644,-0.054710809141397476,-0.0783184985678173,-0.03424555756319288,0.022036470502312208,,
alp vit_mean,ridge ego,"side: straight, deciles 1-9",10645,1.3411855697631836,-0.10258692502975464,-0.1359029422516474,-0.07066133515987012,0.03262080354588864,,
alp vit_mean,ridge ego,"(iii) RFS, rater frames",478,7.024437943598864,-0.07992966999845429,-0.15555222145545214,-0.0004087927657667054,0.07757171434484271,7.014244842592248,7.10118790904095
alp vis_mean,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.887980580329895,0.010070622898638248,-0.03399048540047817,0.05259797714274818,0.04329423127161318,,
alp vis_mean,ridge ego,"(ii) all frames, deciles 1-9",17695,1.5153788328170776,-0.05921502038836479,-0.08174966179039617,-0.0387559199452847,0.021496870922555734,,
alp vis_mean,ridge ego,"side: straight, deciles 1-9",10645,1.333800196647644,-0.10997224599123001,-0.14198196520319895,-0.07876372265042522,0.03160912127638686,,
alp vis_mean,ridge ego,"(iii) RFS, rater frames",478,7.007870313921575,-0.0964972996757433,-0.1731028700739752,-0.01746485853497618,0.07781900576949952,7.008393650102308,7.10118790904095
alp L09_mean,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.861713171005249,-0.016196679323911667,-0.07754244403504933,0.044824392403510965,0.061183418219280146,,
alp L09_mean,ridge ego,"(ii) all frames, deciles 1-9",17695,1.5147860050201416,-0.059807755053043365,-0.08427153905359765,-0.03932293724573928,0.022474300903929184,,
alp L09_mean,ridge ego,"side: straight, deciles 1-9",10645,1.3542383909225464,-0.08953406661748886,-0.12271283788972513,-0.05701640678609087,0.032848215551817134,,
alp L09_mean,ridge ego,"(iii) RFS, rater frames",478,7.027691820037919,-0.07667579355939887,-0.17476115762732078,0.01873880148332348,0.09674997955532214,7.031494090809484,7.10118790904095
alp L09_last,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.8655929565429688,-0.012316999956965446,-0.08255943993644256,0.059805089204025164,0.07118226457023386,,
alp L09_last,ridge ego,"(ii) all frames, deciles 1-9",17695,1.5136308670043945,-0.06096281856298447,-0.08848541779350953,-0.03600920222958697,0.02623810778196128,,
alp L09_last,ridge ego,"side: straight, deciles 1-9",10645,1.332840919494629,-0.11093147844076157,-0.1480585679367165,-0.0717144820169163,0.03817204295990011,,
alp L09_last,ridge ego,"(iii) RFS, rater frames",478,6.931345654291421,-0.1730219593058964,-0.29032916236311485,-0.07195527970309669,0.10918694133000909,6.929723024847043,7.10118790904095
alp L18_mean,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.8752069473266602,-0.002702934667468071,-0.09340811769695403,0.09639647847707997,0.094902298087017,,
alp L18_mean,ridge ego,"(ii) all frames, deciles 1-9",17695,1.468907356262207,-0.10568629205226898,-0.13584717446882608,-0.07836552834187234,0.02874082306347687,,
alp L18_mean,ridge ego,"side: straight, deciles 1-9",10645,1.2885546684265137,-0.15521785616874695,-0.19846536097160183,-0.11583222975273764,0.041316565609432095,,
alp L18_mean,ridge ego,"(iii) RFS, rater frames",478,6.981251182080185,-0.12311643151713327,-0.2706020434324217,0.009209078421305944,0.13990556092686385,7.028453656141051,7.10118790904095
alp L18_last,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.844131588935852,-0.03377838432788849,-0.11380265616170201,0.05070890749578585,0.08225578182874393,,
alp L18_last,ridge ego,"(ii) all frames, deciles 1-9",17695,1.4565508365631104,-0.11804303526878357,-0.1512628053685086,-0.08846513265249238,0.031398836358008116,,
alp L18_last,ridge ego,"side: straight, deciles 1-9",10645,1.263166904449463,-0.18060556054115295,-0.2277508410604393,-0.13569803454120913,0.04602640325961509,,
alp L18_last,ridge ego,"(iii) RFS, rater frames",478,6.8894919557453385,-0.21487565785197968,-0.37726234208684856,-0.06745092452616161,0.1549057087803435,6.841386365479282,7.10118790904095
alp L27_mean,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.858566403388977,-0.019343433901667595,-0.10979157360840981,0.08058964390745547,0.09519060875793264,,
alp L27_mean,ridge ego,"(ii) all frames, deciles 1-9",17695,1.4141089916229248,-0.16048488020896912,-0.19036131425347547,-0.1326200745412814,0.028870619856097027,,
alp L27_mean,ridge ego,"side: straight, deciles 1-9",10645,1.227100133895874,-0.2166723906993866,-0.25671938906974345,-0.17715661188286141,0.03978138859344102,,
alp L27_mean,ridge ego,"(iii) RFS, rater frames",478,6.924478398806114,-0.17988921479120387,-0.3315311093029935,-0.04241098673192144,0.14456006128553603,6.970148139687597,7.10118790904095
alp L27_last,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.715403437614441,-0.16250644624233246,-0.2536240924620655,-0.07799191137268911,0.0878160905446882,,
alp L27_last,ridge ego,"(ii) all frames, deciles 1-9",17695,1.2991032600402832,-0.275490403175354,-0.31379304458195745,-0.23842212165905377,0.03768546146145184,,
alp L27_last,ridge ego,"side: straight, deciles 1-9",10645,1.0866795778274536,-0.35709279775619507,-0.4051398363595697,-0.30716922158395427,0.04898530738780771,,
alp L27_last,ridge ego,"(iii) RFS, rater frames",478,7.028803344331682,-0.07556426926563552,-0.24560173926497478,0.08790288012590783,0.1667523096954413,6.992476036749835,7.10118790904095
alp L36_mean,ridge ego,"(i) pre-onset, deciles 1-9",1265,1.8567100763320923,-0.021199921146035194,-0.11182346797620991,0.07938789106612028,0.0956056795211651,,
alp L36_mean,ridge ego,"(ii) all frames, deciles 1-9",17695,1.4403969049453735,-0.1341969519853592,-0.16321648727512764,-0.10628758997151802,0.028464448651804808,,
