arm,direction,ade_all,n_all,ade_pre_onset,n_pre_onset,ade_straight_yaw,n_straight_yaw,ade_turn_yaw,n_turn_yaw,rfs,n_rater,rfs_cluster,rfs_lo,rfs_hi,floored
op-lebowski temporal,1,1.5172822,9642,1.7354474,706,1.3336241,5742,1.8083723,2041,7.212246715688795,241,7.227378755463479,6.921549678175572,7.510729866152126,0.22821576763485477
op-lebowski vision,1,1.6569514,9642,1.80539,706,1.4407763,5742,2.063358,2041,6.833836906714116,241,6.87804191767781,6.558505663825622,7.154404596697616,0.27385892116182575
op-lebowski hidden,1,1.6584257,9642,1.781179,706,1.4367957,5742,2.1052659,2041,6.936524026447004,241,6.972986526803557,6.652282317138865,7.258967035978767,0.27800829875518673
op-lebowski plan,1,1.539732,9642,1.7754333,706,1.3615472,5742,1.8258829,2041,7.084556581518464,241,7.151061943215586,6.795360633022575,7.384633934579939,0.23651452282157676
alp vit_mean,1,1.9451833,9642,2.0565476,706,1.751319,5742,2.3084407,2041,6.971254369543199,241,7.025562319913076,6.663740924699785,7.282914891196804,0.2697095435684647
alp vis_mean,1,1.9391924,9642,2.0525904,706,1.7448385,5742,2.3061514,2041,6.921278570923812,241,7.0016872882684,6.617027693513121,7.2175415799279055,0.26556016597510373
alp L09_mean,1,1.8991396,9642,2.01076,706,1.7322167,5742,2.2415771,2041,6.905086720190223,241,6.945797505618026,6.608666049490842,7.215181274311079,0.2697095435684647
alp L09_last,1,1.8919324,9642,1.9704739,706,1.7103822,5742,2.262566,2041,6.795516158398935,241,6.818057017725772,6.530834930897792,7.085606184252286,0.2821576763485477
alp L18_mean,1,1.8249491,9642,1.9857097,706,1.6329539,5742,2.1908512,2041,6.953114148451777,241,7.021970119724455,6.663285627338958,7.256147319113764,0.2572614107883817
alp L18_last,1,1.7963891,9642,1.9731082,706,1.5995321,5742,2.1723015,2041,6.852324699447085,241,6.823531501615326,6.570340711523079,7.147217404164432,0.27800829875518673
alp L27_mean,1,1.766066,9642,1.9726969,706,1.5676144,5742,2.1248624,2041,6.800202029704179,241,6.885238016854831,6.523636516265785,7.094433960538247,0.2821576763485477
alp L27_last,1,1.5929672,9642,1.7814994,706,1.3778471,5742,1.9942636,2041,6.921495564839731,241,6.930326043401176,6.632269276689124,7.2422281320084485,0.27385892116182575
alp L36_mean,1,1.7963929,9642,1.9843328,706,1.6007043,5742,2.13758,2041,6.7099405983212215,241,6.706877099317142,6.425431944725884,7.0177780037237145,0.2987551867219917
alp L36_last,1,1.677909,9642,1.8559763,706,1.4684631,5742,2.0848334,2041,6.897500279794457,241,6.947541232755126,6.601520549615153,7.22843915666675,0.27800829875518673
fusion op-cinque temporal + A,1,1.6147636,9642,1.762137,706,1.4671173,5742,1.8582112,2041,7.184008073600565,241,7.215118108645344,6.902537365306269,7.49787700606258,0.22406639004149378
fusion alp L18_mean + A,1,1.8290112,9642,1.9759753,706,1.639616,5742,2.1893551,2041,6.906716853765403,241,6.966629643892922,6.621972889463075,7.21301265595087,0.26556016597510373
