arm,vs,readout,n,value,delta,lo,hi,halfwidth,cluster_mean,cluster_mean_vs
op-lebowski plan,ridge ego,"(ii) all frames, deciles 1-9",14063,1.3409937620162964,-0.31087949872016907,-0.35338095201999076,-0.271135451491604,0.041122750264193375,,
op-lebowski plan,ridge ego,"side: straight, deciles 1-9",8202,1.1455854177474976,-0.38332685828208923,-0.43739726203308,-0.32836064571800255,0.05451830815753872,,
op-lebowski plan,ridge ego,"(iii) RFS, rater frames",478,7.275219562042228,0.16918356979383717,0.0047914106034127645,0.3464279844151854,0.17081828690588632,7.377369436087127,7.121091628668748
alp vit_mean,ridge ego,"(i) pre-onset, deciles 1-9",1055,1.9550294876098633,0.019493672996759415,-0.01842547814730304,0.06373197899693939,0.04107872857212121,,
alp vit_mean,ridge ego,"(ii) all frames, deciles 1-9",14063,1.5987292528152466,-0.05314397066831589,-0.0753113718957922,-0.03257349052740558,0.021368940684193313,,
alp vit_mean,ridge ego,"side: straight, deciles 1-9",8202,1.4315253496170044,-0.09738707542419434,-0.13051748339290492,-0.06611248886055462,0.03220249726617515,,
alp vit_mean,ridge ego,"(iii) RFS, rater frames",478,7.048466058558051,-0.05756993369033875,-0.13122022208709425,0.023202684758723873,0.07721145342290905,7.047789553373766,7.121091628668748
alp vis_mean,ridge ego,"(i) pre-onset, deciles 1-9",1055,1.9522002935409546,0.016664456576108932,-0.020024127599714225,0.06249679244145883,0.04126046002058653,,
alp vis_mean,ridge ego,"(ii) all frames, deciles 1-9",14063,1.5971182584762573,-0.05475515499711037,-0.07546592058511596,-0.0360131967934575,0.01972636189582923,,
alp vis_mean,ridge ego,"side: straight, deciles 1-9",8202,1.4304380416870117,-0.09847422689199448,-0.128593753472505,-0.06857306683242098,0.030010343320042016,,
alp vis_mean,ridge ego,"(iii) RFS, rater frames",478,7.072769304144762,-0.03326668810362885,-0.09691400440707294,0.03854393311755417,0.06772896876231356,7.071731433858889,7.121091628668748
alp L09_mean,ridge ego,"(i) pre-onset, deciles 1-9",1055,1.9149763584136963,-0.020559558644890785,-0.07249937531935362,0.04065047129643455,0.056574923307894084,,
alp L09_mean,ridge ego,"(ii) all frames, deciles 1-9",14063,1.5920398235321045,-0.05983348935842514,-0.08045792003019805,-0.04171768467108131,0.01937011767955837,,
alp L09_mean,ridge ego,"side: straight, deciles 1-9",8202,1.4456452131271362,-0.08326740562915802,-0.11291117466045691,-0.05334094513338612,0.029785114763535396,,
alp L09_mean,ridge ego,"(iii) RFS, rater frames",478,7.113412639905302,0.0073766476569122885,-0.06741199950304427,0.08658419656523336,0.07699809803413882,7.105743058674976,7.121091628668748
alp L09_last,ridge ego,"(i) pre-onset, deciles 1-9",1055,1.9102495908737183,-0.02528618834912777,-0.09494192733872994,0.05177802589758116,0.07335997661815555,,
alp L09_last,ridge ego,"(ii) all frames, deciles 1-9",14063,1.5890636444091797,-0.06280963867902756,-0.09180104019162755,-0.036330333469655654,0.027735353360985947,,
alp L09_last,ridge ego,"side: straight, deciles 1-9",8202,1.417773962020874,-0.1111384704709053,-0.15439955082450085,-0.06959128611836822,0.042404132353066316,,
alp L09_last,ridge ego,"(iii) RFS, rater frames",478,7.018745455208266,-0.08729053704012427,-0.19598914684222565,0.0179010284700707,0.10694508765614817,7.013816566665319,7.121091628668748
alp L18_mean,ridge ego,"(i) pre-onset, deciles 1-9",1055,1.9253445863723755,-0.010191347450017929,-0.10919779070705343,0.10811758391926038,0.1086576873131569,,
alp L18_mean,ridge ego,"(ii) all frames, deciles 1-9",14063,1.5385394096374512,-0.11333389580249786,-0.14854223680300335,-0.08010688669206156,0.034217675055470895,,
alp L18_mean,ridge ego,"side: straight, deciles 1-9",8202,1.3591810464859009,-0.1697312444448471,-0.22248142100930782,-0.12320690387043995,0.049637258569433934,,
alp L18_mean,ridge ego,"(iii) RFS, rater frames",478,6.9629533130067705,-0.1430826792416202,-0.29506084674710836,-0.013393353157553887,0.14083374679477723,6.9994176441245255,7.121091628668748
alp L18_last,ridge ego,"(i) pre-onset, deciles 1-9",1055,1.894891381263733,-0.040644560009241104,-0.12189409886744931,0.05507344236756769,0.0884837706175085,,
alp L18_last,ridge ego,"(ii) all frames, deciles 1-9",14063,1.533238410949707,-0.11863483488559723,-0.1546202232658515,-0.08674066561236397,0.03393977882674377,,
alp L18_last,ridge ego,"side: straight, deciles 1-9",8202,1.3467360734939575,-0.18217617273330688,-0.23870294999078326,-0.1276730181946035,0.05551496589808988,,
alp L18_last,ridge ego,"(iii) RFS, rater frames",478,6.905208541805672,-0.2008274504427183,-0.3537257952825604,-0.06736540825263224,0.14318019351496408,6.905750342219815,7.121091628668748
alp L27_mean,ridge ego,"(i) pre-onset, deciles 1-9",1055,1.9090521335601807,-0.026483483612537384,-0.15100696333576774,0.11253646926452143,0.1317717163001446,,
alp L27_mean,ridge ego,"(ii) all frames, deciles 1-9",14063,1.4952592849731445,-0.1566138118505478,-0.1932763977247225,-0.12334904224297542,0.034963677740873535,,
alp L27_mean,ridge ego,"side: straight, deciles 1-9",8202,1.3045486211776733,-0.22436365485191345,-0.27618795344619934,-0.1790634410536837,0.04856225619625783,,
alp L27_mean,ridge ego,"(iii) RFS, rater frames",478,6.884732522988497,-0.2213034692598944,-0.3945034833052352,-0.06559456295256494,0.16445446017633514,6.92070621283392,7.121091628668748
alp L27_last,ridge ego,"(i) pre-onset, deciles 1-9",1055,1.735390305519104,-0.2001454085111618,-0.3045349016971622,-0.11418802018549773,0.09517344075583223,,
alp L27_last,ridge ego,"(ii) all frames, deciles 1-9",14063,1.3522425889968872,-0.29963067173957825,-0.34038863812851694,-0.2642143832001714,0.03808712746417278,,
alp L27_last,ridge ego,"side: straight, deciles 1-9",8202,1.1405872106552124,-0.3883250057697296,-0.4457105006606241,-0.333813917235708,0.05594829171245805,,
alp L27_last,ridge ego,"(iii) RFS, rater frames",478,7.088774886197507,-0.017261106050882467,-0.1876671393322574,0.1349220138555539,0.16129457659390567,7.08883049034745,7.121091628668748
alp L36_mean,ridge ego,"(i) pre-onset, deciles 1-9",1055,1.9013516902923584,-0.034184008836746216,-0.14527952999324517,0.09360663825588912,0.11944308412456714,,
alp L36_mean,ridge ego,"(ii) all frames, deciles 1-9",14063,1.5115193128585815,-0.14035409688949585,-0.17555243691939257,-0.10746331250789756,0.0340445622057475,,
alp L36_mean,ridge ego,"side: straight, deciles 1-9",8202,1.3269752264022827,-0.20193716883659363,-0.2512196483956053,-0.15676780159379852,0.04722592340090338,,
alp L36_mean,ridge ego,"(iii) RFS, rater frames",478,6.895653045967364,-0.21038294628102583,-0.37876949329978654,-0.05473790025072749,0.16201579652452952,6.888345425292923,7.121091628668748
alp L36_last,ridge ego,"(i) pre-onset, deciles 1-9",1055,1.8419315814971924,-0.09360411018133163,-0.18375818412773023,-0.008430629813761139,0.08766377715698455,,
alp L36_last,ridge ego,"(ii) all frames, deciles 1-9",14063,1.4166282415390015,-0.2352450042963028,-0.27327007910005213,-0.20277337871023635,0.03524835019490789,,
alp L36_last,ridge ego,"side: straight, deciles 1-9",8202,1.2071236371994019,-0.3217886984348297,-0.3755232482529117,-0.2641312292410601,0.05569600950592582,,
alp L36_last,ridge ego,"(iii) RFS, rater frames",478,7.006048431159255,-0.09998756108913523,-0.26326698268807136,0.03959051084131261,0.15142874676469198,7.000053696817837,7.121091628668748
fusion op-cinque temporal + A,ridge ego,"(i) pre-onset, deciles 1-9",1055,1.815807580947876,-0.1197282001376152,-0.24726102795597518,0.0001960899615847711,0.12372855895877997,,
fusion op-cinque temporal + A,ridge ego,"(ii) all frames, deciles 1-9",14063,1.4076182842254639,-0.24425488710403442,-0.28507361571226386,-0.20527860305729262,0.03989750632748562,,
fusion op-cinque temporal + A,ridge ego,"side: straight, deciles 1-9",8202,1.2386335134506226,-0.29027873277664185,-0.34856526996500814,-0.23505519885832146,0.05675503555334334,,
fusion op-cinque temporal + A,ridge ego,"(iii) RFS, rater frames",478,7.208363609140378,0.10232761689198855,-0.07438000288395505,0.26404216435271743,0.16921108361833626,7.248611366174646,7.121091628668748
fusion alp L18_mean + A,ridge ego,"(i) pre-onset, deciles 1-9",1055,1.894230604171753,-0.04130518063902855,-0.1341918507536732,0.07802797679506981,0.10610991377437151,,
fusion alp L18_mean + A,ridge ego,"(ii) all frames, deciles 1-9",14063,1.5455067157745361,-0.10636647790670395,-0.13867293348079388,-0.07742382871288041,0.030624552383956734,,
fusion alp L18_mean + A,ridge ego,"side: straight, deciles 1-9",8202,1.3713431358337402,-0.15756911039352417,-0.20719643433119297,-0.11127482129260752,0.04796080651929273,,
fusion alp L18_mean + A,ridge ego,"(iii) RFS, rater frames",478,6.969376700422666,-0.1366592918257238,-0.274689965719906,-0.01232154315909522,0.1311842112804054,6.992294023945993,7.121091628668748
native op-small (no fit),ridge ego,"(i) pre-onset, deciles 1-9",1055,3.0977535247802734,1.162217617034912,0.8221311031716382,1.5261825221465908,0.3520257094874763,,
native op-small (no fit),ridge ego,"(ii) all frames, deciles 1-9",14063,2.4465818405151367,0.7947085499763489,0.6876658318044876,0.9099996732768145,0.11116692073616347,,
native op-small (no fit),ridge ego,"side: straight, deciles 1-9",8202,2.4070606231689453,0.8781483173370361,0.7371001680620851,1.034902824385077,0.14890132816149598,,
native op-small (no fit),ridge ego,"(iii) RFS, rater frames",478,7.6948085275742715,0.5887725353258807,0.3508520524116928,0.8055907480549321,0.22736934782161966,7.6284320809397075,7.121091628668748
native op-cinque (no fit),ridge ego,"(i) pre-onset, deciles 1-9",1055,2.457176685333252,0.5216408371925354,0.26217202277919904,0.789130701845703,0.263479339533252,,
native op-cinque (no fit),ridge ego,"(ii) all frames, deciles 1-9",14063,1.921136736869812,0.2692633271217346,0.17396912199863532,0.3758008971715647,0.10091588758646468,,
native op-cinque (no fit),ridge ego,"side: straight, deciles 1-9",8202,1.9536148309707642,0.4247024357318878,0.2998433967283858,0.5584141035572487,0.12928535341443148,,
native op-cinque (no fit),ridge ego,"(iii) RFS, rater frames",478,7.936899100465832,0.8308631082174412,0.6058062067873919,1.0299655867501465,0.21207968998137727,7.994670300190397,7.121091628668748
native op-lebowski (no fit),ridge ego,"(i) pre-onset, deciles 1-9",1055,2.447521686553955,0.5119857788085938,0.2538038116989259,0.786346455685367,0.26627132199322057,,
native op-lebowski (no fit),ridge ego,"(ii) all frames, deciles 1-9",14063,2.096532106399536,0.4446588456630707,0.32787501308798234,0.57607737417634,0.12410118054417882,,
native op-lebowski (no fit),ridge ego,"side: straight, deciles 1-9",8202,2.229933261871338,0.7010210156440735,0.5236033786676538,0.8750345736471494,0.1757155974897478,,
native op-lebowski (no fit),ridge ego,"(iii) RFS, rater frames",478,7.812645282645684,0.7066092903972924,0.47949967558156076,0.9083331577714643,0.21441674109495176,7.902799111008347,7.121091628668748
