arm,direction,ade_all,n_all,ade_pre_onset,n_pre_onset,ade_straight_yaw,n_straight_yaw,ade_turn_yaw,n_turn_yaw,rfs,n_rater,rfs_cluster,rfs_lo,rfs_hi,floored
cls ego K1024,0,3.216084,10021,3.4131553,752,2.962223,5855,3.8917096,2315,6.919843057430855,237,6.877321501738197,6.578885373021805,7.2102857461407295,0.2869198312236287
cls_late op-cinque temporal,0,3.316826,10021,3.0766,752,3.2251658,5855,3.827054,2315,6.7533394382858605,237,6.739842646694726,6.426284410210925,7.0478272083179005,0.2911392405063291
cls_late op-lebowski temporal,0,3.3391213,10021,3.2479322,752,3.1452825,5855,4.0002437,2315,6.698589055195688,237,6.686122373256327,6.377681341329989,6.988730322701828,0.31223628691983124
cls_late qwenvid L18_last,0,3.432675,10021,3.3696458,752,3.2456768,5855,4.082513,2315,6.821860088448909,237,6.793643764717376,6.5144766434253585,7.124294214539577,0.3080168776371308
cls_late qwenvid L18_mean,0,3.3949113,10021,3.3625617,752,3.2093577,5855,3.9923182,2315,6.848204205982728,237,6.794569882981904,6.5291987606552055,7.148583842014782,0.29535864978902954
cls_late vjepa2 mean,0,3.4365454,10021,3.3997695,752,3.2728636,5855,4.0331173,2315,6.789364725489395,237,6.771803013276239,6.481817389715733,7.0812114170779905,0.29957805907172996
cls_late concat op-cinque temporal + qwenvid L18_last,0,3.4095564,10021,3.311529,752,3.2091334,5855,4.078497,2315,6.761333643275865,237,6.772480531966487,6.448902252741927,7.045216186242282,0.3080168776371308
cls_late late op-cinque temporal + qwenvid L18_last,0,3.2968953,10021,3.0923533,752,3.18209,5855,3.8228874,2315,6.72044926017495,237,6.768479079772412,6.401291392766723,7.007118837912518,0.31223628691983124
cls_late concat op-lebowski temporal + qwenvid L18_last,0,3.41601,10021,3.3330417,752,3.2162395,5855,4.090469,2315,6.737451807546748,237,6.7516620443461886,6.422625666437678,7.026201672212212,0.3206751054852321
cls_late late op-lebowski temporal + qwenvid L18_last,0,3.3828075,10021,3.27388,752,3.1867108,5855,4.060799,2315,6.749546741507359,237,6.712157185596496,6.426065503943776,7.0401765862672665,0.31645569620253167
ridge ego,1,1.9891527,9642,2.0492833,706,1.8540353,5742,2.285815,2041,7.064056495417844,241,7.086890756482646,6.760433783043472,7.370268888625571,0.25311203319502074
ridge_late op-cinque temporal,1,1.5023578,9642,1.7028931,706,1.3314322,5742,1.770759,2041,7.190358260980326,241,7.193532695739459,6.91863965840742,7.492833424304532,0.2157676348547718
ridge_late op-lebowski temporal,1,1.517279,9642,1.7354422,706,1.3336228,5742,1.8083675,2041,7.212263121936986,241,7.227445268766845,6.921620060809564,7.510620626666213,0.22821576763485477
ridge_late qwenvid L18_last,1,1.9593685,9642,1.9972504,706,1.8238053,5742,2.2741113,2041,7.059336792008808,241,7.009422319611282,6.77194266481587,7.3734767155379055,0.26141078838174275
ridge_late qwenvid L18_mean,1,1.9380838,9642,1.961233,706,1.7909535,5742,2.27339,2041,7.010228274502383,241,7.006811309628117,6.7240941445257185,7.324619150613785,0.2572614107883817
ridge_late vjepa2 mean,1,1.9362603,9642,1.9344355,706,1.7956972,5742,2.2456877,2041,6.992043956829492,241,6.927797420475552,6.7096295594784445,7.288021706342362,0.25311203319502074
ridge_late concat op-cinque temporal + qwenvid L18_last,1,1.5512184,9642,1.7450802,706,1.3912796,5742,1.7917325,2041,7.070122465752153,241,7.038030903720335,6.786412520449873,7.372295814132667,0.22821576763485477
ridge_late late op-cinque temporal + qwenvid L18_last,1,1.6490798,9642,1.7398133,706,1.5078971,5742,1.9031074,2041,7.1625667359260365,241,7.122387743588777,6.876323092434798,7.464279078641386,0.23236514522821577
ridge_late concat op-lebowski temporal + qwenvid L18_last,1,1.5640289,9642,1.7673163,706,1.3895257,5742,1.8373673,2041,7.142148864967097,241,7.10714778478957,6.873159556233654,7.441113899266321,0.24066390041493776
ridge_late late op-lebowski temporal + qwenvid L18_last,1,1.6525838,9642,1.7433656,706,1.5029153,5742,1.925563,2041,7.190216725566641,241,7.145771540089411,6.921804564660387,7.500664310493401,0.24896265560165975
cls ego K1024,1,3.154303,9642,3.6944652,706,3.0106695,5742,3.897097,2041,6.752711966368022,241,6.762678322257154,6.461766466658764,7.0562689736960875,0.27800829875518673
cls_late op-cinque temporal,1,3.0251415,9642,3.4449832,706,2.9147599,5742,3.6872125,2041,6.743119300591617,241,6.767626958336135,6.465829471904346,7.053709118753764,0.2946058091286307
cls_late op-lebowski temporal,1,3.0814607,9642,3.371439,706,2.949799,5742,3.8560848,2041,6.718805329081245,241,6.713843849094244,6.419908652011832,7.020276353513326,0.2987551867219917
cls_late qwenvid L18_last,1,3.1778636,9642,3.5009665,706,3.0367475,5742,3.990402,2041,6.679611788077844,241,6.6816763556239565,6.397841354376305,6.9753296065570005,0.2987551867219917
cls_late qwenvid L18_mean,1,3.1792612,9642,3.4035478,706,3.0304892,5742,4.0446568,2041,6.689511902471943,241,6.62542971662034,6.405271053102755,6.985848195844699,0.2987551867219917
cls_late vjepa2 mean,1,3.1725585,9642,3.4551058,706,3.0241225,5742,4.0261354,2041,6.70343892631482,241,6.713581059590645,6.424789731411963,6.994930155389348,0.2987551867219917
cls_late concat op-cinque temporal + qwenvid L18_last,1,3.169469,9642,3.421465,706,3.0225763,5742,4.032216,2041,6.76750916051262,241,6.78261757313485,6.480971191641571,7.0649679021752965,0.2821576763485477
cls_late late op-cinque temporal + qwenvid L18_last,1,3.0433571,9642,3.3893929,706,2.9378793,5742,3.7056158,2041,6.629288229624222,241,6.635831980936591,6.350200027611877,6.939336871829582,0.3112033195020747
cls_late concat op-lebowski temporal + qwenvid L18_last,1,3.1646528,9642,3.4207926,706,3.0202227,5742,4.015555,2041,6.7519764404401075,241,6.754121992785213,6.466757952584135,7.05606118339458,0.2863070539419087
cls_late late op-lebowski temporal + qwenvid L18_last,1,3.126105,9642,3.4191988,706,2.985193,5742,3.9428627,2041,6.6773162132948585,241,6.693596712217685,6.3917168102393545,6.980576901242523,0.3029045643153527
