arm,vs,readout,n,value,delta,lo,hi,halfwidth,cluster_mean,cluster_mean_vs
cls_late op-lebowski temporal,ridge ego,"(iii) RFS, rater frames",478,6.708781779058491,-0.39555903277271276,-0.6212785555403113,-0.18903261653641784,0.21612296950194673,6.698478581221588,7.101140857175357
cls_late qwenvid L18_last,ridge ego,"(i) pre-onset, deciles 1-9",1265,2.944767713546753,1.0668529272079468,0.8721908002185601,1.2691258205650082,0.19846751017322406,,
cls_late qwenvid L18_last,ridge ego,"(ii) all frames, deciles 1-9",17695,2.988252639770508,1.4136593341827393,1.2806642127621612,1.5636413213813587,0.14148855430959872,,
cls_late qwenvid L18_last,ridge ego,"side: straight, deciles 1-9",10645,2.884946346282959,1.4411739110946655,1.2644214412213233,1.6198280948422528,0.17770332681046475,,
cls_late qwenvid L18_last,ridge ego,"(iii) RFS, rater frames",478,6.750140757090276,-0.35420005474092775,-0.5809384588941963,-0.1628278229852048,0.20905531795449572,6.736924980061708,7.101140857175357
cls_late qwenvid L18_mean,ridge ego,"(i) pre-onset, deciles 1-9",1265,2.8918066024780273,1.0138916969299316,0.828956493746147,1.1990599687236891,0.18505173748877107,,
cls_late qwenvid L18_mean,ridge ego,"(ii) all frames, deciles 1-9",17695,2.9706051349639893,1.3960124254226685,1.2590133712333222,1.5530056140839585,0.14699612142531815,,
cls_late qwenvid L18_mean,ridge ego,"side: straight, deciles 1-9",10645,2.8678934574127197,1.4241211414337158,1.2330675978553705,1.612469958601891,0.18970118037326023,,
cls_late qwenvid L18_mean,ridge ego,"(iii) RFS, rater frames",478,6.768194069693819,-0.33614674213738477,-0.5489871880013951,-0.13298590220783782,0.20800064289677866,6.711391165297728,7.101140857175357
cls_late vjepa2 mean,ridge ego,"(i) pre-onset, deciles 1-9",1265,2.938769817352295,1.0608551502227783,0.8708491085528908,1.258349313442886,0.19375010244499763,,
cls_late vjepa2 mean,ridge ego,"(ii) all frames, deciles 1-9",17695,2.989729881286621,1.415136694908142,1.2791126829748265,1.575964834323535,0.14842607567435429,,
cls_late vjepa2 mean,ridge ego,"side: straight, deciles 1-9",10645,2.894469738006592,1.4506975412368774,1.2630842626691092,1.6384653219541094,0.1876905296425001,,
cls_late vjepa2 mean,ridge ego,"(iii) RFS, rater frames",478,6.746042303729828,-0.358298508101374,-0.5873659769953241,-0.1515398395445894,0.21791306872536736,6.741455027605561,7.101140857175357
cls_late concat op-cinque temporal + qwenvid L18_last,ridge ego,"(i) pre-onset, deciles 1-9",1265,2.895948648452759,1.018033742904663,0.8363461838440842,1.2006673268690677,0.18216057151249176,,
cls_late concat op-cinque temporal + qwenvid L18_last,ridge ego,"(ii) all frames, deciles 1-9",17695,2.972728729248047,1.398135781288147,1.2652236081411476,1.5486427033098609,0.1417095475843566,,
cls_late concat op-cinque temporal + qwenvid L18_last,ridge ego,"side: straight, deciles 1-9",10645,2.861438512802124,1.417665958404541,1.2467651213682929,1.5989073132622065,0.1760710959469568,,
cls_late concat op-cinque temporal + qwenvid L18_last,ridge ego,"(iii) RFS, rater frames",478,6.764447240878496,-0.3398935709527061,-0.5682874637914035,-0.1330655556298613,0.21761095408077108,6.777280240479366,7.101140857175357
cls_late late op-cinque temporal + qwenvid L18_last,ridge ego,"(i) pre-onset, deciles 1-9",1265,2.765993356704712,0.8880786895751953,0.7043357509395327,1.0648936118076577,0.1802789304340625,,
cls_late late op-cinque temporal + qwenvid L18_last,ridge ego,"(ii) all frames, deciles 1-9",17695,2.8827688694000244,1.3081755638122559,1.1684914202869439,1.4753687696609517,0.1534386746870039,,
cls_late late op-cinque temporal + qwenvid L18_last,ridge ego,"side: straight, deciles 1-9",10645,2.8337180614471436,1.3899457454681396,1.1856880328348782,1.5977300628212163,0.20602101499316905,,
cls_late late op-cinque temporal + qwenvid L18_last,ridge ego,"(iii) RFS, rater frames",478,6.674487317993517,-0.4298534938376864,-0.6583315319112341,-0.2158154941498573,0.22125801888068838,6.701882047827683,7.101140857175357
cls_late concat op-lebowski temporal + qwenvid L18_last,ridge ego,"(i) pre-onset, deciles 1-9",1265,2.906064033508301,1.0281493663787842,0.846626315953996,1.2040203575246744,0.17869702078533922,,
cls_late concat op-lebowski temporal + qwenvid L18_last,ridge ego,"(ii) all frames, deciles 1-9",17695,2.974491834640503,1.3998985290527344,1.264909890913543,1.5495230272703753,0.14230656817841614,,
cls_late concat op-lebowski temporal + qwenvid L18_last,ridge ego,"side: straight, deciles 1-9",10645,2.8646161556243896,1.4208437204360962,1.2455001020209642,1.6024522188804722,0.178476058429754,,
cls_late concat op-lebowski temporal + qwenvid L18_last,ridge ego,"(iii) RFS, rater frames",478,6.744774896515994,-0.35956591531520826,-0.5863103572736917,-0.16200556629267684,0.21215239549050746,6.752037752421958,7.101140857175357
cls_late late op-lebowski temporal + qwenvid L18_last,ridge ego,"(i) pre-onset, deciles 1-9",1265,2.865952253341675,0.9880374670028687,0.7992022544847502,1.1743768594154587,0.1875873024653542,,
cls_late late op-lebowski temporal + qwenvid L18_last,ridge ego,"(ii) all frames, deciles 1-9",17695,2.941725015640259,1.3671315908432007,1.2375107702733128,1.5187224908451336,0.14060586028591038,,
cls_late late op-lebowski temporal + qwenvid L18_last,ridge ego,"side: straight, deciles 1-9",10645,2.835136890411377,1.391364574432373,1.2127270178439273,1.5693385768970634,0.178305779526568,,
cls_late late op-lebowski temporal + qwenvid L18_last,ridge ego,"(iii) RFS, rater frames",478,6.713129257617794,-0.3912115542134097,-0.6209725649332724,-0.18354514858848406,0.21871370817239416,6.701353000346769,7.101140857175357
native op-small (no fit),ridge ego,"(i) pre-onset, deciles 1-9",1265,3.149299383163452,1.271384596824646,0.9127395450412357,1.6051137289354178,0.3461870919470911,,
native op-small (no fit),ridge ego,"(ii) all frames, deciles 1-9",17695,2.459292411804199,0.8846991658210754,0.7749155908688524,0.9973928302683154,0.11123861969973148,,
native op-small (no fit),ridge ego,"side: straight, deciles 1-9",10645,2.425485134124756,0.9817129373550415,0.8347219739109297,1.1384110778572332,0.15184455197315172,,
native op-small (no fit),ridge ego,"(iii) RFS, rater frames",478,7.6948085275742715,0.5904677157430682,0.35273746115534993,0.8187058123008705,0.23298417557276027,7.6284320809397075,7.101140857175357
native op-cinque (no fit),ridge ego,"(i) pre-onset, deciles 1-9",1265,2.489741563796997,0.6118267774581909,0.36250829915425237,0.8778545683801091,0.2576731346129284,,
native op-cinque (no fit),ridge ego,"(ii) all frames, deciles 1-9",17695,1.986434817314148,0.4118416905403137,0.31223458952425204,0.5224373770110887,0.10510139374341834,,
native op-cinque (no fit),ridge ego,"side: straight, deciles 1-9",10645,2.061300039291382,0.6175278425216675,0.4822404192949112,0.7643445092040798,0.14105204495458432,,
native op-cinque (no fit),ridge ego,"(iii) RFS, rater frames",478,7.936899100465832,0.8325582886346287,0.6072328795916263,1.034737270857658,0.2137521956330159,7.994670300190397,7.101140857175357
native op-lebowski (no fit),ridge ego,"(i) pre-onset, deciles 1-9",1265,2.7702884674072266,0.8923737406730652,0.5748295386338658,1.2216316322389145,0.32340104680252435,,
native op-lebowski (no fit),ridge ego,"(ii) all frames, deciles 1-9",17695,2.388371706008911,0.8137787580490112,0.6930097246812257,0.9475203072828492,0.12725529130081176,,
native op-lebowski (no fit),ridge ego,"side: straight, deciles 1-9",10645,2.61373233795166,1.1699599027633667,0.9919931468697153,1.3486032186780301,0.17830503590415742,,
native op-lebowski (no fit),ridge ego,"(iii) RFS, rater frames",478,7.812645282645684,0.7083044708144797,0.48233114703253904,0.9165080537854067,0.21708845337643382,7.902799111008347,7.101140857175357
