direction,arm,judge,scope,subset,n,value,delta,lo,hi,halfwidth,meets_threshold
0,cls_late concat op-lebowski temporal + qwenvid L18_last,ADE vs log,s_ego deciles 1-9,pre_onset,625,2.872990608215332,0.9796082973480225,0.7448138498829143,1.217944895845866,0.23656552298147587,False
0,cls_late late op-lebowski temporal + qwenvid L18_last,ADE vs log,s_ego deciles 1-9,pre_onset,625,2.8102188110351562,0.9168364405632019,0.6676731776404982,1.1606989546784845,0.24651288851899317,False
1,ridge_late op-cinque temporal,ADE vs log,s_ego deciles 1-9,pre_onset,640,1.634601354598999,-0.2282080352306366,-0.38817905859239876,-0.08127596603130587,0.15345154628054644,True
1,ridge_late op-lebowski temporal,ADE vs log,s_ego deciles 1-9,pre_onset,640,1.699080228805542,-0.16372935473918915,-0.34636410992810934,0.011916852561243692,0.17914048124467652,False
1,ridge_late qwenvid L18_last,ADE vs log,s_ego deciles 1-9,pre_onset,640,1.8173961639404297,-0.0454132966697216,-0.075363848354627,-0.01598831466503175,0.02968776684479763,False
1,ridge_late qwenvid L18_mean,ADE vs log,s_ego deciles 1-9,pre_onset,640,1.7806568145751953,-0.08215276896953583,-0.1438505995129984,-0.016330302373906314,0.06376014856954604,True
1,ridge_late vjepa2 mean,ADE vs log,s_ego deciles 1-9,pre_onset,640,1.7614028453826904,-0.10140663385391235,-0.17792594581899515,-0.01446166838883993,0.08173213871507762,True
1,ridge_late concat op-cinque temporal + qwenvid L18_last,ADE vs log,s_ego deciles 1-9,pre_onset,640,1.67925226688385,-0.18355713784694672,-0.3331496493906048,-0.0406689778583565,0.14624033576612416,True
1,ridge_late late op-cinque temporal + qwenvid L18_last,ADE vs log,s_ego deciles 1-9,pre_onset,640,1.6134674549102783,-0.24934199452400208,-0.3371018033248174,-0.16334438443134772,0.08687870944673483,True
1,ridge_late concat op-lebowski temporal + qwenvid L18_last,ADE vs log,s_ego deciles 1-9,pre_onset,640,1.724575400352478,-0.1382342129945755,-0.31542973553632797,0.02163823385140922,0.1685339846938686,False
1,ridge_late late op-lebowski temporal + qwenvid L18_last,ADE vs log,s_ego deciles 1-9,pre_onset,640,1.6356292963027954,-0.22718004882335663,-0.32480206693254027,-0.1278303861029264,0.09848584041480693,True
1,cls ego K1024,ADE vs log,s_ego deciles 1-9,pre_onset,640,3.220207929611206,1.3573986291885376,1.055962965220806,1.7036562265624444,0.3238466306708192,False
1,cls_late op-cinque temporal,ADE vs log,s_ego deciles 1-9,pre_onset,640,2.9382500648498535,1.0754404067993164,0.7890926824771446,1.3791888480283185,0.295048082775587,False
1,cls_late op-lebowski temporal,ADE vs log,s_ego deciles 1-9,pre_onset,640,2.844083309173584,0.9812739491462708,0.7170441091278542,1.2613491380749178,0.2721525144735318,False
1,cls_late qwenvid L18_last,ADE vs log,s_ego deciles 1-9,pre_onset,640,3.0350279808044434,1.1722185611724854,0.9021083470617838,1.4653650489423258,0.281628350940271,False
1,cls_late qwenvid L18_mean,ADE vs log,s_ego deciles 1-9,pre_onset,640,2.9140827655792236,1.0512731075286865,0.7908234234227852,1.3241050577510165,0.26664081716411564,False
1,cls_late vjepa2 mean,ADE vs log,s_ego deciles 1-9,pre_onset,640,2.981053590774536,1.1182440519332886,0.8434975621766778,1.393859636244683,0.27518103703400254,False
1,cls_late concat op-cinque temporal + qwenvid L18_last,ADE vs log,s_ego deciles 1-9,pre_onset,640,2.939103603363037,1.0762943029403687,0.8245552371420617,1.348795371579726,0.2621200672188322,False
1,cls_late late op-cinque temporal + qwenvid L18_last,ADE vs log,s_ego deciles 1-9,pre_onset,640,2.8674159049987793,1.0046063661575317,0.7482820305394706,1.2664113050593,0.2590646372599147,False
1,cls_late concat op-lebowski temporal + qwenvid L18_last,ADE vs log,s_ego deciles 1-9,pre_onset,640,2.9383621215820312,1.0755527019500732,0.8264529784597486,1.3462740568917193,0.25991053921598534,False
1,cls_late late op-lebowski temporal + qwenvid L18_last,ADE vs log,s_ego deciles 1-9,pre_onset,640,2.920379161834717,1.0575697422027588,0.799276781207062,1.327036720984138,0.263879969888538,False
