direction,arm,scope,decile,n,s_ego_lo,s_ego_hi,ade_base,ade_arm,dade,rel_gain,rel_lo,rel_hi
0,cls_late concat op-cinque temporal + qwenvid L18_last,all,7,1966,1.8437312841415405,2.27655029296875,2.0699253,2.2352278,0.16530235,7.985908982323677,-0.5262869150418872,18.208704699165636
0,cls_late concat op-cinque temporal + qwenvid L18_last,all,8,1966,2.2767903804779053,2.8994383811950684,2.5158052,2.412948,-0.10285758,-4.088455674308656,-11.413964584790206,3.9127632239013743
0,cls_late concat op-cinque temporal + qwenvid L18_last,all,9,1966,2.900057792663574,3.956085681915283,3.2939606,2.9233582,-0.3706022,-11.250960127598171,-20.737433782787594,-0.40038763717476716
0,cls_late concat op-cinque temporal + qwenvid L18_last,all,10,1967,3.9569308757781982,27.384384155273438,5.9273562,4.737863,-1.1894928,-20.067847669378235,-27.140210835635507,-10.3784549666901
0,cls_late late op-cinque temporal + qwenvid L18_last,all,1,1967,0.04545023292303085,0.45023003220558167,0.34370574,1.0862632,0.7425574,216.044514925234,198.39939954461175,234.74028690061294
0,cls_late late op-cinque temporal + qwenvid L18_last,all,2,1966,0.4503706097602844,0.6887710690498352,0.60493416,1.2106379,0.6057037,100.12721311255734,89.25380627725409,112.21619978131386
0,cls_late late op-cinque temporal + qwenvid L18_last,all,3,1966,0.6887714862823486,0.9296975135803223,0.8456208,1.426914,0.58129317,68.74158702483365,59.17638958475685,80.12475900626144
0,cls_late late op-cinque temporal + qwenvid L18_last,all,4,1966,0.9297046661376953,1.2057932615280151,1.0999398,1.5916584,0.49171853,44.70413019927248,34.76711570130121,57.45180998303027
0,cls_late late op-cinque temporal + qwenvid L18_last,all,5,1966,1.2059223651885986,1.4987386465072632,1.3963624,1.7641058,0.3677434,26.33581342680695,17.127233266833347,38.0153446545271
0,cls_late late op-cinque temporal + qwenvid L18_last,all,6,1967,1.4989811182022095,1.8430579900741577,1.7399417,1.836572,0.096630275,5.553650122306662,-2.1681303577365036,14.14843077877208
0,cls_late late op-cinque temporal + qwenvid L18_last,all,7,1966,1.8437312841415405,2.27655029296875,2.0699253,2.023435,-0.046490405,-2.2459943153546185,-8.298588943115108,4.013952425335616
0,cls_late late op-cinque temporal + qwenvid L18_last,all,8,1966,2.2767903804779053,2.8994383811950684,2.5158052,2.1713529,-0.34445232,-13.691533646725775,-18.336847490893646,-8.707212504778264
0,cls_late late op-cinque temporal + qwenvid L18_last,all,9,1966,2.900057792663574,3.956085681915283,3.2939606,2.6840134,-0.60994685,-18.517126533887982,-24.630802341357757,-11.420029295168158
0,cls_late late op-cinque temporal + qwenvid L18_last,all,10,1967,3.9569308757781982,27.384384155273438,5.9273562,4.709012,-1.2183443,-20.554599400011277,-27.516738806497372,-10.936284726606374
0,cls_late concat op-lebowski temporal + qwenvid L18_last,all,1,1967,0.04545023292303085,0.45023003220558167,0.34370574,1.2222427,0.8785369,255.60727351805724,234.64190328379445,278.3092638823851
0,cls_late concat op-lebowski temporal + qwenvid L18_last,all,2,1966,0.4503706097602844,0.6887710690498352,0.60493416,1.4068657,0.8019315,132.56508870579896,111.76813305896565,157.83628176015839
0,cls_late concat op-lebowski temporal + qwenvid L18_last,all,3,1966,0.6887714862823486,0.9296975135803223,0.8456208,1.510926,0.6653053,78.67655429066403,68.92608885141412,89.18067001221898
0,cls_late concat op-lebowski temporal + qwenvid L18_last,all,4,1966,0.9297046661376953,1.2057932615280151,1.0999398,1.7382402,0.63830036,58.03048001487814,45.33101545233189,74.61590702100972
0,cls_late concat op-lebowski temporal + qwenvid L18_last,all,5,1966,1.2059223651885986,1.4987386465072632,1.3963624,1.9048527,0.5084903,36.4153543033159,25.86775330069248,48.34312174114594
0,cls_late concat op-lebowski temporal + qwenvid L18_last,all,6,1967,1.4989811182022095,1.8430579900741577,1.7399417,2.0099068,0.26996508,15.515754343628451,4.994857692314191,27.227086495583766
0,cls_late concat op-lebowski temporal + qwenvid L18_last,all,7,1966,1.8437312841415405,2.27655029296875,2.0699253,2.2262535,0.15632822,7.5523602505719944,-1.383577184908075,18.92813255459886
0,cls_late concat op-lebowski temporal + qwenvid L18_last,all,8,1966,2.2767903804779053,2.8994383811950684,2.5158052,2.3575933,-0.15821207,-6.288724695443123,-12.690991169799524,0.5717027956709461
0,cls_late concat op-lebowski temporal + qwenvid L18_last,all,9,1966,2.900057792663574,3.956085681915283,3.2939606,2.8374174,-0.45654315,-13.860006447656724,-21.67332565469658,-4.905813919693685
0,cls_late concat op-lebowski temporal + qwenvid L18_last,all,10,1967,3.9569308757781982,27.384384155273438,5.9273562,4.6566052,-1.2707505,-21.4387404854501,-28.054350521633822,-12.905905367536983
0,cls_late late op-lebowski temporal + qwenvid L18_last,all,1,1967,0.04545023292303085,0.45023003220558167,0.34370574,1.1001295,0.7564236,220.078833932737,204.1713588835308,237.78495004152236
0,cls_late late op-lebowski temporal + qwenvid L18_last,all,2,1966,0.4503706097602844,0.6887710690498352,0.60493416,1.2508321,0.645898,106.77161773085346,94.91125394610191,120.10280287605265
0,cls_late late op-lebowski temporal + qwenvid L18_last,all,3,1966,0.6887714862823486,0.9296975135803223,0.8456208,1.4389209,0.5933002,70.16149740437888,60.423265266973104,81.15215073032272
0,cls_late late op-lebowski temporal + qwenvid L18_last,all,4,1966,0.9297046661376953,1.2057932615280151,1.0999398,1.6428317,0.54289186,49.35650556347679,37.329250855959536,64.9193680846944
0,cls_late late op-lebowski temporal + qwenvid L18_last,all,5,1966,1.2059223651885986,1.4987386465072632,1.3963624,1.8197603,0.42339793,30.321492560274493,19.14896431368824,43.944416652818184
0,cls_late late op-lebowski temporal + qwenvid L18_last,all,6,1967,1.4989811182022095,1.8430579900741577,1.7399417,1.8550428,0.115101136,6.615229418083655,-2.339609136554114,16.65600201617564
0,cls_late late op-lebowski temporal + qwenvid L18_last,all,7,1966,1.8437312841415405,2.27655029296875,2.0699253,2.060935,-0.0089904675,-0.43433777490826886,-6.967186180087411,7.47648648165613
0,cls_late late op-lebowski temporal + qwenvid L18_last,all,8,1966,2.2767903804779053,2.8994383811950684,2.5158052,2.2449048,-0.27090055,-10.76794589336747,-16.134767197334078,-5.720603055298338
0,cls_late late op-lebowski temporal + qwenvid L18_last,all,9,1966,2.900057792663574,3.956085681915283,3.2939606,2.7139323,-0.58002806,-17.608834245134872,-24.05828965844685,-10.003115528376137
0,cls_late late op-lebowski temporal + qwenvid L18_last,all,10,1967,3.9569308757781982,27.384384155273438,5.9273562,4.756776,-1.1705801,-19.748773326269028,-27.323417819121662,-9.904204085961736
0,ridge_late op-cinque temporal,straight_yaw,1,1559,0.04545023292303085,0.45023003220558167,0.33443937,0.583057,0.24861757,74.3386093452967,64.92582198625469,83.8846396016151
0,ridge_late op-cinque temporal,straight_yaw,2,1393,0.4504925608634949,0.6887710690498352,0.5991028,0.65914166,0.060038865,10.021462944459694,5.020165014102692,15.437300523691436
0,ridge_late op-cinque temporal,straight_yaw,3,1339,0.6887714862823486,0.9295156598091125,0.8403878,0.7449485,-0.0954393,-11.35657818137664,-16.01946853074794,-6.381815595416152
0,ridge_late op-cinque temporal,straight_yaw,4,1283,0.9298341870307922,1.2057932615280151,1.0985049,0.7897523,-0.3087526,-28.106619835404015,-32.1203826616909,-24.125524693145508
0,ridge_late op-cinque temporal,straight_yaw,5,1150,1.2059979438781738,1.4987386465072632,1.3899498,0.91938776,-0.470562,-33.8546047837757,-36.97763991132768,-30.254633714797865
0,ridge_late op-cinque temporal,straight_yaw,6,1057,1.4989811182022095,1.8430579900741577,1.7040838,1.0331159,-0.67096794,-39.374116248945164,-42.83413580769398,-35.8334148222889
0,ridge_late op-cinque temporal,straight_yaw,7,1014,1.8437312841415405,2.276517629623413,2.094767,1.1897832,-0.90498376,-43.20211834843486,-46.80091985690221,-39.23268416357271
0,ridge_late op-cinque temporal,straight_yaw,8,968,2.2767903804779053,2.8988404273986816,2.6049562,1.4207637,-1.1841925,-45.45921198084053,-49.654104907875265,-41.5308211297047
0,ridge_late op-cinque temporal,straight_yaw,9,895,2.9002561569213867,3.9494285583496094,3.4230225,1.7816681,-1.6413546,-47.95044603762141,-52.356716751092364,-43.50702021816094
0,ridge_late op-cinque temporal,straight_yaw,10,939,3.9630119800567627,27.20889663696289,6.193895,4.3254733,-1.8684212,-30.16552973896918,-33.87059377135539,-27.11469548363171
0,ridge_late op-lebowski temporal,straight_yaw,1,1559,0.04545023292303085,0.45023003220558167,0.33443937,0.5953424,0.26090303,78.01205729178501,69.08193248746541,86.86859173509757
0,ridge_late op-lebowski temporal,straight_yaw,2,1393,0.4504925608634949,0.6887710690498352,0.5991028,0.67846286,0.07936007,13.246485993769747,8.112338625332763,19.151822774893
0,ridge_late op-lebowski temporal,straight_yaw,3,1339,0.6887714862823486,0.9295156598091125,0.8403878,0.7413595,-0.09902842,-11.783657607915476,-16.50776386518089,-6.941099254099854
0,ridge_late op-lebowski temporal,straight_yaw,4,1283,0.9298341870307922,1.2057932615280151,1.0985049,0.82379144,-0.27471343,-25.007938207215314,-28.967293812982234,-20.828957006754507
0,ridge_late op-lebowski temporal,straight_yaw,5,1150,1.2059979438781738,1.4987386465072632,1.3899498,0.9214937,-0.4684559,-33.703081302642666,-37.24049090027655,-29.99095853997696
0,ridge_late op-lebowski temporal,straight_yaw,6,1057,1.4989811182022095,1.8430579900741577,1.7040838,1.0388424,-0.66524154,-39.038076610727565,-42.237463345927544,-35.7581602334312
0,ridge_late op-lebowski temporal,straight_yaw,7,1014,1.8437312841415405,2.276517629623413,2.094767,1.1674278,-0.92733926,-44.269325149184674,-47.795990953072774,-40.61018643979069
0,ridge_late op-lebowski temporal,straight_yaw,8,968,2.2767903804779053,2.8988404273986816,2.6049562,1.3894045,-1.2155516,-46.6630355653288,-51.087632553708595,-42.45117732205829
0,ridge_late op-lebowski temporal,straight_yaw,9,895,2.9002561569213867,3.9494285583496094,3.4230225,1.789814,-1.6332086,-47.71247131316788,-51.86744115287869,-43.45464887869687
0,ridge_late op-lebowski temporal,straight_yaw,10,939,3.9630119800567627,27.20889663696289,6.193895,4.481233,-1.7126613,-27.650796537121142,-31.291982383928215,-24.43415481274287
0,ridge_late qwenvid L18_last,straight_yaw,1,1559,0.04545023292303085,0.45023003220558167,0.33443937,0.6697247,0.33528534,100.25295129898859,90.42907383830239,110.58520045973977
0,ridge_late qwenvid L18_last,straight_yaw,2,1393,0.4504925608634949,0.6887710690498352,0.5991028,0.79069227,0.19158955,31.979411670775765,27.364042548505456,37.17529505432202
0,ridge_late qwenvid L18_last,straight_yaw,3,1339,0.6887714862823486,0.9295156598091125,0.8403878,0.92319745,0.0828096,9.8537359972447,6.044539568600843,14.055293663431076
0,ridge_late qwenvid L18_last,straight_yaw,4,1283,0.9298341870307922,1.2057932615280151,1.0985049,1.1140337,0.015528705,1.413621819793038,-2.0658477920389067,4.9982170095739
0,ridge_late qwenvid L18_last,straight_yaw,5,1150,1.2059979438781738,1.4987386465072632,1.3899498,1.3034829,-0.08646683,-6.220859673248401,-9.582736381558558,-2.623116351035428
0,ridge_late qwenvid L18_last,straight_yaw,6,1057,1.4989811182022095,1.8430579900741577,1.7040838,1.5327848,-0.17129889,-10.052257481361698,-13.250076678717502,-6.963966335929145
0,ridge_late qwenvid L18_last,straight_yaw,7,1014,1.8437312841415405,2.276517629623413,2.094767,1.8458486,-0.24891852,-11.882873240542722,-15.268929205523813,-8.601794988930802
0,ridge_late qwenvid L18_last,straight_yaw,8,968,2.2767903804779053,2.8988404273986816,2.6049562,2.2219305,-0.38302612,-14.703745513673924,-17.91154152022704,-11.549236653378111
0,ridge_late qwenvid L18_last,straight_yaw,9,895,2.9002561569213867,3.9494285583496094,3.4230225,2.9310486,-0.4919738,-14.3724964211329,-17.540300544283873,-11.088847228088195
0,ridge_late qwenvid L18_last,straight_yaw,10,939,3.9630119800567627,27.20889663696289,6.193895,5.779173,-0.41472173,-6.695653325341262,-8.17167121605806,-5.457196181723972
0,ridge_late qwenvid L18_mean,straight_yaw,1,1559,0.04545023292303085,0.45023003220558167,0.33443937,0.5801009,0.24566151,73.45472340168436,65.23105601215752,82.6063772841234
0,ridge_late qwenvid L18_mean,straight_yaw,2,1393,0.4504925608634949,0.6887710690498352,0.5991028,0.7258685,0.1267657,21.159256679524404,16.964276896659875,26.16112776740085
0,ridge_late qwenvid L18_mean,straight_yaw,3,1339,0.6887714862823486,0.9295156598091125,0.8403878,0.90482855,0.06444066,7.667966925893416,4.315316646741032,11.454677020570905
0,ridge_late qwenvid L18_mean,straight_yaw,4,1283,0.9298341870307922,1.2057932615280151,1.0985049,1.0627042,-0.035800736,-3.259042027679655,-6.762137465520889,0.2508749214659374
0,ridge_late qwenvid L18_mean,straight_yaw,5,1150,1.2059979438781738,1.4987386465072632,1.3899498,1.2564064,-0.13354328,-9.607777409178109,-13.168603745430271,-5.926247163543189
0,ridge_late qwenvid L18_mean,straight_yaw,6,1057,1.4989811182022095,1.8430579900741577,1.7040838,1.4880521,-0.21603176,-12.677296734896405,-16.007624941714862,-9.595067939104503
0,ridge_late qwenvid L18_mean,straight_yaw,7,1014,1.8437312841415405,2.276517629623413,2.094767,1.8002032,-0.29456395,-14.06189499538475,-17.703548854074896,-10.410840884062207
0,ridge_late qwenvid L18_mean,straight_yaw,8,968,2.2767903804779053,2.8988404273986816,2.6049562,2.156189,-0.44876733,-17.227442934627913,-20.735822725322837,-13.862476997654078
0,ridge_late qwenvid L18_mean,straight_yaw,9,895,2.9002561569213867,3.9494285583496094,3.4230225,2.8630922,-0.5599302,-16.35777164581638,-19.375415604570385,-13.028068673046691
0,ridge_late qwenvid L18_mean,straight_yaw,10,939,3.9630119800567627,27.20889663696289,6.193895,5.701145,-0.49274948,-7.955405980920493,-9.399423813992675,-6.659491142332383
0,ridge_late vjepa2 mean,straight_yaw,1,1559,0.04545023292303085,0.45023003220558167,0.33443937,0.62364036,0.28920096,86.47336111645036,78.16530078176035,96.07450810979505
0,ridge_late vjepa2 mean,straight_yaw,2,1393,0.4504925608634949,0.6887710690498352,0.5991028,0.7203878,0.12128507,20.244451277185973,15.736179213608368,25.0925239873181
0,ridge_late vjepa2 mean,straight_yaw,3,1339,0.6887714862823486,0.9295156598091125,0.8403878,0.87063324,0.030245388,3.598979800016568,-0.07115100884171763,7.52281627593605
0,ridge_late vjepa2 mean,straight_yaw,4,1283,0.9298341870307922,1.2057932615280151,1.0985049,1.0253123,-0.0731926,-6.662928528896648,-10.47039084414047,-2.858211650237301
0,ridge_late vjepa2 mean,straight_yaw,5,1150,1.2059979438781738,1.4987386465072632,1.3899498,1.1930693,-0.19688036,-14.164565920143701,-17.42253618211275,-10.634203618307314
0,ridge_late vjepa2 mean,straight_yaw,6,1057,1.4989811182022095,1.8430579900741577,1.7040838,1.4448028,-0.2592811,-15.215278661446247,-18.38321722565582,-12.19002840603912
0,ridge_late vjepa2 mean,straight_yaw,7,1014,1.8437312841415405,2.276517629623413,2.094767,1.7874551,-0.3073119,-14.670456369101615,-18.546476731057904,-11.057259784516116
0,ridge_late vjepa2 mean,straight_yaw,8,968,2.2767903804779053,2.8988404273986816,2.6049562,2.181613,-0.42334324,-16.25145364561415,-20.528203139011353,-12.294601922647821
0,ridge_late vjepa2 mean,straight_yaw,9,895,2.9002561569213867,3.9494285583496094,3.4230225,2.9575589,-0.46546355,-13.598027699975141,-16.323457804389093,-10.610750794630492
0,ridge_late vjepa2 mean,straight_yaw,10,939,3.9630119800567627,27.20889663696289,6.193895,5.762161,-0.43173364,-6.9703094351539345,-8.134873800917116,-5.8451757001686175
0,ridge_late concat op-cinque temporal + qwenvid L18_last,straight_yaw,1,1559,0.04545023292303085,0.45023003220558167,0.33443937,0.59146255,0.25702313,76.85193526991765,67.57338543205077,85.9185790342271
0,ridge_late concat op-cinque temporal + qwenvid L18_last,straight_yaw,2,1393,0.4504925608634949,0.6887710690498352,0.5991028,0.66864145,0.06953865,11.60713210868629,6.5419908912996485,17.01454141910926
0,ridge_late concat op-cinque temporal + qwenvid L18_last,straight_yaw,3,1339,0.6887714862823486,0.9295156598091125,0.8403878,0.7566898,-0.083698064,-9.959457048003854,-14.81566379220446,-5.041597740188057
0,ridge_late concat op-cinque temporal + qwenvid L18_last,straight_yaw,4,1283,0.9298341870307922,1.2057932615280151,1.0985049,0.8067826,-0.29172233,-26.55630641458147,-30.573765969884114,-22.691956653377247
0,ridge_late concat op-cinque temporal + qwenvid L18_last,straight_yaw,5,1150,1.2059979438781738,1.4987386465072632,1.3899498,0.9217899,-0.4681599,-33.68178580936254,-36.88634742847241,-29.950206550772986
