clip,config,sample,ade64,ade40,fde40
34276d2d-ada4-43ee-b026-837f5c9cab07,2hz+rt+ego2hz,3,9.198454,3.8938034,11.510533
34276d2d-ada4-43ee-b026-837f5c9cab07,2hz+rt+ego2hz,4,9.169237,4.5248027,12.309889
34276d2d-ada4-43ee-b026-837f5c9cab07,2hz+rt+ego2hz,5,6.585074,2.838424,7.9876885
c5373751-f794-441f-a2bf-1347bc503327,native,0,0.42320654,0.061576374,0.26864845
c5373751-f794-441f-a2bf-1347bc503327,native,1,1.7984638,0.70490533,1.8418752
c5373751-f794-441f-a2bf-1347bc503327,native,2,2.2502642,0.69235754,2.4088929
c5373751-f794-441f-a2bf-1347bc503327,native,3,0.87288845,0.21665125,0.94433874
c5373751-f794-441f-a2bf-1347bc503327,native,4,2.0074563,0.70267475,2.2833312
c5373751-f794-441f-a2bf-1347bc503327,native,5,1.5731783,0.65954715,1.9265556
c5373751-f794-441f-a2bf-1347bc503327,native+ego2hz,0,0.3052971,0.10547254,0.06174343
c5373751-f794-441f-a2bf-1347bc503327,native+ego2hz,1,2.033188,0.838954,2.1305432
c5373751-f794-441f-a2bf-1347bc503327,native+ego2hz,2,2.6319659,0.86398375,2.836239
c5373751-f794-441f-a2bf-1347bc503327,native+ego2hz,3,1.1068552,0.34381378,1.2553732
c5373751-f794-441f-a2bf-1347bc503327,native+ego2hz,4,2.2449021,0.8446411,2.5843618
c5373751-f794-441f-a2bf-1347bc503327,native+ego2hz,5,1.8154109,0.7972929,2.2217872
c5373751-f794-441f-a2bf-1347bc503327,repeat,0,2.8492224,1.2526505,3.46674
c5373751-f794-441f-a2bf-1347bc503327,repeat,1,2.2098825,1.0000061,2.678928
c5373751-f794-441f-a2bf-1347bc503327,repeat,2,0.5025444,0.12554823,0.22948062
c5373751-f794-441f-a2bf-1347bc503327,repeat,3,2.4151423,1.1322825,3.1755478
c5373751-f794-441f-a2bf-1347bc503327,repeat,4,1.2954695,0.8984684,1.9122576
c5373751-f794-441f-a2bf-1347bc503327,repeat,5,1.5808717,0.49740428,1.1604278
c5373751-f794-441f-a2bf-1347bc503327,2hz,0,3.1379604,1.3637217,3.589368
c5373751-f794-441f-a2bf-1347bc503327,2hz,1,4.0679636,1.987183,5.5036626
c5373751-f794-441f-a2bf-1347bc503327,2hz,2,2.9325104,1.3076551,3.5672266
c5373751-f794-441f-a2bf-1347bc503327,2hz,3,1.3737127,0.8319956,1.8629593
c5373751-f794-441f-a2bf-1347bc503327,2hz,4,2.0647488,1.1192633,2.9625223
c5373751-f794-441f-a2bf-1347bc503327,2hz,5,2.94995,1.0999256,3.5020387
c5373751-f794-441f-a2bf-1347bc503327,native+rt,0,0.39147764,0.27837747,0.32015654
c5373751-f794-441f-a2bf-1347bc503327,native+rt,1,2.2195811,0.6675385,2.6290913
c5373751-f794-441f-a2bf-1347bc503327,native+rt,2,0.53570455,0.30376315,0.7869991
c5373751-f794-441f-a2bf-1347bc503327,native+rt,3,2.1376393,0.6189027,2.1407382
c5373751-f794-441f-a2bf-1347bc503327,native+rt,4,2.2262042,1.106744,2.8956213
c5373751-f794-441f-a2bf-1347bc503327,native+rt,5,1.2538424,0.39067754,0.906748
c5373751-f794-441f-a2bf-1347bc503327,repeat+rt+ego2hz,0,3.9823296,1.7413588,4.681212
c5373751-f794-441f-a2bf-1347bc503327,repeat+rt+ego2hz,1,2.2532542,0.97113645,2.6266458
c5373751-f794-441f-a2bf-1347bc503327,repeat+rt+ego2hz,2,1.0908412,0.28492984,0.9934047
c5373751-f794-441f-a2bf-1347bc503327,repeat+rt+ego2hz,3,3.1373057,1.5179842,4.202292
c5373751-f794-441f-a2bf-1347bc503327,repeat+rt+ego2hz,4,1.4019245,1.061732,2.253866
c5373751-f794-441f-a2bf-1347bc503327,repeat+rt+ego2hz,5,1.685251,0.4260549,0.9492781
c5373751-f794-441f-a2bf-1347bc503327,2hz+rt+ego2hz,0,2.2528763,1.2915013,2.8300366
c5373751-f794-441f-a2bf-1347bc503327,2hz+rt+ego2hz,1,0.62261176,0.6893857,0.7814659
c5373751-f794-441f-a2bf-1347bc503327,2hz+rt+ego2hz,2,1.6793089,1.0136296,2.212033
c5373751-f794-441f-a2bf-1347bc503327,2hz+rt+ego2hz,3,4.404787,1.7077293,4.9579387
c5373751-f794-441f-a2bf-1347bc503327,2hz+rt+ego2hz,4,4.7054777,2.3785603,6.0777593
c5373751-f794-441f-a2bf-1347bc503327,2hz+rt+ego2hz,5,2.9335642,1.3915638,3.3239276
084a635c-da6e-46ad-8318-b6429619b7a9,native,0,0.59832704,0.2901388,0.43024823
084a635c-da6e-46ad-8318-b6429619b7a9,native,1,0.99950194,0.32440656,0.75240284
084a635c-da6e-46ad-8318-b6429619b7a9,native,2,1.3290442,0.32890487,1.1640723
084a635c-da6e-46ad-8318-b6429619b7a9,native,3,0.41870064,0.25518385,0.42272976
084a635c-da6e-46ad-8318-b6429619b7a9,native,4,0.779821,0.63778055,1.1275349
084a635c-da6e-46ad-8318-b6429619b7a9,native,5,2.4993343,0.91574335,2.5676131
084a635c-da6e-46ad-8318-b6429619b7a9,native+ego2hz,0,0.797474,0.1850623,0.7548802
084a635c-da6e-46ad-8318-b6429619b7a9,native+ego2hz,1,0.66803735,0.16881414,0.48033422
084a635c-da6e-46ad-8318-b6429619b7a9,native+ego2hz,2,0.95825803,0.18534885,0.6891053
084a635c-da6e-46ad-8318-b6429619b7a9,native+ego2hz,3,0.5672057,0.09624578,0.3551353
084a635c-da6e-46ad-8318-b6429619b7a9,native+ego2hz,4,0.7434733,0.38510174,0.5641383
084a635c-da6e-46ad-8318-b6429619b7a9,native+ego2hz,5,2.02066,0.66555345,1.9523846
084a635c-da6e-46ad-8318-b6429619b7a9,repeat,0,4.916676,1.3863585,5.271926
084a635c-da6e-46ad-8318-b6429619b7a9,repeat,1,3.6768658,1.2590832,4.493444
084a635c-da6e-46ad-8318-b6429619b7a9,repeat,2,3.280294,1.2446449,4.0946865
084a635c-da6e-46ad-8318-b6429619b7a9,repeat,3,4.713491,1.3110552,4.7708797
084a635c-da6e-46ad-8318-b6429619b7a9,repeat,4,3.861594,0.76522714,3.4747224
084a635c-da6e-46ad-8318-b6429619b7a9,repeat,5,1.9108748,0.6761134,2.5244374
084a635c-da6e-46ad-8318-b6429619b7a9,2hz,0,3.2799966,1.537455,4.144494
084a635c-da6e-46ad-8318-b6429619b7a9,2hz,1,3.913187,1.7745278,4.790533
084a635c-da6e-46ad-8318-b6429619b7a9,2hz,2,2.5649905,0.68946093,2.8501549
084a635c-da6e-46ad-8318-b6429619b7a9,2hz,3,0.89458394,0.7692609,1.4190948
084a635c-da6e-46ad-8318-b6429619b7a9,2hz,4,1.2539492,0.93874913,2.0184903
084a635c-da6e-46ad-8318-b6429619b7a9,2hz,5,0.96519613,0.36013535,1.3311172
084a635c-da6e-46ad-8318-b6429619b7a9,native+rt,0,1.113452,0.21878977,0.9992844
084a635c-da6e-46ad-8318-b6429619b7a9,native+rt,1,0.65266937,0.2266525,0.78362215
084a635c-da6e-46ad-8318-b6429619b7a9,native+rt,2,0.53972954,0.19281785,0.49762583
084a635c-da6e-46ad-8318-b6429619b7a9,native+rt,3,1.0878322,0.18741336,0.9385879
084a635c-da6e-46ad-8318-b6429619b7a9,native+rt,4,0.98297596,0.3779499,0.53731865
084a635c-da6e-46ad-8318-b6429619b7a9,native+rt,5,1.7592528,0.66700315,1.6537234
084a635c-da6e-46ad-8318-b6429619b7a9,repeat+rt+ego2hz,0,3.500249,1.0469831,3.8051505
084a635c-da6e-46ad-8318-b6429619b7a9,repeat+rt+ego2hz,1,9.18406,3.3042018,10.532907
084a635c-da6e-46ad-8318-b6429619b7a9,repeat+rt+ego2hz,2,4.593742,1.0853767,4.5220556
084a635c-da6e-46ad-8318-b6429619b7a9,repeat+rt+ego2hz,3,1.254267,0.5653724,0.8768859
084a635c-da6e-46ad-8318-b6429619b7a9,repeat+rt+ego2hz,4,2.1834016,0.5481097,2.2521796
084a635c-da6e-46ad-8318-b6429619b7a9,repeat+rt+ego2hz,5,2.519493,0.8074293,2.8014162
084a635c-da6e-46ad-8318-b6429619b7a9,2hz+rt+ego2hz,0,4.0281177,1.8302171,5.0097604
084a635c-da6e-46ad-8318-b6429619b7a9,2hz+rt+ego2hz,1,4.7872868,2.1576388,5.9013023
084a635c-da6e-46ad-8318-b6429619b7a9,2hz+rt+ego2hz,2,1.1367402,0.34356928,1.0517397
084a635c-da6e-46ad-8318-b6429619b7a9,2hz+rt+ego2hz,3,1.977272,1.1868696,2.6883183
084a635c-da6e-46ad-8318-b6429619b7a9,2hz+rt+ego2hz,4,2.2111137,1.2748687,3.0208695
084a635c-da6e-46ad-8318-b6429619b7a9,2hz+rt+ego2hz,5,0.67508,0.48831743,0.65654355
d6749f9c-512f-486e-a4e3-668b7d816dbd,native,0,0.39914486,0.21642108,0.5239368
d6749f9c-512f-486e-a4e3-668b7d816dbd,native,1,2.7449207,1.2113264,3.5982676
d6749f9c-512f-486e-a4e3-668b7d816dbd,native,2,0.49034235,0.16881093,0.58574605
d6749f9c-512f-486e-a4e3-668b7d816dbd,native,3,0.80944824,0.6246718,1.1651332
