rid,ticks,need_k,max_pos_m,max_yaw_deg,max_dv_mps,first_div_k,cam_grid_same
1486221,321,321,0.000244140625,7.62939453125e-05,0.00025486187794199867,,True
1486222,321,321,0.0,0.0,0.0,,True
1486230,321,321,0.0,0.0,0.0,,True
1490910,625,625,0.0,0.0,0.0,,True
1490911,625,625,0.0,0.0,0.0,,True
1490912,625,625,0.0,0.0,0.0,,True
1490920,625,625,0.0,0.0,0.0,,True
1490921,625,625,0.0,0.0,0.0,,True
1490922,625,625,0.0,0.0,0.0,,True
1490930,625,625,0.0,0.0,0.0,,True
1495510,441,441,0.0,0.0,0.0,,True
1495530,441,441,0.0,0.0,0.0,,True
1548310,741,741,0.0,0.0,0.0,,True
1548330,741,741,0.0,0.0,0.0,,True
1561210,437,437,0.0,0.0,0.0,,True
1561230,437,437,0.0,0.0,0.0,,True
1639010,161,161,0.0,0.0,0.0,,True
1639030,161,161,0.009829502997654978,0.06158924102783203,0.11280271710887282,,True
171110,161,161,0.0,0.0,0.0,,True
171111,161,161,0.0,0.0,0.0,,True
171112,161,161,0.0,0.0,0.0,,True
171120,161,161,0.0,0.0,0.0,,True
171121,161,161,0.0,0.0,0.0,,True
171122,161,161,0.0,0.0,0.0,,True
171130,161,161,0.0,0.0,0.0,,True
1774910,129,129,0.0,0.0,0.0,,True
1774911,129,129,0.0,0.0,0.0,,True
1774912,129,129,0.0,0.0,0.0,,True
1774920,129,129,0.0,0.0,0.0,,True
1774921,129,129,0.0,0.0,0.0,,True
1774922,129,129,0.0,0.0,0.0,,True
1774930,129,129,0.0,0.0,0.0,,True
1775210,165,165,0.0,0.0,0.0,,True
1775211,165,165,0.0,0.0,0.0,,True
1775212,165,165,0.0,0.0,0.0,,True
1775220,165,165,0.0,0.0,0.0,,True
1775221,165,165,0.0,0.0,0.0,,True
1775222,165,165,0.0,0.0,0.0,,True
1775230,165,165,0.0,0.0,0.0,,True
1785310,181,181,0.0,0.0,0.0,,True
1785311,185,185,0.0,0.0,0.0,,True
1785312,181,181,0.0,0.0,0.0,,True
1785320,181,181,0.0,0.0,0.0,,True
1785321,185,185,0.0,0.0,0.0,,True
1785322,181,181,0.0,0.0,0.0,,True
1785330,181,181,0.0,0.0,0.0,,True
1789210,141,141,0.0,0.0,0.0,,True
1789211,141,141,0.0,0.0,0.0,,True
1789212,141,141,0.0,0.0,0.0,,True
1789220,141,141,0.0,0.0,0.0,,True
1789221,141,141,0.0,0.0,0.0,,True
1789222,141,141,0.0,0.0,0.0,,True
1789230,141,141,0.0,0.0,0.0,,True
1792110,157,157,0.0,0.0,0.0,,True
1792111,157,157,0.0,0.0,0.0,,True
1792112,157,157,0.0,0.0,0.0,,True
1792120,157,157,0.0,0.0,0.0,,True
1792121,157,157,0.0,0.0,0.0,,True
1792122,157,157,0.0,0.0,0.0,,True
1792130,157,157,0.0,0.0,0.0,,True
1796510,145,145,0.0,0.0,0.0,,True
1796511,145,145,0.0,0.0,0.0,,True
1796512,145,145,0.0,0.0,0.0,,True
1796520,145,145,0.0,0.0,0.0,,True
1796521,145,145,0.0,0.0,0.0,,True
1796522,145,145,0.0,0.0,0.0,,True
1796530,145,145,0.0,0.0,0.0,,True
1802710,165,165,0.0,0.0,0.0,,True
1802711,165,165,0.0,0.0,0.0,,True
1802712,165,165,0.0,0.0,0.0,,True
1802720,165,165,0.0,0.0,0.0,,True
1802721,165,165,0.0,0.0,0.0,,True
1802722,165,165,0.0,0.0,0.0,,True
1802730,165,165,0.0,0.0,0.0,,True
1807310,165,165,0.0,0.0,0.0,,True
1807311,165,165,0.0,0.0,0.0,,True
1807312,161,161,0.0,0.0,0.0,,True
1807320,165,165,0.0,0.0,0.0,,True
1807321,165,165,0.0,0.0,0.0,,True
1807322,161,161,0.0,0.0,0.0,,True
1807330,165,165,0.0,0.0,0.0,,True
1816010,145,145,0.0,0.0,0.0,,True
1816011,145,145,0.0,0.0,0.0,,True
1816012,145,145,0.0,0.0,0.0,,True
1816020,145,145,0.0,0.0,0.0,,True
1816021,145,145,0.0,0.0,0.0,,True
1816022,145,145,0.0,0.0,0.0,,True
1816030,145,145,0.0,0.0,0.0,,True
1817410,161,161,0.0,0.0,0.0,,True
1817411,161,161,0.0,0.0,0.0,,True
1817412,161,161,0.0,0.0,0.0,,True
1817420,161,161,0.0,0.0,0.0,,True
1817421,161,161,0.0,0.0,0.0,,True
1817422,161,161,0.0,0.0,0.0,,True
1817430,161,161,0.0,0.0,0.0,,True
1825210,153,153,0.0,0.0,0.0,,True
1825211,153,153,0.0,0.0,0.0,,True
1825212,153,153,0.0,0.0,0.0,,True
1825220,153,153,0.0,0.0,0.0,,True
1825221,153,153,0.0,0.0,0.0,,True
1825222,153,153,0.0,0.0,0.0,,True
1825230,153,153,0.0,0.0,0.0,,True
1830510,161,161,0.0,0.0,0.0,,True
1830511,161,161,0.0,0.0,0.0,,True
1830512,161,161,0.0,0.0,0.0,,True
1830520,161,161,0.0,0.0,0.0,,True
1830521,161,161,0.0,0.0,0.0,,True
1830522,161,161,0.0,0.0,0.0,,True
1830530,161,161,0.0,0.0,0.0,,True
1831110,161,161,0.0,0.0,0.0,,True
1831111,161,161,0.0,0.0,0.0,,True
1831112,161,161,0.0,0.0,0.0,,True
1831120,161,161,0.0,0.0,0.0,,True
1831121,161,161,0.0,0.0,0.0,,True
1831122,161,161,0.0,0.0,0.0,,True
1831130,161,161,0.0,0.0,0.0,,True
1834410,165,165,0.0,0.0,0.0,,True
1834411,165,165,0.0,0.0,0.0,,True
1834412,165,165,0.0,0.0,0.0,,True
1834420,165,165,0.0,0.0,0.0,,True
1834421,165,165,0.0,0.0,0.0,,True
1834422,165,165,0.0,0.0,0.0,,True
1834430,165,165,0.0,0.0,0.0,,True
1835610,165,165,0.0,0.0,0.0,,True
1835611,165,165,0.0,0.0,0.0,,True
1835612,165,165,0.0,0.0,0.0,,True
1835620,165,165,0.0,0.0,0.0,,True
1835621,165,165,0.0,0.0,0.0,,True
1835622,165,165,0.0,0.0,0.0,,True
1835630,165,165,0.0,0.0,0.0,,True
208210,133,133,0.0009765625,0.00191497802734375,0.0014041403483443181,,True
208211,133,133,0.0009765625,0.00191497802734375,0.0014041403483443181,,True
208212,137,137,0.0,0.0,0.0,,True
208220,133,133,0.0,0.0,0.0,,True
208221,133,133,0.0009765625,0.00191497802734375,0.0014041403483443181,,True
208222,137,137,0.0009765625,0.00191497802734375,0.0014041403483443181,,True
208230,133,133,0.0009765625,0.00191497802734375,0.0014041403483443181,,True
216410,237,237,0.0,0.0,0.0,,True
216411,237,237,0.0,0.0,0.0,,True
216412,229,229,0.0,0.0,0.0,,True
216420,237,237,0.0,0.0,0.0,,True
216421,237,237,0.0,0.0,0.0,,True
216422,229,229,0.0,0.0,0.0,,True
216430,237,237,0.0,0.0,0.0,,True
2233110,233,233,0.0,0.0,0.0,,True
2233111,233,233,0.0,0.0,0.0,,True
2233112,233,233,0.0,0.0,0.0,,True
2233120,233,233,0.0,0.0,0.0,,True
2233121,233,233,0.0,0.0,0.0,,True
2233122,233,233,0.0,0.0,0.0,,True
2233130,233,233,0.0,0.0,0.0,,True
2253110,237,237,0.0,0.0,0.0,,True
2253111,237,237,0.0,0.0,0.0,,True
2253112,237,237,0.0,0.0,0.0,,True
2253120,237,237,0.0,0.0,0.0,,True
2253121,237,237,0.0,0.0,0.0,,True
2253122,237,237,0.0,0.0,0.0,,True
2253130,237,237,0.0,0.0,0.0,,True
2253510,221,221,0.0,0.0,0.0,,True
2253511,221,221,0.0,0.0,0.0,,True
2253512,221,221,0.0,0.0,0.0,,True
2253520,221,221,0.031253814464463396,0.022918706759810448,0.13229847020706131,119.0,True
2253521,221,221,0.0,0.0,0.0,,True
2253522,221,221,0.0,0.0,0.0,,True
2253530,221,221,0.0,0.0,0.0,,True
228610,181,181,0.0,0.0,0.0,,True
228611,185,185,0.0,0.0,0.0,,True
228612,193,193,0.0,0.0,0.0,,True
228620,181,181,0.0,0.0,0.0,,True
228621,185,185,0.0,0.0,0.0,,True
228622,193,193,0.0,0.0,0.0,,True
228630,181,181,0.0,0.0,0.0,,True
2298310,185,185,0.0,0.0,0.0,,True
2298330,185,185,0.0,0.0,0.0,,True
229910,241,241,0.0,0.0,0.0,,True
229911,241,241,0.0,0.0,0.0,,True
229912,241,241,0.0,0.0,0.0,,True
229920,241,241,0.0,0.0,0.0,,True
229921,241,241,0.0,0.0,0.0,,True
229922,241,241,0.0,0.0,0.0,,True
229930,241,241,0.0,0.0,0.0,,True
2369710,209,209,0.0,0.0,0.0,,True
2369711,209,209,0.0,0.0,0.0,,True
2369712,209,209,0.0,0.0,0.0,,True
2369720,209,209,0.0,0.0,0.0,,True
2369721,209,209,0.0,0.0,0.0,,True
2369722,209,209,0.0,0.0,0.0,,True
2369730,209,209,0.0,0.0,0.0,,True
237310,165,165,0.0,0.0,0.0,,True
237330,165,165,0.0,0.0,0.0,,True
2384210,249,249,0.0,0.0,0.0,,True
2384211,249,249,0.0,0.0,0.0,,True
2384212,249,249,0.0,0.0,0.0,,True
2384220,249,249,0.0,0.0,0.0,,True
2384221,249,249,0.0,0.0,0.0,,True
2384222,249,249,0.0,0.0,0.0,,True
2384230,245,245,0.0,0.0,0.0,,True
2420610,177,177,0.0,0.0,0.0,,True
2420611,177,177,0.0,0.0,0.0,,True
2420612,177,177,0.0,0.0,0.0,,True
2420620,177,177,0.0,0.0,0.0,,True
2420621,177,177,0.0,0.0,0.0,,True
2420622,177,177,0.0,0.0,0.0,,True
2420630,177,177,0.0,0.0,0.0,,True
2421110,181,181,0.0,0.0,0.0,,True
2421111,181,181,0.0,0.0,0.0,,True
2421112,181,181,0.0,0.0,0.0,,True
2421120,181,181,0.0,0.0,0.0,,True
2421121,181,181,0.0,0.0,0.0,,True
2421122,181,181,0.0,0.0,0.0,,True
2421130,181,181,0.0,0.0,0.0,,True
2422410,125,125,0.0,0.0,0.0,,True
2422411,125,125,0.0,0.0,0.0,,True
2422412,125,125,0.0,0.0,0.0,,True
2422420,125,125,0.0,0.0,0.0,,True
2422421,125,125,0.0,0.0,0.0,,True
2422422,125,125,0.0,0.0,0.0,,True
2422430,125,125,0.0,0.0,0.0,,True
2425210,193,193,0.0,0.0,0.0,,True
2425211,201,201,0.0,0.0,0.0,,True
2425212,201,201,0.0,0.0,0.0,,True
2425220,193,193,0.0,0.0,0.0,,True
2425221,201,201,0.0,0.0,0.0,,True
2425222,201,201,0.0,0.0,0.0,,True
2425230,193,193,0.0,0.0,0.0,,True
2429410,117,117,0.0,0.0,0.0,,True
2429411,117,117,0.0,0.0,0.0,,True
2429412,117,117,0.0,0.0,0.0,,True
2429420,117,117,0.0,0.0,0.0,,True
2429421,117,117,0.0,0.0,0.0,,True
2429422,117,117,0.0,0.0,0.0,,True
2429430,117,117,0.0,0.0,0.0,,True
2433010,181,181,0.0,0.0,0.0,,True
2433030,181,181,0.0,0.0,0.0,,True
2433310,157,157,0.0,0.0,0.0,,True
2433311,177,177,0.0,0.0,0.0,,True
2433312,157,157,0.0,0.0,0.0,,True
2433320,157,157,0.0,0.0,0.0,,True
2433321,177,177,0.0,0.0,0.0,,True
2433322,157,157,0.0,0.0,0.0,,True
2433330,157,157,0.0,0.0,0.0,,True
2441610,165,165,0.0,0.0,0.0,,True
2441611,165,165,0.0,0.0,0.0,,True
2441612,173,173,0.0,0.0,0.0,,True
2441620,165,165,0.0,0.0,0.0,,True
2441621,165,165,0.0,0.0,0.0,,True
2441622,173,173,0.0,0.0,0.0,,True
2441630,165,165,0.0,0.0,0.0,,True
2451910,285,285,0.0,0.0,0.0,,True
2451911,285,285,0.0,0.0,0.0,,True
2451912,285,285,0.0,0.0,0.0,,True
2451920,285,285,0.0,0.0,0.0,,True
2451921,285,285,0.0,0.0,0.0,,True
2451922,285,285,0.0,0.0,0.0,,True
2451930,285,285,0.09224849810466398,0.479736328125,0.17942320122532382,109.0,True
246010,157,157,0.0,0.0,0.0,,True
246011,157,157,0.0,0.0,0.0,,True
246012,157,157,0.0,0.0,0.0,,True
246020,157,157,0.0,0.0,0.0,,True
246021,157,157,0.0,0.0,0.0,,True
246022,157,157,0.0,0.0,0.0,,True
246030,157,157,0.0,0.0,0.0,,True
2467910,153,153,0.0,0.0,0.0,,True
2467911,153,153,0.0,0.0,0.0,,True
2467912,153,153,0.0,0.0,0.0,,True
2467920,153,153,0.0,0.0,0.0,,True
2467921,153,153,0.0,0.0,0.0,,True
2467922,153,153,0.0,0.0,0.0,,True
2467930,153,153,0.0,0.0,0.0,,True
2472110,173,173,0.0,0.0,0.0,,True
2472130,173,173,0.0,0.0,0.0,,True
2475910,165,165,0.0,0.0,0.0,,True
2475911,165,165,0.0,0.0,0.0,,True
2475912,165,165,0.0,0.0,0.0,,True
2475920,165,165,0.0,0.0,0.0,,True
2475921,165,165,0.0,0.0,0.0,,True
2475922,165,165,0.0,0.0,0.0,,True
2475930,165,165,0.0,0.0,0.0,,True
2478110,181,181,0.0,0.0,0.0,,True
2478130,181,181,0.0,0.0,0.0,,True
2535810,217,217,0.0,0.0,0.0,,True
2535811,233,233,0.0,0.0,0.0,,True
2535812,237,237,0.0,0.0,0.0,,True
2535820,217,217,0.0,0.0,0.0,,True
2535821,233,233,0.0,0.0,0.0,,True
2535822,237,237,0.0,0.0,0.0,,True
2535830,217,217,0.0,0.0,0.0,,True
2586310,341,341,0.0,0.0,0.0,,True
2586311,341,341,0.0,0.0,0.0,,True
2586312,341,341,0.0,0.0,0.0,,True
2586320,341,341,0.0,0.0,0.0,,True
2586321,341,341,0.0,0.0,0.0,,True
2586322,341,341,0.0,0.0,0.0,,True
2586330,341,341,0.0,0.0,0.0,,True
2596810,893,893,0.0,0.0,0.0,,True
2596811,893,893,0.0,0.0,0.0,,True
2596812,893,893,0.0,0.0,0.0,,True
2596820,893,893,0.0,0.0,0.0,,True
2596821,893,893,0.0,0.0,0.0,,True
2596822,893,893,0.0,0.0,0.0,,True
2596830,893,893,0.0,0.0,0.0,,True
2639610,213,213,0.0,0.0,0.0,,True
2639611,213,213,0.0,0.0,0.0,,True
2639612,213,213,0.0,0.0,0.0,,True
2639620,213,213,0.0,0.0,0.0,,True
2639621,213,213,0.0,0.0,0.0,,True
2639622,213,213,0.0,0.0,0.0,,True
2639630,213,213,0.0,0.0,0.0,,True
2640510,233,233,0.0,0.0,0.0,,True
2640511,229,229,0.0,0.0,0.0,,True
2640512,229,229,0.0,0.0,0.0,,True
2640520,233,233,0.0,0.0,0.0,,True
2640521,229,229,0.0,0.0,0.0,,True
2640522,229,229,0.0,0.0,0.0,,True
2640530,233,233,0.0,0.0,0.0,,True
2640610,185,185,0.0,0.0,0.0,,True
2640630,185,185,0.0,0.0,0.0,,True
2645610,181,181,0.0,0.0,0.0,,True
2645630,181,181,0.0,0.0,0.0,,True
2694410,261,261,0.0,0.0,0.0,,True
2694430,261,261,0.0,0.0,0.0,,True
2695010,145,145,0.0,0.0,0.0,,True
2695011,145,145,0.0,0.0,0.0,,True
2695012,145,145,0.0,0.0,0.0,,True
2695020,145,145,0.0,0.0,0.0,,True
2695021,145,145,0.0,0.0,0.0,,True
2695022,145,145,0.0,0.0,0.0,,True
2695030,145,145,0.0,0.0,0.0,,True
270910,225,225,0.0,0.0,0.0,,True
270911,225,225,0.0,0.0,0.0,,True
270912,225,225,0.0,0.0,0.0,,True
270920,225,225,0.0,0.0,0.0,,True
270921,225,225,0.0,0.0,0.0,,True
270922,225,225,0.0,0.0,0.0,,True
270930,225,225,0.0,0.0,0.0,,True
271510,225,225,0.0,0.0,0.0,,True
271511,225,225,0.0,0.0,0.0,,True
271512,221,221,0.0,0.0,0.0,,True
271520,225,225,0.0,0.0,0.0,,True
271521,225,225,0.0,0.0,0.0,,True
271522,221,221,0.0,0.0,0.0,,True
271530,225,225,0.0,0.0,0.0,,True
2729710,145,145,0.0,0.0,0.0,,True
2729711,149,149,0.0,0.0,0.0,,True
2729712,137,137,0.0,0.0,0.0,,True
2729720,145,145,0.0,0.0,0.0,,True
2729721,149,149,0.0,0.0,0.0,,True
2729722,137,137,0.0,0.0,0.0,,True
2729730,145,145,0.0,0.0,0.0,,True
2751510,373,373,0.0,0.0,0.0,,True
2751511,369,369,0.0,0.0,0.0,,True
2751512,369,369,0.0,0.0,0.0,,True
2751520,373,373,0.0,0.0,0.0,,True
2751521,369,369,0.0,0.0,0.0,,True
2751522,369,369,0.0,0.0,0.0,,True
2751530,373,373,0.0,0.0,0.0,,True
2752910,101,101,0.0,0.0,0.0,,True
2752911,101,101,0.0,0.0,0.0,,True
2752912,101,101,0.0,0.0,0.0,,True
2752920,101,101,0.0,0.0,0.0,,True
2752921,101,101,0.0,0.0,0.0,,True
2752922,101,101,0.0,0.0,0.0,,True
2752930,101,101,0.0,0.0,0.0,,True
2758210,329,329,0.0,0.0,0.0,,True
2758211,329,329,0.0,0.0,0.0,,True
2758212,329,329,0.0,0.0,0.0,,True
2758220,329,329,0.0,0.0,0.0,,True
2758221,329,329,0.0,0.0,0.0,,True
2758222,329,329,0.0,0.0,0.0,,True
2758230,329,329,0.0,0.0,0.0,,True
2778710,161,161,0.0,0.0,0.0,,True
2778730,161,161,0.0,0.0,0.0,,True
284410,141,141,0.0,0.0,0.0,,True
284430,141,141,0.0,0.0,0.0,,True
284710,165,165,0.0,0.0,0.0,,True
284730,165,165,0.0,0.0,0.0,,True
307210,273,273,0.0,0.0,0.0,,True
307211,273,273,0.0,0.0,0.0,,True
307212,285,285,0.0,0.0,0.0,,True
307220,273,273,0.0,0.0,0.0,,True
307221,273,273,0.0,0.0,0.0,,True
307222,285,285,0.0,0.0,0.0,,True
307230,273,273,0.0,0.0,0.0,,True
307410,197,197,0.0,0.0,0.0,,True
307411,197,197,0.0,0.0,0.0,,True
307412,197,197,0.0,0.0,0.0,,True
307420,197,197,0.0,0.0,0.0,,True
307421,197,197,0.0,0.0,0.0,,True
307422,197,197,0.0,0.0,0.0,,True
307430,197,197,0.0,0.0,0.0,,True
308010,277,277,0.0,0.0,0.0,,True
308011,277,277,0.0,0.0,0.0,,True
308012,293,293,0.0,0.0,0.0,,True
308020,277,277,0.0,0.0,0.0,,True
308021,277,277,0.0,0.0,0.0,,True
308022,293,293,0.0,0.0,0.0,,True
308030,277,277,0.0,0.0,0.0,,True
324810,157,157,0.0,0.0,0.0,,True
324811,157,157,0.0,0.0,0.0,,True
324812,157,157,0.0,0.0,0.0,,True
324820,157,157,0.0,0.0,0.0,,True
324821,157,157,0.0,0.0,0.0,,True
324822,157,157,0.0,0.0,0.0,,True
324830,157,157,0.0,0.0,0.0,,True
325510,165,165,0.0,0.0,0.0,,True
325511,165,165,0.0,0.0,0.0,,True
325512,165,165,0.0,0.0,0.0,,True
325520,165,165,0.0,0.0,0.0,,True
325521,165,165,0.0,0.0,0.0,,True
325522,165,165,0.0,0.0,0.0,,True
325530,165,165,0.0,0.0,0.0,,True
348310,221,221,0.0,0.0,0.0,,True
348311,217,217,0.0,0.0,0.0,,True
348312,217,217,0.0,0.0,0.0,,True
348320,221,221,0.0,0.0,0.0,,True
348321,217,217,0.0,0.0,0.0,,True
348322,217,217,0.0,0.0,0.0,,True
348330,221,221,0.0,0.0,0.0,,True
350210,225,225,0.0,0.0,0.0,,True
350211,225,225,0.0,0.0,0.0,,True
350212,229,229,0.0,0.0,0.0,,True
350220,225,225,0.0,0.0,0.0,,True
350221,225,225,0.0,0.0,0.0,,True
350222,229,229,0.0,0.0,0.0,,True
350230,225,225,0.0,0.0,0.0,,True
354010,185,185,0.0,0.0,0.0,,True
354030,185,185,0.0,0.0,0.0,,True
373110,341,341,0.0,0.0,0.0,,True
373111,341,341,0.0,0.0,0.0,,True
373112,341,341,0.0,0.0,0.0,,True
373120,341,341,0.0,0.0,0.0,,True
373121,341,341,0.0,0.0,0.0,,True
373122,341,341,0.0,0.0,0.0,,True
373130,341,341,0.0,0.0,0.0,,True
373710,337,337,0.0,0.0,0.0,,True
373711,337,337,0.0,0.0,0.0,,True
373712,337,337,0.0,0.0,0.0,,True
373720,337,337,0.0,0.0,0.0,,True
373721,337,337,0.0,0.0,0.0,,True
373722,337,337,0.0,0.0,0.0,,True
373730,337,337,0.0,0.0,0.0,,True
374010,345,345,0.0,0.0,0.0,,True
374011,345,345,0.0,0.0,0.0,,True
374012,345,345,0.0,0.0,0.0,,True
374020,345,345,0.0,0.0,0.0,,True
374021,345,345,0.0,0.0,0.0,,True
374022,345,345,0.0,0.0,0.0,,True
374030,345,345,0.0,0.0,0.0,,True
381310,277,277,0.0,0.0,0.0,,True
381311,269,269,0.0,0.0,0.0,,True
381312,269,269,0.0,0.0,0.0,,True
381320,277,277,0.0,0.0,0.0,,True
381321,269,269,0.0,0.0,0.0,,True
381322,269,269,0.0,0.0,0.0,,True
381330,277,277,0.0,0.0,0.0,,True
381610,305,305,0.0,0.0,0.0,,True
381611,297,297,0.0,0.0,0.0,,True
381612,297,297,0.0,0.0,0.0,,True
381620,305,305,0.0,0.0,0.0,,True
381621,297,297,0.0,0.0,0.0,,True
381622,297,297,0.0,0.0,0.0,,True
381630,305,305,0.0,0.0,0.0,,True
386510,617,617,0.0,0.0,0.0,,True
386511,617,617,0.0,0.0,0.0,,True
386512,617,617,0.0,0.0,0.0,,True
386520,617,617,0.0,0.0,0.0,,True
386521,617,617,0.0,0.0,0.0,,True
386522,617,617,0.0,0.0,0.0,,True
386530,617,617,0.0,0.0,0.0,,True
386910,725,725,0.0,0.0,0.0,,True
386930,725,725,0.0,0.0,0.0,,True
387610,165,165,0.0,0.0,0.0,,True
387630,165,165,0.0,0.0,0.0,,True
667310,129,129,0.0,0.0,0.0,,True
667311,129,129,0.0,0.0,0.0,,True
667312,129,129,0.0,0.0,0.0,,True
667320,129,129,0.0,0.0,0.0,,True
667321,129,129,0.0,0.0,0.0,,True
667322,129,129,0.0,0.0,0.0,,True
667330,129,129,0.0,0.0,0.0,,True
