radius,speed,sign,coefficient,tick,phase,linear,hermite,analytic,linear_rate,hermite_rate
20.0,8.0,1.0,0.5,20,0,-0.13246213843554433,-0.13243488694947372,-0.13243488677938517,0.15636559854676157,0.0002822375575173286
20.0,8.0,1.0,0.5,21,1,-0.13768590712129658,-0.13244120408969814,-0.13243488677938517,-0.104475373715045,-0.00012634280448842183
20.0,8.0,1.0,0.5,22,2,-0.1402932071789614,-0.13244904151354525,-0.13243488677938517,-0.052146001153296484,-0.00015674847694213678
20.0,8.0,1.0,0.5,23,3,-0.14028041836288216,-0.13244899882734928,-0.13243488677938517,0.0002557763215849107,8.537239193362467e-07
20.0,8.0,1.0,0.5,24,0,-0.1324621384355442,-0.13243488694947358,-0.13243488677938517,0.15636559854675935,0.00028223755751399793
20.0,8.0,1.0,0.5,25,1,-0.1376859071212963,-0.13244120408969792,-0.13243488677938517,-0.10447537371504223,-0.0001263428044867565
20.0,8.0,1.0,0.5,26,2,-0.14029320717896163,-0.13244904151354536,-0.13243488677938517,-0.052146001153306476,-0.00015674847694879812
20.0,8.0,1.0,0.5,27,3,-0.14028041836288227,-0.1324489988273493,-0.13243488677938517,0.00025577632158713115,8.537239210015812e-07
20.0,8.0,1.0,0.5,28,0,-0.13246213843554416,-0.13243488694947356,-0.13243488677938517,0.15636559854676213,0.00028223755751510815
20.0,8.0,1.0,0.5,29,1,-0.13768590712129647,-0.13244120408969803,-0.13243488677938517,-0.10447537371504612,-0.00012634280448953206
20.0,8.0,1.0,0.5,30,2,-0.1402932071789616,-0.13244904151354533,-0.13243488677938517,-0.05214600115330259,-0.00015674847694602256
20.0,8.0,1.0,0.5,31,3,-0.14028041836288266,-0.13244899882734978,-0.13243488677938517,0.0002557763215788045,8.53723911009574e-07
20.0,8.0,1.0,0.5,32,0,-0.13246213843554414,-0.13243488694947356,-0.13243488677938517,0.15636559854677046,0.00028223755752454505
20.0,8.0,1.0,0.5,33,1,-0.13768590712129636,-0.13244120408969795,-0.13243488677938517,-0.10447537371504445,-0.00012634280448786672
20.0,8.0,1.0,0.5,34,2,-0.14029320717896154,-0.13244904151354533,-0.13243488677938517,-0.0521460011533037,-0.0001567484769476879
20.0,8.0,1.0,0.5,35,3,-0.1402804183628823,-0.13244899882734937,-0.13243488677938517,0.0002557763215849107,8.537239193362467e-07
20.0,8.0,1.0,0.5,36,0,-0.13246213843554397,-0.1324348869494734,-0.13243488677938517,0.15636559854676657,0.00028223755751954904
20.0,8.0,1.0,0.5,37,1,-0.1376859071212958,-0.13244120408969742,-0.13243488677938517,-0.10447537371503668,-0.00012634280448065027
20.0,8.0,1.0,0.5,38,2,-0.14029320717896124,-0.13244904151354503,-0.13243488677938517,-0.052146001153308696,-0.0001567484769521288
20.0,8.0,1.0,0.5,39,3,-0.14028041836288202,-0.13244899882734912,-0.13243488677938517,0.0002557763215843556,8.537239182260237e-07
