tag,scenario,end,hd,rc,steps,v10,t_move,v_min,clamped,lat_med,lat_max,dheading_deg,route_frac,plan0_len,plan_x3s_early
cinque-shadow,scene-0920-easy-00,complete,0.851,1.000,49,4.937,0.500,1.000,0.020,0.136,0.410,127.449,0.878,,
route-fixed,scene-0920-easy-00,complete,0.701,1.000,43,5.893,0.500,1.000,0.000,0.192,0.526,129.523,0.895,,
cinque-shadow,scene-0062-medium-00,fg_collision,0.102,0.241,25,4.998,0.500,1.000,0.080,0.029,0.086,1.089,0.203,,
route-fixed,scene-0062-medium-00,fg_collision,0.082,0.239,22,6.046,0.500,1.000,0.000,0.027,0.087,1.123,0.199,,
route-fixed,scene-0383-hard-00,fg_collision,0.034,0.257,14,5.781,0.500,1.000,0.000,0.031,0.091,-2.647,0.199,,
cinque-shadow,scene-0383-hard-00,fg_collision,0.031,0.269,16,4.939,0.500,1.000,0.188,0.036,0.073,-2.521,0.211,,
route-fixed,scene-130854534658-easy-00,complete,0.920,1.000,59,5.995,0.500,1.000,0.000,0.314,1.158,114.500,0.876,,
cinque-shadow,scene-130854534658-easy-00,complete,0.899,1.000,69,5.017,0.500,1.000,0.014,0.225,1.071,114.328,0.874,,
route-fixed,scene-1290_1490-easy-00,complete,0.962,1.000,90,5.700,0.500,1.000,0.000,0.121,1.313,-101.517,0.901,,
cinque-shadow,scene-1290_1490-easy-00,complete,0.988,1.000,106,4.887,0.500,1.000,0.009,0.096,0.953,-98.194,0.897,,
route-fixed,scene-021-easy-00,complete,0.909,1.000,74,5.795,0.500,1.000,0.000,0.009,0.042,-1.633,0.891,,
route-fixed,scene-0071-standstill-00,complete,0.980,1.000,70,6.010,1.000,0.000,0.000,0.110,0.371,-14.181,0.872,,
cinque-shadow,scene-021-easy-00,complete,0.973,1.000,85,4.950,0.500,1.000,0.012,0.008,0.031,-1.667,0.888,,
route-fixed,scene-0071-offset-00,complete,0.992,1.000,68,5.992,0.500,1.000,0.000,0.151,1.101,-20.180,0.872,,
cinque-shadow,scene-0071-standstill-00,complete,0.983,1.000,82,4.980,1.000,0.000,0.012,0.089,0.279,-13.384,0.875,,
cinque-shadow,scene-0071-offset-00,complete,0.996,1.000,80,5.079,0.750,1.000,0.013,0.110,1.107,-19.532,0.873,,
cv-fixed,scene-0071-easy-00,off_route,0.910,0.910,343,1.000,,1.000,0.000,1.372,9.922,0.000,0.775,,
cv-fixed,scene-0383-easy-00,off_route,0.548,0.548,157,1.000,,1.000,0.000,0.111,9.779,0.000,0.472,,
cv-fixed,scene-0920-easy-00,off_route,0.301,0.301,88,1.000,,1.000,0.000,2.275,9.873,0.000,0.246,,
cv-fixed,scene-0062-medium-00,fg_collision,0.208,0.238,107,1.000,,1.000,0.000,0.258,0.498,0.000,0.207,,
cv-fixed,scene-0383-hard-00,off_route,0.548,0.548,157,1.000,,1.000,0.000,0.111,9.779,0.000,0.472,,
cv-fixed,scene-130854534658-easy-00,off_route,0.390,0.390,110,1.000,,1.000,0.000,1.275,9.781,0.000,0.305,,
cv-fixed,scene-1290_1490-easy-00,bg_collision,0.127,0.133,68,1.000,,1.000,0.000,0.463,1.145,0.000,0.118,,
cv-fixed,scene-021-easy-00,max_steps,0.982,0.982,400,1.000,,1.000,0.000,0.317,0.737,0.000,0.874,,
cv-fixed,scene-0071-standstill-00,off_route,0.910,0.910,345,1.000,,0.000,0.000,1.366,9.927,0.000,0.775,,
cv-fixed,scene-0071-offset-00,off_route,0.488,0.719,268,1.000,,1.000,0.000,2.647,9.997,0.000,0.592,,
route-official,scene-0071-easy-00,complete,0.987,1.000,66,6.261,0.500,1.000,0.000,0.224,0.721,-8.497,0.872,,
route-official,scene-0383-easy-00,complete,0.789,1.000,44,5.995,0.500,1.000,0.000,0.384,2.060,-128.320,0.879,,
route-official,scene-0920-easy-00,complete,0.669,1.000,41,6.005,0.500,1.000,0.000,0.929,1.312,127.369,0.882,,
route-official,scene-0062-medium-00,fg_collision,0.078,0.246,22,6.149,0.500,1.000,0.000,0.036,0.132,-2.412,0.207,,
route-official,scene-0383-hard-00,fg_collision,0.029,0.240,13,5.967,0.500,1.000,0.000,0.014,0.080,-2.235,0.185,,
route-official,scene-130854534658-easy-00,complete,0.860,1.000,57,6.207,0.500,1.000,0.000,0.344,1.732,113.749,0.874,,
route-official,scene-1290_1490-easy-00,bg_collision,0.433,0.460,40,5.696,0.500,1.000,0.000,0.123,1.527,-37.689,0.384,,
route-official,scene-021-easy-00,complete,0.980,1.000,71,5.893,0.500,1.000,0.000,0.181,0.345,-1.805,0.881,,
route-official,scene-0071-standstill-00,complete,0.983,1.000,68,6.173,1.000,0.000,0.000,0.331,0.728,-8.560,0.879,,
route-official,scene-0071-offset-00,complete,0.991,1.000,66,6.249,0.500,1.000,0.000,0.412,1.137,-16.387,0.872,,
cinque-official,scene-0071-easy-00,bg_collision,0.013,0.060,19,2.442,1.250,0.777,0.053,1.327,6.972,172.105,0.051,0.029,5.626
lebowski-official,scene-0071-easy-00,bg_collision,0.011,0.062,50,3.540,1.500,0.777,0.040,2.771,8.098,522.045,0.053,0.032,5.661
cinque-official,scene-0383-easy-00,bg_collision,0.040,0.077,20,1.365,1.250,0.778,0.050,1.408,5.041,118.299,0.070,0.047,4.992
lebowski-official,scene-0383-easy-00,bg_collision,0.019,0.083,14,3.471,1.250,0.780,0.071,0.446,4.721,97.082,0.075,0.060,6.069
cinque-official,scene-0920-easy-00,bg_collision,0.056,0.128,18,3.057,1.000,0.777,0.056,1.006,6.610,135.367,0.102,0.043,5.129
lebowski-official,scene-0920-easy-00,bg_collision,0.046,0.129,16,3.621,1.000,0.801,0.000,0.837,7.088,140.650,0.103,0.073,7.229
cinque-official,scene-0062-medium-00,bg_collision,0.012,0.047,16,2.676,1.000,0.777,0.062,0.693,4.486,116.883,0.040,0.034,3.212
lebowski-official,scene-0062-medium-00,bg_collision,0.012,0.049,14,3.866,1.250,0.718,0.071,0.327,4.749,103.614,0.043,0.026,4.925
lebowski-official,scene-0383-hard-00,bg_collision,0.027,0.081,16,2.920,1.250,0.778,0.062,0.604,5.210,105.590,0.075,0.039,4.361
cinque-official,scene-0383-hard-00,bg_collision,0.052,0.075,27,1.328,,0.683,0.037,1.535,4.965,127.512,0.069,-0.006,3.473
lebowski-official,scene-130854534658-easy-00,bg_collision,0.059,0.162,9,2.742,1.250,0.778,0.111,0.519,1.739,39.127,0.135,0.041,4.306
cinque-official,scene-130854534658-easy-00,bg_collision,0.061,0.164,10,2.136,1.250,0.777,0.100,0.645,2.070,45.040,0.137,0.031,4.030
lebowski-official,scene-1290_1490-easy-00,bg_collision,0.003,0.029,10,3.586,1.250,0.779,0.100,0.031,1.294,49.744,0.035,0.044,4.665
cinque-official,scene-1290_1490-easy-00,bg_collision,0.003,0.026,9,3.027,1.000,0.779,0.111,0.021,0.879,44.570,0.030,0.060,4.573
cinque-official,scene-021-easy-00,bg_collision,0.121,0.189,49,6.544,1.500,0.777,0.020,2.890,6.960,281.775,0.149,0.036,4.566
cinque-official,scene-0071-standstill-00,bg_collision,0.011,0.053,19,3.453,1.750,0.000,0.053,0.852,6.933,171.395,0.046,0.029,4.765
lebowski-official,scene-021-easy-00,complete,0.692,1.000,157,5.514,2.000,0.777,0.006,3.263,7.825,1077.396,0.879,0.032,4.211
cinque-official,scene-0071-offset-00,bg_collision,0.017,0.057,55,3.846,1.500,0.777,0.018,4.000,8.257,529.722,0.049,0.040,5.472
lebowski-official,scene-0071-standstill-00,bg_collision,0.010,0.053,21,3.121,2.000,0.000,0.048,1.051,7.446,171.996,0.046,0.032,4.289
cinque-fixed,scene-0071-easy-00,bg_collision,0.352,0.438,51,5.464,2.500,0.665,0.020,0.177,8.516,123.788,0.373,0.029,0.226
lebowski-official,scene-0071-offset-00,off_route,0.064,0.223,91,3.448,1.250,0.778,0.011,3.905,9.834,619.264,0.197,0.041,6.044
cinque-fixed,scene-0383-easy-00,off_route,0.448,0.604,31,8.277,1.500,0.666,0.032,0.054,9.824,-44.679,0.511,0.047,0.012
cinque-fixed,scene-0920-easy-00,off_route,0.272,0.278,26,5.009,1.500,0.665,0.038,0.504,9.392,20.197,0.219,0.043,0.435
cinque-fixed,scene-0062-medium-00,off_route,0.324,0.354,62,2.639,1.750,0.665,0.016,2.300,9.981,-137.241,0.318,0.034,-0.380
lebowski-fixed,scene-0071-easy-00,complete,0.367,1.000,219,3.889,7.750,0.639,0.005,1.446,8.861,-1085.778,0.873,0.032,0.288
lebowski-fixed,scene-0383-easy-00,bg_collision,0.395,0.520,32,5.755,2.750,0.579,0.031,0.028,3.305,-83.039,0.413,0.060,0.019
lebowski-fixed,scene-0920-easy-00,bg_collision,0.163,0.296,20,4.175,1.500,0.668,0.000,0.147,4.383,114.947,0.235,0.073,1.873
cinque-fixed,scene-0383-hard-00,max_steps,0.190,0.190,400,0.324,,0.009,0.715,0.027,0.055,0.722,0.169,-0.006,0.017
lebowski-fixed,scene-0062-medium-00,max_steps,0.056,0.056,400,0.011,,0.005,0.900,0.049,0.056,3.209,0.048,0.026,0.038
cinque-fixed,scene-130854534658-easy-00,max_steps,0.206,0.206,400,0.006,,0.004,0.943,1.470,1.478,2.395,0.173,0.031,0.134
lebowski-fixed,scene-0383-hard-00,max_steps,0.208,0.208,400,0.697,,0.010,0.578,0.018,0.107,2.595,0.182,0.039,-0.021
cinque-fixed,scene-1290_1490-easy-00,bg_collision,0.413,0.463,157,0.118,1.250,0.082,0.038,1.406,1.764,-48.982,0.393,0.060,0.576
lebowski-fixed,scene-130854534658-easy-00,bg_collision,0.305,0.383,28,4.530,3.500,0.534,0.036,1.183,4.281,50.099,0.289,0.041,0.232
lebowski-fixed,scene-1290_1490-easy-00,bg_collision,0.381,0.487,193,0.012,2.250,0.011,0.269,0.940,1.747,-56.144,0.411,0.044,0.204
cinque-fixed,scene-021-easy-00,max_steps,0.115,0.115,400,0.011,1.750,0.009,0.945,0.067,0.079,-1.163,0.089,0.036,-0.019
lebowski-fixed,scene-021-easy-00,max_steps,0.024,0.024,400,0.008,,0.001,0.980,0.009,0.014,-0.281,0.018,0.032,-0.013
cinque-fixed,scene-0071-standstill-00,max_steps,0.007,0.007,400,0.007,,0.000,1.000,0.023,0.040,0.000,0.006,0.029,0.000
cinque-fixed,scene-0071-offset-00,complete,0.959,1.000,84,3.142,5.000,0.665,0.012,0.698,2.289,-12.387,0.877,0.040,-0.214
lebowski-fixed,scene-0071-standstill-00,max_steps,0.009,0.009,400,0.009,,0.000,1.000,0.023,0.046,0.000,0.007,0.032,0.000
cinque-fixed-nodesire,scene-0383-easy-00,off_route,0.451,0.569,29,10.483,1.500,0.666,0.034,0.054,8.340,-6.010,0.484,0.047,0.012
cinque-fixed-nodesire,scene-0920-easy-00,bg_collision,0.144,0.268,21,2.903,1.750,0.665,0.048,0.125,4.518,102.147,0.208,0.043,1.988
lebowski-fixed,scene-0071-offset-00,max_steps,0.114,0.114,400,0.012,3.250,0.006,0.932,0.595,1.139,-7.448,0.101,0.041,-0.198
lebowski-fixed-nodesire,scene-0383-easy-00,bg_collision,0.351,0.460,30,6.249,2.750,0.579,0.033,0.028,2.509,-63.111,0.370,0.060,0.019
lebowski-fixed-nodesire,scene-0920-easy-00,bg_collision,0.156,0.296,19,4.681,1.500,0.668,0.000,0.135,4.173,99.139,0.227,0.073,2.398
cinque-fixed-nodesire,scene-130854534658-easy-00,max_steps,0.199,0.199,400,0.007,,0.004,0.930,1.449,1.477,3.867,0.168,0.031,0.135
lebowski-fixed-nodesire,scene-130854534658-easy-00,bg_collision,0.347,0.491,101,0.146,3.500,0.098,0.030,2.568,5.113,-602.843,0.390,0.041,0.232
cinque-fixed-nodesire,scene-1290_1490-easy-00,bg_collision,0.410,0.463,153,0.051,1.250,0.051,0.085,1.392,1.765,-50.621,0.394,0.060,0.575
lebowski-fixed-nodesire,scene-1290_1490-easy-00,complete,0.877,1.000,356,0.060,2.250,0.014,0.183,0.798,1.765,-79.641,0.903,0.044,0.203
cinque-fixed-engage,scene-0071-standstill-00,max_steps,0.023,0.268,400,2.280,1.250,0.000,0.003,4.529,9.694,-4903.734,0.238,9.144,-0.489
