scenario,dataset,difficulty,agent,controller,tag,hdscore,rc,nc,dac,ttc,c,pdms,steps,end,wall_s,rc_code,finished,scene,run_dir
scene-164701907483-hard-00,waymo,hard,cinque,official,cinque-official,0.022349570200573064,0.12034383954154727,0.4,0.35,0.3,0.15,0.18571428571428572,20,bg_collision,39.0,0,2026-09-25 13:02:19,164701907483_0_200,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/164701907483_0_200_hard_00
scene-881121006469-hard-00,waymo,hard,cinque,official,cinque-official,0.08283883144438299,0.36900934007043334,0.23809523809523808,0.2857142857142857,0.23809523809523808,0.19047619047619047,0.22448979591836735,21,bg_collision,36.0,0,2026-09-25 13:02:58,881121006469_0_200,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/881121006469_0_200_hard_00
scene-144248042870-extreme-00,waymo,extreme,cinque,official,cinque-official,0.0,0.014424810674359897,1.0,0.0,0.85,0.65,0.0,20,off_route,35.1,0,2026-09-25 13:03:37,144248042870_0_200,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/144248042870_0_200_extreme_00
scene-150623512729-extreme-00,waymo,extreme,cinque,official,cinque-official,0.02611609490751176,0.08309666561481015,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.3333333333333333,0.3142857142857143,15,bg_collision,36.8,0,2026-09-25 13:04:14,150623512729_0_200,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/150623512729_0_200_extreme_00
scene-152217047339-extreme-00,waymo,extreme,cinque,official,cinque-official,0.06365825754439385,0.19242155121373594,0.47368421052631576,0.3684210526315789,0.3684210526315789,0.7368421052631579,0.3308270676691729,19,fg_collision,38.2,0,2026-09-25 13:04:52,152217047339_0_200,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/152217047339_0_200_extreme_00
scene-0254-hard-00,nuscenes,hard,cinque,fixed,cinque-fixed,0.06214116852414725,0.06214116852414725,1.0,1.0,1.0,1.0,1.0,400,max_steps,648.4,0,2026-09-25 13:05:09,scene-0254,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-fixed/zs/scene-0254_hard_00
scene-166085257829-extreme-00,waymo,extreme,cinque,official,cinque-official,0.01149177619765855,0.08547008547008547,0.17647058823529413,0.6470588235294118,0.11764705882352941,0.23529411764705882,0.13445378151260504,17,bg_collision,47.2,0,2026-09-25 13:05:45,166085257829_0_200,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/166085257829_0_200_extreme_00
scene-0411-hard-00,nuscenes,hard,cinque,fixed,cinque-fixed,0.8877551020408163,1.0,0.9047619047619048,1.0,0.8809523809523809,1.0,0.8877551020408163,42,complete,82.0,0,2026-09-25 13:06:31,scene-0411,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-fixed/zs/scene-0411_hard_00
scene-2800_3000-easy-00,kitti360,easy,cinque,official,cinque-official,0.0,0.04900113079532604,0.46153846153846156,0.0,0.11538461538461539,0.15384615384615385,0.0,26,bg_collision,44.1,0,2026-09-25 13:06:35,0000_2800_3000,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/0000_2800_3000_easy_00
scene-570_770-easy-00,kitti360,easy,cinque,official,cinque-official,0.0,0.043013500276819557,0.38461538461538464,0.0,0.3076923076923077,0.38461538461538464,0.0,13,bg_collision,23.3,0,2026-09-25 13:07:01,0000_570_770,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/0000_570_770_easy_00
scene-5980_6180-easy-00,kitti360,easy,cinque,official,cinque-official,0.004208425528222482,0.04208425528222482,0.3,0.2,0.3,0.5,0.1,10,bg_collision,20.8,0,2026-09-25 13:07:24,0000_5980_6180,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/0000_5980_6180_easy_00
scene-8440_8640-easy-00,kitti360,easy,cinque,official,cinque-official,0.0,0.04096063467425516,0.3,0.4,0.3,0.6,0.0,10,bg_collision,21.1,0,2026-09-25 13:07:47,0000_8440_8640,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/0000_8440_8640_easy_00
scene-1290_1490-medium-01,kitti360,medium,cinque,official,cinque-official,0.0,0.023884161815196297,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,0.0,9,bg_collision,25.1,0,2026-09-25 13:08:12,0000_1290_1490,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-official/zs/0000_1290_1490_medium_01
scene-0418-hard-00,nuscenes,hard,cinque,fixed,cinque-fixed,0.21428571428571427,1.0,0.2777777777777778,1.0,0.23333333333333334,1.0,0.21428571428571427,90,complete,114.6,0,2026-09-25 13:08:25,scene-0418,/root/autodl-tmp/ujs/runs/hugsim-exam/scored-op/cinque-fixed/zs/scene-0418_hard_00
