model,arm,seed,r1_ratio,r1_lo,r1_hi,r1_edit_median_m,p5_ped_flip,p5_ped_lo,p5_ped_hi,p5_cutin_delta,p5_null_ff_oos,wod_rfs_all,wod_rfs_all_lo,wod_rfs_all_hi,wod_rfs_ped,wod_rfs_ped_lo,wod_rfs_ped_hi,straight_activation,wod_delta_median_m,pass_r1,pass_wod_ped,pass_straight,pass,harm_wod_all
cinque,G3 student B (a),2,4.5224,3.5559,5.7764,0.2241,0.0025,0.0000,0.0079,-0.0325,0.0478,-0.9733,-1.1574,-0.7847,-0.5993,-1.1339,-0.0857,0.0690,2.0304,True,False,True,False,True
lebowski,E2 pair (a),0,1.5273,1.3063,1.7427,0.5326,0.0049,0.0000,0.0122,-0.1568,0.0492,-2.1256,-2.3586,-1.8936,-2.5734,-3.2171,-1.9199,0.1244,2.6062,False,False,False,False,True
lebowski,E2 pair (a),1,1.5273,1.3063,1.7427,0.5326,0.0049,0.0000,0.0122,-0.1568,0.0492,-2.1256,-2.3586,-1.8936,-2.5734,-3.2171,-1.9199,0.1244,2.6062,False,False,False,False,True
lebowski,E2 pair (a),2,1.5273,1.3063,1.7427,0.5326,0.0049,0.0000,0.0122,-0.1568,0.0492,-2.1256,-2.3586,-1.8936,-2.5734,-3.2171,-1.9199,0.1244,2.6062,False,False,False,False,True
lebowski,E2 pair (c),0,1.8122,1.5405,2.1303,2.1523,0.0000,0.0000,0.0000,-0.2855,0.0577,-3.3285,-3.5429,-3.1095,-3.6363,-4.2072,-3.0484,0.7749,12.0984,False,False,False,False,True
lebowski,E2 pair (c),1,1.8122,1.5405,2.1303,2.1523,0.0000,0.0000,0.0000,-0.2855,0.0577,-3.3285,-3.5429,-3.1095,-3.6363,-4.2072,-3.0484,0.7749,12.0984,False,False,False,False,True
lebowski,E2 pair (c),2,1.8122,1.5405,2.1303,2.1523,0.0000,0.0000,0.0000,-0.2855,0.0577,-3.3285,-3.5429,-3.1095,-3.6363,-4.2072,-3.0484,0.7749,12.0984,False,False,False,False,True
lebowski,G3 student A (c),0,7.7985,5.0999,12.0515,0.1428,0.1626,0.0955,0.2336,-0.0133,0.0557,-0.1109,-0.1961,-0.0320,-0.0944,-0.1880,-0.0086,0.0166,0.3164,True,False,True,False,True
lebowski,G3 student A (c),1,8.1781,5.4354,13.7036,0.1562,0.1700,0.0971,0.2511,-0.0133,0.0560,-0.1206,-0.2071,-0.0385,-0.0940,-0.1941,0.0082,0.0156,0.3514,True,False,True,False,True
lebowski,G3 student A (c),2,8.8035,5.9192,13.7084,0.1535,0.1724,0.1002,0.2512,-0.0163,0.0529,-0.1224,-0.2078,-0.0429,-0.0927,-0.1877,-0.0008,0.0171,0.3386,True,False,True,False,True
lebowski,G3 student B (c),0,5.7217,4.1840,7.7963,0.5368,0.0369,0.0047,0.0903,-0.0843,0.0504,-1.1899,-1.3936,-0.9882,-1.4307,-2.0476,-0.8062,0.3878,2.6450,True,False,False,False,True
lebowski,G3 student B (c),1,5.8559,4.4001,7.8713,0.5336,0.0369,0.0031,0.0916,-0.0932,0.0493,-1.2011,-1.4068,-0.9990,-1.4422,-2.0547,-0.8218,0.3827,2.6734,True,False,False,False,True
lebowski,G3 student B (c),2,5.3363,4.0452,7.4682,0.5232,0.0345,0.0031,0.0873,-0.0784,0.0477,-1.1855,-1.3901,-0.9831,-1.3899,-1.9954,-0.7672,0.3902,2.6365,True,False,False,False,True
lebowski,G3 student A (a),0,7.2908,5.1515,9.5564,0.1890,0.0123,0.0000,0.0306,-0.0281,0.0500,-0.1346,-0.2345,-0.0325,0.0988,-0.1100,0.3445,0.0011,0.3988,True,False,True,False,True
lebowski,G3 student A (a),1,6.9402,4.6588,9.6960,0.1860,0.0148,0.0000,0.0389,-0.0207,0.0508,-0.1196,-0.2183,-0.0180,0.0895,-0.1304,0.3435,0.0013,0.3955,True,False,True,False,True
lebowski,G3 student A (a),2,7.2395,4.9030,10.0976,0.1932,0.0123,0.0000,0.0306,-0.0237,0.0492,-0.1170,-0.2160,-0.0166,0.0781,-0.1165,0.2973,0.0009,0.3909,True,False,True,False,True
lebowski,G3 student B (a),0,5.1203,3.3200,6.7499,0.2391,0.0197,0.0000,0.0497,-0.0059,0.0559,-0.5846,-0.7427,-0.4288,-0.3389,-0.7024,0.0066,0.0014,0.7108,True,False,True,False,True
lebowski,G3 student B (a),1,4.9698,3.4840,6.3204,0.2400,0.0197,0.0000,0.0497,-0.0089,0.0558,-0.6171,-0.7768,-0.4578,-0.3501,-0.7507,0.0359,0.0016,0.7354,True,False,True,False,True
lebowski,G3 student B (a),2,4.9859,3.3396,6.6284,0.2400,0.0172,0.0000,0.0420,-0.0074,0.0546,-0.6421,-0.8041,-0.4818,-0.4113,-0.7992,-0.0433,0.0013,0.7326,True,False,True,False,True
