arm,vs,judge,readout,n,value,delta,lo,hi,halfwidth
A Qwen3-VL-4B L18_mean,ridge ego,FDE@3s,"side: all frames, all deciles",3632,1.6245718002319336,-0.04648327827453613,-0.06703723385418706,-0.025627624098126266,0.020704804878030395
A Qwen3-VL-4B L18_mean,ridge ego,FDE@3s,side: decile 10,364,4.561278820037842,-0.05857953429222107,-0.09724738589025204,-0.018494738140014275,0.039376323875118885
op-cinque temporal,ridge ego,FDE@3s,"(i) pre-onset, deciles 1-9",47,1.6420567035675049,-0.15002718567848206,-0.48315602968829546,0.15995694715083436,0.3215564884195649
op-cinque temporal,ridge ego,FDE@3s,"(ii) all frames, deciles 1-9",3268,1.0628767013549805,-0.27973154187202454,-0.3229811728818595,-0.235995548807094,0.043492812037382755
op-cinque temporal,ridge ego,FDE@3s,"side: straight, deciles 1-9",1501,1.0570979118347168,-0.2389359176158905,-0.29935055015487627,-0.17907457517404418,0.060137987490416045
op-cinque temporal,ridge ego,FDE@3s,"side: all frames, all deciles",3632,1.2740665674209595,-0.3969886004924774,-0.4482825601763405,-0.3485387282800664,0.04987191594813706
op-cinque temporal,ridge ego,FDE@3s,side: decile 10,364,3.170133113861084,-1.4497251510620117,-1.5925794010052714,-1.3079079166724727,0.14233574216639933
op-lebowski temporal,ridge ego,FDE@3s,"(i) pre-onset, deciles 1-9",47,1.6445945501327515,-0.14748917520046234,-0.4811995424968195,0.19509050202378558,0.3381450222603025
op-lebowski temporal,ridge ego,FDE@3s,"(ii) all frames, deciles 1-9",3268,1.0781996250152588,-0.2644086182117462,-0.30793340562657945,-0.22275657150514327,0.04258841706071809
op-lebowski temporal,ridge ego,FDE@3s,"side: straight, deciles 1-9",1501,1.039320707321167,-0.2567130923271179,-0.321089332501625,-0.19653936372575126,0.06227498438793688
op-lebowski temporal,ridge ego,FDE@3s,"side: all frames, all deciles",3632,1.2907308340072632,-0.38032418489456177,-0.42987456508682187,-0.33033040942536634,0.04977207783072776
op-lebowski temporal,ridge ego,FDE@3s,side: decile 10,364,3.198841094970703,-1.4210166931152344,-1.549646220619671,-1.2819003032791574,0.13387295867025684
