cls,dbin,n,recall,bev_err_med,bev_err_p90,reading,weather,all
pedestrian,,2476,0.4579967689822294,0.5042619929770957,1.716085170370251,"side: recall, front camera, visible (px >= 20), <= 40 m",,all
pedestrian,0-10 m,1363,0.9236977256052825,0.23459730807866316,0.42057191045291825,side: recall (ii) with the oracle-height lift,,
pedestrian,10-20 m,875,0.8114285714285714,0.28045712654833055,0.5477070879600431,side: recall (ii) with the oracle-height lift,,
pedestrian,20-40 m,1943,0.5048893463715903,0.2119500486026822,0.6843619892359752,side: recall (ii) with the oracle-height lift,,
pedestrian,,4181,0.7055728294666348,0.24023157697511152,0.5655957784543648,side: recall (ii) with the oracle-height lift,,all
vehicle,0-10 m,2711,0.8317963850977499,1.0949838111577201,1.444832658283544,"recall (ii), <= 40 m, in image",,
vehicle,10-20 m,7428,0.8053311793214862,1.1314020974438117,1.6430621881461358,"recall (ii), <= 40 m, in image",,
vehicle,20-40 m,21804,0.5750779673454413,1.6687778385676613,2.7072747338610386,"recall (ii), <= 40 m, in image",,
vehicle,,12351,0.6937090114160797,1.2135325963043102,2.3554703572093922,"recall (ii), <= 40 m, in image",day,
vehicle,,9655,0.6714655618850337,1.45611887769475,2.613318559131099,"recall (ii), <= 40 m, in image",night,
vehicle,,9937,0.5761296165844823,1.477909458089252,2.4641412028328733,"recall (ii), <= 40 m, in image",rain,
vehicle,0-10 m,1023,0.8035190615835777,1.1148515156365488,1.4227219889623857,"recall (ii), <= 40 m, in image",day,
vehicle,0-10 m,935,0.8524064171122995,1.0876480687528605,1.4312779248438487,"recall (ii), <= 40 m, in image",night,
vehicle,0-10 m,753,0.8446215139442231,1.1436380471696042,1.4978946396430344,"recall (ii), <= 40 m, in image",rain,
vehicle,10-20 m,3766,0.8146574614976102,1.0668053211406923,1.5801332044172156,"recall (ii), <= 40 m, in image",day,
vehicle,10-20 m,2092,0.8102294455066922,1.1948178272005916,1.6252484217163357,"recall (ii), <= 40 m, in image",night,
vehicle,10-20 m,1570,0.7764331210191083,1.2731317184914765,1.663367929167834,"recall (ii), <= 40 m, in image",rain,
vehicle,20-40 m,7562,0.6186194128537424,1.4470026040651205,2.678543286042509,"recall (ii), <= 40 m, in image",day,
vehicle,20-40 m,6628,0.602142426071213,1.828063637937406,2.80761767539348,"recall (ii), <= 40 m, in image",night,
vehicle,20-40 m,7614,0.508274231678487,1.6949426362984523,2.6247448025923843,"recall (ii), <= 40 m, in image",rain,
vehicle,,31943,0.650408540212253,1.3535199075734585,2.4889438385299263,"recall (ii), <= 40 m, in image",,all
vehicle,0-10 m,2098,0.9690181124880839,1.0949838111577201,1.4012109987622965,"side: recall, front camera, visible (px >= 20), <= 40 m",,
vehicle,10-20 m,5564,0.8747304097771388,1.1413110693916102,1.6418624491940013,"side: recall, front camera, visible (px >= 20), <= 40 m",,
vehicle,20-40 m,11393,0.7612569121390328,1.5505904396353445,2.7331636805139823,"side: recall, front camera, visible (px >= 20), <= 40 m",,
vehicle,,19055,0.8172658094988192,1.286875967545541,2.438502048536617,"side: recall, front camera, visible (px >= 20), <= 40 m",,all
vehicle,0-10 m,2711,0.8528218369605312,1.050663945828072,1.3016599699570097,side: recall (ii) with the oracle-height lift,,
vehicle,10-20 m,7428,0.8567582121701669,1.1228322112077924,1.5745062327182588,side: recall (ii) with the oracle-height lift,,
vehicle,20-40 m,21804,0.6914327646303431,1.406817008894217,2.310236651505731,side: recall (ii) with the oracle-height lift,,
vehicle,,31943,0.743574492063989,1.2556167981407866,2.0811138138273857,side: recall (ii) with the oracle-height lift,,all
emergency vehicle,0-10 m,45,0.0,,,"recall (ii), <= 40 m, in image",,
emergency vehicle,10-20 m,125,0.0,,,"recall (ii), <= 40 m, in image",,
emergency vehicle,20-40 m,174,0.0,,,"recall (ii), <= 40 m, in image",,
emergency vehicle,,278,0.0,,,"recall (ii), <= 40 m, in image",day,
emergency vehicle,,65,0.0,,,"recall (ii), <= 40 m, in image",night,
emergency vehicle,,1,0.0,,,"recall (ii), <= 40 m, in image",rain,
emergency vehicle,0-10 m,34,0.0,,,"recall (ii), <= 40 m, in image",day,
emergency vehicle,0-10 m,10,0.0,,,"recall (ii), <= 40 m, in image",night,
emergency vehicle,0-10 m,1,0.0,,,"recall (ii), <= 40 m, in image",rain,
emergency vehicle,10-20 m,101,0.0,,,"recall (ii), <= 40 m, in image",day,
emergency vehicle,10-20 m,24,0.0,,,"recall (ii), <= 40 m, in image",night,
emergency vehicle,20-40 m,143,0.0,,,"recall (ii), <= 40 m, in image",day,
emergency vehicle,20-40 m,31,0.0,,,"recall (ii), <= 40 m, in image",night,
emergency vehicle,,344,0.0,,,"recall (ii), <= 40 m, in image",,all
emergency vehicle,0-10 m,25,0.0,,,"side: recall, front camera, visible (px >= 20), <= 40 m",,
emergency vehicle,10-20 m,97,0.0,,,"side: recall, front camera, visible (px >= 20), <= 40 m",,
emergency vehicle,20-40 m,161,0.0,,,"side: recall, front camera, visible (px >= 20), <= 40 m",,
emergency vehicle,,283,0.0,,,"side: recall, front camera, visible (px >= 20), <= 40 m",,all
emergency vehicle,0-10 m,45,0.0,,,side: recall (ii) with the oracle-height lift,,
emergency vehicle,10-20 m,125,0.0,,,side: recall (ii) with the oracle-height lift,,
emergency vehicle,20-40 m,174,0.0,,,side: recall (ii) with the oracle-height lift,,
emergency vehicle,,344,0.0,,,side: recall (ii) with the oracle-height lift,,all
