cls,dbin,n,recall,bev_err_med,bev_err_p90,reading,weather,all
cone,0-10 m,647,0.5193199381761978,0.48436202871773204,1.2821947282218158,"recall (ii), <= 40 m, in image",day,
cone,0-10 m,80,0.375,0.5419604688503156,1.3177673645154182,"recall (ii), <= 40 m, in image",rain,
cone,10-20 m,2249,0.39084037349933304,0.8643775131214451,1.7387129069797347,"recall (ii), <= 40 m, in image",day,
cone,10-20 m,19,0.0,,,"recall (ii), <= 40 m, in image",night,
cone,10-20 m,384,0.4270833333333333,0.7941401205130982,1.761343535873344,"recall (ii), <= 40 m, in image",rain,
cone,20-40 m,2218,0.19161406672678089,1.218476380808551,2.320678114059999,"recall (ii), <= 40 m, in image",day,
cone,20-40 m,31,0.0,,,"recall (ii), <= 40 m, in image",night,
cone,20-40 m,398,0.28391959798994976,1.1777295183087602,2.1955214591915597,"recall (ii), <= 40 m, in image",rain,
cone,,6026,0.32309990043146364,0.8443815325723641,1.891904623770456,"recall (ii), <= 40 m, in image",,all
cone,0-10 m,727,0.5639614855570839,0.1653518939877557,0.4335618835676059,side: recall (ii) with the oracle-height lift,,
cone,10-20 m,2652,0.6365007541478129,0.26878417967470336,0.8034332688965764,side: recall (ii) with the oracle-height lift,,
cone,20-40 m,2647,0.4922553834529656,0.6000442172390621,1.8540804743374475,side: recall (ii) with the oracle-height lift,,
cone,,6026,0.5643876535014936,0.33381560789256703,1.2905958756590719,side: recall (ii) with the oracle-height lift,,all
debris,0-10 m,17,0.0,,,"recall (ii), <= 40 m, in image",,
debris,10-20 m,41,0.0,,,"recall (ii), <= 40 m, in image",,
debris,20-40 m,145,0.0,,,"recall (ii), <= 40 m, in image",,
debris,,186,0.0,,,"recall (ii), <= 40 m, in image",day,
debris,,17,0.0,,,"recall (ii), <= 40 m, in image",rain,
debris,0-10 m,13,0.0,,,"recall (ii), <= 40 m, in image",day,
debris,0-10 m,4,0.0,,,"recall (ii), <= 40 m, in image",rain,
debris,10-20 m,36,0.0,,,"recall (ii), <= 40 m, in image",day,
debris,10-20 m,5,0.0,,,"recall (ii), <= 40 m, in image",rain,
debris,20-40 m,137,0.0,,,"recall (ii), <= 40 m, in image",day,
debris,20-40 m,8,0.0,,,"recall (ii), <= 40 m, in image",rain,
debris,,203,0.0,,,"recall (ii), <= 40 m, in image",,all
debris,0-10 m,17,0.0,,,side: recall (ii) with the oracle-height lift,,
debris,10-20 m,41,0.0,,,side: recall (ii) with the oracle-height lift,,
debris,20-40 m,145,0.0,,,side: recall (ii) with the oracle-height lift,,
debris,,203,0.0,,,side: recall (ii) with the oracle-height lift,,all
emergency vehicle,0-10 m,4,0.0,,,"recall (ii), <= 40 m, in image",,
emergency vehicle,10-20 m,10,0.0,,,"recall (ii), <= 40 m, in image",,
