scope,judge,n,delta,lo,hi,model,arm
Pedestrians,ADE dec1-9,1637,0.7036930672291986,0.5276667626996945,0.9059123468431646,cinque,G3 student B (c) s2
Pedestrians,ADE pre_onset dec1-9,83,0.38821965187315316,0.03317302352208575,0.8596219510781659,cinque,G3 student B (c) s2
Cyclists,RFS (rater),71,-0.6086896376791904,-0.9664848558606846,-0.2838157694771171,cinque,G3 student B (c) s2
Cyclists,ADE dec1-9,2326,0.6086649939817295,0.5032565868055882,0.7177634693794583,cinque,G3 student B (c) s2
Cyclists,ADE pre_onset dec1-9,206,0.6997952995319957,0.44652373933069384,0.9536813943939721,cinque,G3 student B (c) s2
Cut_ins,RFS (rater),20,-0.2739341801761477,-1.1367729804112638,0.48780623768604037,cinque,G3 student B (c) s2
Cut_ins,ADE dec1-9,724,0.5126386865062198,0.3562982226387125,0.6653547727141794,cinque,G3 student B (c) s2
Cut_ins,ADE pre_onset dec1-9,16,0.13543583608653828,-0.26390104183375257,0.6130425151008597,cinque,G3 student B (c) s2
FOD,RFS (rater),78,-0.3028845179799362,-0.6268012006532085,0.0012746847037040582,cinque,G3 student B (c) s2
FOD,ADE dec1-9,3175,0.7614721102202053,0.6249292009338928,0.9164008634718706,cinque,G3 student B (c) s2
FOD,ADE pre_onset dec1-9,252,1.0185397909063023,0.5709277114227101,1.4711329418858017,cinque,G3 student B (c) s2
Intersections,RFS (rater),116,-0.2910095862622726,-0.5874849617853148,-0.0046998539231965725,cinque,G3 student B (c) s2
Intersections,ADE dec1-9,4299,0.8233931297275975,0.6606487903276616,0.9992535378021346,cinque,G3 student B (c) s2
Intersections,ADE pre_onset dec1-9,301,0.7855328798474138,0.293113496827382,1.4123156052677424,cinque,G3 student B (c) s2
all,RFS (rater),478,-0.3097571033034959,-0.43265498477500575,-0.18824481835088702,cinque,G3 student A (a) s0
all,ADE dec1-9,17389,0.2739520996867582,0.2500000606911462,0.29789935989942323,cinque,G3 student A (a) s0
all,ADE pre_onset dec1-9,1245,0.3040991468924774,0.21827990403949257,0.3893064140348547,cinque,G3 student A (a) s0
Pedestrians,RFS (rater),52,-0.07449444286407189,-0.4320975382201884,0.26803013809682213,cinque,G3 student A (a) s0
Pedestrians,ADE dec1-9,1637,0.23938416949262575,0.16359190971183654,0.31560660083670405,cinque,G3 student A (a) s0
Pedestrians,ADE pre_onset dec1-9,83,0.07337047771255285,-0.13704621981393267,0.34258661248430816,cinque,G3 student A (a) s0
Cyclists,RFS (rater),71,-0.612368771036469,-1.0468698033994785,-0.21830757396470168,cinque,G3 student A (a) s0
Cyclists,ADE dec1-9,2326,0.2696124908755593,0.20560193090282727,0.3378231331848291,cinque,G3 student A (a) s0
Cyclists,ADE pre_onset dec1-9,206,0.23749126822679842,0.023534832748768487,0.47285768638173153,cinque,G3 student A (a) s0
Cut_ins,RFS (rater),20,-0.28827544308786374,-1.0333783430667798,0.47441721654162927,cinque,G3 student A (a) s0
Cut_ins,ADE dec1-9,724,0.26276712515477546,0.1763192660330066,0.3502517216059623,cinque,G3 student A (a) s0
Cut_ins,ADE pre_onset dec1-9,16,0.05537336459017039,-0.37907783852699795,0.6139534828836725,cinque,G3 student A (a) s0
FOD,RFS (rater),78,-0.24682582401814712,-0.4511797965301338,-0.06315232917183068,cinque,G3 student A (a) s0
FOD,ADE dec1-9,3175,0.30921981452164465,0.25262330081582884,0.36611926831746905,cinque,G3 student A (a) s0
FOD,ADE pre_onset dec1-9,252,0.4841567398007459,0.32086314309471126,0.6358764762909044,cinque,G3 student A (a) s0
Intersections,RFS (rater),116,-0.32606089151320916,-0.5933347115760342,-0.06872279433159488,cinque,G3 student A (a) s0
Intersections,ADE dec1-9,4299,0.2504366549152506,0.20575839370159635,0.2977530446424002,cinque,G3 student A (a) s0
Intersections,ADE pre_onset dec1-9,301,0.15508149982920408,-0.01136542284996573,0.3201981962041638,cinque,G3 student A (a) s0
all,RFS (rater),478,-0.24469188835371275,-0.36219711679776245,-0.12959906051367073,cinque,G3 student A (a) s1
all,ADE dec1-9,17389,0.2186490102296464,0.1977864731697357,0.23933425409123846,cinque,G3 student A (a) s1
all,ADE pre_onset dec1-9,1245,0.21145320096323122,0.12834052650668576,0.29248051671804864,cinque,G3 student A (a) s1
Pedestrians,RFS (rater),52,0.059161622938906186,-0.2720022194946426,0.3873545806492219,cinque,G3 student A (a) s1
Pedestrians,ADE dec1-9,1637,0.16496623346219488,0.10289864660958137,0.22898537621493772,cinque,G3 student A (a) s1
Pedestrians,ADE pre_onset dec1-9,83,-0.009526101299021617,-0.20877684742908376,0.2795204857695752,cinque,G3 student A (a) s1
Cyclists,RFS (rater),71,-0.6480815311106706,-1.0762765909604584,-0.2590069318953789,cinque,G3 student A (a) s1
Cyclists,ADE dec1-9,2326,0.2066590261898404,0.15033333638224533,0.2626241195268354,cinque,G3 student A (a) s1
Cyclists,ADE pre_onset dec1-9,206,0.12379576400617862,-0.0666640562890305,0.3030204197524172,cinque,G3 student A (a) s1
Cut_ins,RFS (rater),20,-0.45953577788969413,-1.1617105587551586,0.25818868264385636,cinque,G3 student A (a) s1
Cut_ins,ADE dec1-9,724,0.19033564084052054,0.10940995951617338,0.2675633643209192,cinque,G3 student A (a) s1
Cut_ins,ADE pre_onset dec1-9,16,0.029893713028716185,-0.24032217140200635,0.36770530861078454,cinque,G3 student A (a) s1
FOD,RFS (rater),78,-0.17351264336837,-0.3335771623061621,-0.020851849303533766,cinque,G3 student A (a) s1
FOD,ADE dec1-9,3175,0.2530624381460857,0.20403269293576595,0.3030395316136421,cinque,G3 student A (a) s1
FOD,ADE pre_onset dec1-9,252,0.3265264620138419,0.17421310291661193,0.47487966622195854,cinque,G3 student A (a) s1
Intersections,RFS (rater),116,-0.25299888158515393,-0.5036960823155172,-0.02021479201584178,cinque,G3 student A (a) s1
Intersections,ADE dec1-9,4299,0.2060084790864808,0.16693897756641926,0.24545643610119078,cinque,G3 student A (a) s1
Intersections,ADE pre_onset dec1-9,301,0.08682951355965839,-0.07441641447852289,0.24765327513746316,cinque,G3 student A (a) s1
all,RFS (rater),478,-0.23324313336985272,-0.34787993125225664,-0.12028697936662187,cinque,G3 student A (a) s2
all,ADE dec1-9,17389,0.21449198968235555,0.1937205559886121,0.23518822126169628,cinque,G3 student A (a) s2
all,ADE pre_onset dec1-9,1245,0.20310854054525007,0.12233156639291205,0.2821695364384238,cinque,G3 student A (a) s2
Pedestrians,RFS (rater),52,-0.03212709958895442,-0.39442010040089287,0.3266425602756324,cinque,G3 student A (a) s2
Pedestrians,ADE dec1-9,1637,0.15677012823482578,0.09662666203611088,0.21940300662464035,cinque,G3 student A (a) s2
